name,path,task,target,source_cancers,view,samples,features,class_counts,note
BRCA_core_source_top500,/home/prime/Documents/g3/cancer-exp/datasets/BRCA_core_source_top500.csv,binary,target,['BRCA'],core,1206,500,"{'TCGA': 1084, 'CPTAC': 122}",Predicts TCGA/CPTAC source; useful as batch-effect and normalization diagnostic.
HNSCC_core_source_top500,/home/prime/Documents/g3/cancer-exp/datasets/HNSCC_core_source_top500.csv,binary,target,['HNSCC'],core,631,500,"{'TCGA': 523, 'CPTAC': 108}",Predicts TCGA/CPTAC source; useful as batch-effect and normalization diagnostic.
LSCC_core_source_top500,/home/prime/Documents/g3/cancer-exp/datasets/LSCC_core_source_top500.csv,binary,target,['LSCC'],core,595,500,"{'TCGA': 487, 'CPTAC': 108}",Predicts TCGA/CPTAC source; useful as batch-effect and normalization diagnostic.
LUAD_core_source_top500,/home/prime/Documents/g3/cancer-exp/datasets/LUAD_core_source_top500.csv,binary,target,['LUAD'],core,624,500,"{'TCGA': 514, 'CPTAC': 110}",Predicts TCGA/CPTAC source; useful as batch-effect and normalization diagnostic.
BRCA_core_os_event_top500,/home/prime/Documents/g3/cancer-exp/datasets/BRCA_core_os_event_top500.csv,binary,target,['BRCA'],core,1183,500,"{'0': 1030, '1': 153}",Predicts observed OS event; preliminary only because time-to-event censoring is not modeled.
ESCA_core_os_event_top500,/home/prime/Documents/g3/cancer-exp/datasets/ESCA_core_os_event_top500.csv,binary,target,['ESCA'],core,182,500,"{'0': 106, '1': 76}",Predicts observed OS event; preliminary only because time-to-event censoring is not modeled.
HNSCC_core_os_event_top500,/home/prime/Documents/g3/cancer-exp/datasets/HNSCC_core_os_event_top500.csv,binary,target,['HNSCC'],core,628,500,"{'0': 375, '1': 253}",Predicts observed OS event; preliminary only because time-to-event censoring is not modeled.
LSCC_core_os_event_top500,/home/prime/Documents/g3/cancer-exp/datasets/LSCC_core_os_event_top500.csv,binary,target,['LSCC'],core,590,500,"{'0': 355, '1': 235}",Predicts observed OS event; preliminary only because time-to-event censoring is not modeled.
LUAD_core_os_event_top500,/home/prime/Documents/g3/cancer-exp/datasets/LUAD_core_os_event_top500.csv,binary,target,['LUAD'],core,620,500,"{'0': 410, '1': 210}",Predicts observed OS event; preliminary only because time-to-event censoring is not modeled.
ALL_core_cancer_type_top488,/home/prime/Documents/g3/cancer-exp/datasets/ALL_core_cancer_type_top488.csv,multiclass,target,"['BRCA', 'ESCA', 'HNSCC', 'LSCC', 'LUAD']",core,3238,488,"{'BRCA': 1206, 'HNSCC': 631, 'LUAD': 624, 'LSCC': 595, 'ESCA': 182}",Predicts cancer type across all five cohorts; feature union is built from per-cancer high-variance features.
