dataset,model_name,cancer_type,n_test,class_0_test,class_1_test,sensitivity,specificity,balanced_accuracy,pr_auc
BRCA_core_os_3yr_event_top100,tabpfn_v2,BRCA,76,65,11,0.0,1.0,0.5,0.3506835158305746
BRCA_core_os_3yr_event_top100,tabpfn_v2_5,BRCA,76,65,11,0.0,1.0,0.5,0.3828504248980917
BRCA_core_os_3yr_event_top100,tabpfn_v2_6,BRCA,76,65,11,0.0909090909090909,1.0,0.5454545454545454,0.4254186654492099
BRCA_core_os_3yr_event_top100,tabpfn_v3,BRCA,76,65,11,0.0909090909090909,1.0,0.5454545454545454,0.3082934531798168
BRCA_core_os_5yr_event_top100,tabpfn_v2,BRCA,53,38,15,0.0,1.0,0.5,0.510796141389491
BRCA_core_os_5yr_event_top100,tabpfn_v2_5,BRCA,53,38,15,0.0,1.0,0.5,0.4603339999514384
BRCA_core_os_5yr_event_top100,tabpfn_v2_6,BRCA,53,38,15,0.0666666666666666,1.0,0.5333333333333333,0.3997149953009182
BRCA_core_os_5yr_event_top100,tabpfn_v3,BRCA,53,38,15,0.0666666666666666,1.0,0.5333333333333333,0.4359003021228085
ESCA_core_os_3yr_event_top100,tabpfn_v2,ESCA,13,3,10,1.0,0.0,0.5,0.6677455877455878
ESCA_core_os_3yr_event_top100,tabpfn_v2_5,ESCA,13,3,10,1.0,0.0,0.5,0.6760789210789211
ESCA_core_os_3yr_event_top100,tabpfn_v2_6,ESCA,13,3,10,1.0,0.0,0.5,0.8077455877455877
ESCA_core_os_3yr_event_top100,tabpfn_v3,ESCA,13,3,10,1.0,0.0,0.5,0.8072333222333222
HNSCC_core_os_3yr_event_top100,tabpfn_v2,HNSCC,58,26,32,0.875,0.0384615384615384,0.4567307692307692,0.5169114126282741
HNSCC_core_os_3yr_event_top100,tabpfn_v2_5,HNSCC,58,26,32,0.8125,0.1538461538461538,0.4831730769230769,0.5143064996832962
HNSCC_core_os_3yr_event_top100,tabpfn_v2_6,HNSCC,58,26,32,0.8125,0.1923076923076923,0.5024038461538461,0.5792166476740161
HNSCC_core_os_3yr_event_top100,tabpfn_v3,HNSCC,58,26,32,0.90625,0.1538461538461538,0.5300480769230769,0.540294098788859
