cancer,view,modality,count
BRCA,core,clinical,192
BRCA,core,cnv_gistic,84003
BRCA,core,cnv_log2,84495
BRCA,core,methylation_gene,13065
BRCA,core,mutation_binary,28172
BRCA,core,rnaseq_gene,69321
ESCA,core,clinical,250
ESCA,core,cnv_gistic,25087
ESCA,core,cnv_log2,25087
ESCA,core,methylation_gene,13066
ESCA,core,mutation_binary,20014
ESCA,core,rnaseq_gene,19069
HNSCC,core,clinical,235
HNSCC,core,cnv_gistic,84509
HNSCC,core,cnv_log2,84509
HNSCC,core,methylation_gene,26019
HNSCC,core,mutation_binary,27861
HNSCC,core,rnaseq_gene,71388
LSCC,core,clinical,228
LSCC,core,cnv_gistic,84495
LSCC,core,cnv_log2,84495
LSCC,core,methylation_gene,26013
LSCC,core,mutation_binary,29591
LSCC,core,rnaseq_gene,72385
LUAD,core,clinical,210
LUAD,core,cnv_gistic,84495
LUAD,core,cnv_log2,84495
LUAD,core,methylation_gene,26015
LUAD,core,mutation_binary,29998
LUAD,core,rnaseq_gene,72445
