scope,cancer,endpoint,repeat,fold,seed,n_total,n_train,n_validation,n_test,class_1_train,class_1_validation,class_1_test,patient_overlap_train_test,feature_candidates,features_selected,feature_selection,patient_overlap_train_validation,patient_overlap_validation_test,class_0_train,class_0_validation,class_0_test,bundle_path,bundle_size_bytes,bundle_sha256,selected_modality_counts
per_cancer,BRCA,extreme_os,0,0,42,268,171,43,54,43,13,15,0,279056,100,variance ranking fitted on training rows only,0,0,128,30,39,folds/per_cancer/extreme_os/BRCA/repeat_00/fold_00.tar.zst,122957,b3954634fe293cd9cfd2c45120eef4f066d8f6042b6a0ae25cfe6201329ede58,"{""methylation_gene"": 42, ""rnaseq_gene"": 58}"
per_cancer,BRCA,extreme_os,0,1,42,268,171,43,54,43,13,15,0,279056,100,variance ranking fitted on training rows only,0,0,128,30,39,folds/per_cancer/extreme_os/BRCA/repeat_00/fold_01.tar.zst,124619,6657a36b2b58679799f4472b5b056a4bbdf620d9172fea9ed31510b515b3c2e0,"{""cnv_log2"": 2, ""methylation_gene"": 40, ""rnaseq_gene"": 58}"
per_cancer,BRCA,extreme_os,0,2,42,268,171,43,54,53,10,8,0,279056,100,variance ranking fitted on training rows only,0,0,118,33,46,folds/per_cancer/extreme_os/BRCA/repeat_00/fold_02.tar.zst,119017,5c53beb598cfe1ea31e02ae84ac6f297d660d89992a37550653370771cd21268,"{""methylation_gene"": 39, ""rnaseq_gene"": 61}"
per_cancer,BRCA,extreme_os,0,3,42,268,172,43,53,43,14,14,0,279056,100,variance ranking fitted on training rows only,0,0,129,29,39,folds/per_cancer/extreme_os/BRCA/repeat_00/fold_03.tar.zst,124271,7290a3ff0dc47c45c77e83bc13e46c681e424980512c25e85412c9d9d5a2a993,"{""methylation_gene"": 40, ""rnaseq_gene"": 60}"
per_cancer,BRCA,extreme_os,0,4,42,268,172,43,53,42,10,19,0,279056,100,variance ranking fitted on training rows only,0,0,130,33,34,folds/per_cancer/extreme_os/BRCA/repeat_00/fold_04.tar.zst,113569,db7bc5686a31607ec3d40b29165c0ae993277132517d67d7c794a27ee45a1491,"{""methylation_gene"": 35, ""rnaseq_gene"": 65}"
per_cancer,BRCA,extreme_os,1,0,42,268,171,43,54,42,13,16,0,279056,100,variance ranking fitted on training rows only,0,0,129,30,38,folds/per_cancer/extreme_os/BRCA/repeat_01/fold_00.tar.zst,107463,c29ec9c573b28e865850ef3461893140414c461aa01199596a0ae0eceabea203,"{""methylation_gene"": 34, ""rnaseq_gene"": 66}"
per_cancer,BRCA,extreme_os,1,1,42,268,171,43,54,47,10,14,0,279056,100,variance ranking fitted on training rows only,0,0,124,33,40,folds/per_cancer/extreme_os/BRCA/repeat_01/fold_01.tar.zst,125787,bbbb3dd06c76057dfac37a3c26cc3d56f60e913f7728afbce3f25350a68ffe17,"{""methylation_gene"": 43, ""rnaseq_gene"": 57}"
per_cancer,BRCA,extreme_os,1,2,42,268,172,43,53,46,13,12,0,279056,100,variance ranking fitted on training rows only,0,0,126,30,41,folds/per_cancer/extreme_os/BRCA/repeat_01/fold_02.tar.zst,99557,787957e036daee79c223b85f9e1c82039af9dc2fde1fb9a22d5408cc66371c6e,"{""methylation_gene"": 29, ""rnaseq_gene"": 71}"
per_cancer,BRCA,extreme_os,1,3,42,268,172,43,53,47,12,12,0,279056,100,variance ranking fitted on training rows only,0,0,125,31,41,folds/per_cancer/extreme_os/BRCA/repeat_01/fold_03.tar.zst,131219,118cbead8de9156b0701aacb61761ea3e2b712befeb63292356df5b2777e63ee,"{""methylation_gene"": 45, ""rnaseq_gene"": 55}"
per_cancer,BRCA,extreme_os,1,4,42,268,171,43,54,43,11,17,0,279056,100,variance ranking fitted on training rows only,0,0,128,32,37,folds/per_cancer/extreme_os/BRCA/repeat_01/fold_04.tar.zst,107687,9ff77c7d5444e188f64ddee1ca748bcace7c7bf896fbec0ff5cc0bd2a45b5d6b,"{""methylation_gene"": 32, ""rnaseq_gene"": 68}"
per_cancer,BRCA,extreme_os,2,0,42,268,171,43,54,42,13,16,0,279056,100,variance ranking fitted on training rows only,0,0,129,30,38,folds/per_cancer/extreme_os/BRCA/repeat_02/fold_00.tar.zst,107625,d293950711583fdc6722d04d10b18285a56ec0bffb7d1a611e2a987854968121,"{""methylation_gene"": 34, ""rnaseq_gene"": 66}"
per_cancer,BRCA,extreme_os,2,1,42,268,171,43,54,42,13,16,0,279056,100,variance ranking fitted on training rows only,0,0,129,30,38,folds/per_cancer/extreme_os/BRCA/repeat_02/fold_01.tar.zst,134621,4b27a7f2ae41eb5a058cf7d606b75a3555af87be6acf962baabcae8e87eacab1,"{""methylation_gene"": 47, ""rnaseq_gene"": 53}"
per_cancer,BRCA,extreme_os,2,2,42,268,171,43,54,46,12,13,0,279056,100,variance ranking fitted on training rows only,0,0,125,31,41,folds/per_cancer/extreme_os/BRCA/repeat_02/fold_02.tar.zst,122184,569dabfa5db37cc527030db44ca50a4fad1a6ae4553c6ef8e1ab80bf9a05bba6,"{""methylation_gene"": 41, ""rnaseq_gene"": 59}"
per_cancer,BRCA,extreme_os,2,3,42,268,172,43,53,49,12,10,0,279056,100,variance ranking fitted on training rows only,0,0,123,31,43,folds/per_cancer/extreme_os/BRCA/repeat_02/fold_03.tar.zst,93603,a3764cdbb86d2cf73915534b8b9bf19f905fce35bf5a08cbff487663a7023bf5,"{""methylation_gene"": 26, ""rnaseq_gene"": 74}"
per_cancer,BRCA,extreme_os,2,4,42,268,172,43,53,40,15,16,0,279056,100,variance ranking fitted on training rows only,0,0,132,28,37,folds/per_cancer/extreme_os/BRCA/repeat_02/fold_04.tar.zst,134088,005290c54f640d8a3fcaf615d47d9ff76aa3af8eb482140718000248f5f2ce33,"{""methylation_gene"": 46, ""rnaseq_gene"": 54}"
per_cancer,BRCA,extreme_os,3,0,42,268,171,43,54,45,12,14,0,279056,100,variance ranking fitted on training rows only,0,0,126,31,40,folds/per_cancer/extreme_os/BRCA/repeat_03/fold_00.tar.zst,122682,04ccbb976206f0ef023fa66bd15dab185c3674e993e4bc0168c8fd950efdcfe0,"{""methylation_gene"": 42, ""rnaseq_gene"": 58}"
per_cancer,BRCA,extreme_os,3,1,42,268,171,43,54,44,13,14,0,279056,100,variance ranking fitted on training rows only,0,0,127,30,40,folds/per_cancer/extreme_os/BRCA/repeat_03/fold_01.tar.zst,117810,7e9f142654c80ab19acb9278db84c624f3447f6f0ac2a9c98ec99825fea547a4,"{""cnv_log2"": 2, ""methylation_gene"": 37, ""rnaseq_gene"": 61}"
per_cancer,BRCA,extreme_os,3,2,42,268,172,43,53,46,16,9,0,279056,100,variance ranking fitted on training rows only,0,0,126,27,44,folds/per_cancer/extreme_os/BRCA/repeat_03/fold_02.tar.zst,125040,b0f76c4e0f020c08e8ea72cd9b11227dc0f2303660a12bda86c1fc9450a455f8,"{""methylation_gene"": 42, ""rnaseq_gene"": 58}"
per_cancer,BRCA,extreme_os,3,3,42,268,172,43,53,42,15,14,0,279056,100,variance ranking fitted on training rows only,0,0,130,28,39,folds/per_cancer/extreme_os/BRCA/repeat_03/fold_03.tar.zst,100932,7b91abf2fd16b6a402a04a5a1739c310e15bf303c321491ddbe2ec69f0c5c748,"{""methylation_gene"": 28, ""rnaseq_gene"": 72}"
per_cancer,BRCA,extreme_os,3,4,42,268,171,43,54,42,9,20,0,279056,100,variance ranking fitted on training rows only,0,0,129,34,34,folds/per_cancer/extreme_os/BRCA/repeat_03/fold_04.tar.zst,124305,a2b6740bb5a0bbb611881e230a75d700a6f53956136d04c7e6fd99c6cdc10cf4,"{""methylation_gene"": 41, ""rnaseq_gene"": 59}"
