A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
1,65,168,2,4,4,39,0,0,1,1,2,32,161,0
0,129,20,2,6,4,2,0,0,1,0,2,92,151,0
0,47,160,1,14,8,1,0,0,1,1,2,51,28,0
1,78,1,2,13,4,3,1,0,1,0,2,1,1,1
0,308,196,2,8,4,93,1,1,15,0,2,1,188,1
0,38,6,2,11,4,2,0,0,1,1,2,124,1,0
1,211,92,2,11,4,73,0,0,1,0,2,144,36,0
1,77,1,2,4,4,26,0,1,12,0,1,1,1,0
1,190,106,2,9,4,3,0,0,1,1,2,100,7,1
0,15,144,2,6,4,43,0,1,11,1,2,1,11,0
0,230,87,2,8,4,65,0,0,1,0,2,149,1,0
0,204,31,2,6,4,20,1,1,5,0,2,1,175,1
1,73,164,2,11,4,58,1,1,8,1,2,32,140,1
1,232,144,2,7,4,99,1,1,15,0,2,86,211,1
0,343,196,2,10,9,1,1,1,15,0,2,1,204,1
1,307,119,2,4,4,98,1,1,16,0,2,1,231,1
0,33,141,1,8,4,26,1,1,5,1,2,24,115,1
1,72,26,2,3,4,39,0,1,2,1,2,131,10,0
0,31,127,2,11,4,62,1,1,6,0,2,65,236,1
0,7,12,2,1,1,1,0,1,2,0,2,53,59,0
0,92,73,2,11,8,44,1,1,19,0,2,1,115,1
1,50,104,1,5,4,8,0,0,1,0,2,45,74,0
1,188,109,1,8,4,37,0,0,1,1,2,18,1,0
1,99,19,2,8,4,8,1,1,8,1,2,30,214,1
0,134,85,2,8,4,7,0,1,2,1,2,11,67,0
1,190,47,2,13,4,38,1,1,2,1,2,156,238,1
0,323,12,2,3,5,26,1,0,1,1,2,88,187,0
1,231,51,2,14,4,4,1,1,6,1,2,149,1,1
0,291,46,2,5,3,1,1,0,1,1,2,32,26,0
1,313,143,2,1,1,125,1,1,12,1,2,9,94,1
1,238,118,2,11,4,2,1,1,2,0,2,69,94,1
0,97,72,2,14,8,24,1,0,1,0,2,117,1,1
1,159,75,2,8,4,58,0,1,3,1,2,53,33,0
1,200,95,2,14,8,95,0,0,1,1,1,164,1,1
1,192,92,2,3,5,71,1,1,3,0,2,96,126,1
1,170,87,1,13,4,37,0,0,1,1,2,38,1,0
1,7,26,2,8,4,43,1,1,6,1,2,115,130,1
1,43,10,2,11,4,4,0,0,1,0,2,69,1,0
1,242,79,2,7,4,73,0,0,1,1,1,131,1,0
1,188,95,2,6,4,26,1,0,1,1,2,86,1,0
1,332,47,2,11,4,4,1,0,1,1,2,92,1,1
1,83,16,1,9,4,61,1,1,7,1,2,72,100,0
0,95,178,2,13,8,73,1,1,7,0,2,131,112,1
1,237,17,2,7,4,7,1,0,1,0,1,99,1,0
1,1,87,1,9,4,43,1,1,3,1,2,38,150,1
0,49,54,2,11,4,49,1,1,6,0,2,77,194,1
0,202,175,2,11,8,124,1,1,9,0,2,1,221,1
1,292,62,2,1,1,8,0,0,1,0,2,69,4,0
1,80,46,2,8,8,35,1,0,1,0,2,137,77,1
0,181,61,1,13,4,73,0,0,1,1,2,69,63,0
1,198,66,2,9,4,1,1,0,1,1,2,85,77,1
0,50,145,2,3,4,2,0,0,1,0,2,69,150,0
1,252,15,2,8,8,6,1,1,7,0,2,77,147,1
1,285,82,2,6,4,73,1,0,1,0,1,82,1,1
1,84,175,2,8,4,49,0,0,1,0,1,24,1,0
0,19,1,1,5,1,1,0,0,1,0,2,25,1,0
1,163,87,1,3,4,3,0,0,1,1,2,134,1,0
0,94,40,2,1,1,1,1,0,1,0,2,24,1,0
0,21,155,2,1,1,1,0,0,1,0,2,1,36,0
1,289,8,1,4,4,7,1,1,12,0,2,124,197,1
