rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_TSPY4,methylation_gene__GENE_GPI,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_OR4A15,rnaseq_gene__GENE_TSPY3,methylation_gene__GENE_ACPL2,methylation_gene__GENE_VEGFA,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_LCE3C,rnaseq_gene__GENE_KRTAP19-6,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_DEFB129,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_DEFB104A,rnaseq_gene__GENE_LCN9,rnaseq_gene__GENE_P2RX6P,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_FAM99A,rnaseq_gene__GENE_NKX6-2,rnaseq_gene__GENE_ZNF735,rnaseq_gene__GENE_SRY,rnaseq_gene__GENE_HES3,rnaseq_gene__GENE_DAZ1,methylation_gene__GENE_GMCL1,methylation_gene__GENE_VEGFB,rnaseq_gene__GENE_LCE3E,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_IAPP,rnaseq_gene__GENE_TMEM207,rnaseq_gene__GENE_LIM2,rnaseq_gene__GENE_MOS,methylation_gene__GENE_AKT1,methylation_gene__GENE_UNC84B,rnaseq_gene__GENE_OR7G2,methylation_gene__GENE_TPP1,rnaseq_gene__GENE_CRYGA,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_SNORA69,methylation_gene__GENE_FRY,rnaseq_gene__GENE_ADAM7,methylation_gene__GENE_SLC22A17,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_DKFZP434L192,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_OR6C4,rnaseq_gene__GENE_OR5T3,methylation_gene__GENE_DUSP4,methylation_gene__GENE_LPCAT1,rnaseq_gene__GENE_SCARNA23,rnaseq_gene__GENE_SAA3P,rnaseq_gene__GENE_KRTAP10-1,methylation_gene__GENE_TRIB3,methylation_gene__GENE_RUNDC2A,rnaseq_gene__GENE_TBC1D28,rnaseq_gene__GENE_OR10T2,rnaseq_gene__GENE_SPRR2B,methylation_gene__GENE_MDK,methylation_gene__GENE_RCBTB2,rnaseq_gene__GENE_RPS4Y2,methylation_gene__GENE_AMDHD2,methylation_gene__GENE_GABBR1,methylation_gene__GENE_AP2B1,rnaseq_gene__GENE_LCE3D,methylation_gene__GENE_C6ORF64,rnaseq_gene__GENE_OR2M1P,rnaseq_gene__GENE_OR56A1,rnaseq_gene__GENE_IFNK,rnaseq_gene__GENE_SPAG11A,rnaseq_gene__GENE_DEFB118,rnaseq_gene__GENE_DEFB108B,methylation_gene__GENE_ZNF345,rnaseq_gene__GENE_SSX7,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_LINC00442,methylation_gene__GENE_UBE3C,methylation_gene__GENE_BBX,methylation_gene__GENE_MYLIP,rnaseq_gene__GENE_SNAR-B2,rnaseq_gene__GENE_NCR2,methylation_gene__GENE_INHA;OBSL1,rnaseq_gene__GENE_OR2T1,rnaseq_gene__GENE_FAM99B,methylation_gene__GENE_C13ORF1,rnaseq_gene__GENE_KRTAP11-1,methylation_gene__GENE_RNF7,methylation_gene__GENE_SYPL1,rnaseq_gene__GENE_TSPY2,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,0.20043744,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,0.59649277,-0.04435848,-0.06925289,-0.071920976,-0.062246185,-0.041330405,0.07336908,-0.06825314,0.043400798,-0.048288155,-0.059162382,-0.052082743,-0.06940588,-0.21529208,0.49858165,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,1.1340773,-0.17079495,-0.12899014,-0.19387476,-0.14094758,-0.11980957,-0.23341642,-0.09939945,0.6670757,0.52809095,-0.06859739,-0.10161546,-0.07638114,23.692472,-0.08561648,0.25627154,-0.1181239,1.6284221,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,0.18946539,0.15716496,-0.078748696,-0.16757363,8.4414625,-0.03337716,1.502535,-0.16144404,-0.065219104,-0.17258121,-0.09426317,0.011206888,-0.04301151,0.82299024,1.4033974,1.4705099,-0.17848194,1.5661688,-0.10272443,-0.16392021,-0.28798902,-0.10430648,-0.13369994,-0.05221101,0.25208822,-0.13104095,0.48104048,-0.17408647,0.4850662,1.4290575,0.65850085,-0.13498159,-0.28078485,0.023762159,-0.06331775,-0.042923182,0.59444314,-0.15536214,1.2357007,0.61588115,-0.061702468,0
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,0.18294889,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,0.7476855,-0.05125228,-0.06925289,-0.071920976,-0.062246185,-0.041330405,-0.32059684,-0.06825314,0.49041125,-0.048288155,-0.059162382,-0.052082743,-0.06940588,-0.21529208,0.54176915,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,0.34237644,-0.18246691,-0.12899014,-0.19387476,-0.14094758,-0.11980957,-0.23341642,-0.09939945,-0.20129359,-0.41376457,-0.06859739,0.025402108,-0.07638114,-0.08846551,-0.08561648,0.6557903,-0.1181239,-0.12951767,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,-0.02096244,-0.08353435,-0.078748696,-0.16757363,-0.13944355,0.1348818,0.9439678,-0.16144404,-0.065219104,-0.17258121,-0.11937862,3.4615011,-0.04301151,1.0373288,0.29255396,0.41158846,-0.17848194,0.06784842,-0.10272443,13.818871,-0.28798902,-0.10430648,-0.13369994,22.436857,0.7001832,19.438238,0.7617472,-0.17408647,-0.023684492,-0.683217,-0.22121061,4.0270185,-0.28078485,-0.11508563,-0.06331775,-0.042923182,0.00078010384,-0.15536214,0.78491956,-0.07018332,-0.061702468,0
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,-0.07527803,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,-0.66036993,-0.30582115,-0.06925289,-0.071920976,-0.062246185,-0.041330405,-0.28991085,-0.06825314,-0.41058275,-0.048288155,-0.059162382,-0.052082743,-0.06940588,-0.21529208,-0.0707264,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,-0.30556974,-0.45827174,-0.12899014,-0.19387476,-0.14094758,-0.11980957,-0.23341642,-0.09939945,1.0604863,-1.1152893,-0.06859739,-0.31761447,-0.07638114,-0.08846551,-0.08561648,-0.31920248,-0.1181239,-0.405372,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,-0.3292429,-0.29508233,-0.078748696,-0.16757363,-0.13944355,-0.23495351,-1.6598191,-0.16144404,-0.065219104,-0.17258121,-0.19917646,-0.03581134,-0.04301151,-0.09888837,-0.1613667,-1.523701,-0.17848194,-0.5457348,-0.10272443,-0.16392021,-0.28798902,-0.10430648,-0.13369994,-0.05221101,0.14440846,-0.13104095,-0.5461516,-0.17408647,-0.29445544,-0.76541775,-0.12833431,-0.13498159,-0.28078485,-0.21325545,-0.06331775,-0.042923182,-0.17950849,-0.15536214,-0.12155899,-0.48064336,-0.061702468,0
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,0.1791918,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,-0.26756728,0.92865384,-0.06925289,-0.071920976,-0.062246185,-0.041330405,-0.2708802,-0.06825314,-0.011934135,-0.048288155,-0.059162382,-0.052082743,-0.06940588,-0.21529208,10.229894,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,-0.003098298,0.23164392,-0.12899014,-0.19387476,-0.14094758,-0.11980957,3.677241,-0.09939945,-0.11088105,0.28809008,-0.06859739,-0.3469324,-0.07638114,-0.08846551,-0.08561648,16.977419,-0.1181239,0.038891412,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,0.41167986,0.055884086,-0.078748696,-0.16757363,-0.13944355,0.26360202,0.12752722,-0.16144404,-0.065219104,-0.17258121,0.054466035,0.102243006,-0.04301151,0.3328231,0.07596221,-0.39905912,-0.17848194,-0.15239203,-0.10272443,-0.16392021,-0.28798902,-0.10430648,-0.13369994,-0.05221101,-0.86230284,-0.13104095,-0.02134801,-0.17408647,0.24772099,-0.21755666,-0.66350615,-0.13498159,-0.28078485,0.0012138003,-0.06331775,-0.042923182,-0.4148625,-0.15536214,-0.039538544,-0.14935572,-0.061702468,0
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,-0.09081804,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,-0.114545524,-0.1843051,-0.06925289,-0.071920976,-0.062246185,-0.041330405,-0.41722843,-0.06825314,-0.5281125,-0.048288155,-0.059162382,-0.052082743,-0.06940588,-0.21529208,-0.029444681,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,-0.2841756,-0.5688526,-0.12899014,-0.19387476,-0.14094758,-0.11980957,-0.23341642,-0.09939945,-0.85636276,-0.1900007,-0.06859739,-0.363927,-0.07638114,-0.08846551,-0.08561648,-0.38734296,-0.1181239,-0.47221553,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,-0.6273908,-0.1322655,-0.078748696,-0.16757363,-0.13944355,-0.2783788,-1.289935,-0.16144404,-0.065219104,-0.17258121,-0.4113138,-0.072894886,-0.04301151,-0.24191166,-0.22683752,0.12507151,-0.17848194,0.22525126,-0.10272443,-0.16392021,-0.28798902,-0.10430648,-0.13369994,-0.05221101,0.35282114,-0.13104095,0.46519563,-0.17408647,-0.57957286,-1.7301053,0.06531601,-0.13498159,-0.28078485,-0.3337177,-0.06331775,-0.042923182,-0.15213723,-0.15536214,-0.48663443,10.054507,-0.061702468,0
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,-0.39433774,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,-0.72791964,-0.26771,-0.06925289,-0.071920976,-0.062246185,-0.041330405,-0.7740745,-0.06825314,-0.6799201,-0.048288155,-0.059162382,-0.052082743,-0.06940588,-0.21529208,0.02774375,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,-0.5615083,-0.45241278,-0.12899014,-0.19387476,-0.14094758,-0.11980957,-0.23341642,-0.09939945,-0.25866148,0.56129915,1.8795662,0.16948433,-0.07638114,-0.08846551,-0.08561648,-0.18761054,-0.1181239,-0.27398795,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,0.7317149,-0.28486124,-0.078748696,-0.16757363,-0.13944355,-0.1217616,1.7105508,-0.16144404,-0.065219104,-0.17258121,-0.38347432,0.67983043,-0.04301151,0.039096016,-0.5243976,-0.47385722,-0.17848194,0.091446206,-0.10272443,-0.16392021,-0.28798902,-0.10430648,-0.13369994,-0.05221101,0.17178231,-0.13104095,0.4394913,-0.17408647,0.07969928,-0.7061772,0.97747236,-0.13498159,-0.28078485,-0.2412562,-0.06331775,-0.042923182,-0.11591449,8.518911,-0.56189233,0.06226441,-0.061702468,0
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,0.06073366,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,0.15347788,1.8418019,29.499832,-0.071920976,-0.062246185,-0.041330405,-0.111611575,-0.06825314,0.37477794,-0.048288155,-0.059162382,-0.052082743,-0.06940588,2.6728935,0.4566232,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,0.29620782,-0.09600338,-0.12899014,-0.19387476,-0.14094758,-0.11980957,-0.23341642,-0.09939945,0.95111585,0.7580945,-0.06859739,0.08233936,-0.07638114,-0.08846551,-0.08561648,-0.091064334,-0.1181239,0.034532215,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,-0.24486835,-0.01587116,-0.078748696,-0.16757363,-0.13944355,0.2388579,-0.5359244,-0.16144404,-0.065219104,-0.17258121,0.055417646,0.0070302887,-0.04301151,0.55128664,0.3119382,-1.3696066,-0.17848194,1.1054577,-0.10272443,-0.16392021,-0.28798902,-0.10430648,-0.13369994,-0.05221101,3.515751,-0.13104095,0.46105212,-0.17408647,0.3940911,-1.2454973,0.2741783,-0.13498159,-0.28078485,-0.19583395,-0.06331775,-0.042923182,-0.013189812,-0.15536214,0.41638765,0.12568556,-0.061702468,0
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,-0.3852079,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,-0.8805329,-0.4224554,-0.06925289,-0.071920976,-0.062246185,-0.041330405,7.1797347,-0.06825314,-0.50137776,-0.048288155,-0.059162382,-0.052082743,-0.06940588,-0.21529208,-0.23226331,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,-0.64196527,1.5840603,-0.12899014,-0.19387476,-0.14094758,-0.11980957,-0.23341642,-0.09939945,-1.1281862,1.5819958,-0.06859739,-0.42046073,-0.07638114,-0.08846551,-0.08561648,-0.42714083,-0.1181239,2.0477738,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,-0.51225424,-0.31883085,-0.078748696,-0.16757363,-0.13944355,-0.4069389,-0.87850255,-0.16144404,-0.065219104,-0.17258121,-0.36454064,-0.19496064,-0.04301151,-0.46988893,-0.7738797,-0.71990484,-0.17848194,-0.5005798,-0.10272443,-0.16392021,1.5831431,-0.10430648,-0.13369994,-0.05221101,0.3975702,-0.13104095,-0.71577716,-0.17408647,-0.5546305,-1.6775727,1.310141,-0.13498159,1.0200676,-0.2963872,-0.06331775,-0.042923182,-0.925521,-0.15536214,-0.78958595,-0.52993363,-0.061702468,0
-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.035875507,0.11527684,-0.05562216,-0.067629814,-0.07355285,-0.042500064,-0.04756436,-0.40429112,0.07120265,-0.06925289,-0.071920976,-0.062246185,-0.041330405,-0.27726114,-0.06825314,0.06900399,-0.048288155,-0.059162382,-0.052082743,-0.06940588,-0.21529208,-0.3220667,-0.06427042,-0.050053358,-0.069542356,-0.09467098,-0.09391567,-0.06418999,-0.089100406,-0.08408102,0.08937116,-0.16946301,-0.12899014,-0.19387476,-0.14094758,-0.11980957,-0.23341642,-0.09939945,0.088451184,0.59401083,-0.06859739,-0.26397792,-0.07638114,-0.08846551,-0.08561648,-0.24422622,-0.1181239,0.2404093,-0.078358516,-0.16218084,-0.09654722,-0.0583981,-0.07885677,0.82808924,0.15740822,-0.078748696,-0.16757363,-0.13944355,0.0097025465,-0.8281224,-0.16144404,-0.065219104,-0.17258121,-0.08736112,-0.036073618,-0.04301151,0.34494266,0.11543739,-0.5127093,-0.17848194,-0.1955358,-0.10272443,-0.16392021,-0.28798902,-0.10430648,-0.13369994,-0.05221101,-0.6719743,-0.13104095,-0.3320806,-0.17408647,0.44636303,-0.2987789,-0.33433807,-0.13498159,-0.28078485,-0.055020314,-0.06331775,-0.042923182,-0.5141812,-0.15536214,-0.27552292,-0.2501635,-0.061702468,0
