rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_DEFB121,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_RBMY1A1,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_TSPY2,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_TAAR6,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_LCE3C,methylation_gene__GENE_MAP3K9,rnaseq_gene__GENE_KRTAP19-6,rnaseq_gene__GENE_DEFB129,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_DEFB104A,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_GSC2,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_LCN9,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_SRY,rnaseq_gene__GENE_HES3,methylation_gene__GENE_VEGFB,rnaseq_gene__GENE_OR5A1,rnaseq_gene__GENE_TMIGD1,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_DAZ1,rnaseq_gene__GENE_PAGE3,methylation_gene__GENE_ATP5S;L2HGDH,rnaseq_gene__GENE_NKX6-2,rnaseq_gene__GENE_ZNF735,rnaseq_gene__GENE_SNORA69,rnaseq_gene__GENE_PRDM14,methylation_gene__GENE_LRRC20,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_CABP2,methylation_gene__GENE_SKIL,methylation_gene__GENE_UNC84B,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_CYP51A1,rnaseq_gene__GENE_OR2T27,rnaseq_gene__GENE_NPBWR2,methylation_gene__GENE_QTRT1,rnaseq_gene__GENE_TMEM207,methylation_gene__GENE_CNIH,methylation_gene__GENE_TRIB3,methylation_gene__GENE_ZNF619,methylation_gene__GENE_ITPA,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_MRGPRG,rnaseq_gene__GENE_LIM2,rnaseq_gene__GENE_PRAMEF22,methylation_gene__GENE_DCI,methylation_gene__GENE_FGFRL1,rnaseq_gene__GENE_KRTAP10-1,rnaseq_gene__GENE_RTP1,methylation_gene__GENE_DDX60,methylation_gene__GENE_LPCAT1,methylation_gene__GENE_ZNF160,methylation_gene__GENE_DUSP4,methylation_gene__GENE_NSUN5,rnaseq_gene__GENE_TGM6,rnaseq_gene__GENE_TSPY1,methylation_gene__GENE_NKIRAS2;DNAJC7,rnaseq_gene__GENE_OR10T2,methylation_gene__GENE_RCBTB2,methylation_gene__GENE_KTELC1,rnaseq_gene__GENE_RPS4Y2,rnaseq_gene__GENE_TBC1D28,methylation_gene__GENE_GMFB,methylation_gene__GENE_ZNF345,rnaseq_gene__GENE_TMEM225,rnaseq_gene__GENE_OR9I1,methylation_gene__GENE_DDX56,methylation_gene__GENE_CGRRF1,methylation_gene__GENE_OBFC2A,rnaseq_gene__GENE_FABP9,methylation_gene__GENE_FAM59A,rnaseq_gene__GENE_DEFB108B,target
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.0679732,0.23093128,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,0.7585861,-0.08606776,-0.062246185,0.57670254,-0.041330405,-0.06825314,0.043400798,-0.048288155,-0.083192356,-0.05877857,-0.41032338,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,-0.17079495,-0.09926551,-0.13838363,0.07336908,-0.08408102,-0.066061795,0.9158221,-0.09467098,-0.09391567,-0.08561648,-0.19387476,0.4131752,-0.09939945,-0.07587367,0.7472554,0.52809095,0.32707933,0.31500235,-0.050521668,23.692472,0.092756815,-0.11980957,0.58171415,-0.03337716,-0.093438834,0.33710602,-0.078358516,-0.04293071,-0.23341642,-0.11066106,0.22217868,0.25357172,8.4414625,-0.4345085,0.06378626,0.15716496,0.40766037,0.18946539,0.35242248,-0.079487145,6.0857224,-0.19255161,-0.065219104,0.011206888,0.63478726,-0.04301151,-0.16144404,1.7465876,0.25208822,-0.051617455,-0.084201984,0.02971419,-0.091874555,0.15733336,-0.14199477,-0.35880718,-0.05221101,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.0679732,-0.035036173,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,-0.14113313,-0.08606776,-0.062246185,0.2569746,-0.041330405,-0.06825314,0.49041125,-0.048288155,-0.083192356,-0.05877857,0.15346035,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,-0.18246691,4.4264455,-0.13838363,-0.32059684,-0.08408102,-0.066061795,0.05212484,-0.09467098,-0.09391567,-0.08561648,-0.19387476,-0.1851329,-0.09939945,-0.07587367,0.4385283,-0.41376457,0.63045555,0.2938332,-0.050521668,-0.08846551,0.6938821,-0.11980957,0.044528294,0.1348818,0.30465758,-0.005793088,-0.078358516,-0.04293071,-0.23341642,-0.11066106,0.46784836,-0.09555266,-0.13944355,-0.4345085,-0.23058671,-0.08353435,0.022995586,-0.02096244,0.66948795,-0.079487145,-0.061940223,0.22070405,-0.065219104,3.4615011,-0.37059265,-0.04301151,-0.16144404,-0.037170887,0.7001832,-0.051617455,-0.084201984,-0.059177678,-0.08321391,-0.38877615,-0.14199477,0.07447323,22.436857,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,13.4373045,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,29.66682,-0.4062858,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,-0.04141815,-0.08606776,-0.062246185,-0.30798945,-0.041330405,-0.06825314,-0.5374824,-0.048288155,-0.083192356,19.78605,-0.6014492,-0.059162382,-0.071920976,-0.14370757,-0.06418999,11.295503,-0.33989236,-0.09926551,-0.13838363,-0.6882903,-0.08408102,-0.066061795,-0.970754,1.5501657,-0.09391567,-0.08561648,1.4741709,-0.39638203,-0.09939945,-0.07587367,-0.28729084,-0.8629122,-0.22629943,-0.17207763,-0.050521668,-0.08846551,-0.31691542,-0.11980957,-0.18355137,-0.17073378,-0.055531196,1.2722404,-0.078358516,24.622232,-0.23341642,-0.11066106,-0.7196318,-0.69064844,-0.13944355,13.414578,-0.5116709,-0.12416397,-0.26926696,0.40575242,-0.30510747,23.561584,-0.061940223,-0.11098085,-0.065219104,0.46075478,-0.18614367,-0.04301151,-0.16144404,-0.2609601,0.112489134,-0.051617455,-0.084201984,-1.2000393,-0.30302137,-0.25379142,-0.14199477,-0.9400305,-0.05221101,1
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.0679732,-0.52044886,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,-0.42164096,-0.08606776,-0.062246185,-0.3648553,-0.041330405,-0.06825314,-0.41058275,-0.048288155,-0.083192356,-0.05877857,-0.02344199,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,-0.45827174,-0.09926551,-0.13838363,-0.28991085,-0.08408102,-0.066061795,-0.38611126,-0.09467098,-0.09391567,-0.08561648,-0.19387476,-0.008786143,-0.09939945,-0.07587367,-0.77329755,-1.1152893,-0.2035684,-0.11618164,-0.050521668,-0.08846551,-0.24829736,-0.11980957,0.071725115,-0.23495351,-0.08480112,-0.70183337,-0.078358516,-0.04293071,-0.23341642,-0.11066106,-0.3187792,-0.27049574,-0.13944355,-0.4345085,-0.0915874,-0.29508233,-0.18157369,-0.3292429,-0.3817342,-0.079487145,-0.061940223,-0.52921176,-0.065219104,-0.03581134,-0.2995729,-0.04301151,-0.16144404,-0.5501613,0.14440846,-0.051617455,-0.084201984,-0.3866297,-0.14690706,-0.22130021,-0.14199477,-0.7292269,-0.05221101,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.0679732,-0.667513,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,-0.12523481,-0.08606776,-0.062246185,-0.37810174,-0.041330405,-0.06825314,-0.5281125,-0.048288155,-0.083192356,-0.05877857,-0.21392961,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,-0.5688526,-0.09926551,-0.13838363,-0.41722843,-0.08408102,-0.066061795,-0.0794803,-0.09467098,-0.09391567,-0.08561648,-0.19387476,-0.17775714,-0.09939945,-0.07587367,-0.6036509,-0.1900007,-0.23640743,-0.25319222,-0.050521668,-0.08846551,-0.17959459,-0.11980957,-0.5922564,-0.2783788,-0.18793975,-0.12336554,-0.078358516,-0.04293071,-0.23341642,-0.11066106,-0.20575269,-0.8818198,-0.13944355,-0.4345085,-0.20194449,-0.1322655,-0.30890614,-0.6273908,-0.19320671,-0.079487145,-0.061940223,-0.2365325,-0.065219104,-0.072894886,-0.28397837,-0.04301151,-0.16144404,0.53511435,0.35282114,-0.051617455,-0.084201984,1.9976261,0.029229257,0.22866291,-0.14199477,-0.48527232,-0.05221101,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,2.4205613,-0.067629814,-0.0679732,0.31953079,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,-0.16323148,-0.08606776,-0.062246185,0.04559499,-0.041330405,-0.06825314,0.014584921,-0.048288155,-0.083192356,-0.05877857,-0.0016824864,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,-0.12455251,-0.09926551,-0.13838363,-0.0915964,-0.08408102,-0.066061795,-0.019060967,-0.09467098,-0.09391567,-0.08561648,-0.19387476,-0.012360114,-0.09939945,-0.07587367,-0.5455208,0.26779065,-0.23678796,-0.07095375,-0.050521668,-0.08846551,-0.1974051,-0.11980957,0.08248183,0.08121111,-0.1536663,-0.5581085,-0.078358516,-0.04293071,-0.23341642,-0.11066106,-0.093274154,0.34717897,-0.13944355,-0.4345085,-0.2394582,0.17995232,-0.05654225,0.26853207,-0.07183568,-0.079487145,-0.061940223,-0.44986552,-0.065219104,0.07560564,-0.18377839,-0.04301151,1.6085913,-0.39991117,-0.6216566,-0.051617455,-0.084201984,-0.38915822,-0.4223809,-0.116165034,-0.14199477,-0.05303686,-0.05221101,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.0679732,0.020665038,-0.061702468,-0.050053358,-0.09654722,-0.07234395,29.499832,-0.39314377,-0.08606776,-0.062246185,0.639818,-0.041330405,-0.06825314,0.37477794,-0.048288155,-0.083192356,-0.05877857,0.5055419,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,-0.09600338,-0.09926551,-0.13838363,-0.111611575,-0.08408102,-0.066061795,0.40849096,-0.09467098,-0.09391567,-0.08561648,-0.19387476,0.12295465,-0.09939945,-0.07587367,2.735388,0.7580945,0.10422674,0.33931962,-0.050521668,-0.08846551,-0.29699066,-0.11980957,0.05843391,0.2388579,0.09297218,-0.25537145,-0.078358516,-0.04293071,-0.23341642,-0.11066106,0.44753098,1.2515523,-0.13944355,-0.4345085,0.18567379,-0.01587116,0.19432314,-0.24486835,-0.055667236,-0.079487145,-0.061940223,0.39399883,-0.065219104,0.0070302887,0.07971462,-0.04301151,-0.16144404,0.5682066,3.515751,-0.051617455,-0.084201984,1.9909028,0.83615386,0.23667748,-0.14199477,-0.009096782,-0.05221101,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.0679732,0.5869054,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,-0.33878514,-0.08606776,-0.062246185,-0.19231333,-0.041330405,-0.06825314,-0.11547741,-0.048288155,-0.083192356,-0.05877857,-0.30329698,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,-0.10388707,-0.09926551,-0.13838363,-0.14172249,-0.08408102,-0.066061795,-0.45004946,-0.09467098,-0.09391567,-0.08561648,-0.19387476,-0.22907917,4.320285,-0.07587367,0.3873884,-0.37266234,-0.15942761,0.059908167,-0.050521668,-0.08846551,-0.12025947,-0.11980957,0.11042936,-0.08953954,-0.20231354,-0.62407154,-0.078358516,-0.04293071,-0.23341642,-0.11066106,-0.27926168,-0.64491737,-0.13944355,0.41622394,-0.3347642,-0.015928619,-0.17353417,-0.18931454,-0.025430227,-0.079487145,-0.061940223,-0.41870794,-0.065219104,-0.13673162,0.06421481,-0.04301151,-0.16144404,-0.33259013,-0.3032711,-0.051617455,-0.084201984,-0.8038559,-0.422621,-0.31526262,-0.14199477,-0.028849423,-0.05221101,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.0679732,-0.44447336,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,-0.6482932,-0.08606776,-0.062246185,-0.21860923,-0.041330405,-0.06825314,-0.50137776,-0.048288155,-0.083192356,-0.05877857,0.17565227,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,1.5840603,-0.09926551,-0.13838363,7.1797347,-0.08408102,-0.066061795,0.2170256,-0.09467098,-0.09391567,-0.08561648,-0.19387476,-0.37438908,-0.09939945,-0.07587367,-1.0589294,1.5819958,-0.14184256,-0.20483275,-0.050521668,-0.08846551,-0.2507075,-0.11980957,-0.5927945,-0.4069389,-0.1663969,-0.75567347,-0.078358516,-0.04293071,-0.23341642,-0.11066106,-0.5253344,0.1864138,-0.13944355,0.3558605,-0.17915781,-0.31883085,-0.22905418,-0.51225424,-0.33091405,-0.079487145,-0.061940223,-0.08284344,-0.065219104,-0.19496064,-0.26223677,-0.04301151,-0.16144404,-0.9162875,0.3975702,-0.051617455,-0.084201984,-0.41542003,-0.47709414,0.05680278,-0.14199477,-0.5984772,-0.05221101,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.0679732,0.40087995,-0.061702468,-0.050053358,-0.09654722,-0.07234395,-0.06925289,-0.087109365,-0.08606776,-0.062246185,-0.06788468,-0.041330405,-0.06825314,0.113067225,-0.048288155,-0.083192356,-0.05877857,0.7437531,-0.059162382,-0.071920976,-0.14370757,-0.06418999,-0.089100406,0.64257884,-0.09926551,-0.13838363,-0.41135514,-0.08408102,-0.066061795,-0.29295343,-0.09467098,-0.09391567,-0.08561648,-0.19387476,0.12157805,-0.09939945,-0.07587367,0.35898903,0.21382837,0.19111574,-0.16469687,-0.050521668,-0.08846551,-0.1990654,-0.11980957,0.1404174,-0.08621708,-0.2753441,-0.18988265,-0.078358516,-0.04293071,-0.23341642,6.467453,0.11984554,0.19030046,10.587373,-0.4345085,-0.2540338,0.07582949,-0.08925558,0.38182968,-0.048272092,-0.079487145,-0.061940223,-0.10705649,-0.065219104,0.06286933,-0.249677,-0.04301151,-0.16144404,-0.45263144,-0.6370673,-0.051617455,-0.084201984,0.04166076,-0.17226268,-0.12864669,-0.14199477,0.18120098,-0.05221101,0
