rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_RBMY1A1,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_OR4A15,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_TSPY2,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_PRAMEF18,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_KRTAP19-6,rnaseq_gene__GENE_DEFB129,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_DEFB104A,methylation_gene__GENE_SCRIB,methylation_gene__GENE_ENO2,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_SRY,rnaseq_gene__GENE_OR5A1,rnaseq_gene__GENE_P2RX6P,rnaseq_gene__GENE_FAM99A,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_FRY,rnaseq_gene__GENE_DAZ1,rnaseq_gene__GENE_PAGE3,methylation_gene__GENE_NAT14,rnaseq_gene__GENE_PRDM14,methylation_gene__GENE_VEGFB,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_SNAR-C4,methylation_gene__GENE_GMCL1,methylation_gene__GENE_LRRC20,methylation_gene__GENE_MDK,rnaseq_gene__GENE_NKX6-2,methylation_gene__GENE_CYP51A1,methylation_gene__GENE_DCTN3,rnaseq_gene__GENE_IAPP,rnaseq_gene__GENE_MOS,methylation_gene__GENE_UNC84B,rnaseq_gene__GENE_TMEM207,methylation_gene__GENE_TPP1,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_SKIL,methylation_gene__GENE_QTRT1,methylation_gene__GENE_CNIH,rnaseq_gene__GENE_OR7G2,methylation_gene__GENE_ITPA,methylation_gene__GENE_ZNF619,methylation_gene__GENE_TRIB3,methylation_gene__GENE_NKIRAS2;DNAJC7,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_MRGPRG,methylation_gene__GENE_DCI,rnaseq_gene__GENE_OR6C4,methylation_gene__GENE_NSUN5,methylation_gene__GENE_FGFRL1,rnaseq_gene__GENE_PRAMEF22,rnaseq_gene__GENE_TGM6,rnaseq_gene__GENE_DKFZP434L192,methylation_gene__GENE_ZNF160,methylation_gene__GENE_GMFB,rnaseq_gene__GENE_LYZL6,rnaseq_gene__GENE_KRTAP11-1,methylation_gene__GENE_AP2B1,methylation_gene__GENE_DUSP4,methylation_gene__GENE_FGF22,rnaseq_gene__GENE_OR10T2,methylation_gene__GENE_RCBTB2,methylation_gene__GENE_RUNDC2A,methylation_gene__GENE_KTELC1,rnaseq_gene__GENE_CABP2,methylation_gene__GENE_CGRRF1,rnaseq_gene__GENE_RPS4Y2,rnaseq_gene__GENE_OR9I1,methylation_gene__GENE_SART3,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.042500064,-0.0679732,-0.035036173,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.14113313,0.2569746,0.7476855,-0.083192356,-0.041330405,-0.06825314,-0.14370757,0.49041125,-0.06940588,-0.048288155,0.15346035,-0.32059684,-0.15192229,-0.071920976,-0.06418999,4.4264455,-0.052082743,-0.069542356,-0.21529208,0.6557903,-0.08408102,-0.066061795,-0.0035445255,-0.19387476,-0.18246691,0.05212484,0.54176915,-0.06427042,-0.050053358,0.34237644,-0.1851329,-0.11937862,-0.09467098,0.2938332,0.08976974,-0.14094758,-0.09939945,-0.41376457,-0.11980957,0.025402108,0.63045555,0.4385283,0.6938821,0.044528294,-0.06859739,-0.005793088,0.30465758,0.1348818,0.22070405,-0.078358516,-0.04293071,0.46784836,-0.0583981,0.66948795,-0.09555266,-0.11066106,-0.079487145,-0.16218084,0.022995586,-0.037170887,-0.10483764,-0.15536214,0.41158846,-0.02096244,-0.12388846,-0.065219104,3.4615011,0.9439678,-0.37059265,-0.07587367,-0.08321391,-0.04301151,-0.084201984,-0.38165906,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,13.4373045,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.042500064,29.66682,-0.4062858,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.04141815,-0.30798945,-0.032206632,-0.083192356,-0.041330405,-0.06825314,-0.14370757,-0.5374824,6.499733,-0.048288155,-0.6014492,-0.6882903,0.23902906,-0.071920976,-0.06418999,-0.09926551,-0.052082743,-0.069542356,-0.21529208,-0.41832557,-0.08408102,-0.066061795,-0.21582314,1.4741709,-0.33989236,-0.970754,0.48221505,-0.06427042,-0.050053358,-0.47632927,-0.39638203,-0.285212,1.5501657,-0.17207763,19.838295,-0.14094758,-0.09939945,-0.8629122,-0.11980957,-0.42391214,-0.22629943,-0.28729084,-0.31691542,-0.18355137,-0.06859739,1.2722404,-0.055531196,-0.17073378,-0.11098085,-0.078358516,24.622232,-0.7196318,-0.0583981,-0.30510747,-0.69064844,-0.11066106,23.561584,-0.16218084,-0.26926696,-0.2609601,-0.10483764,-0.15536214,0.43329453,0.40575242,0.05730465,-0.065219104,0.46075478,1.1500554,-0.18614367,-0.07587367,-0.30302137,-0.04301151,-0.084201984,0.46088958,1
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.042500064,-0.0679732,0.12011606,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.1266541,0.20228925,-0.016315434,-0.083192356,-0.041330405,-0.06825314,-0.14370757,-0.33585742,-0.06940588,-0.048288155,0.61090565,0.35366178,-0.30572116,-0.071920976,-0.06418999,-0.09926551,-0.052082743,-0.069542356,2.589988,-0.1538763,-0.08408102,-0.066061795,-0.23018494,-0.19387476,-0.15632717,-0.061688613,-0.037392955,-0.06427042,-0.050053358,0.05669328,-0.06186747,-0.027386734,-0.09467098,-0.18359837,-0.29779166,1.4871397,-0.09939945,-0.0408568,-0.11980957,0.06663842,-0.06348308,-0.15905763,-0.20841007,0.069383554,-0.06859739,0.40266174,-0.057213724,0.21334267,-0.4268463,-0.078358516,-0.04293071,0.02144555,-0.0583981,-0.29192448,0.6553717,-0.11066106,-0.079487145,-0.16218084,-0.1419233,-0.4069285,-0.10483764,-0.15536214,-0.4840482,0.5499593,0.066622846,-0.065219104,0.34665728,-0.33973792,-0.21149805,-0.07587367,-0.45547584,-0.04301151,-0.084201984,0.21971548,1
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.042500064,-0.0679732,0.17854363,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.07377817,0.039493494,-0.26756728,-0.083192356,-0.041330405,-0.06825314,-0.14370757,-0.011934135,-0.06940588,-0.048288155,0.58261806,-0.2708802,-0.06961542,-0.071920976,-0.06418999,-0.09926551,-0.052082743,-0.069542356,-0.21529208,16.977419,-0.08408102,-0.066061795,-0.006983331,-0.19387476,0.23164392,4.849765e-05,10.229894,-0.06427042,-0.050053358,-0.003098298,0.035564743,0.054466035,-0.09467098,-0.09363314,-0.030138152,-0.14094758,-0.09939945,0.28809008,-0.11980957,-0.3469324,-0.092039905,-0.018064536,-0.08217289,0.11994856,-0.06859739,-0.22887963,-0.05531286,0.26360202,-0.42125672,-0.078358516,-0.04293071,0.045835294,-0.0583981,-0.119938105,0.77474105,-0.11066106,-0.079487145,-0.16218084,-0.078271024,-0.41686648,-0.10483764,-0.15536214,-0.39905912,0.41167986,-0.053934734,-0.065219104,0.102243006,0.12752722,-0.15528233,-0.07587367,-0.4307937,-0.04301151,-0.084201984,0.15121952,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,2.4205613,-0.067629814,-0.042500064,-0.0679732,0.31953079,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.16323148,0.04559499,-0.24715324,-0.083192356,-0.041330405,-0.06825314,-0.14370757,0.014584921,-0.06940588,-0.048288155,-0.0016824864,-0.0915964,-0.10377448,-0.071920976,-0.06418999,-0.09926551,-0.052082743,-0.069542356,0.96102065,-0.28886914,-0.08408102,-0.066061795,-0.1962994,-0.19387476,-0.12455251,-0.019060967,-0.09964505,-0.06427042,-0.050053358,-0.10176468,-0.012360114,-0.07547015,-0.09467098,-0.07095375,-0.05973935,-0.14094758,-0.09939945,0.26779065,-0.11980957,-0.19000192,-0.23678796,-0.5455208,-0.1974051,0.08248183,-0.06859739,-0.5581085,-0.1536663,0.08121111,-0.44986552,-0.078358516,-0.04293071,-0.093274154,-0.0583981,-0.07183568,0.34717897,-0.11066106,-0.079487145,-0.16218084,-0.05654225,-0.39991117,-0.10483764,-0.15536214,-0.42354706,0.26853207,-0.1021246,-0.065219104,0.07560564,-0.557214,-0.18377839,-0.07587367,-0.4223809,-0.04301151,-0.084201984,-0.054238815,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.042500064,-0.0679732,-0.4240292,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.16216893,-0.2161776,-0.72791964,-0.083192356,-0.041330405,-0.06825314,-0.14370757,-0.6799201,-0.06940588,-0.048288155,-0.42612198,-0.7740745,-0.00013214204,-0.071920976,-0.06418999,-0.09926551,-0.052082743,-0.069542356,-0.21529208,-0.18761054,-0.08408102,-0.066061795,-0.40690157,-0.19387476,-0.45241278,0.12013544,0.02774375,-0.06427042,-0.050053358,-0.5615083,0.017150274,-0.38347432,-0.09467098,0.14450017,-0.021249246,-0.14094758,-0.09939945,0.56129915,-0.11980957,0.16948433,0.041524988,0.85466564,-0.3880481,0.2896576,1.8795662,-0.7447274,-0.056578893,-0.1217616,-0.87556803,-0.078358516,-0.04293071,-0.19530241,-0.0583981,-0.45745367,0.9276684,-0.11066106,-0.079487145,-0.16218084,0.30988386,0.84673846,-0.10483764,8.518911,-0.47385722,0.7317149,-0.07439853,-0.065219104,0.67983043,1.7105508,-0.28512245,-0.07587367,0.4090424,-0.04301151,-0.084201984,0.17392717,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.042500064,-0.0679732,0.5869054,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.33878514,-0.19231333,0.2807133,-0.083192356,-0.041330405,-0.06825314,-0.14370757,-0.11547741,-0.06940588,-0.048288155,-0.30329698,-0.14172249,-0.26215294,-0.071920976,-0.06418999,-0.09926551,-0.052082743,-0.069542356,-0.21529208,-0.02198543,-0.08408102,-0.066061795,0.2693744,-0.19387476,-0.10388707,-0.45004946,-0.006336753,-0.06427042,-0.050053358,-0.28660023,-0.22907917,0.008765843,-0.09467098,0.059908167,-0.2715606,-0.14094758,4.320285,-0.37266234,-0.11980957,-0.11678503,-0.15942761,0.3873884,-0.12025947,0.11042936,-0.06859739,-0.62407154,-0.20231354,-0.08953954,-0.41870794,-0.078358516,-0.04293071,-0.27926168,-0.0583981,-0.025430227,-0.64491737,-0.11066106,-0.079487145,-0.16218084,-0.17353417,-0.33259013,-0.10483764,-0.15536214,1.1541361,-0.18931454,-0.10479945,-0.065219104,-0.13673162,0.4893828,0.06421481,-0.07587367,-0.422621,-0.04301151,-0.084201984,-0.43027908,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.042500064,-0.0679732,0.37145784,-0.061702468,2.6616113,-0.09654722,5.717438,-0.15689152,-0.06892276,-0.2745591,-0.083192356,-0.041330405,-0.06825314,-0.14370757,-0.019686019,-0.06940588,-0.048288155,0.49732104,0.14294401,19.522757,-0.071920976,-0.06418999,-0.09926551,-0.052082743,-0.069542356,-0.21529208,0.0053541134,-0.08408102,-0.066061795,-0.06739922,-0.19387476,0.7058375,0.054476775,0.020923164,-0.06427042,-0.050053358,0.1411506,0.07321998,-0.027187752,-0.09467098,-0.16648886,12.7811775,-0.14094758,-0.09939945,0.09449424,-0.11980957,-0.30928355,0.024911541,-0.359619,-0.09881759,-0.035289913,-0.06859739,0.47417513,-0.03998788,-0.057090644,-0.50386804,-0.078358516,-0.04293071,0.1348535,-0.0583981,-0.08120737,0.54194987,-0.11066106,-0.079487145,-0.16218084,-0.036366597,-0.24663563,-0.10483764,-0.15536214,-0.44104022,0.086566135,5.4955225,-0.065219104,0.20117368,-1.1711066,-0.19640131,-0.07587367,-0.489619,-0.04301151,-0.084201984,0.19300161,1
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400893,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07355285,-0.067629814,-0.042500064,-0.0679732,0.12004117,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.15487866,-0.022485027,-0.40429112,-0.083192356,-0.041330405,-0.06825314,-0.14370757,0.06900399,-0.06940588,-0.048288155,0.52590865,-0.27726114,-0.16705619,-0.071920976,-0.06418999,-0.09926551,-0.052082743,-0.069542356,-0.21529208,-0.24422622,-0.08408102,-0.066061795,0.06767179,-0.19387476,-0.16946301,-0.016926873,-0.3220667,-0.06427042,-0.050053358,0.08937116,0.06750668,-0.08736112,-0.09467098,-0.1736232,-0.16257346,-0.14094758,-0.09939945,0.59401083,-0.11980957,-0.26397792,-0.03734598,-0.107541315,-0.28232476,-0.29818755,-0.06859739,-0.13265978,-0.12753914,0.0097025465,-0.5130317,-0.078358516,-0.04293071,-0.025728706,-0.0583981,-0.21465768,0.34032065,-0.11066106,-0.079487145,-0.16218084,-0.0529301,-0.41982365,-0.10483764,-0.15536214,-0.5127093,0.82808924,-0.14254737,-0.065219104,-0.036073618,-0.8281224,-0.20484722,-0.07587367,-0.12918255,-0.04301151,-0.084201984,0.11168946,0
