rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_DEFB121,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_RBMY1A1,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_TSPY3,methylation_gene__GENE_GPI,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_TSPY2,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_TAAR6,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_DEFB104A,rnaseq_gene__GENE_GSC2,rnaseq_gene__GENE_ONECUT3,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_SRY,rnaseq_gene__GENE_OR5A1,rnaseq_gene__GENE_DAZ1,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_ATP5S;L2HGDH,rnaseq_gene__GENE_ZNF735,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_OR4A5,methylation_gene__GENE_NAT14,rnaseq_gene__GENE_FAM99A,methylation_gene__GENE_GMCL1,methylation_gene__GENE_LRRC20,rnaseq_gene__GENE_NKX6-2,methylation_gene__GENE_CYP51A1,methylation_gene__GENE_DCTN3,methylation_gene__GENE_UNC84B,rnaseq_gene__GENE_CABP2,methylation_gene__GENE_SKIL,methylation_gene__GENE_AKT1,methylation_gene__GENE_CNIH,rnaseq_gene__GENE_LINC00635,methylation_gene__GENE_QTRT1,methylation_gene__GENE_ZNF619,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_ADAM7,methylation_gene__GENE_ITPA,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_SNORA69,rnaseq_gene__GENE_LIM2,rnaseq_gene__GENE_FOXB2,rnaseq_gene__GENE_MRGPRG,methylation_gene__GENE_FGFRL1,rnaseq_gene__GENE_PRAMEF22,rnaseq_gene__GENE_OR6C4,rnaseq_gene__GENE_OR8B4,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_NKIRAS2;DNAJC7,rnaseq_gene__GENE_RAG2,rnaseq_gene__GENE_OR5T3,rnaseq_gene__GENE_TGM6,rnaseq_gene__GENE_KRTAP11-1,methylation_gene__GENE_LPCAT1,methylation_gene__GENE_DUSP4,methylation_gene__GENE_NSUN5,rnaseq_gene__GENE_TSPY1,methylation_gene__GENE_RUNDC2A,methylation_gene__GENE_AMDHD2,rnaseq_gene__GENE_TBC1D28,methylation_gene__GENE_RCBTB2,methylation_gene__GENE_KTELC1,methylation_gene__GENE_GMFB,rnaseq_gene__GENE_FABP9,rnaseq_gene__GENE_RPS4Y2,rnaseq_gene__GENE_SNAR-B2,methylation_gene__GENE_CGRRF1,rnaseq_gene__GENE_OR9I1,methylation_gene__GENE_UBE3C,rnaseq_gene__GENE_FAM194B,methylation_gene__GENE_FAM59A,methylation_gene__GENE_KBTBD7,methylation_gene__GENE_OBFC2A,rnaseq_gene__GENE_NPPB,rnaseq_gene__GENE_DEFB108B,methylation_gene__GENE_RTDR1,rnaseq_gene__GENE_SPACA1,methylation_gene__GENE_RBP5;CLSTN3,methylation_gene__GENE_MYLIP,target
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,0.20043744,-0.067629814,-0.042500064,0.23093128,-0.0679732,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.06925289,0.57670254,0.59649277,-0.083192356,-0.14370757,0.043400798,-0.048288155,-0.05877857,-0.071920976,-0.11021341,-0.06418999,-0.09926551,-0.08408102,-0.21529208,0.9158221,-0.09391567,-0.19387476,-0.06427042,-0.34909916,-0.069542356,1.1340773,0.4131752,-0.09467098,0.31500235,0.27439588,0.52809095,-0.07587367,0.7472554,0.6670757,0.58171415,-0.18354331,0.092756815,-0.093438834,23.692472,-0.1181239,0.33710602,-0.09939945,-0.08561648,-0.23341642,-0.12846951,-0.04293071,0.25357172,-0.11066106,-0.0583981,-0.078787245,0.32707933,-0.19255161,1.1611284,-0.07885677,-0.079487145,-0.15536214,0.15716496,0.18946539,0.35242248,6.0857224,1.502535,0.82299024,-0.16144404,0.011206888,0.63478726,1.7465876,-0.14199477,-0.04301151,-0.13498159,-0.091874555,-0.084201984,0.4850662,-0.12620853,-0.35880718,0.11190159,0.15733336,-0.23330294,-0.05221101,-0.25904244,-0.10053951,-0.27694494,0.65850085,0
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,0.18294889,-0.067629814,-0.042500064,-0.035036173,-0.0679732,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.06925289,0.2569746,0.7476855,-0.083192356,-0.14370757,0.49041125,-0.048288155,-0.05877857,-0.071920976,-0.15192229,-0.06418999,4.4264455,-0.08408102,-0.21529208,0.05212484,-0.09391567,-0.19387476,-0.06427042,-0.0035445255,-0.069542356,0.34237644,-0.1851329,-0.09467098,0.2938332,0.08976974,-0.41376457,-0.07587367,0.4385283,-0.20129359,0.044528294,-0.18354331,0.6938821,0.30465758,-0.08846551,-0.1181239,-0.005793088,-0.09939945,-0.08561648,-0.23341642,-0.12846951,-0.04293071,-0.09555266,-0.11066106,-0.0583981,-0.078787245,0.63045555,0.22070405,-0.18899952,-0.07885677,-0.079487145,-0.15536214,-0.08353435,-0.02096244,0.66948795,-0.061940223,0.9439678,1.0373288,-0.16144404,3.4615011,-0.37059265,-0.037170887,-0.14199477,-0.04301151,4.0270185,-0.08321391,-0.084201984,-0.023684492,-0.12620853,0.07447323,0.108467914,-0.38877615,-0.23330294,22.436857,0.14173147,5.9350004,0.107172646,-0.22121061,0
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,13.4373045,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.16173632,-0.067629814,-0.042500064,-0.4062858,29.66682,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.06925289,-0.30798945,-0.032206632,-0.083192356,-0.14370757,-0.5374824,-0.048288155,19.78605,-0.071920976,0.23902906,-0.06418999,-0.09926551,-0.08408102,-0.21529208,-0.970754,-0.09391567,1.4741709,-0.06427042,-0.21582314,-0.069542356,-0.47632927,-0.39638203,1.5501657,-0.17207763,19.838295,-0.8629122,-0.07587367,-0.28729084,0.7038841,-0.18355137,-0.18354331,-0.31691542,-0.055531196,-0.08846551,-0.1181239,1.2722404,-0.09939945,-0.08561648,-0.23341642,12.407528,24.622232,-0.69064844,-0.11066106,-0.0583981,-0.078787245,-0.22629943,-0.11098085,-0.18899952,-0.07885677,23.561584,-0.15536214,-0.12416397,0.40575242,-0.30510747,-0.061940223,1.1500554,-0.2949834,-0.16144404,0.46075478,-0.18614367,-0.2609601,-0.14199477,-0.04301151,-0.13498159,-0.30302137,-0.084201984,-0.15429913,5.761146,-0.9400305,-0.4188403,-0.25379142,3.5605385,-0.05221101,-0.20084764,-0.10053951,-0.020897005,0.4106295,1
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.07527803,-0.067629814,-0.042500064,-0.52044886,-0.0679732,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.06925289,-0.3648553,-0.66036993,-0.083192356,-0.14370757,-0.41058275,-0.048288155,-0.05877857,-0.071920976,-0.0067735068,-0.06418999,-0.09926551,-0.08408102,-0.21529208,-0.38611126,-0.09391567,-0.19387476,-0.06427042,-0.6373846,-0.069542356,-0.30556974,-0.008786143,-0.09467098,-0.11618164,-0.0033715067,-1.1152893,-0.07587367,-0.77329755,1.0604863,0.071725115,-0.18354331,-0.24829736,-0.08480112,-0.08846551,-0.1181239,-0.70183337,-0.09939945,-0.08561648,-0.23341642,-0.12846951,-0.04293071,-0.27049574,-0.11066106,-0.0583981,-0.078787245,-0.2035684,-0.52921176,-0.18899952,-0.07885677,-0.079487145,-0.15536214,-0.29508233,-0.3292429,-0.3817342,-0.061940223,-1.6598191,-0.09888837,-0.16144404,-0.03581134,-0.2995729,-0.5501613,-0.14199477,-0.04301151,-0.13498159,-0.14690706,-0.084201984,-0.29445544,-0.12620853,-0.7292269,-0.28216037,-0.22130021,-0.23330294,-0.05221101,-0.15773092,-0.10053951,-0.35488898,-0.12833431,0
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,0.1791918,-0.067629814,-0.042500064,0.17854363,-0.0679732,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.06925289,0.039493494,-0.26756728,-0.083192356,-0.14370757,-0.011934135,-0.048288155,-0.05877857,-0.071920976,-0.06961542,-0.06418999,-0.09926551,-0.08408102,-0.21529208,4.849765e-05,-0.09391567,-0.19387476,-0.06427042,-0.006983331,-0.069542356,-0.003098298,0.035564743,-0.09467098,-0.09363314,-0.030138152,0.28809008,-0.07587367,-0.018064536,-0.11088105,0.11994856,-0.18354331,-0.08217289,-0.05531286,-0.08846551,-0.1181239,-0.22887963,-0.09939945,-0.08561648,3.677241,-0.12846951,-0.04293071,0.77474105,-0.11066106,-0.0583981,-0.078787245,-0.092039905,-0.42125672,-0.18899952,-0.07885677,-0.079487145,-0.15536214,0.055884086,0.41167986,-0.119938105,-0.061940223,0.12752722,0.3328231,-0.16144404,0.102243006,-0.15528233,-0.41686648,-0.14199477,-0.04301151,-0.13498159,-0.4307937,-0.084201984,0.24772099,-0.12620853,0.105945624,-0.099946104,-0.14282195,-0.23330294,-0.05221101,-0.124535404,-0.10053951,-0.0764692,-0.66350615,0
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,0.24034937,-0.067629814,-0.042500064,0.31953079,-0.0679732,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.06925289,0.04559499,-0.24715324,-0.083192356,-0.14370757,0.014584921,-0.048288155,-0.05877857,-0.071920976,-0.10377448,-0.06418999,-0.09926551,-0.08408102,0.96102065,-0.019060967,-0.09391567,-0.19387476,-0.06427042,-0.1962994,-0.069542356,-0.10176468,-0.012360114,-0.09467098,-0.07095375,-0.05973935,0.26779065,-0.07587367,-0.5455208,-0.028245742,0.08248183,-0.18354331,-0.1974051,-0.1536663,-0.08846551,-0.1181239,-0.5581085,-0.09939945,-0.08561648,-0.23341642,-0.12846951,-0.04293071,0.34717897,-0.11066106,-0.0583981,-0.078787245,-0.23678796,-0.44986552,-0.18899952,-0.07885677,-0.079487145,-0.15536214,0.17995232,0.26853207,-0.07183568,-0.061940223,-0.557214,0.20461649,1.6085913,0.07560564,-0.18377839,-0.39991117,-0.14199477,-0.04301151,-0.13498159,-0.4223809,-0.084201984,0.21363059,-0.12620853,-0.05303686,-0.04993865,-0.116165034,-0.23330294,-0.05221101,-0.2107417,-0.10053951,-0.1490745,-0.19648264,0
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.39433774,-0.067629814,-0.042500064,-0.4240292,-0.0679732,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.06925289,-0.2161776,-0.72791964,-0.083192356,-0.14370757,-0.6799201,-0.048288155,-0.05877857,-0.071920976,-0.00013214204,-0.06418999,-0.09926551,-0.08408102,-0.21529208,0.12013544,-0.09391567,-0.19387476,-0.06427042,-0.40690157,-0.069542356,-0.5615083,0.017150274,-0.09467098,0.14450017,-0.021249246,0.56129915,-0.07587367,0.85466564,-0.25866148,0.2896576,-0.18354331,-0.3880481,-0.056578893,-0.08846551,-0.1181239,-0.7447274,-0.09939945,-0.08561648,-0.23341642,-0.12846951,-0.04293071,0.9276684,-0.11066106,-0.0583981,-0.078787245,0.041524988,-0.87556803,-0.18899952,-0.07885677,-0.079487145,8.518911,-0.28486124,0.7317149,-0.45745367,-0.061940223,1.7105508,0.039096016,-0.16144404,0.67983043,-0.28512245,0.84673846,5.991037,-0.04301151,-0.13498159,0.4090424,-0.084201984,0.07969928,-0.12620853,-0.8705331,0.105301395,-0.38123825,-0.23330294,-0.05221101,-0.044858478,-0.10053951,-0.2227331,0.97747236,0
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,0.06073366,-0.067629814,-0.042500064,0.020665038,-0.0679732,-0.061702468,-0.07234395,-0.09654722,-0.08606776,29.499832,0.639818,0.15347788,-0.083192356,-0.14370757,0.37477794,-0.048288155,-0.05877857,-0.071920976,-0.08376198,-0.06418999,-0.09926551,-0.08408102,2.6728935,0.40849096,-0.09391567,-0.19387476,-0.06427042,-0.39061576,-0.069542356,0.29620782,0.12295465,-0.09467098,0.33931962,-0.07082722,0.7580945,-0.07587367,2.735388,0.95111585,0.05843391,-0.18354331,-0.29699066,0.09297218,-0.08846551,-0.1181239,-0.25537145,-0.09939945,-0.08561648,-0.23341642,-0.12846951,-0.04293071,1.2515523,-0.11066106,-0.0583981,-0.078787245,0.10422674,0.39399883,-0.18899952,-0.07885677,-0.079487145,-0.15536214,-0.01587116,-0.24486835,-0.055667236,-0.061940223,-0.5359244,0.55128664,-0.16144404,0.0070302887,0.07971462,0.5682066,-0.14199477,-0.04301151,-0.13498159,0.83615386,-0.084201984,0.3940911,-0.12620853,-0.009096782,-0.0053582126,0.23667748,-0.23330294,-0.05221101,0.17441523,-0.10053951,-0.4848446,0.2741783,0
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,-0.3852079,-0.067629814,-0.042500064,-0.44447336,-0.0679732,-0.061702468,-0.07234395,-0.09654722,-0.08606776,-0.06925289,-0.21860923,-0.8805329,-0.083192356,-0.14370757,-0.50137776,-0.048288155,-0.05877857,-0.071920976,0.16587727,-0.06418999,-0.09926551,-0.08408102,-0.21529208,0.2170256,-0.09391567,-0.19387476,-0.06427042,-0.6196023,-0.069542356,-0.64196527,-0.37438908,-0.09467098,-0.20483275,-0.13523546,1.5819958,-0.07587367,-1.0589294,-1.1281862,-0.5927945,-0.18354331,-0.2507075,-0.1663969,-0.08846551,-0.1181239,-0.75567347,-0.09939945,-0.08561648,-0.23341642,-0.12846951,-0.04293071,0.1864138,-0.11066106,-0.0583981,-0.078787245,-0.14184256,-0.08284344,-0.18899952,-0.07885677,-0.079487145,-0.15536214,-0.31883085,-0.51225424,-0.33091405,-0.061940223,-0.87850255,-0.46988893,-0.16144404,-0.19496064,-0.26223677,-0.9162875,-0.14199477,-0.04301151,-0.13498159,-0.47709414,-0.084201984,-0.5546305,-0.12620853,-0.5984772,-0.36030543,0.05680278,-0.23330294,-0.05221101,-0.30777746,-0.10053951,-0.00652374,1.310141,0
-0.030400895,-0.030400898,-0.030400896,-0.030400893,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039873518,-0.040199555,-0.04061949,-0.044386145,-0.035875507,-0.04756436,0.19646877,-0.067629814,-0.042500064,0.37145784,-0.0679732,-0.061702468,2.6616113,-0.09654722,5.717438,-0.06925289,-0.06892276,-0.2745591,-0.083192356,-0.14370757,-0.019686019,-0.048288155,-0.05877857,-0.071920976,19.522757,-0.06418999,-0.09926551,-0.08408102,-0.21529208,0.054476775,-0.09391567,-0.19387476,-0.06427042,-0.06739922,-0.069542356,0.1411506,0.07321998,-0.09467098,-0.16648886,12.7811775,0.09449424,-0.07587367,-0.359619,0.1312032,-0.035289913,-0.18354331,-0.09881759,-0.03998788,-0.08846551,-0.1181239,0.47417513,-0.09939945,-0.08561648,-0.23341642,-0.12846951,-0.04293071,0.54194987,-0.11066106,-0.0583981,-0.078787245,0.024911541,-0.50386804,-0.18899952,-0.07885677,-0.079487145,-0.15536214,0.13845856,0.086566135,-0.08120737,-0.061940223,-1.1711066,0.012885676,2.0894432,0.20117368,-0.19640131,-0.24663563,-0.14199477,-0.04301151,-0.13498159,-0.489619,-0.084201984,0.24988392,-0.12620853,0.04161978,-0.07408629,-0.11973014,-0.23330294,-0.05221101,0.34302455,-0.10053951,-0.38204977,-0.17929266,1
