rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_VN1R4,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_OR4D10,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_LCE3C,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_PRAMEF18,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_KRTAP19-6,rnaseq_gene__GENE_DEFB129,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_HES3,rnaseq_gene__GENE_GSC2,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_LCN9,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_OR5A1,methylation_gene__GENE_VEGFB,rnaseq_gene__GENE_FAM99A,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_PAGE3,methylation_gene__GENE_ATP5S;L2HGDH,rnaseq_gene__GENE_RBMY1A1,methylation_gene__GENE_GMCL1,rnaseq_gene__GENE_SNORA69,methylation_gene__GENE_LRRC20,rnaseq_gene__GENE_ZNF735,rnaseq_gene__GENE_LCE3E,methylation_gene__GENE_CYP51A1,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_CABP2,methylation_gene__GENE_UNC84B,methylation_gene__GENE_TPP1,methylation_gene__GENE_SKIL,rnaseq_gene__GENE_BCYRN1,methylation_gene__GENE_AKT1,rnaseq_gene__GENE_LIM2,methylation_gene__GENE_CNIH,rnaseq_gene__GENE_OR7G2,methylation_gene__GENE_ZNF619,rnaseq_gene__GENE_CRYGA,methylation_gene__GENE_FRY,methylation_gene__GENE_TRIB3,methylation_gene__GENE_SLC22A17,methylation_gene__GENE_ITPA,rnaseq_gene__GENE_PRAMEF22,rnaseq_gene__GENE_MRGPRG,rnaseq_gene__GENE_DKFZP434L192,methylation_gene__GENE_DCI,methylation_gene__GENE_FGFRL1,rnaseq_gene__GENE_OR1I1,methylation_gene__GENE_NSUN5,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_NKIRAS2;DNAJC7,rnaseq_gene__GENE_TGM6,rnaseq_gene__GENE_FOXB2,methylation_gene__GENE_ZNF160,methylation_gene__GENE_LPCAT1,rnaseq_gene__GENE_RTP1,rnaseq_gene__GENE_OR6C4,methylation_gene__GENE_GMFB,rnaseq_gene__GENE_TSPY1,rnaseq_gene__GENE_KRTAP11-1,rnaseq_gene__GENE_OR10T2,rnaseq_gene__GENE_TMEM207,rnaseq_gene__GENE_DEFB134,rnaseq_gene__GENE_SPRR2B,methylation_gene__GENE_MDK,methylation_gene__GENE_KTELC1,methylation_gene__GENE_RUNDC2A,methylation_gene__GENE_CGRRF1,rnaseq_gene__GENE_TBC1D28,rnaseq_gene__GENE_FABP9,rnaseq_gene__GENE_SAA3P,methylation_gene__GENE_OBFC2A,methylation_gene__GENE_GABBR1,methylation_gene__GENE_C6ORF64,methylation_gene__GENE_FGF22,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_OR9I1,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.040199555,-0.07355285,-0.067629814,-0.042500064,-0.035036173,-0.0679732,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,0.7476855,-0.04061949,-0.062246185,-0.14113313,-0.08606776,0.2569746,-0.32059684,-0.041330405,-0.06825314,0.49041125,-0.06940588,-0.089100406,-0.05877857,0.15346035,-0.14370757,-0.059162382,-0.083192356,4.4264455,-0.18246691,-0.069542356,0.54176915,-0.066061795,0.05212484,-0.044386145,0.34237644,-0.08561648,-0.1851329,-0.09391567,-0.12899014,0.2938332,-0.19387476,-0.07587367,-0.41376457,0.025402108,0.4385283,-0.078358516,-0.20129359,-0.23341642,0.044528294,-0.06859739,0.30465758,-0.07638114,0.6557903,0.1348818,-0.12951767,-0.005793088,-0.11066106,-0.04293071,-0.16218084,0.46784836,-0.09555266,-0.09172271,0.66948795,0.63045555,0.22070405,-0.079487145,-0.12846951,0.022995586,-0.08353435,-0.4345085,-0.0583981,-0.037170887,-0.061940223,-0.15536214,-0.065219104,-0.11980957,-0.06087582,-0.17258121,-0.11937862,-0.37059265,0.9439678,-0.08321391,-0.16144404,-0.14199477,-0.16757363,-0.38877615,0.29255396,0.06784842,-0.12388846,0.7617472,-0.084201984,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,13.4373045,-0.07355285,-0.067629814,-0.042500064,-0.4062858,29.66682,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,-0.032206632,-0.04061949,-0.062246185,-0.04141815,-0.08606776,-0.30798945,-0.6882903,-0.041330405,-0.06825314,-0.5374824,6.499733,11.295503,19.78605,-0.6014492,-0.14370757,-0.059162382,-0.083192356,-0.09926551,-0.33989236,-0.069542356,0.48221505,-0.066061795,-0.970754,-0.044386145,-0.47632927,-0.08561648,-0.39638203,-0.09391567,-0.12899014,-0.17207763,1.4741709,-0.07587367,-0.8629122,-0.42391214,-0.28729084,-0.078358516,0.7038841,-0.23341642,-0.18355137,-0.06859739,-0.055531196,-0.07638114,-0.41832557,-0.17073378,-0.3441319,1.2722404,-0.11066106,24.622232,-0.16218084,-0.7196318,-0.69064844,-0.09172271,-0.30510747,-0.22629943,-0.11098085,23.561584,12.407528,-0.26926696,-0.12416397,13.414578,-0.0583981,-0.2609601,-0.061940223,-0.15536214,-0.065219104,-0.11980957,-0.06087582,-0.17258121,-0.285212,-0.18614367,1.1500554,-0.30302137,-0.16144404,-0.14199477,-0.16757363,-0.25379142,-0.044048857,-0.71485615,0.05730465,-0.057804774,-0.084201984,1
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.040199555,-0.07355285,-0.067629814,-0.042500064,-0.52044886,-0.0679732,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,-0.66036993,-0.04061949,-0.062246185,-0.42164096,-0.08606776,-0.3648553,-0.28991085,-0.041330405,-0.06825314,-0.41058275,-0.06940588,-0.089100406,-0.05877857,-0.02344199,-0.14370757,-0.059162382,-0.083192356,-0.09926551,-0.45827174,-0.069542356,-0.0707264,-0.066061795,-0.38611126,-0.044386145,-0.30556974,-0.08561648,-0.008786143,-0.09391567,-0.12899014,-0.11618164,-0.19387476,-0.07587367,-1.1152893,-0.31761447,-0.77329755,-0.078358516,1.0604863,-0.23341642,0.071725115,-0.06859739,-0.08480112,-0.07638114,-0.31920248,-0.23495351,-0.405372,-0.70183337,-0.11066106,-0.04293071,-0.16218084,-0.3187792,-0.27049574,-0.09172271,-0.3817342,-0.2035684,-0.52921176,-0.079487145,-0.12846951,-0.18157369,-0.29508233,-0.4345085,-0.0583981,-0.5501613,-0.061940223,-0.15536214,-0.065219104,-0.11980957,-0.06087582,-0.17258121,-0.19917646,-0.2995729,-1.6598191,-0.14690706,-0.16144404,-0.14199477,-0.16757363,-0.22130021,-0.1613667,-0.5457348,-0.15848024,-0.5461516,-0.084201984,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.040199555,-0.07355285,-0.067629814,-0.042500064,0.17854363,-0.0679732,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,-0.26756728,-0.04061949,-0.062246185,-0.07377817,-0.08606776,0.039493494,-0.2708802,-0.041330405,-0.06825314,-0.011934135,-0.06940588,-0.089100406,-0.05877857,0.58261806,-0.14370757,-0.059162382,-0.083192356,-0.09926551,0.23164392,-0.069542356,10.229894,-0.066061795,4.849765e-05,-0.044386145,-0.003098298,-0.08561648,0.035564743,-0.09391567,-0.12899014,-0.09363314,-0.19387476,-0.07587367,0.28809008,-0.3469324,-0.018064536,-0.078358516,-0.11088105,3.677241,0.11994856,-0.06859739,-0.05531286,-0.07638114,16.977419,0.26360202,0.038891412,-0.22887963,-0.11066106,-0.04293071,-0.16218084,0.045835294,0.77474105,-0.09172271,-0.119938105,-0.092039905,-0.42125672,-0.079487145,-0.12846951,-0.078271024,0.055884086,-0.4345085,-0.0583981,-0.41686648,-0.061940223,-0.15536214,-0.065219104,-0.11980957,-0.06087582,-0.17258121,0.054466035,-0.15528233,0.12752722,-0.4307937,-0.16144404,-0.14199477,-0.16757363,-0.14282195,0.07596221,-0.15239203,-0.053934734,-0.02134801,-0.084201984,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.040199555,2.4205613,-0.067629814,-0.042500064,0.31953079,-0.0679732,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,-0.24715324,-0.04061949,-0.062246185,-0.16323148,-0.08606776,0.04559499,-0.0915964,-0.041330405,-0.06825314,0.014584921,-0.06940588,-0.089100406,-0.05877857,-0.0016824864,-0.14370757,-0.059162382,-0.083192356,-0.09926551,-0.12455251,-0.069542356,-0.09964505,-0.066061795,-0.019060967,-0.044386145,-0.10176468,-0.08561648,-0.012360114,-0.09391567,-0.12899014,-0.07095375,-0.19387476,-0.07587367,0.26779065,-0.19000192,-0.5455208,-0.078358516,-0.028245742,-0.23341642,0.08248183,-0.06859739,-0.1536663,-0.07638114,-0.28886914,0.08121111,0.2400079,-0.5581085,-0.11066106,-0.04293071,-0.16218084,-0.093274154,0.34717897,-0.09172271,-0.07183568,-0.23678796,-0.44986552,-0.079487145,-0.12846951,-0.05654225,0.17995232,-0.4345085,-0.0583981,-0.39991117,-0.061940223,-0.15536214,-0.065219104,-0.11980957,-0.06087582,-0.17258121,-0.07547015,-0.18377839,-0.557214,-0.4223809,1.6085913,-0.14199477,-0.16757363,-0.116165034,-0.033562016,-0.19816603,-0.1021246,0.09360264,-0.084201984,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.040199555,-0.07355285,-0.067629814,-0.042500064,-0.4240292,-0.0679732,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,-0.72791964,-0.04061949,-0.062246185,-0.16216893,-0.08606776,-0.2161776,-0.7740745,-0.041330405,-0.06825314,-0.6799201,-0.06940588,-0.089100406,-0.05877857,-0.42612198,-0.14370757,-0.059162382,-0.083192356,-0.09926551,-0.45241278,-0.069542356,0.02774375,-0.066061795,0.12013544,-0.044386145,-0.5615083,-0.08561648,0.017150274,-0.09391567,-0.12899014,0.14450017,-0.19387476,-0.07587367,0.56129915,0.16948433,0.85466564,-0.078358516,-0.25866148,-0.23341642,0.2896576,1.8795662,-0.056578893,-0.07638114,-0.18761054,-0.1217616,-0.27398795,-0.7447274,-0.11066106,-0.04293071,-0.16218084,-0.19530241,0.9276684,13.675783,-0.45745367,0.041524988,-0.87556803,-0.079487145,-0.12846951,0.30988386,-0.28486124,-0.4345085,-0.0583981,0.84673846,-0.061940223,8.518911,-0.065219104,-0.11980957,-0.06087582,-0.17258121,-0.38347432,-0.28512245,1.7105508,0.4090424,-0.16144404,5.991037,-0.16757363,-0.38123825,-0.5243976,0.091446206,-0.07439853,0.4394913,-0.084201984,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.040199555,-0.07355285,-0.067629814,-0.042500064,0.5869054,-0.0679732,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,0.2807133,-0.04061949,-0.062246185,-0.33878514,-0.08606776,-0.19231333,-0.14172249,-0.041330405,-0.06825314,-0.11547741,-0.06940588,-0.089100406,-0.05877857,-0.30329698,-0.14370757,-0.059162382,-0.083192356,-0.09926551,-0.10388707,-0.069542356,-0.006336753,-0.066061795,-0.45004946,-0.044386145,-0.28660023,-0.08561648,-0.22907917,-0.09391567,-0.12899014,0.059908167,-0.19387476,-0.07587367,-0.37266234,-0.11678503,0.3873884,-0.078358516,-0.027025366,-0.23341642,0.11042936,-0.06859739,-0.20231354,-0.07638114,-0.02198543,-0.08953954,-0.14241439,-0.62407154,-0.11066106,-0.04293071,-0.16218084,-0.27926168,-0.64491737,-0.09172271,-0.025430227,-0.15942761,-0.41870794,-0.079487145,-0.12846951,-0.17353417,-0.015928619,0.41622394,-0.0583981,-0.33259013,-0.061940223,-0.15536214,-0.065219104,-0.11980957,-0.06087582,-0.17258121,0.008765843,0.06421481,0.4893828,-0.422621,-0.16144404,-0.14199477,-0.16757363,-0.31526262,0.010368577,-0.008695408,-0.10479945,0.1191499,-0.084201984,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.040199555,-0.07355285,-0.067629814,-0.042500064,-0.44447336,-0.0679732,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,-0.8805329,-0.04061949,-0.062246185,-0.6482932,-0.08606776,-0.21860923,7.1797347,-0.041330405,-0.06825314,-0.50137776,-0.06940588,-0.089100406,-0.05877857,0.17565227,-0.14370757,-0.059162382,-0.083192356,-0.09926551,1.5840603,-0.069542356,-0.23226331,-0.066061795,0.2170256,-0.044386145,-0.64196527,-0.08561648,-0.37438908,-0.09391567,-0.12899014,-0.20483275,-0.19387476,-0.07587367,1.5819958,-0.42046073,-1.0589294,-0.078358516,-1.1281862,-0.23341642,-0.5927945,-0.06859739,-0.1663969,-0.07638114,-0.42714083,-0.4069389,2.0477738,-0.75567347,-0.11066106,-0.04293071,-0.16218084,-0.5253344,0.1864138,-0.09172271,-0.33091405,-0.14184256,-0.08284344,-0.079487145,-0.12846951,-0.22905418,-0.31883085,0.3558605,-0.0583981,-0.9162875,-0.061940223,-0.15536214,-0.065219104,-0.11980957,-0.06087582,-0.17258121,-0.36454064,-0.26223677,-0.87850255,-0.47709414,-0.16144404,-0.14199477,-0.16757363,0.05680278,-0.7738797,-0.5005798,-0.1964877,-0.71577716,-0.084201984,0
-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.040199555,-0.07355285,-0.067629814,-0.042500064,0.40087995,-0.0679732,-0.054831173,-0.039873518,-0.050053358,-0.07234395,-0.09654722,-0.118393786,-0.04061949,-0.062246185,-0.087109365,-0.08606776,-0.06788468,-0.41135514,-0.041330405,-0.06825314,0.113067225,-0.06940588,-0.089100406,-0.05877857,0.7437531,-0.14370757,-0.059162382,-0.083192356,-0.09926551,0.64257884,-0.069542356,-0.3381686,-0.066061795,-0.29295343,-0.044386145,0.007565756,-0.08561648,0.12157805,-0.09391567,-0.12899014,-0.16469687,-0.19387476,-0.07587367,0.21382837,-0.39432883,0.35898903,-0.078358516,0.29747057,-0.23341642,0.1404174,-0.06859739,-0.2753441,-0.07638114,-0.15448385,-0.08621708,-0.034098078,-0.18988265,6.467453,-0.04293071,-0.16218084,0.11984554,0.19030046,-0.09172271,-0.048272092,0.19111574,-0.10705649,-0.079487145,-0.12846951,-0.08925558,0.07582949,-0.4345085,-0.0583981,-0.45263144,-0.061940223,1.9144491,-0.065219104,-0.11980957,-0.06087582,-0.17258121,-0.012214853,-0.249677,0.2252827,-0.17226268,-0.16144404,-0.14199477,-0.16757363,-0.12864669,0.031885277,-0.03468468,-0.12185344,-0.13956898,-0.084201984,0
