rank,feature_id,modality
1,rnaseq_gene::GENE:SNAR-F,rnaseq_gene
2,rnaseq_gene::GENE:CT47A7,rnaseq_gene
3,rnaseq_gene::GENE:CT47A6,rnaseq_gene
4,rnaseq_gene::GENE:TTTY21,rnaseq_gene
5,rnaseq_gene::GENE:DEFB121,rnaseq_gene
6,rnaseq_gene::GENE:CSPG4P2Y,rnaseq_gene
7,rnaseq_gene::GENE:TSPY4,rnaseq_gene
8,methylation_gene::GENE:GPI,methylation_gene
9,rnaseq_gene::GENE:LOC646813,rnaseq_gene
10,rnaseq_gene::GENE:PRAMEF17,rnaseq_gene
11,rnaseq_gene::GENE:PRAMEF16,rnaseq_gene
12,rnaseq_gene::GENE:SNAR-C4,rnaseq_gene
13,rnaseq_gene::GENE:PRAMEF18,rnaseq_gene
14,methylation_gene::GENE:ACPL2,methylation_gene
15,rnaseq_gene::GENE:TAAR6,rnaseq_gene
16,rnaseq_gene::GENE:LCE3C,rnaseq_gene
17,rnaseq_gene::GENE:ONECUT3,rnaseq_gene
18,methylation_gene::GENE:TYMP;ODF3B,methylation_gene
19,rnaseq_gene::GENE:KRTAP19-6,rnaseq_gene
20,methylation_gene::GENE:MAP3K9,methylation_gene
21,rnaseq_gene::GENE:DEFB129,rnaseq_gene
22,rnaseq_gene::GENE:TSPY3,rnaseq_gene
23,rnaseq_gene::GENE:DEFB104A,rnaseq_gene
24,rnaseq_gene::GENE:OR2T6,rnaseq_gene
25,methylation_gene::GENE:ENO2,methylation_gene
26,rnaseq_gene::GENE:LCN9,rnaseq_gene
27,methylation_gene::GENE:SCRIB,methylation_gene
28,rnaseq_gene::GENE:OR5B3,rnaseq_gene
29,methylation_gene::GENE:TNKS2,methylation_gene
30,methylation_gene::GENE:VEGFB,methylation_gene
31,rnaseq_gene::GENE:AMBN,rnaseq_gene
32,rnaseq_gene::GENE:PAGE3,rnaseq_gene
33,rnaseq_gene::GENE:DAZ1,rnaseq_gene
34,rnaseq_gene::GENE:NKX6-2,rnaseq_gene
35,methylation_gene::GENE:ATP5S;L2HGDH,methylation_gene
36,rnaseq_gene::GENE:SRY,rnaseq_gene
37,rnaseq_gene::GENE:ZNF735,rnaseq_gene
38,methylation_gene::GENE:GMCL1,methylation_gene
39,rnaseq_gene::GENE:IAPP,rnaseq_gene
40,rnaseq_gene::GENE:MOS,rnaseq_gene
41,rnaseq_gene::GENE:PRDM14,rnaseq_gene
42,rnaseq_gene::GENE:TMEM207,rnaseq_gene
43,methylation_gene::GENE:MDK,methylation_gene
44,methylation_gene::GENE:ZNF624,methylation_gene
45,rnaseq_gene::GENE:OR7G2,rnaseq_gene
46,methylation_gene::GENE:AKT1,methylation_gene
47,rnaseq_gene::GENE:CRYGA,rnaseq_gene
48,methylation_gene::GENE:UNC84B,methylation_gene
49,rnaseq_gene::GENE:BCYRN1,rnaseq_gene
50,methylation_gene::GENE:TPP1,methylation_gene
51,methylation_gene::GENE:RPUSD2,methylation_gene
52,rnaseq_gene::GENE:OR52E2,rnaseq_gene
53,rnaseq_gene::GENE:HES3,rnaseq_gene
54,rnaseq_gene::GENE:OR4D10,rnaseq_gene
55,rnaseq_gene::GENE:OR1I1,rnaseq_gene
56,rnaseq_gene::GENE:DKFZP434L192,rnaseq_gene
57,methylation_gene::GENE:CNIH,methylation_gene
58,rnaseq_gene::GENE:SAA3P,rnaseq_gene
59,rnaseq_gene::GENE:TMIGD1,rnaseq_gene
60,methylation_gene::GENE:DUSP4,methylation_gene
61,methylation_gene::GENE:DCI,methylation_gene
62,methylation_gene::GENE:LPCAT1,methylation_gene
63,rnaseq_gene::GENE:NPBWR2,rnaseq_gene
64,rnaseq_gene::GENE:SCARNA23,rnaseq_gene
65,rnaseq_gene::GENE:LYZL6,rnaseq_gene
66,rnaseq_gene::GENE:PRAMEF22,rnaseq_gene
67,methylation_gene::GENE:FGF22,methylation_gene
68,rnaseq_gene::GENE:OR2M1P,rnaseq_gene
69,methylation_gene::GENE:RUNDC2A,methylation_gene
70,methylation_gene::GENE:TRIB3,methylation_gene
71,rnaseq_gene::GENE:TBC1D28,rnaseq_gene
72,rnaseq_gene::GENE:SNAR-B2,rnaseq_gene
73,rnaseq_gene::GENE:OR10T2,rnaseq_gene
74,methylation_gene::GENE:NAT14,methylation_gene
75,rnaseq_gene::GENE:SULT6B1,rnaseq_gene
76,rnaseq_gene::GENE:RPS4Y2,rnaseq_gene
77,rnaseq_gene::GENE:SPRR2B,rnaseq_gene
78,methylation_gene::GENE:GABBR1,methylation_gene
79,methylation_gene::GENE:AMDHD2,methylation_gene
80,methylation_gene::GENE:CGRRF1,methylation_gene
81,rnaseq_gene::GENE:P2RX6P,rnaseq_gene
82,rnaseq_gene::GENE:DEFB108B,rnaseq_gene
83,rnaseq_gene::GENE:SPAG11A,rnaseq_gene
84,methylation_gene::GENE:SYPL1,methylation_gene
85,methylation_gene::GENE:C6ORF64,methylation_gene
86,methylation_gene::GENE:SIX5;DMPK,methylation_gene
87,methylation_gene::GENE:ASCC1;C10ORF104,methylation_gene
88,methylation_gene::GENE:ZNF345,methylation_gene
89,rnaseq_gene::GENE:SSX7,rnaseq_gene
90,rnaseq_gene::GENE:ACCSL,rnaseq_gene
91,methylation_gene::GENE:PARP4,methylation_gene
92,rnaseq_gene::GENE:OR2T1,rnaseq_gene
93,methylation_gene::GENE:GMFB,methylation_gene
94,methylation_gene::GENE:RASSF8,methylation_gene
95,rnaseq_gene::GENE:NCR2,rnaseq_gene
96,methylation_gene::GENE:SART3,methylation_gene
97,rnaseq_gene::GENE:OR8B12,rnaseq_gene
98,rnaseq_gene::GENE:LINC00442,rnaseq_gene
99,methylation_gene::GENE:INHA;OBSL1,methylation_gene
100,methylation_gene::GENE:MAN1A1,methylation_gene
