rank,feature_id,modality
1,rnaseq_gene::GENE:SNORA70C,rnaseq_gene
2,rnaseq_gene::GENE:TEX36-AS1,rnaseq_gene
3,rnaseq_gene::GENE:CT47A9,rnaseq_gene
4,rnaseq_gene::GENE:PRLH,rnaseq_gene
5,rnaseq_gene::GENE:SPANXN4,rnaseq_gene
6,rnaseq_gene::GENE:TEX28,rnaseq_gene
7,rnaseq_gene::GENE:SPACA1,rnaseq_gene
8,rnaseq_gene::GENE:OR4S2,rnaseq_gene
9,rnaseq_gene::GENE:TTTY6B,rnaseq_gene
10,rnaseq_gene::GENE:MS4A5,rnaseq_gene
11,rnaseq_gene::GENE:KRTAP20-3,rnaseq_gene
12,rnaseq_gene::GENE:DEFB110,rnaseq_gene
13,rnaseq_gene::GENE:LCN9,rnaseq_gene
14,rnaseq_gene::GENE:SNAR-C4,rnaseq_gene
15,methylation_gene::GENE:MYO6,methylation_gene
16,methylation_gene::GENE:FHOD3,methylation_gene
17,methylation_gene::GENE:TMEM177,methylation_gene
18,methylation_gene::GENE:CDC42,methylation_gene
19,methylation_gene::GENE:ZNF296,methylation_gene
20,methylation_gene::GENE:NRXN2,methylation_gene
21,methylation_gene::GENE:FBXL2,methylation_gene
22,methylation_gene::GENE:NDUFAF1,methylation_gene
23,methylation_gene::GENE:ACPL2,methylation_gene
24,methylation_gene::GENE:HIC1,methylation_gene
25,methylation_gene::GENE:C16ORF80,methylation_gene
26,methylation_gene::GENE:SERPINB6,methylation_gene
27,methylation_gene::GENE:SRD5A1;NSUN2,methylation_gene
28,methylation_gene::GENE:RAB6B,methylation_gene
29,methylation_gene::GENE:C18ORF19;RNMT,methylation_gene
30,rnaseq_gene::GENE:SPINT4,rnaseq_gene
31,methylation_gene::GENE:CCRN4L,methylation_gene
32,rnaseq_gene::GENE:OR5D16,rnaseq_gene
33,rnaseq_gene::GENE:CT47A1,rnaseq_gene
34,methylation_gene::GENE:NOC2L;KLHL17,methylation_gene
35,methylation_gene::GENE:PTDSS1;MTERFD1,methylation_gene
36,methylation_gene::GENE:AARS;EXOSC6,methylation_gene
37,methylation_gene::GENE:ARL13B,methylation_gene
38,methylation_gene::GENE:IQCC,methylation_gene
39,methylation_gene::GENE:NIPSNAP1,methylation_gene
40,methylation_gene::GENE:ZBTB12,methylation_gene
41,rnaseq_gene::GENE:DEFB115,rnaseq_gene
42,methylation_gene::GENE:PXMP3,methylation_gene
43,methylation_gene::GENE:TRIB3,methylation_gene
44,methylation_gene::GENE:AZIN1,methylation_gene
45,methylation_gene::GENE:ZNF787,methylation_gene
46,methylation_gene::GENE:C9ORF3,methylation_gene
47,rnaseq_gene::GENE:TMEM225,rnaseq_gene
48,methylation_gene::GENE:SETD3;CCNK,methylation_gene
49,methylation_gene::GENE:NRCAM,methylation_gene
50,rnaseq_gene::GENE:KRTAP4-3,rnaseq_gene
51,methylation_gene::GENE:RPLP2,methylation_gene
52,rnaseq_gene::GENE:OR7D4,rnaseq_gene
53,methylation_gene::GENE:TP53I11,methylation_gene
54,methylation_gene::GENE:TKT,methylation_gene
55,methylation_gene::GENE:PROS1,methylation_gene
56,rnaseq_gene::GENE:KRTAP15-1,rnaseq_gene
57,methylation_gene::GENE:FADS1;MIR1908,methylation_gene
58,methylation_gene::GENE:TOR1A,methylation_gene
59,methylation_gene::GENE:SLC25A29;MIR345,methylation_gene
60,methylation_gene::GENE:PLEKHJ1;SF3A2,methylation_gene
61,methylation_gene::GENE:C10ORF32,methylation_gene
62,methylation_gene::GENE:MIR1181;CDC37,methylation_gene
63,methylation_gene::GENE:PHYH,methylation_gene
64,rnaseq_gene::GENE:C15ORF43,rnaseq_gene
65,methylation_gene::GENE:ZNF672,methylation_gene
66,methylation_gene::GENE:RASA1,methylation_gene
67,methylation_gene::GENE:SLC35B1,methylation_gene
68,methylation_gene::GENE:PREB,methylation_gene
69,methylation_gene::GENE:SQLE,methylation_gene
70,methylation_gene::GENE:ACADM,methylation_gene
71,methylation_gene::GENE:C17ORF59,methylation_gene
72,methylation_gene::GENE:B3GNTL1,methylation_gene
73,methylation_gene::GENE:GGCT,methylation_gene
74,methylation_gene::GENE:LLPH,methylation_gene
75,methylation_gene::GENE:ZHX2,methylation_gene
76,rnaseq_gene::GENE:CSHL1,rnaseq_gene
77,methylation_gene::GENE:FOXC1,methylation_gene
78,methylation_gene::GENE:CISD2;UBE2D3,methylation_gene
79,methylation_gene::GENE:HERPUD2,methylation_gene
80,cnv_log2::GENE:RPL19,cnv_log2
81,cnv_log2::GENE:ARL5C,cnv_log2
82,cnv_log2::GENE:STAC2,cnv_log2
83,cnv_log2::GENE:PLXDC1,cnv_log2
84,cnv_log2::GENE:CACNB1,cnv_log2
85,methylation_gene::GENE:NLRX1,methylation_gene
86,methylation_gene::GENE:CASKIN2;TSEN54,methylation_gene
87,methylation_gene::GENE:ICA1L,methylation_gene
88,methylation_gene::GENE:RAB40B,methylation_gene
89,methylation_gene::GENE:UNG,methylation_gene
90,methylation_gene::GENE:SPATA13,methylation_gene
91,methylation_gene::GENE:EIF6,methylation_gene
92,methylation_gene::GENE:TMEM141,methylation_gene
93,methylation_gene::GENE:CWF19L2,methylation_gene
94,methylation_gene::GENE:SLC16A1,methylation_gene
95,rnaseq_gene::GENE:OR5H14,rnaseq_gene
96,rnaseq_gene::GENE:OR2T12,rnaseq_gene
97,rnaseq_gene::GENE:SSX3,rnaseq_gene
98,methylation_gene::GENE:KBTBD6,methylation_gene
99,methylation_gene::GENE:NIPA1,methylation_gene
100,cnv_log2::GENE:MIR6779,cnv_log2
