rnaseq_gene__GENE_TTTY5,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_SNAR-A2,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_PRM1,rnaseq_gene__GENE_SNORD8,rnaseq_gene__GENE_PPIAL4B,methylation_gene__GENE_OSBPL6,rnaseq_gene__GENE_LRRC30,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_SPO11,rnaseq_gene__GENE_FAM41AY1,rnaseq_gene__GENE_NKX6-2,methylation_gene__GENE_LPPR2,rnaseq_gene__GENE_FLJ44082,methylation_gene__GENE_PNN,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_CASP6,methylation_gene__GENE_TRAPPC2L;GALNS,rnaseq_gene__GENE_MS4A5,methylation_gene__GENE_EXT1,rnaseq_gene__GENE_VN1R4,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_LCN9,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_OR5M3,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_VEGFA,rnaseq_gene__GENE_OR4D10,methylation_gene__GENE_ZNF721;PIGG,rnaseq_gene__GENE_OR10T2,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_TAAR6,methylation_gene__GENE_FRY,rnaseq_gene__GENE_LCE3C,methylation_gene__GENE_ENO2,methylation_gene__GENE_CNP,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_CDK5RAP1,methylation_gene__GENE_BID,rnaseq_gene__GENE_PRM2,methylation_gene__GENE_OBFC2B,methylation_gene__GENE_ZNF44,methylation_gene__GENE_PPP2R5D,methylation_gene__GENE_YJU2B,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_KRTAP19-6,methylation_gene__GENE_B2M,methylation_gene__GENE_RSPH3,rnaseq_gene__GENE_OR4P4,methylation_gene__GENE_KIAA1328;C18ORF10,rnaseq_gene__GENE_DEFB129,methylation_gene__GENE_ASAH1,methylation_gene__GENE_PTGR2,methylation_gene__GENE_SUV39H2,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_AMBN,rnaseq_gene__GENE_HES3,rnaseq_gene__GENE_DEFB104A,rnaseq_gene__GENE_ONECUT3,methylation_gene__GENE_LRP2BP,methylation_gene__GENE_VEGFB,methylation_gene__GENE_ATP5S;L2HGDH,rnaseq_gene__GENE_UNCX,rnaseq_gene__GENE_CRYGC,rnaseq_gene__GENE_OR5A1,methylation_gene__GENE_ACTR1A;SUFU,rnaseq_gene__GENE_KRTAP4-11,rnaseq_gene__GENE_SNORA28,methylation_gene__GENE_TPP1,rnaseq_gene__GENE_OR2W1,methylation_gene__GENE_ERCC8;NDUFAF2,methylation_gene__GENE_SLC25A38,rnaseq_gene__GENE_FGF6,methylation_gene__GENE_CNIH,methylation_gene__GENE_GMCL1,rnaseq_gene__GENE_C20ORF166,methylation_gene__GENE_GSR,methylation_gene__GENE_SIN3A,methylation_gene__GENE_MLST8,methylation_gene__GENE_ADK;AP3M1,rnaseq_gene__GENE_KIR3DP1,rnaseq_gene__GENE_OR6C4,rnaseq_gene__GENE_P2RX6P,rnaseq_gene__GENE_PAGE3,methylation_gene__GENE_RPUSD2,methylation_gene__GENE_ENTPD6,rnaseq_gene__GENE_LIM2,rnaseq_gene__GENE_OR5B3,methylation_gene__GENE_TRIM8,rnaseq_gene__GENE_DHRS7C,rnaseq_gene__GENE_OR56A1,rnaseq_gene__GENE_FAM99A,methylation_gene__GENE_AP2B1,methylation_gene__GENE_DIS3L,methylation_gene__GENE_DVL1,methylation_gene__GENE_LASS5,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,0.29696387,-0.05803116,-0.05562216,-0.07355285,-0.06710228,-0.039025616,-0.09467098,0.16414265,-0.054042384,0.36188236,-0.042500064,0.37512636,0.26560614,-0.069158584,0.047453728,-0.054831173,-0.14113313,-0.059162382,-0.078358516,-0.053536013,0.2569746,-0.05125228,-0.09654722,0.30067533,-0.065219104,-0.057666454,-0.06925289,0.6557903,-0.062246185,-0.32059684,0.29769805,-0.14370757,0.7981819,0.77753603,-0.09052681,0.47386664,0.1412926,0.30446488,0.4818272,0.15346035,-0.041330405,0.17234565,0.28290993,-0.044886343,0.63164926,-0.06825314,-0.029027075,-0.06924885,-0.27909598,-0.15192229,-0.21529208,-0.089100406,-0.048288155,-0.071920976,-0.24544275,-0.18246691,0.05212484,-0.07896766,-0.11783594,4.4264455,0.19357608,-0.14203855,-0.06664966,0.025402108,-0.08948154,0.2398301,-0.022540353,-0.08795058,0.044528294,0.34237644,-0.11526267,0.022611057,0.3832306,0.090191305,-0.0008208119,-0.12883839,-0.0583981,-0.052082743,-0.066061795,0.54176915,0.3547302,-0.23341642,-0.06940588,0.282832,-0.17625973,13.818871,-0.069542356,0.41158846,0.005384936,0.61866623,0.07087298,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,0.14408222,-0.05803116,-0.05562216,-0.07355285,30.83582,-0.039025616,16.361696,0.3227259,-0.054042384,0.4907677,-0.042500064,0.36113,0.42623574,-0.069158584,0.04125374,-0.054831173,0.22169577,-0.059162382,-0.078358516,-0.053536013,0.44599015,-0.028464263,-0.09654722,0.07336485,-0.065219104,-0.057666454,-0.06925289,-0.037045516,-0.062246185,-0.28004757,0.029136814,-0.14370757,0.60413295,0.42796913,-0.09052681,0.52858096,0.7085159,0.3545332,0.28442514,-0.17873953,-0.041330405,-0.28682423,0.37521067,-0.044886343,0.5264698,-0.06825314,0.39201245,-0.312405,0.21305072,0.029630613,-0.21529208,-0.089100406,-0.048288155,-0.071920976,-0.4720075,-0.17414246,1.9839693,-0.07896766,-0.11783594,-0.09926551,0.10891759,-0.14203855,-0.06664966,0.56895804,-0.08948154,-0.22329545,-0.13901283,-0.08795058,0.051413078,-0.03156322,-0.11526267,0.5586936,0.81025076,0.362927,0.15554622,-0.12883839,-0.0583981,-0.052082743,-0.066061795,-0.054913558,0.054175705,-0.23341642,-0.06940588,-0.14757037,-0.17625973,-0.16392021,-0.069542356,0.8042826,-0.30558482,0.09141373,0.74833775,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,-0.20045902,-0.05803116,-0.05562216,-0.07355285,-0.06710228,-0.039025616,-0.09467098,0.028524911,-0.054042384,0.23597416,-0.042500064,0.39536414,0.55794924,-0.069158584,0.013146481,-0.054831173,0.1355378,-0.059162382,-0.078358516,-0.053536013,0.1465024,-0.31748182,-0.09654722,0.019383963,-0.065219104,-0.057666454,-0.06925289,0.21125478,-0.062246185,-0.11980332,0.37414527,-0.14370757,-0.32000992,0.6276185,-0.09052681,0.31872043,0.17307654,0.19795002,0.05728857,-0.1498576,-0.041330405,0.21766737,-0.11495952,-0.044886343,-0.13317966,-0.06825314,0.10578244,-0.43640238,-0.3524336,-0.19309218,-0.21529208,-0.089100406,-0.048288155,-0.071920976,0.05197497,-0.19898152,0.5766715,-0.07896766,-0.11783594,-0.09926551,0.23667414,-0.14203855,-0.06664966,0.63292235,-0.08948154,0.5963305,0.017243546,-0.08795058,0.33833018,0.36451972,-0.11526267,-0.0059153596,0.27923492,0.20607647,-0.076402836,-0.12883839,-0.0583981,-0.052082743,-0.066061795,-0.09030614,0.14277592,-0.23341642,-0.06940588,0.5660327,-0.17625973,-0.16392021,-0.069542356,-0.17631042,0.17364524,0.07711687,-0.3069687,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,-0.18350211,-0.05803116,-0.05562216,-0.07355285,-0.06710228,-0.039025616,-0.09467098,-0.010312691,-0.054042384,-0.031178063,-0.042500064,0.093613155,0.057285365,-0.069158584,-0.015492707,-0.054831173,-0.30292547,-0.059162382,-0.078358516,-0.053536013,-0.00067577366,-0.05252108,-0.09654722,-0.05385646,-0.065219104,-0.057666454,-0.06925289,-0.29034808,-0.062246185,0.09072862,0.34295535,-0.14370757,-0.13689834,0.053999446,-0.09052681,-0.3240726,0.007443731,-0.013207797,0.10143314,-0.29871964,-0.041330405,0.048516035,0.22868049,-0.044886343,-0.15336615,-0.06825314,-0.24017154,-0.35220113,-0.5706442,-0.1983823,-0.21529208,-0.089100406,-0.048288155,-0.071920976,0.045109227,-0.3492632,0.55873907,-0.07896766,-0.11783594,-0.09926551,-0.5818659,-0.14203855,-0.06664966,-0.022244465,-0.08948154,-0.38430968,-0.16140337,-0.08795058,-0.4218735,-0.40842593,-0.11526267,-0.22827534,0.2928572,-0.08652995,-0.34091544,-0.12883839,-0.0583981,-0.052082743,-0.066061795,0.022521175,-0.6306133,-0.23341642,-0.06940588,-0.4579862,-0.17625973,-0.16392021,-0.069542356,0.14233679,0.50281686,0.07094414,-0.4132217,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,0.08251214,-0.05803116,-0.05562216,-0.07355285,-0.06710228,-0.039025616,-0.09467098,-0.021735957,-0.054042384,-0.086983725,-0.042500064,0.050091404,-0.06133266,-0.069158584,-0.04530911,-0.054831173,-0.073929235,-0.059162382,-0.078358516,-0.053536013,-0.20082346,-0.037318762,-0.09654722,-0.19229178,-0.065219104,-0.057666454,-0.06925289,-0.46317843,-0.062246185,0.25195435,-0.18844219,-0.14370757,-0.10399385,0.15158807,-0.09052681,-0.34938216,-0.54590017,-0.22906293,-0.30813402,-0.5097272,-0.041330405,-0.2542373,0.05356105,-0.044886343,-0.69697976,-0.06825314,-0.34584334,-0.62594235,-0.5202598,-0.23249246,-0.21529208,-0.089100406,-0.048288155,-0.071920976,0.063782185,-0.4171236,-0.6816844,-0.07896766,-0.11783594,-0.09926551,-0.25319877,-0.14203855,-0.06664966,-0.34770548,-0.08948154,-0.3155332,-0.14774337,-0.08795058,-0.04591955,-0.45340082,-0.11526267,-0.33152962,-0.028645609,-0.07302167,-0.4082862,-0.12883839,-0.0583981,-0.052082743,-0.066061795,-0.19059616,-0.49415088,-0.23341642,-0.06940588,-0.7226426,-0.17625973,-0.16392021,-0.069542356,-0.09619052,-0.010884303,0.1755646,-0.4043173,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,0.003033822,-0.05803116,-0.05562216,-0.07355285,-0.06710228,-0.039025616,-0.09467098,-0.17969838,-0.054042384,-0.34292507,-0.042500064,-0.24428685,-0.44380733,-0.069158584,-0.10175016,-0.054831173,-0.20128061,-0.059162382,-0.078358516,-0.053536013,-0.33156312,-0.3588113,-0.09654722,-0.04621807,-0.065219104,-0.057666454,-0.06925289,-0.20139103,-0.062246185,-0.25639367,-0.12978114,-0.14370757,0.10035344,-0.4566637,-0.09052681,-0.54905784,-0.52815247,-0.17889255,-0.2625849,-0.45525414,-0.041330405,0.027107984,-0.22488628,-0.044886343,-0.42294428,-0.06825314,-0.32901183,-0.451433,-0.78484124,-0.32123244,-0.21529208,-0.089100406,-0.048288155,-0.071920976,-0.09997062,-0.43381804,-1.323104,-0.07896766,-0.11783594,-0.09926551,-0.08825256,-0.14203855,-0.06664966,-0.1593981,-0.08948154,-0.03697734,-0.36114725,-0.08795058,0.02718452,-0.23952873,-0.11526267,-0.26860374,0.039304398,-0.26329067,-0.20410514,-0.12883839,-0.0583981,-0.052082743,-0.066061795,-0.108182445,-0.4301985,1.1816609,-0.06940588,-0.5896103,-0.17625973,-0.16392021,-0.069542356,-0.5250281,-0.5171065,-0.2885675,-0.684413,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,-0.17863783,-0.05803116,-0.05562216,-0.07355285,-0.06710228,-0.039025616,-0.09467098,-0.29200658,-0.054042384,-0.41923362,-0.042500064,-0.3334045,-0.38430265,-0.069158584,-0.3300132,-0.054831173,-0.42164096,-0.059162382,-0.078358516,-0.053536013,-0.3648553,-0.30582115,-0.09654722,-0.1900458,-0.065219104,-0.057666454,-0.06925289,-0.31920248,-0.062246185,-0.28991085,-0.6323357,-0.14370757,0.03172992,-0.4669323,-0.09052681,-0.3953722,-0.39772284,-0.1448726,-0.6229121,-0.02344199,-0.041330405,0.10679096,-0.27988753,-0.044886343,-0.28031236,-0.06825314,-0.059737857,-0.46729913,0.1185076,-0.0067735068,-0.21529208,-0.089100406,-0.048288155,-0.071920976,0.7121924,-0.45827174,-0.38611126,-0.07896766,-0.11783594,-0.09926551,0.06372066,-0.14203855,-0.06664966,-0.31761447,-0.08948154,-0.24681959,-0.06386584,11.442419,0.071725115,-0.30556974,-0.11526267,-0.18268798,-0.42536286,-0.8141395,-0.40701145,-0.12883839,-0.0583981,-0.052082743,-0.066061795,-0.0707264,-0.55395526,-0.23341642,-0.06940588,0.027712524,-0.17625973,-0.16392021,-0.069542356,-1.523701,-0.80540514,-0.6034454,-0.23693548,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,0.2558799,-0.05803116,-0.05562216,-0.07355285,-0.06710228,-0.039025616,-0.09467098,0.29585013,-0.054042384,-0.15706192,-0.042500064,-0.11403511,0.19199088,-0.069158584,0.28250474,-0.054831173,-0.07377817,-0.059162382,-0.078358516,-0.053536013,0.039493494,0.92865384,-0.09654722,0.0036797028,-0.065219104,-0.057666454,-0.06925289,16.977419,-0.062246185,-0.2708802,0.21447335,-0.14370757,0.1880384,-0.20814203,-0.09052681,0.5107447,-0.02612935,0.37450778,-0.272925,0.58261806,-0.041330405,-0.008716016,-0.3715321,-0.044886343,0.03042097,-0.06825314,-0.4016427,-0.1532109,-0.13553019,-0.06961542,-0.21529208,-0.089100406,-0.048288155,-0.071920976,0.7348931,0.23164392,4.849765e-05,-0.07896766,-0.11783594,-0.09926551,-0.036150683,-0.14203855,-0.06664966,-0.3469324,-0.08948154,0.20620777,0.16276759,-0.08795058,0.11994856,-0.003098298,-0.11526267,0.19493385,-0.37667128,-0.27345356,0.058151405,-0.12883839,-0.0583981,-0.052082743,-0.066061795,10.229894,0.034216244,3.677241,-0.06940588,-0.43754017,-0.17625973,-0.16392021,-0.069542356,-0.39905912,-0.3252559,-0.22710592,-0.29469705,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.05578467,-0.048739262,-0.05803116,-0.05562216,2.4205613,-0.06710228,-0.039025616,-0.09467098,-0.113247186,-0.054042384,-0.05979455,-0.042500064,-0.4885019,-0.0026770309,-0.069158584,-0.15253839,-0.054831173,-0.16323148,-0.059162382,-0.078358516,-0.053536013,0.04559499,-0.3656297,-0.09654722,-0.04696987,-0.065219104,-0.057666454,-0.06925289,-0.28886914,-0.062246185,-0.0915964,0.34685025,-0.14370757,-0.26049864,-0.33822197,-0.09052681,0.24947543,0.117894776,-0.42243168,0.09525665,-0.0016824864,-0.041330405,-0.1965761,-0.39712322,-0.044886343,-0.48890078,-0.06825314,-0.25723177,-0.3364693,-0.100264266,-0.10377448,0.96102065,-0.089100406,-0.048288155,-0.071920976,0.5760963,-0.12455251,-0.019060967,-0.07896766,2.7979865,-0.09926551,0.020650739,-0.14203855,-0.06664966,-0.19000192,-0.08948154,-0.119284436,-0.17624028,-0.08795058,0.08248183,-0.10176468,-0.11526267,-0.14922771,-0.16348425,-0.5003439,0.09375771,-0.12883839,-0.0583981,-0.052082743,-0.066061795,-0.09964505,0.034229375,-0.23341642,-0.06940588,-0.10254834,-0.17625973,-0.16392021,-0.069542356,-0.42354706,-0.5451984,-0.5097157,-0.23685376,0
