rnaseq_gene__GENE_TTTY5,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_HSFX1,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_SNAR-A13,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_PRM1,rnaseq_gene__GENE_OR4B1,rnaseq_gene__GENE_XKRY2,methylation_gene__GENE_OSBPL6,rnaseq_gene__GENE_OR5M3,rnaseq_gene__GENE_NCRNA00230B,methylation_gene__GENE_GPI,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_FLJ44082,rnaseq_gene__GENE_SPO11,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_OR10J1,methylation_gene__GENE_CASP6,methylation_gene__GENE_EXT1,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_FAM41AY1,methylation_gene__GENE_PNN,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_COMMD5,rnaseq_gene__GENE_MS4A5,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_RBMY2FP,methylation_gene__GENE_MAP3K9,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_KRTAP27-1,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_ZNF721;PIGG,rnaseq_gene__GENE_OR10T2,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_PPIAL4B,methylation_gene__GENE_PIGC;C1ORF105,methylation_gene__GENE_NDE1;KIAA0430,methylation_gene__GENE_CNOT10,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_OR8H1,methylation_gene__GENE_LPPR2,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_UCMA,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_BCYRN1,methylation_gene__GENE_ASAH1,rnaseq_gene__GENE_PRM2,methylation_gene__GENE_BID,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_YJU2B,rnaseq_gene__GENE_DEFB129,methylation_gene__GENE_CDK5RAP1,methylation_gene__GENE_CNP,methylation_gene__GENE_ZNF44,rnaseq_gene__GENE_ADAM5P,methylation_gene__GENE_SPSB1,methylation_gene__GENE_CYP51A1,methylation_gene__GENE_PPP2R5D,methylation_gene__GENE_SCRIB,methylation_gene__GENE_QTRT1,rnaseq_gene__GENE_OR51A7,rnaseq_gene__GENE_FLJ43859,methylation_gene__GENE_B2M,methylation_gene__GENE_KIAA1328;C18ORF10,rnaseq_gene__GENE_KRTAP19-6,methylation_gene__GENE_OBFC2B,rnaseq_gene__GENE_OR6C76,methylation_gene__GENE_RSPH3,rnaseq_gene__GENE_OR4P4,rnaseq_gene__GENE_OR5A1,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_OR5B3,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_SUV39H2,methylation_gene__GENE_VEGFB,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_TSPY1,methylation_gene__GENE_RBP5;CLSTN3,methylation_gene__GENE_CNIH,methylation_gene__GENE_LRRC20,methylation_gene__GENE_ST3GAL1,methylation_gene__GENE_ACTR1A;SUFU,methylation_gene__GENE_GMCL1,methylation_gene__GENE_NACC1;TRMT1,methylation_gene__GENE_LASS5,rnaseq_gene__GENE_PRDM14,methylation_gene__GENE_SDC1,rnaseq_gene__GENE_SNORA28,methylation_gene__GENE_ENTPD6,methylation_gene__GENE_ZNF33B,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,0.29696387,-0.053536013,-0.05998392,0.18294889,-0.067629814,-0.054042384,-0.06710228,-0.0679732,-0.07421895,0.37512636,0.047453728,-0.035036173,-0.039025616,0.36188236,-0.042500064,0.0015077826,-0.069158584,0.23064291,-0.039873518,0.2569746,-0.09654722,-0.05008855,-0.14113313,0.30067533,-0.065219104,-0.08720162,-0.05578467,2.1583543,-0.059406396,0.5404921,-0.050053358,-0.057666454,0.16414265,-0.06925289,-0.17236899,-0.04061949,-0.078358516,-0.029027075,-0.09052681,0.77753603,0.49041125,1.2674023,0.4818272,-0.06825314,0.7981819,0.29769805,0.1412926,-0.13250025,0.18715808,0.2938332,0.30446488,0.15346035,0.6938821,-0.06867951,-0.1053454,0.17234565,0.63164926,-0.041330405,0.47386664,-0.07708009,0.28290993,-0.044886343,4.4264455,-0.14370757,-0.06940588,0.05212484,-0.27909598,-0.18246691,-0.15192229,-0.061940223,0.107172646,0.044528294,-0.1851329,0.5072738,0.19357608,0.34237644,0.19510004,0.07087298,-0.19387476,0.6688122,-0.06664966,0.3547302,0.14871067,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,0.14408222,-0.053536013,-0.05998392,0.2519819,-0.067629814,-0.054042384,30.83582,-0.0679732,-0.07421895,0.36113,0.04125374,0.009274068,-0.039025616,0.4907677,-0.042500064,-0.14006795,-0.069158584,0.23741616,-0.039873518,0.44599015,-0.09654722,-0.05008855,0.22169577,0.07336485,-0.065219104,-0.08720162,-0.05578467,0.015296173,-0.40123782,1.0764732,-0.050053358,-0.057666454,0.3227259,-0.06925289,-0.17236899,-0.04061949,-0.078358516,0.39201245,-0.09052681,0.42796913,0.26087317,0.005302961,0.28442514,-0.06825314,0.60413295,0.029136814,0.7085159,-0.13250025,0.9433114,-0.13274635,0.3545332,-0.17873953,0.032848418,-0.06867951,-0.1053454,-0.28682423,0.5264698,-0.041330405,0.52858096,-0.07708009,0.37521067,-0.044886343,-0.09926551,-0.14370757,-0.06940588,1.9839693,0.21305072,-0.17414246,0.029630613,-0.061940223,0.28451768,0.051413078,0.03049759,0.70254546,0.10891759,-0.03156322,0.51898986,0.74833775,3.734848,0.51788425,-0.06664966,0.054175705,0.729406,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,0.122660324,-0.053536013,-0.05998392,0.095958374,-0.067629814,-0.054042384,-0.06710228,-0.0679732,-0.07421895,0.6749041,0.12858088,-0.12913686,-0.039025616,0.15015991,-0.042500064,1.3784536,-0.069158584,0.035866335,-0.039873518,0.16161573,-0.09654722,-0.05008855,0.95313257,0.52512807,-0.065219104,-0.08720162,-0.05578467,-0.07691266,-0.1982971,0.4075733,-0.050053358,-0.057666454,0.14362983,-0.06925289,-0.17236899,-0.04061949,-0.078358516,-0.03564718,-0.09052681,0.14811425,0.35930058,-0.2572846,0.3397873,-0.06825314,0.23157936,0.1986341,-0.047881234,-0.13250025,1.5997264,0.009004323,0.061138358,-0.4631829,0.33203012,-0.06867951,-0.1053454,-0.49928555,-0.18258774,-0.041330405,0.40342945,-0.07708009,0.28620365,-0.044886343,-0.09926551,-0.14370757,-0.06940588,0.05691756,-0.06689845,-0.16322315,-0.09042247,-0.061940223,0.44650638,-0.058497705,-0.19694573,-0.2542429,-0.16327752,0.32581726,0.35772586,0.03229946,-0.19387476,0.010911069,-0.06664966,0.3324791,0.3160087,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,-0.18350211,-0.053536013,-0.05998392,0.10214165,-0.067629814,-0.054042384,-0.06710228,-0.0679732,-0.07421895,0.093613155,-0.015492707,-0.2819493,-0.039025616,-0.031178063,-0.042500064,0.20750016,-0.069158584,0.019703066,-0.039873518,-0.00067577366,-0.09654722,-0.05008855,-0.30292547,-0.05385646,-0.065219104,-0.08720162,-0.05578467,-0.25494173,0.019590158,-0.12903625,-0.050053358,-0.057666454,-0.010312691,-0.06925289,-0.17236899,-0.04061949,-0.078358516,-0.24017154,-0.09052681,0.053999446,-0.3338707,-0.5896402,0.10143314,-0.06825314,-0.13689834,0.34295535,0.007443731,-0.13250025,0.09607844,-0.11090562,-0.013207797,-0.29871964,-0.1995029,-0.06867951,-0.1053454,0.048516035,-0.15336615,-0.041330405,-0.3240726,-0.07708009,0.22868049,-0.044886343,-0.09926551,-0.14370757,-0.06940588,0.55873907,-0.5706442,-0.3492632,-0.1983823,-0.061940223,-0.3336466,-0.4218735,0.17188077,-0.017967097,-0.5818659,-0.40842593,0.06247911,-0.4132217,-0.19387476,0.14306092,-0.06664966,-0.6306133,-0.22021592,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,0.08251214,-0.053536013,-0.05998392,-0.08658419,-0.067629814,-0.054042384,-0.06710228,-0.0679732,-0.07421895,0.050091404,-0.04530911,-0.48498088,-0.039025616,-0.086983725,-0.042500064,0.5973911,-0.069158584,-0.49400833,-0.039873518,-0.20082346,-0.09654722,-0.05008855,-0.073929235,-0.19229178,-0.065219104,-0.08720162,-0.05578467,-0.37077317,-0.34823158,-0.15693864,-0.050053358,-0.057666454,-0.021735957,-0.06925289,-0.17236899,-0.04061949,-0.078358516,-0.34584334,-0.09052681,0.15158807,0.014027945,-0.3964274,-0.30813402,-0.06825314,-0.10399385,-0.18844219,-0.54590017,-0.13250025,0.014804954,-0.027341252,-0.22906293,-0.5097272,-0.26652703,-0.06867951,-0.1053454,-0.2542373,-0.69697976,-0.041330405,-0.34938216,-0.07708009,0.05356105,-0.044886343,-0.09926551,-0.14370757,-0.06940588,-0.6816844,-0.5202598,-0.4171236,-0.23249246,-0.061940223,-0.5939129,-0.04591955,-0.42026007,-0.088339545,-0.25319877,-0.45340082,0.3315243,-0.4043173,-0.19387476,-0.16582578,-0.06664966,-0.49415088,-0.09836335,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,-0.12225317,-0.053536013,-0.05998392,-0.16173632,-0.067629814,-0.054042384,-0.06710228,29.66682,-0.07421895,0.38779214,-0.22995704,-0.4062858,-0.039025616,0.05508806,-0.042500064,-0.41013667,-0.069158584,-0.5697412,-0.039873518,-0.30798945,-0.09654722,-0.05008855,-0.04141815,-0.30156872,-0.065219104,-0.08720162,-0.05578467,-0.28366452,0.24955367,0.28992623,-0.050053358,-0.057666454,-0.112781644,-0.06925289,-0.17236899,-0.04061949,-0.078358516,0.66419744,-0.09052681,-0.80404365,-0.5374824,-0.4965998,-0.36832228,-0.06825314,-0.62134945,-0.27653405,-0.11395588,-0.13250025,-0.12508641,-0.17207763,-0.0068120486,-0.6014492,-0.31691542,-0.06867951,-0.1053454,-0.3136486,-0.22777955,-0.041330405,0.26173994,-0.07708009,0.363912,-0.044886343,-0.09926551,-0.14370757,6.499733,-0.970754,-0.5158937,-0.33989236,0.23902906,-0.061940223,-0.020897005,-0.18355137,-0.39638203,-0.28232503,-0.34465763,-0.47632927,-0.39243972,-0.45911855,1.4741709,-0.1538012,-0.06664966,-0.26187956,-0.34003553,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,0.003033822,-0.053536013,-0.05998392,-0.19832766,-0.067629814,-0.054042384,-0.06710228,-0.0679732,-0.07421895,-0.24428685,-0.10175016,-0.35960487,-0.039025616,-0.34292507,-0.042500064,-0.10868358,-0.069158584,-0.29191408,-0.039873518,-0.33156312,-0.09654722,-0.05008855,-0.20128061,-0.04621807,-0.065219104,-0.08720162,-0.05578467,-0.047341704,-0.092538364,0.31734,-0.050053358,-0.057666454,-0.17969838,-0.06925289,-0.17236899,-0.04061949,-0.078358516,-0.32901183,-0.09052681,-0.4566637,-0.36250314,-0.5766177,-0.2625849,-0.06825314,0.10035344,-0.12978114,-0.52815247,-0.13250025,-0.8880222,-0.16315022,-0.17889255,-0.45525414,-0.32771197,-0.06867951,-0.1053454,0.027107984,-0.42294428,-0.041330405,-0.54905784,-0.07708009,-0.22488628,-0.044886343,-0.09926551,-0.14370757,-0.06940588,-1.323104,-0.78484124,-0.43381804,-0.32123244,-0.061940223,0.023723058,0.02718452,-0.6198474,-0.7373943,-0.08825256,-0.23952873,-0.50739527,-0.684413,-0.19387476,-0.49046534,-0.06664966,-0.4301985,-0.29308355,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,0.10678903,-0.053536013,-0.05998392,-0.08343716,-0.067629814,-0.054042384,-0.06710228,-0.0679732,-0.07421895,-0.17719148,0.03866025,0.12011606,-0.039025616,-0.15852861,-0.042500064,-0.26514336,-0.069158584,-0.060981262,-0.039873518,0.20228925,-0.09654722,-0.05008855,-0.1266541,-0.04891446,-0.065219104,-0.08720162,-0.05578467,0.14162144,-0.5443985,0.27632806,-0.050053358,-0.057666454,-0.113159,-0.06925289,-0.17236899,-0.04061949,-0.078358516,0.10124547,-0.09052681,-0.20232221,-0.33585742,0.23524143,-0.3793243,-0.06825314,-0.05709003,0.14428157,-0.044638727,-0.13250025,0.2407127,-0.18359837,0.41056055,0.61090565,-0.20841007,-0.06867951,-0.1053454,-0.18398409,0.1213794,-0.041330405,0.0830313,-0.07708009,-0.8841017,-0.044886343,-0.09926551,-0.14370757,-0.06940588,-0.061688613,-0.039854575,-0.15632717,-0.30572116,-0.061940223,-0.16057037,0.069383554,-0.06186747,0.22784412,-0.09323182,0.05669328,-0.39563727,-0.050377708,-0.19387476,-0.21289678,-0.06664966,0.49037334,-0.026363669,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.051822077,-0.5345155,-0.053536013,-0.05998392,-0.09081804,-0.067629814,-0.054042384,-0.06710228,-0.0679732,-0.07421895,-0.12802352,-0.28989932,-0.667513,-0.039025616,-0.33125073,-0.042500064,0.040965132,-0.069158584,-0.3458404,-0.039873518,-0.37810174,-0.09654722,-0.05008855,-0.12523481,-0.1752615,-0.065219104,-0.08720162,-0.05578467,0.21281907,0.04094773,-0.39222795,-0.050053358,-0.057666454,-0.12508807,-0.06925289,-0.17236899,-0.04061949,-0.078358516,-0.042180724,-0.09052681,0.43817562,-0.5281125,-0.4531222,-0.11712981,-0.06825314,-0.35040656,-0.22647238,-0.27481735,-0.13250025,0.67831725,-0.25319222,-0.49489924,-0.21392961,-0.17959459,-0.06867951,-0.1053454,-0.37691867,-0.77106476,-0.041330405,-0.65297306,-0.07708009,0.7063027,-0.044886343,-0.09926551,-0.14370757,-0.06940588,-0.0794803,-0.4135475,-0.5688526,-0.3447013,-0.061940223,0.18222055,-0.5922564,-0.17775714,-0.6440362,-0.3309967,-0.2841756,-0.17031978,-0.11912536,-0.19387476,-0.89587355,-0.06664966,-0.50677174,-0.3150327,0
