rnaseq_gene__GENE_TTTY5,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_HSFX1,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_SNAR-A13,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_PRM1,rnaseq_gene__GENE_OR4B1,rnaseq_gene__GENE_SNORD8,rnaseq_gene__GENE_LRRC30,methylation_gene__GENE_OSBPL6,methylation_gene__GENE_ADAR,methylation_gene__GENE_CDK2AP2,rnaseq_gene__GENE_FLJ44082,rnaseq_gene__GENE_SLC6A5,methylation_gene__GENE_CASP6,rnaseq_gene__GENE_SPO11,methylation_gene__GENE_COMMD5,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_EXT1,rnaseq_gene__GENE_OR10J1,methylation_gene__GENE_LPPR2,methylation_gene__GENE_PNN,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_NCRNA00230B,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_ZNF721;PIGG,methylation_gene__GENE_TRAPPC2L;GALNS,methylation_gene__GENE_MAP3K9,rnaseq_gene__GENE_PPIAL4B,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_MS4A5,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_VN1R4,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_RBMY2FP,methylation_gene__GENE_ACPL2,methylation_gene__GENE_NDE1;KIAA0430,rnaseq_gene__GENE_XKRY2,rnaseq_gene__GENE_ADAM5P,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_ASAH1,methylation_gene__GENE_VEGFA,methylation_gene__GENE_YJU2B,methylation_gene__GENE_CNOT10,methylation_gene__GENE_BID,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_TAAR6,methylation_gene__GENE_CDK5RAP1,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_BCYRN1,methylation_gene__GENE_PPP2R5D,methylation_gene__GENE_QTRT1,methylation_gene__GENE_B2M,rnaseq_gene__GENE_PRM2,rnaseq_gene__GENE_OR5H15,methylation_gene__GENE_CNP,methylation_gene__GENE_ZNF44,methylation_gene__GENE_SCRIB,methylation_gene__GENE_CNIH,methylation_gene__GENE_ACTR1A;SUFU,methylation_gene__GENE_PGAP1,methylation_gene__GENE_ZNF624,methylation_gene__GENE_UBE3B;KCTD10,rnaseq_gene__GENE_MYF5,methylation_gene__GENE_PTGR2,methylation_gene__GENE_NSUN5,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_TSPY1,rnaseq_gene__GENE_OR5A1,rnaseq_gene__GENE_OR8H1,methylation_gene__GENE_SPSB1,methylation_gene__GENE_ZNF619,rnaseq_gene__GENE_FLJ43859,methylation_gene__GENE_ST3GAL1,rnaseq_gene__GENE_KRTAP19-6,methylation_gene__GENE_DVL1,rnaseq_gene__GENE_OR6C76,methylation_gene__GENE_LRRC20,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_KIF15;KIAA1143,methylation_gene__GENE_RSPH3,rnaseq_gene__GENE_LELP1,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_TNIP1,methylation_gene__GENE_LASS5,rnaseq_gene__GENE_C20ORF166,methylation_gene__GENE_GMCL1,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,0.29696387,0.43491757,0.12295953,-0.054042384,-0.067629814,0.37512636,-0.06710228,0.0015077826,-0.035036173,-0.0679732,0.047453728,-0.07421895,0.16414265,0.36188236,0.23064291,-0.05998392,-0.042500064,0.30067533,0.26560614,0.2569746,-0.05578467,-0.08720162,-0.069158584,0.8020264,-0.05562216,-0.054831173,-0.14113313,-0.039873518,0.7476855,-0.059406396,-0.051822077,-0.13250025,0.63045555,0.49041125,0.14871067,-0.029027075,-0.05125228,0.4818272,0.5404921,0.77753603,-0.050053358,-0.06925289,0.7981819,-0.04061949,-0.078358516,0.30446488,0.6938821,0.17234565,-0.09052681,-0.05800454,0.29769805,0.1412926,0.15346035,0.044528294,0.19357608,0.15189625,0.15315995,0.20845124,-0.105133064,-0.06924885,0.66948795,0.7617472,-0.061940223,4.4264455,-0.057666454,0.18715808,0.30465758,-0.1053454,0.5072738,-0.041330405,0.61866623,-0.07708009,-0.1851329,-0.14370757,0.16161367,0.28290993,-0.06767534,0.05212484,-0.06140584,0.07087298,-0.11526267,0.34237644,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,0.14408222,0.17455123,-0.24767935,-0.054042384,-0.067629814,0.36113,30.83582,-0.14006795,0.009274068,-0.0679732,0.04125374,-0.07421895,0.3227259,0.4907677,0.23741616,-0.05998392,-0.042500064,0.07336485,0.42623574,0.44599015,-0.05578467,-0.08720162,-0.069158584,0.78188914,-0.05562216,-0.054831173,0.22169577,-0.039873518,0.72762567,-0.40123782,-0.051822077,-0.13250025,0.38247553,0.26087317,0.729406,0.39201245,-0.028464263,0.28442514,1.0764732,0.42796913,-0.050053358,-0.06925289,0.60413295,-0.04061949,-0.078358516,0.3545332,0.032848418,-0.28682423,-0.09052681,-0.05800454,0.029136814,0.7085159,-0.17873953,0.051413078,0.10891759,-0.15467298,0.30809772,0.44950238,-0.105133064,-0.312405,0.22245455,0.55066955,-0.061940223,-0.09926551,-0.057666454,0.9433114,-0.26892838,-0.1053454,0.70254546,-0.041330405,0.09141373,-0.07708009,0.03049759,-0.14370757,0.3038591,0.37521067,-0.06767534,1.9839693,0.25303626,0.74833775,-0.11526267,-0.03156322,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,-0.20045902,0.57892925,0.1484289,-0.054042384,-0.067629814,0.39536414,-0.06710228,0.13546705,-0.2567603,-0.0679732,0.013146481,-0.07421895,0.028524911,0.23597416,0.23126501,-0.05998392,-0.042500064,0.019383963,0.55794924,0.1465024,-0.05578467,-0.08720162,-0.069158584,0.20012291,-0.05562216,-0.054831173,0.1355378,-0.039873518,1.3346683,0.07224356,-0.051822077,-0.13250025,0.09802495,0.5461737,0.11228093,0.10578244,-0.31748182,0.05728857,1.1095629,0.6276185,-0.050053358,-0.06925289,-0.32000992,-0.04061949,-0.078358516,0.19795002,0.20119487,0.21766737,-0.09052681,-0.05800454,0.37414527,0.17307654,-0.1498576,0.33833018,0.23667414,-0.061139487,0.2723116,0.1220137,-0.105133064,-0.43640238,0.7692807,0.57346845,-0.061940223,-0.09926551,-0.057666454,0.46809566,-0.19697188,-0.1053454,0.050673194,-0.041330405,0.07711687,-0.07708009,-0.064418115,-0.14370757,0.029730145,-0.11495952,-0.06767534,0.5766715,0.03800909,-0.3069687,-0.11526267,0.36451972,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,-0.18350211,-0.096484266,0.14196536,-0.054042384,-0.067629814,0.093613155,-0.06710228,0.20750016,-0.2819493,-0.0679732,-0.015492707,-0.07421895,-0.010312691,-0.031178063,0.019703066,-0.05998392,-0.042500064,-0.05385646,0.057285365,-0.00067577366,-0.05578467,-0.08720162,-0.069158584,-0.14661795,-0.05562216,-0.054831173,-0.30292547,-0.039873518,0.002228383,0.019590158,-0.051822077,-0.13250025,-0.11811119,-0.3338707,-0.22021592,-0.24017154,-0.05252108,0.10143314,-0.12903625,0.053999446,-0.050053358,-0.06925289,-0.13689834,-0.04061949,-0.078358516,-0.013207797,-0.1995029,0.048516035,-0.09052681,-0.05800454,0.34295535,0.007443731,-0.29871964,-0.4218735,-0.5818659,-0.29686168,-0.1525013,-0.5697509,-0.105133064,-0.35220113,-0.19733639,-0.2492285,-0.061940223,-0.09926551,-0.057666454,0.09607844,-0.15159962,-0.1053454,-0.017967097,-0.041330405,0.07094414,-0.07708009,0.17188077,-0.14370757,-0.23802868,0.22868049,-0.06767534,0.55873907,-0.08063693,-0.4132217,-0.11526267,-0.40842593,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,0.08251214,0.016616315,-0.39062223,-0.054042384,-0.067629814,0.050091404,-0.06710228,0.5973911,-0.48498088,-0.0679732,-0.04530911,-0.07421895,-0.021735957,-0.086983725,-0.49400833,-0.05998392,-0.042500064,-0.19229178,-0.06133266,-0.20082346,-0.05578467,-0.08720162,-0.069158584,-0.160841,-0.05562216,-0.054831173,-0.073929235,-0.039873518,-0.10187517,-0.34823158,-0.051822077,-0.13250025,0.038442627,0.014027945,-0.09836335,-0.34584334,-0.037318762,-0.30813402,-0.15693864,0.15158807,-0.050053358,-0.06925289,-0.10399385,-0.04061949,-0.078358516,-0.22906293,-0.26652703,-0.2542373,-0.09052681,-0.05800454,-0.18844219,-0.54590017,-0.5097272,-0.04591955,-0.25319877,-0.2895278,-0.6943708,-0.46323833,-0.105133064,-0.62594235,0.035159115,-0.27127647,-0.061940223,-0.09926551,-0.057666454,0.014804954,-0.24452844,-0.1053454,-0.088339545,-0.041330405,0.1755646,-0.07708009,-0.42026007,-0.14370757,-0.04086746,0.05356105,-0.06767534,-0.6816844,-0.62687105,-0.4043173,-0.11526267,-0.45340082,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,-0.12225317,-0.14713787,-0.33724922,-0.054042384,-0.067629814,0.38779214,-0.06710228,-0.41013667,-0.4062858,29.66682,-0.22995704,-0.07421895,-0.112781644,0.05508806,-0.5697412,-0.05998392,-0.042500064,-0.30156872,-0.07150848,-0.30798945,-0.05578467,-0.08720162,-0.069158584,-0.2746765,-0.05562216,-0.054831173,-0.04141815,-0.039873518,-0.032206632,0.24955367,-0.051822077,-0.13250025,-0.22629943,-0.5374824,-0.34003553,0.66419744,-0.0075936196,-0.36832228,0.28992623,-0.80404365,-0.050053358,-0.06925289,-0.62134945,-0.04061949,-0.078358516,-0.0068120486,-0.31691542,-0.3136486,-0.09052681,-0.05800454,-0.27653405,-0.11395588,-0.6014492,-0.18355137,-0.34465763,-0.35928154,-0.34459332,0.009972543,-0.105133064,-0.14977585,-0.30510747,-0.057804774,-0.061940223,-0.09926551,-0.057666454,-0.12508641,-0.055531196,-0.1053454,-0.28232503,-0.041330405,-0.14505199,-0.07708009,-0.39638203,-0.14370757,-0.2045841,0.363912,-0.06767534,-0.970754,-0.55396444,-0.45911855,-0.11526267,-0.47632927,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,0.003033822,-0.27712643,0.06308561,-0.054042384,-0.067629814,-0.24428685,-0.06710228,-0.10868358,-0.35960487,-0.0679732,-0.10175016,-0.07421895,-0.17969838,-0.34292507,-0.29191408,-0.05998392,-0.042500064,-0.04621807,-0.44380733,-0.33156312,-0.05578467,-0.08720162,-0.069158584,-0.20859727,-0.05562216,-0.054831173,-0.20128061,-0.039873518,-0.2028569,-0.092538364,-0.051822077,-0.13250025,-0.14202435,-0.36250314,-0.29308355,-0.32901183,-0.3588113,-0.2625849,0.31734,-0.4566637,-0.050053358,-0.06925289,0.10035344,-0.04061949,-0.078358516,-0.17889255,-0.32771197,0.027107984,-0.09052681,-0.05800454,-0.12978114,-0.52815247,-0.45525414,0.02718452,-0.08825256,-0.23917393,-0.20620267,0.25034568,-0.105133064,-0.451433,-0.06679495,-0.48128733,-0.061940223,-0.09926551,-0.057666454,-0.8880222,-0.21694036,-0.1053454,-0.7373943,-0.041330405,-0.2885675,-0.07708009,-0.6198474,-0.14370757,0.2131415,-0.22488628,-0.06767534,-1.323104,-0.20923848,-0.684413,-0.11526267,-0.23952873,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,0.10678903,-0.0050814194,-0.09127277,-0.054042384,-0.067629814,-0.17719148,-0.06710228,-0.26514336,0.12011606,-0.0679732,0.03866025,-0.07421895,-0.113159,-0.15852861,-0.060981262,-0.05998392,-0.042500064,-0.04891446,-0.41973817,0.20228925,-0.05578467,-0.08720162,-0.069158584,0.001589194,-0.05562216,-0.054831173,-0.1266541,-0.039873518,-0.016315434,-0.5443985,-0.051822077,-0.13250025,-0.06348308,-0.33585742,-0.026363669,0.10124547,0.131724,-0.3793243,0.27632806,-0.20232221,-0.050053358,-0.06925289,-0.05709003,-0.04061949,-0.078358516,0.41056055,-0.20841007,-0.18398409,-0.09052681,-0.05800454,0.14428157,-0.044638727,0.61090565,0.069383554,-0.09323182,-0.40057236,-0.08773452,12.039299,-0.105133064,-0.11398026,-0.29192448,0.051245335,-0.061940223,-0.09926551,-0.057666454,0.2407127,-0.057213724,-0.1053454,0.22784412,-0.041330405,-0.05391676,-0.07708009,-0.06186747,-0.14370757,-0.23964483,-0.8841017,-0.06767534,-0.061688613,0.065017104,-0.050377708,-0.11526267,0.05669328,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.04482511,-0.03489425,-0.05803116,-0.5345155,-0.27437282,-0.48682207,-0.054042384,-0.067629814,-0.12802352,-0.06710228,0.040965132,-0.667513,-0.0679732,-0.28989932,-0.07421895,-0.12508807,-0.33125073,-0.3458404,-0.05998392,-0.042500064,-0.1752615,-0.18629761,-0.37810174,-0.05578467,-0.08720162,-0.069158584,-0.38270107,-0.05562216,-0.054831173,-0.12523481,-0.039873518,-0.114545524,0.04094773,-0.051822077,-0.13250025,-0.23640743,-0.5281125,-0.3150327,-0.042180724,-0.1843051,-0.11712981,-0.39222795,0.43817562,-0.050053358,-0.06925289,-0.35040656,-0.04061949,-0.078358516,-0.49489924,-0.17959459,-0.37691867,-0.09052681,-0.05800454,-0.22647238,-0.27481735,-0.21392961,-0.5922564,-0.3309967,-0.19420971,-0.013435239,-0.6859813,-0.105133064,-0.58054376,-0.19320671,0.46519563,-0.061940223,-0.09926551,-0.057666454,0.67831725,-0.18793975,-0.1053454,-0.6440362,-0.041330405,0.40990865,-0.07708009,-0.17775714,-0.14370757,0.14160612,0.7063027,-0.06767534,-0.0794803,-0.47498173,-0.11912536,-0.11526267,-0.2841756,0
