rnaseq_gene__GENE_TTTY5,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_HSFX1,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_PRM1,rnaseq_gene__GENE_SNORD8,rnaseq_gene__GENE_SPO11,methylation_gene__GENE_OSBPL6,methylation_gene__GENE_GPI,rnaseq_gene__GENE_LRRC30,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_XKRY2,methylation_gene__GENE_COMMD5,methylation_gene__GENE_EXT1,methylation_gene__GENE_LPPR2,methylation_gene__GENE_PNN,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_CASP6,methylation_gene__GENE_PRDX6,methylation_gene__GENE_SLC25A38,rnaseq_gene__GENE_MS4A5,rnaseq_gene__GENE_LCN9,rnaseq_gene__GENE_OR5M3,methylation_gene__GENE_ACPL2,methylation_gene__GENE_ZNF721;PIGG,rnaseq_gene__GENE_OR4D10,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_CNOT10,rnaseq_gene__GENE_OR8H1,methylation_gene__GENE_NDE1;KIAA0430,rnaseq_gene__GENE_TAAR6,methylation_gene__GENE_FRY,rnaseq_gene__GENE_MYF5,methylation_gene__GENE_CDK5RAP1,methylation_gene__GENE_YJU2B,methylation_gene__GENE_CNP,rnaseq_gene__GENE_PRM2,methylation_gene__GENE_ENO2,methylation_gene__GENE_PPP2R5D,methylation_gene__GENE_BID,methylation_gene__GENE_SCRIB,methylation_gene__GENE_ZNF44,rnaseq_gene__GENE_OR5B3,methylation_gene__GENE_B2M,methylation_gene__GENE_ASAH1,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_NSUN5,methylation_gene__GENE_CYP51A1,rnaseq_gene__GENE_CRYGC,rnaseq_gene__GENE_OR5A1,methylation_gene__GENE_RSPH3,rnaseq_gene__GENE_C20ORF166,methylation_gene__GENE_ST3GAL1,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_DHRS7C,rnaseq_gene__GENE_OTUD6A,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_ERCC8;NDUFAF2,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_ACTR1A;SUFU,rnaseq_gene__GENE_SNORA70B,methylation_gene__GENE_CNIH,rnaseq_gene__GENE_OR5M9,methylation_gene__GENE_MAP3K13,methylation_gene__GENE_STAMBPL1,rnaseq_gene__GENE_TMIGD1,methylation_gene__GENE_NACC1;TRMT1,rnaseq_gene__GENE_OR51A7,methylation_gene__GENE_FGF22,methylation_gene__GENE_GMCL1,rnaseq_gene__GENE_KRTAP4-11,methylation_gene__GENE_ENTPD6,methylation_gene__GENE_ADK;AP3M1,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_LIM2,methylation_gene__GENE_SDC1,rnaseq_gene__GENE_OR6C4,methylation_gene__GENE_LASS5,rnaseq_gene__GENE_P2RX6P,methylation_gene__GENE_GMFB,methylation_gene__GENE_UNC84B,rnaseq_gene__GENE_PYDC2,methylation_gene__GENE_PNP,methylation_gene__GENE_ITPA,methylation_gene__GENE_PLEKHB2,methylation_gene__GENE_DVL1,methylation_gene__GENE_TNIP1,rnaseq_gene__GENE_PRODH2,methylation_gene__GENE_KIF15;KIAA1143,rnaseq_gene__GENE_PAGE3,rnaseq_gene__GENE_KRTAP4-9,rnaseq_gene__GENE_ZNF735,methylation_gene__GENE_DIS3L,rnaseq_gene__GENE_LOC642929,rnaseq_gene__GENE_FAM99A,methylation_gene__GENE_CCRN4L,rnaseq_gene__GENE_C21ORF131,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.06710228,0.29696387,0.18294889,-0.05803116,-0.07355285,-0.051822077,0.0015077826,0.047453728,0.16414265,0.36188236,-0.042500064,0.37512636,0.23064291,-0.022540353,-0.069158584,-0.059162382,-0.053536013,0.7476855,0.30067533,-0.09654722,-0.14113313,0.2569746,0.5404921,-0.057666454,-0.059406396,-0.06925289,0.6557903,-0.105133064,0.7981819,0.4818272,0.29769805,-0.09052681,-0.32059684,0.30446488,0.77753603,0.15346035,0.1412926,-0.06940588,0.17234565,-0.029027075,-0.14370757,0.66948795,0.2938332,-0.11783594,4.4264455,0.28290993,-0.11526267,0.5072738,-0.15192229,-0.17625973,-0.1489025,-0.21529208,0.2398301,0.05212484,0.19357608,-0.073301435,0.044528294,-0.08870556,-0.027690042,-0.16520421,-0.13838363,0.19510004,-0.06867951,-0.12388846,0.34237644,-0.14203855,0.3547302,-0.0008208119,0.54176915,-0.23341642,0.6688122,-0.0583981,0.07087298,-0.052082743,-0.037170887,-0.41376457,-0.07286304,0.44180295,-0.005793088,0.077585824,0.61866623,-0.06140584,-0.16565828,0.16161367,-0.066061795,-0.14983527,-0.09391567,0.005384936,-0.11322361,-0.069542356,0.09339403,-0.09370761,0
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,30.83582,0.14408222,0.2519819,-0.05803116,-0.07355285,-0.051822077,-0.14006795,0.04125374,0.3227259,0.4907677,-0.042500064,0.36113,0.23741616,-0.13901283,-0.069158584,-0.059162382,-0.053536013,0.72762567,0.07336485,-0.09654722,0.22169577,0.44599015,1.0764732,-0.057666454,-0.40123782,-0.06925289,-0.037045516,-0.105133064,0.60413295,0.28442514,0.029136814,-0.09052681,-0.28004757,0.3545332,0.42796913,-0.17873953,0.7085159,-0.06940588,-0.28682423,0.39201245,-0.14370757,0.22245455,-0.13274635,-0.11783594,-0.09926551,0.37521067,-0.11526267,0.70254546,0.029630613,-0.17625973,-0.1489025,-0.21529208,-0.22329545,1.9839693,0.10891759,-0.073301435,0.051413078,-0.08870556,0.2127256,-0.008091801,-0.13838363,0.51898986,-0.06867951,-0.07056315,-0.03156322,-0.14203855,0.054175705,0.15554622,-0.054913558,-0.23341642,0.51788425,-0.0583981,0.74833775,-0.052082743,0.7243944,0.64894956,-0.07286304,0.18059543,-0.2503479,0.09177512,0.09141373,0.25303626,-0.16565828,0.3038591,-0.066061795,-0.14983527,-0.09391567,-0.30558482,-0.11322361,-0.069542356,0.2744608,-0.09370761,0
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.06710228,-0.20045902,0.24464342,-0.05803116,-0.07355285,-0.051822077,0.13546705,0.013146481,0.028524911,0.23597416,-0.042500064,0.39536414,0.23126501,0.017243546,-0.069158584,-0.059162382,-0.053536013,1.3346683,0.019383963,-0.09654722,0.1355378,0.1465024,1.1095629,-0.057666454,0.07224356,-0.06925289,0.21125478,-0.105133064,-0.32000992,0.05728857,0.37414527,-0.09052681,-0.11980332,0.19795002,0.6276185,-0.1498576,0.17307654,-0.06940588,0.21766737,0.10578244,-0.14370757,0.7692807,-0.021513062,-0.11783594,-0.09926551,-0.11495952,-0.11526267,0.050673194,-0.19309218,-0.17625973,-0.1489025,-0.21529208,0.5963305,0.5766715,0.23667414,-0.073301435,0.33833018,-0.08870556,0.31014085,-0.21724093,-0.13838363,0.32274202,-0.06867951,-0.05657503,0.36451972,-0.14203855,0.14277592,-0.076402836,-0.09030614,-0.23341642,0.75122714,-0.0583981,-0.3069687,-0.052082743,0.341874,-0.72154474,-0.07286304,0.7556318,0.059852283,0.3056901,0.07711687,0.03800909,-0.16565828,0.029730145,-0.066061795,-0.14983527,-0.09391567,0.17364524,-0.11322361,-0.069542356,0.026817147,-0.09370761,0
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.06710228,-0.18350211,0.10214165,-0.05803116,-0.07355285,-0.051822077,0.20750016,-0.015492707,-0.010312691,-0.031178063,-0.042500064,0.093613155,0.019703066,-0.16140337,-0.069158584,-0.059162382,-0.053536013,0.002228383,-0.05385646,-0.09654722,-0.30292547,-0.00067577366,-0.12903625,-0.057666454,0.019590158,-0.06925289,-0.29034808,-0.105133064,-0.13689834,0.10143314,0.34295535,-0.09052681,0.09072862,-0.013207797,0.053999446,-0.29871964,0.007443731,-0.06940588,0.048516035,-0.24017154,-0.14370757,-0.19733639,-0.11090562,-0.11783594,-0.09926551,0.22868049,-0.11526267,-0.017967097,-0.1983823,-0.17625973,-0.1489025,-0.21529208,-0.38430968,0.55873907,-0.5818659,-0.073301435,-0.4218735,-0.08870556,-0.05907138,-0.06797549,-0.13838363,0.06247911,-0.06867951,-0.07514562,-0.40842593,-0.14203855,-0.6306133,-0.34091544,0.022521175,-0.23341642,0.14306092,-0.0583981,-0.4132217,-0.052082743,-0.20430723,-0.5577757,-0.07286304,-0.044886585,-0.48329994,-0.25643054,0.07094414,-0.08063693,-0.16565828,-0.23802868,-0.066061795,-0.14983527,-0.09391567,0.50281686,-0.11322361,-0.069542356,-0.16320957,-0.09370761,0
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.06710228,-0.29906464,-0.34590235,-0.05803116,-0.07355285,-0.051822077,-0.3181959,-0.13558911,-0.21235238,-0.15205143,-0.042500064,-0.36363637,-0.75217575,-0.2155168,-0.069158584,-0.059162382,-0.053536013,-0.33982432,-0.28743303,-0.09654722,-0.49862137,-0.3309933,-0.34600082,-0.057666454,0.04168036,-0.06925289,-0.27321768,-0.105133064,-0.010406141,-0.35483977,-0.51944876,-0.09052681,-0.25933462,-0.33196715,-0.56246346,-0.1769642,-0.5461532,-0.06940588,-0.72149104,-0.26375532,-0.14370757,-0.08315403,0.13282725,-0.11783594,-0.09926551,-0.4451424,-0.11526267,-0.47278947,-0.2957689,-0.17625973,-0.1489025,-0.21529208,-0.6893848,-0.26299343,-0.24573499,-0.073301435,-0.4608108,-0.08870556,-0.23977506,-0.04370341,-0.13838363,-0.38135278,-0.06867951,-0.2509842,-0.24999927,-0.14203855,-0.5391271,-0.12322495,-0.16821635,-0.23341642,-0.57804257,-0.0583981,-1.0877949,-0.052082743,-0.7063413,-0.57236415,-0.07286304,-0.38470587,-0.34565324,-0.6005101,-0.47843224,-0.29068124,-0.16565828,-0.4227848,-0.066061795,-0.14983527,-0.09391567,-0.622843,-0.11322361,-0.069542356,-0.16429602,-0.09370761,0
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.06710228,0.08251214,-0.08658419,-0.05803116,-0.07355285,-0.051822077,0.5973911,-0.04530911,-0.021735957,-0.086983725,-0.042500064,0.050091404,-0.49400833,-0.14774337,-0.069158584,-0.059162382,-0.053536013,-0.10187517,-0.19229178,-0.09654722,-0.073929235,-0.20082346,-0.15693864,-0.057666454,-0.34823158,-0.06925289,-0.46317843,-0.105133064,-0.10399385,-0.30813402,-0.18844219,-0.09052681,0.25195435,-0.22906293,0.15158807,-0.5097272,-0.54590017,-0.06940588,-0.2542373,-0.34584334,-0.14370757,0.035159115,-0.027341252,-0.11783594,-0.09926551,0.05356105,-0.11526267,-0.088339545,-0.23249246,-0.17625973,-0.1489025,-0.21529208,-0.3155332,-0.6816844,-0.25319877,-0.073301435,-0.04591955,-0.08870556,-0.24753769,-0.49214652,-0.13838363,0.3315243,-0.06867951,-0.11206811,-0.45340082,-0.14203855,-0.49415088,-0.4082862,-0.19059616,-0.23341642,-0.16582578,-0.0583981,-0.4043173,-0.052082743,-0.51607484,-0.27727357,-0.07286304,-0.546449,-0.33984193,-0.4574227,0.1755646,-0.62687105,-0.16565828,-0.04086746,-0.066061795,-0.14983527,-0.09391567,-0.010884303,-0.11322361,-0.069542356,0.16023141,-0.09370761,0
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.06710228,0.003033822,-0.19832766,-0.05803116,-0.07355285,-0.051822077,-0.10868358,-0.10175016,-0.17969838,-0.34292507,-0.042500064,-0.24428685,-0.29191408,-0.36114725,-0.069158584,-0.059162382,-0.053536013,-0.2028569,-0.04621807,-0.09654722,-0.20128061,-0.33156312,0.31734,-0.057666454,-0.092538364,-0.06925289,-0.20139103,-0.105133064,0.10035344,-0.2625849,-0.12978114,-0.09052681,-0.25639367,-0.17889255,-0.4566637,-0.45525414,-0.52815247,-0.06940588,0.027107984,-0.32901183,-0.14370757,-0.06679495,-0.16315022,-0.11783594,-0.09926551,-0.22488628,-0.11526267,-0.7373943,-0.32123244,-0.17625973,-0.1489025,-0.21529208,-0.03697734,-1.323104,-0.08825256,-0.073301435,0.02718452,-0.08870556,-0.14970674,0.6124953,-0.13838363,-0.50739527,-0.06867951,-0.07647727,-0.23952873,-0.14203855,-0.4301985,-0.20410514,-0.108182445,1.1816609,-0.49046534,-0.0583981,-0.684413,-0.052082743,-0.5584745,-0.65464395,-0.07286304,0.060517684,-0.13343406,-0.3615057,-0.2885675,-0.20923848,-0.16565828,0.2131415,-0.066061795,-0.14983527,-0.09391567,-0.5171065,-0.11322361,-0.069542356,-0.09145954,-0.09370761,0
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.06710228,0.2558799,0.1791918,-0.05803116,-0.07355285,-0.051822077,-0.36714673,0.28250474,0.29585013,-0.15706192,-0.042500064,-0.11403511,-0.022669125,0.16276759,-0.069158584,-0.059162382,-0.053536013,-0.26756728,0.0036797028,-0.09654722,-0.07377817,0.039493494,-0.14955032,-0.057666454,-0.27538082,-0.06925289,16.977419,-0.105133064,0.1880384,-0.272925,0.21447335,-0.09052681,-0.2708802,0.37450778,-0.20814203,0.58261806,-0.02612935,-0.06940588,-0.008716016,-0.4016427,-0.14370757,-0.119938105,-0.09363314,-0.11783594,-0.09926551,-0.3715321,-0.11526267,0.15581416,-0.06961542,-0.17625973,-0.1489025,-0.21529208,0.20620777,4.849765e-05,-0.036150683,-0.073301435,0.11994856,-0.08870556,-0.31505147,-0.11037331,-0.13838363,-0.24454752,-0.06867951,-0.053934734,-0.003098298,-0.14203855,0.034216244,0.058151405,10.229894,3.677241,0.25102252,-0.0583981,-0.29469705,-0.052082743,-0.41686648,0.28809008,-0.07286304,-0.136214,-0.22887963,-0.0037010647,-0.22710592,0.08836852,-0.16565828,-0.46933424,-0.066061795,-0.14983527,-0.09391567,-0.3252559,-0.11322361,-0.069542356,-0.104458526,-0.09370761,0
-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.06710228,-0.5345155,-0.09081804,-0.05803116,-0.07355285,-0.051822077,0.040965132,-0.28989932,-0.12508807,-0.33125073,-0.042500064,-0.12802352,-0.3458404,-0.18744747,-0.069158584,-0.059162382,-0.053536013,-0.114545524,-0.1752615,-0.09654722,-0.12523481,-0.37810174,-0.39222795,-0.057666454,0.04094773,-0.06925289,-0.38734296,-0.105133064,-0.35040656,-0.11712981,-0.22647238,-0.09052681,-0.41722843,-0.49489924,0.43817562,-0.21392961,-0.27481735,-0.06940588,-0.37691867,-0.042180724,-0.14370757,-0.19320671,-0.25319222,-0.11783594,-0.09926551,0.7063027,-0.11526267,-0.6440362,-0.3447013,-0.17625973,-0.1489025,-0.21529208,-0.41247788,-0.0794803,-0.3309967,10.784585,-0.5922564,-0.08870556,0.034566287,-0.34894451,-0.13838363,-0.17031978,-0.06867951,-0.22353634,-0.2841756,-0.14203855,-0.50677174,-0.00663038,-0.029444681,-0.23341642,-0.89587355,-0.0583981,-0.11912536,-0.052082743,0.53511435,-0.1900007,-0.07286304,0.1016168,-0.12336554,-0.6082547,0.40990865,-0.47498173,-0.16565828,0.14160612,-0.066061795,-0.14983527,-0.09391567,1.5661972,-0.11322361,-0.069542356,-0.10816834,-0.09370761,0
