rnaseq_gene__GENE_TTTY5,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_HSFX1,rnaseq_gene__GENE_SNAR-A2,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_SNAR-A13,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_PRM1,rnaseq_gene__GENE_OR4B1,rnaseq_gene__GENE_XKRY2,methylation_gene__GENE_GPI,methylation_gene__GENE_CDK2AP2,rnaseq_gene__GENE_FLJ44082,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_FAM41AY1,rnaseq_gene__GENE_NCRNA00230B,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_COMMD5,rnaseq_gene__GENE_PPIAL4B,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_KRTAP27-1,methylation_gene__GENE_VEGFA,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_ZNF414,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_TSPY1,rnaseq_gene__GENE_RBMY1J,methylation_gene__GENE_PIGC;C1ORF105,rnaseq_gene__GENE_DEFB129,rnaseq_gene__GENE_PRM2,methylation_gene__GENE_SPSB1,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_CRYGC,rnaseq_gene__GENE_OR5B3,methylation_gene__GENE_KIAA1328;C18ORF10,rnaseq_gene__GENE_FLJ43859,rnaseq_gene__GENE_KRTAP19-6,methylation_gene__GENE_UBE3B;KCTD10,methylation_gene__GENE_PTGR2,rnaseq_gene__GENE_OR4P4,methylation_gene__GENE_SUV39H2,rnaseq_gene__GENE_MYF5,methylation_gene__GENE_GMCL1,methylation_gene__GENE_MRPS28,methylation_gene__GENE_VEGFB,methylation_gene__GENE_TPP1,methylation_gene__GENE_STAMBPL1,rnaseq_gene__GENE_UCMA,methylation_gene__GENE_OBFC2A,methylation_gene__GENE_SIN3A,rnaseq_gene__GENE_SNORA28,methylation_gene__GENE_NAT14,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_ITPA,methylation_gene__GENE_KIF15;KIAA1143,rnaseq_gene__GENE_DKFZP434L192,methylation_gene__GENE_TRIM8,rnaseq_gene__GENE_OTUD6A,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_UNC84B,rnaseq_gene__GENE_KRTAP4-11,methylation_gene__GENE_C18ORF1,rnaseq_gene__GENE_PRDM14,methylation_gene__GENE_KIF14,methylation_gene__GENE_CCRN4L,methylation_gene__GENE_SIVA1,methylation_gene__GENE_KTI12;TXNDC12,methylation_gene__GENE_PDS5A,rnaseq_gene__GENE_ZNF735,rnaseq_gene__GENE_C21ORF131,rnaseq_gene__GENE_OR6C4,methylation_gene__GENE_ZNF160,methylation_gene__GENE_AKT1,methylation_gene__GENE_AP2B1,rnaseq_gene__GENE_PAGE3,rnaseq_gene__GENE_OR6C74,methylation_gene__GENE_FTSJD1,rnaseq_gene__GENE_KRTAP20-4,methylation_gene__GENE_FGF22,methylation_gene__GENE_FASN,rnaseq_gene__GENE_NCRNA00112,rnaseq_gene__GENE_KRTAP4-9,methylation_gene__GENE_RNF34,rnaseq_gene__GENE_OR8K3,methylation_gene__GENE_SART3,methylation_gene__GENE_GTF2A1,methylation_gene__GENE_POLL;RP11-529I10.4,methylation_gene__GENE_ZNF579,rnaseq_gene__GENE_KIR3DP1,methylation_gene__GENE_ZNF565;ZNF146,rnaseq_gene__GENE_RBMY1A1,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,0.20043744,-0.4144276,-0.054042384,-0.05562216,-0.0679732,0.23093128,-0.039025616,-0.05998392,-0.042500064,-0.1607682,-0.05578467,-0.039873518,-0.078358516,-0.05008855,-0.04435848,0.7585861,-0.0729057,-0.057666454,6.0857224,-0.04061949,-0.08587251,-0.06825314,-0.09052681,0.7024819,-0.41032338,-0.11783594,-0.06940588,0.2719112,-0.1053454,-0.041330405,-0.057056513,0.15393122,-0.044886343,0.94359046,-0.105133064,1.1340773,0.031115415,-0.17079495,-0.10161546,0.09512929,-0.17236899,0.15733336,0.46419972,-0.06664966,-0.34909916,0.4490543,0.33710602,0.50345325,-0.16218084,0.2939059,-0.1489025,0.32707933,0.52809095,-0.14203855,-0.15740636,-0.19387476,1.2262802,0.37009028,1.0049516,0.5364158,1.6716106,-0.09391567,-0.09370761,-0.0583981,0.40766037,0.6670757,1.4705099,-0.066061795,-0.05600812,1.0064812,-0.0848391,-0.12080551,1.1818597,2.7982497,-0.14983527,0.18285985,-0.08367701,0.4417737,-0.08969153,0.4813177,0.23011445,-0.12883839,0.7923189,-0.044386145,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,0.18294889,0.12295953,-0.054042384,-0.05562216,-0.0679732,-0.035036173,-0.039025616,-0.05998392,-0.042500064,0.0015077826,-0.05578467,-0.039873518,-0.078358516,-0.05008855,-0.05125228,-0.14113313,0.06354901,-0.057666454,-0.061940223,-0.04061949,2.1583543,-0.06825314,-0.09052681,0.18715808,0.15346035,-0.11783594,-0.06940588,0.63164926,-0.1053454,-0.041330405,0.20845124,-0.06924885,-0.044886343,-0.27909598,-0.105133064,0.34237644,0.17433907,-0.18246691,0.025402108,-0.16520421,-0.17236899,-0.38877615,0.3832306,-0.06664966,-0.0035445255,0.14871067,-0.005793088,0.16161367,-0.16218084,0.282832,-0.1489025,0.63045555,-0.41376457,-0.14203855,0.06686925,-0.19387476,1.392259,0.09339403,-0.074435435,1.2461691,0.4234953,-0.09391567,-0.09370761,-0.0583981,0.022995586,-0.20129359,0.41158846,-0.066061795,-0.05600812,0.47175628,-0.0848391,-0.12388846,0.90361524,-0.13713627,-0.14983527,0.36500457,-0.08367701,-0.38165906,-0.26527885,-0.25664544,-0.04282058,-0.12883839,-0.16144842,-0.044386145,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,0.24464342,0.1484289,-0.054042384,-0.05562216,-0.0679732,-0.2567603,-0.039025616,-0.05998392,-0.042500064,0.13546705,-0.05578467,-0.039873518,-0.078358516,-0.05008855,-0.31748182,0.1355378,0.046428025,-0.057666454,-0.061940223,-0.04061949,-0.335421,-0.06825314,-0.09052681,0.46809566,-0.1498576,-0.11783594,-0.06940588,-0.13317966,-0.1053454,-0.041330405,0.1220137,-0.43640238,-0.044886343,-0.3524336,-0.105133064,0.36451972,0.031425014,-0.19898152,0.63292235,-0.21724093,-0.17236899,0.094008066,0.27923492,-0.06664966,0.26440838,0.11228093,0.059852283,0.029730145,-0.16218084,0.5660327,-0.1489025,0.09802495,-0.72154474,-0.14203855,0.099606894,-0.19387476,0.43139675,0.026817147,-0.051892072,0.9377823,1.2166866,-0.09391567,-0.09370761,-0.0583981,-0.08706277,0.07261795,-0.17631042,-0.066061795,-0.05600812,-0.27931044,-0.0848391,-0.05657503,0.33558026,-0.13713627,-0.14983527,-0.11406119,-0.08367701,0.4508651,0.28398,0.12848295,-0.2475928,-0.12883839,-0.24644476,-0.044386145,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,0.10214165,0.14196536,-0.054042384,-0.05562216,-0.0679732,-0.2819493,-0.039025616,-0.05998392,-0.042500064,0.20750016,-0.05578467,-0.039873518,-0.078358516,-0.05008855,-0.05252108,-0.30292547,-0.25438246,-0.057666454,-0.061940223,-0.04061949,-0.25494173,-0.06825314,-0.09052681,0.09607844,-0.29871964,-0.11783594,-0.06940588,-0.15336615,-0.1053454,-0.041330405,-0.5697509,-0.35220113,-0.044886343,-0.5706442,-0.105133064,-0.40842593,-0.02515923,-0.3492632,-0.022244465,-0.06797549,-0.17236899,0.6207073,0.2928572,-0.06664966,-0.34319687,-0.22021592,-0.48329994,-0.23802868,-0.16218084,-0.4579862,-0.1489025,-0.11811119,-0.5577757,-0.14203855,-0.14809039,-0.19387476,-0.055558547,-0.16320957,-0.41700545,-0.026608692,-0.8589843,-0.09391567,-0.09370761,-0.0583981,-0.317213,-0.45740518,0.14233679,-0.066061795,-0.05600812,-0.70698977,-0.0848391,-0.07514562,-0.592108,-0.13713627,-0.14983527,-0.28779253,-0.08367701,-0.46410996,-0.793643,-0.16030778,-0.34783652,-0.12883839,0.36816967,-0.044386145,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,-0.34590235,-0.4666912,-0.054042384,-0.05562216,-0.0679732,-0.5453047,-0.039025616,-0.05998392,-0.042500064,-0.3181959,-0.05578467,-0.039873518,-0.078358516,-0.05008855,-0.27986175,-0.49862137,-0.36689234,-0.057666454,-0.061940223,-0.04061949,-0.22299105,-0.06825314,-0.09052681,-0.38462898,-0.1769642,-0.11783594,-0.06940588,-0.550192,-0.1053454,-0.041330405,-0.2950812,-0.17432375,-0.044886343,-0.73540187,-0.105133064,-0.24999927,-0.41207823,-0.5228715,-0.41610757,-0.04370341,-0.17236899,-0.5355345,-0.43069887,-0.06664966,-0.6576378,-0.3686539,-0.34565324,-0.4227848,-0.16218084,-0.19488487,-0.1489025,-0.44623557,-0.57236415,-0.14203855,-0.662356,-0.19387476,-0.49018797,-0.16429602,-0.2879307,-0.52364236,-0.42578343,-0.09391567,-0.09370761,-0.0583981,-0.34203306,-0.5222452,-0.49807897,-0.066061795,-0.05600812,-0.37942305,-0.0848391,-0.2509842,-0.6045167,-0.13713627,-0.14983527,-0.33408615,-0.08367701,-0.79704,-0.5467963,-0.41542172,-0.44274932,-0.12883839,-0.65536034,-0.044386145,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,-0.16173632,-0.33724922,-0.054042384,-0.05562216,29.66682,-0.4062858,-0.039025616,-0.05998392,-0.042500064,-0.41013667,-0.05578467,-0.039873518,-0.078358516,-0.05008855,-0.0075936196,-0.04141815,-0.3427577,-0.057666454,-0.061940223,-0.04061949,-0.28366452,-0.06825314,-0.09052681,-0.12508641,-0.6014492,-0.11783594,6.499733,-0.22777955,-0.1053454,-0.041330405,0.009972543,-0.14977585,-0.044886343,-0.5158937,-0.105133064,-0.47632927,-0.15184139,-0.33989236,-0.42391214,1.3596497,-0.17236899,-0.25379142,-0.108143345,-0.06664966,-0.21582314,-0.34003553,1.2722404,-0.2045841,-0.16218084,-0.8630651,-0.1489025,-0.22629943,-0.8629122,-0.14203855,-0.32975313,1.4741709,-0.47025388,-0.17300457,-0.50990015,-0.0607315,-0.995656,-0.09391567,-0.09370761,-0.0583981,-0.26926696,0.7038841,0.43329453,-0.066061795,-0.05600812,-0.5985768,-0.0848391,0.05730465,-0.3368761,-0.13713627,-0.14983527,-0.23559512,-0.08367701,0.46088958,-0.6308417,-0.24949802,-0.31191757,-0.12883839,-0.3466884,-0.044386145,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,-0.19832766,0.06308561,-0.054042384,-0.05562216,-0.0679732,-0.35960487,-0.039025616,-0.05998392,-0.042500064,-0.10868358,-0.05578467,-0.039873518,-0.078358516,-0.05008855,-0.3588113,-0.20128061,-0.09614992,-0.057666454,-0.061940223,-0.04061949,-0.047341704,-0.06825314,-0.09052681,-0.8880222,-0.45525414,-0.11783594,-0.06940588,-0.42294428,-0.1053454,-0.041330405,0.25034568,-0.451433,-0.044886343,-0.78484124,-0.105133064,-0.23952873,0.2544398,-0.43381804,-0.1593981,0.6124953,-0.17236899,-0.43316457,0.039304398,-0.06664966,-0.4112182,-0.29308355,-0.13343406,0.2131415,-0.16218084,-0.5896103,-0.1489025,-0.14202435,-0.65464395,-0.14203855,-0.64949304,-0.19387476,-0.58358353,-0.09145954,-0.47478256,-0.19141434,-0.5044016,-0.09391567,-0.09370761,-0.0583981,-0.31209925,-0.65010655,-0.5250281,-0.066061795,-0.05600812,-0.028366411,-0.0848391,-0.07647727,-0.33293363,-0.13713627,-0.14983527,-0.34861597,-0.08367701,-0.69353133,-0.5458905,0.23446178,13.145739,-0.12883839,-0.0031548964,-0.044386145,0
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,-0.08343716,-0.09127277,-0.054042384,-0.05562216,-0.0679732,0.12011606,-0.039025616,-0.05998392,-0.042500064,-0.26514336,-0.05578467,-0.039873518,-0.078358516,-0.05008855,0.131724,-0.1266541,-0.0067337113,-0.057666454,-0.061940223,-0.04061949,0.14162144,-0.06825314,-0.09052681,0.2407127,0.61090565,-0.11783594,-0.06940588,0.1213794,-0.1053454,-0.041330405,12.039299,-0.11398026,-0.044886343,-0.039854575,-0.105133064,0.05669328,-0.2109712,-0.15632717,0.06663842,-0.39339554,-0.17236899,-0.14258653,0.058790714,-0.06664966,-0.23018494,-0.026363669,0.40266174,-0.23964483,-0.16218084,0.59975886,-0.1489025,-0.06348308,-0.0408568,-0.14203855,0.04345514,-0.19387476,-0.37474218,-0.25307095,-0.018226376,-0.51147306,0.014918276,-0.09391567,-0.09370761,-0.0583981,-0.1419233,0.14906573,-0.4840482,-0.066061795,-0.05600812,-0.108598374,-0.0848391,0.066622846,1.023169,-0.13713627,3.824261,0.039218526,-0.08367701,0.21971548,-0.22247718,-0.17294632,-0.32330066,-0.12883839,-0.63877785,-0.044386145,1
-0.030400895,-0.030400896,-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.050053358,-0.039174013,-0.04482511,-0.051822077,-0.09081804,-0.48682207,-0.054042384,-0.05562216,-0.0679732,-0.667513,-0.039025616,-0.05998392,-0.042500064,0.040965132,-0.05578467,-0.039873518,-0.078358516,-0.05008855,-0.1843051,-0.12523481,-0.41535684,-0.057666454,-0.061940223,-0.04061949,0.21281907,-0.06825314,-0.09052681,0.67831725,-0.21392961,-0.11783594,-0.06940588,-0.77106476,-0.1053454,-0.041330405,-0.6859813,-0.58054376,-0.044886343,-0.4135475,-0.105133064,-0.2841756,-0.5668227,-0.5688526,-0.363927,-0.34894451,-0.17236899,0.22866291,-0.06396077,-0.06664966,-0.42433253,-0.3150327,-0.12336554,0.14160612,-0.16218084,-0.542255,-0.1489025,-0.23640743,-0.1900007,-0.14203855,-0.5128219,-0.19387476,-0.5759897,-0.10816834,-0.68757516,1.7216074,0.07867884,-0.09391567,-0.09370761,-0.0583981,-0.30890614,-0.85636276,0.12507151,-0.066061795,-0.05600812,-0.64198655,-0.0848391,-0.22353634,0.21124087,-0.13713627,-0.14983527,0.22513132,-0.08367701,-0.63133156,-0.4143952,-0.33401662,0.10259987,-0.12883839,0.48754495,-0.044386145,0
