rnaseq_gene__GENE_TTTY5,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_HSFX1,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_PRM1,rnaseq_gene__GENE_SNORD8,rnaseq_gene__GENE_XKRY2,rnaseq_gene__GENE_SPO11,methylation_gene__GENE_OSBPL6,methylation_gene__GENE_GPI,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_PPIAL4B,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_FLJ44082,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_SORBS1,methylation_gene__GENE_EXT1,rnaseq_gene__GENE_FAM41AY1,methylation_gene__GENE_LPPR2,methylation_gene__GENE_PNN,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_CASP6,methylation_gene__GENE_TRAPPC2L;GALNS,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_NCRNA00230B,rnaseq_gene__GENE_VN1R4,rnaseq_gene__GENE_MS4A5,rnaseq_gene__GENE_HES3,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_OR5M3,rnaseq_gene__GENE_OR4D10,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_CNOT10,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_ZNF721;PIGG,rnaseq_gene__GENE_OR10T2,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_RBMY1J,methylation_gene__GENE_NDE1;KIAA0430,rnaseq_gene__GENE_LCE3C,methylation_gene__GENE_ENO2,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_CNP,methylation_gene__GENE_SLC25A38,methylation_gene__GENE_CDK5RAP1,rnaseq_gene__GENE_PRM2,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_SPSB1,methylation_gene__GENE_BID,methylation_gene__GENE_OBFC2B,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_ZNF44,rnaseq_gene__GENE_OR51A7,methylation_gene__GENE_ASAH1,rnaseq_gene__GENE_FLJ43859,methylation_gene__GENE_SCRIB,methylation_gene__GENE_PPP2R5D,methylation_gene__GENE_YJU2B,rnaseq_gene__GENE_KRTAP19-6,rnaseq_gene__GENE_DEFB129,rnaseq_gene__GENE_BCYRN1,methylation_gene__GENE_B2M,methylation_gene__GENE_SKIL,rnaseq_gene__GENE_OR4P4,methylation_gene__GENE_RSPH3,methylation_gene__GENE_PGAP1,methylation_gene__GENE_SUV39H2,methylation_gene__GENE_PTGR2,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_GSC2,methylation_gene__GENE_UBE3B;KCTD10,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_NACC1;TRMT1,methylation_gene__GENE_ERCC8;NDUFAF2,rnaseq_gene__GENE_LCN9,methylation_gene__GENE_LRP2BP,rnaseq_gene__GENE_AMBN,rnaseq_gene__GENE_OR5A1,methylation_gene__GENE_ACTR1A;SUFU,rnaseq_gene__GENE_KRTAP4-11,methylation_gene__GENE_SIN3A,methylation_gene__GENE_MLST8,methylation_gene__GENE_ST3GAL1,methylation_gene__GENE_SDC1,methylation_gene__GENE_RPUSD2,methylation_gene__GENE_MAP3K13,methylation_gene__GENE_LASS5,rnaseq_gene__GENE_OR6C4,methylation_gene__GENE_ADK;AP3M1,rnaseq_gene__GENE_P2RX6P,methylation_gene__GENE_CNIH,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,-0.06710228,0.29696387,0.18294889,-0.07355285,-0.05578467,-0.067629814,-0.054042384,-0.0679732,-0.035036173,0.047453728,-0.039025616,0.16414265,0.36188236,-0.042500064,0.37512636,0.26560614,0.23064291,-0.05998392,-0.054831173,-0.069158584,-0.089100406,-0.039873518,-0.053536013,-0.09654722,0.2569746,0.5404921,-0.14113313,0.30067533,-0.065219104,-0.057666454,-0.06925289,-0.06940588,-0.04061949,-0.059406396,-0.062246185,-0.32059684,0.49041125,0.29769805,-0.022540353,0.7981819,-0.09052681,1.2674023,0.18715808,0.77753603,0.47386664,-0.14370757,0.1412926,-0.06867951,-0.029027075,-0.1053454,0.15346035,0.30446488,0.4818272,-0.041330405,-0.06825314,-0.078358516,0.17234565,0.4385283,-0.044886343,0.28290993,0.15189625,-0.27909598,-0.06924885,-0.19387476,-0.05877857,0.20845124,0.05212484,0.19510004,0.2398301,-0.059162382,-0.24544275,-0.21529208,4.4264455,0.19357608,-0.14203855,0.3832306,0.090191305,0.5072738,0.6688122,0.54176915,-0.027690042,0.07087298,-0.0583981,-0.0008208119,-0.052082743,0.044528294,0
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,30.83582,0.14408222,0.2519819,-0.07355285,-0.05578467,-0.067629814,-0.054042384,-0.0679732,0.009274068,0.04125374,-0.039025616,0.3227259,0.4907677,-0.042500064,0.36113,0.42623574,0.23741616,-0.05998392,-0.054831173,-0.069158584,-0.089100406,-0.039873518,-0.053536013,-0.09654722,0.44599015,1.0764732,0.22169577,0.07336485,-0.065219104,-0.057666454,-0.06925289,-0.06940588,-0.04061949,-0.40123782,-0.062246185,-0.28004757,0.26087317,0.029136814,-0.13901283,0.60413295,-0.09052681,0.005302961,0.9433114,0.42796913,0.52858096,-0.14370757,0.7085159,-0.06867951,0.39201245,-0.1053454,-0.17873953,0.3545332,0.28442514,-0.041330405,-0.06825314,-0.078358516,-0.28682423,0.67490375,-0.044886343,0.37521067,-0.15467298,0.21305072,-0.312405,3.734848,-0.05877857,0.44950238,1.9839693,0.51898986,-0.22329545,-0.059162382,-0.4720075,-0.21529208,-0.09926551,0.10891759,-0.14203855,0.81025076,0.362927,0.70254546,0.51788425,-0.054913558,0.2127256,0.74833775,-0.0583981,0.15554622,-0.052082743,0.051413078,0
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,-0.06710228,-0.20045902,0.24464342,-0.07355285,-0.05578467,-0.067629814,-0.054042384,-0.0679732,-0.2567603,0.013146481,-0.039025616,0.028524911,0.23597416,-0.042500064,0.39536414,0.55794924,0.23126501,-0.05998392,-0.054831173,-0.069158584,-0.089100406,-0.039873518,-0.053536013,-0.09654722,0.1465024,1.1095629,0.1355378,0.019383963,-0.065219104,-0.057666454,-0.06925289,-0.06940588,-0.04061949,0.07224356,-0.062246185,-0.11980332,0.5461737,0.37414527,0.017243546,-0.32000992,-0.09052681,-0.35913548,0.46809566,0.6276185,0.31872043,-0.14370757,0.17307654,-0.06867951,0.10578244,-0.1053454,-0.1498576,0.19795002,0.05728857,-0.041330405,-0.06825314,-0.078358516,0.21766737,0.26322258,-0.044886343,-0.11495952,-0.061139487,-0.3524336,-0.43640238,-0.19387476,-0.05877857,0.1220137,0.5766715,0.32274202,0.5963305,-0.059162382,0.05197497,-0.21529208,-0.09926551,0.23667414,-0.14203855,0.27923492,0.20607647,0.050673194,0.75122714,-0.09030614,0.31014085,-0.3069687,-0.0583981,-0.076402836,-0.052082743,0.33833018,0
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,-0.06710228,-0.29906464,-0.34590235,-0.07355285,-0.05578467,-0.067629814,-0.054042384,-0.0679732,-0.5453047,-0.13558911,-0.039025616,-0.21235238,-0.15205143,-0.042500064,-0.36363637,-0.6076008,-0.75217575,-0.05998392,-0.054831173,-0.069158584,-0.089100406,-0.039873518,-0.053536013,-0.09654722,-0.3309933,-0.34600082,-0.49862137,-0.28743303,-0.065219104,-0.057666454,-0.06925289,-0.06940588,-0.04061949,0.04168036,-0.062246185,-0.25933462,-0.6314574,-0.51944876,-0.2155168,-0.010406141,-0.09052681,-0.6697718,-0.38462898,-0.56246346,-0.6139798,-0.14370757,-0.5461532,-0.06867951,-0.26375532,-0.1053454,-0.1769642,-0.33196715,-0.35483977,-0.041330405,-0.06825314,-0.078358516,-0.72149104,-0.7254762,-0.044886343,-0.4451424,-0.22500001,-0.73540187,-0.17432375,-0.19387476,-0.05877857,-0.2950812,-0.26299343,-0.38135278,-0.6893848,-0.059162382,0.062803894,-0.21529208,-0.09926551,-0.24573499,-0.14203855,-0.43069887,-0.43349347,-0.47278947,-0.57804257,-0.16821635,-0.23977506,-1.0877949,-0.0583981,-0.12322495,-0.052082743,-0.4608108,0
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,-0.06710228,0.08251214,-0.08658419,-0.07355285,-0.05578467,-0.067629814,-0.054042384,-0.0679732,-0.48498088,-0.04530911,-0.039025616,-0.021735957,-0.086983725,-0.042500064,0.050091404,-0.06133266,-0.49400833,-0.05998392,-0.054831173,-0.069158584,-0.089100406,-0.039873518,-0.053536013,-0.09654722,-0.20082346,-0.15693864,-0.073929235,-0.19229178,-0.065219104,-0.057666454,-0.06925289,-0.06940588,-0.04061949,-0.34823158,-0.062246185,0.25195435,0.014027945,-0.18844219,-0.14774337,-0.10399385,-0.09052681,-0.3964274,0.014804954,0.15158807,-0.34938216,-0.14370757,-0.54590017,-0.06867951,-0.34584334,-0.1053454,-0.5097272,-0.22906293,-0.30813402,-0.041330405,-0.06825314,-0.078358516,-0.2542373,-0.5974562,-0.044886343,0.05356105,-0.2895278,-0.5202598,-0.62594235,-0.19387476,-0.05877857,-0.46323833,-0.6816844,0.3315243,-0.3155332,-0.059162382,0.063782185,-0.21529208,-0.09926551,-0.25319877,-0.14203855,-0.028645609,-0.07302167,-0.088339545,-0.16582578,-0.19059616,-0.24753769,-0.4043173,-0.0583981,-0.4082862,-0.052082743,-0.04591955,0
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,-0.06710228,-0.12225317,-0.16173632,-0.07355285,-0.05578467,-0.067629814,-0.054042384,29.66682,-0.4062858,-0.22995704,-0.039025616,-0.112781644,0.05508806,-0.042500064,0.38779214,-0.07150848,-0.5697412,-0.05998392,-0.054831173,-0.069158584,11.295503,-0.039873518,-0.053536013,-0.09654722,-0.30798945,0.28992623,-0.04141815,-0.30156872,-0.065219104,-0.057666454,-0.06925289,6.499733,-0.04061949,0.24955367,-0.062246185,-0.6882903,-0.5374824,-0.27653405,0.17809758,-0.62134945,-0.09052681,-0.4965998,-0.12508641,-0.80404365,0.26173994,-0.14370757,-0.11395588,-0.06867951,0.66419744,-0.1053454,-0.6014492,-0.0068120486,-0.36832228,-0.041330405,-0.06825314,-0.078358516,-0.3136486,-0.28729084,-0.044886343,0.363912,-0.35928154,-0.5158937,-0.14977585,1.4741709,19.78605,0.009972543,-0.970754,-0.39243972,-0.51977205,-0.059162382,-0.16473432,-0.21529208,-0.09926551,-0.34465763,-0.14203855,-0.108143345,0.9558274,-0.28232503,-0.1538012,0.48221505,-0.017004957,-0.45911855,-0.0583981,-0.19678165,-0.052082743,-0.18355137,1
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,-0.06710228,0.003033822,-0.19832766,-0.07355285,-0.05578467,-0.067629814,-0.054042384,-0.0679732,-0.35960487,-0.10175016,-0.039025616,-0.17969838,-0.34292507,-0.042500064,-0.24428685,-0.44380733,-0.29191408,-0.05998392,-0.054831173,-0.069158584,-0.089100406,-0.039873518,-0.053536013,-0.09654722,-0.33156312,0.31734,-0.20128061,-0.04621807,-0.065219104,-0.057666454,-0.06925289,-0.06940588,-0.04061949,-0.092538364,-0.062246185,-0.25639367,-0.36250314,-0.12978114,-0.36114725,0.10035344,-0.09052681,-0.5766177,-0.8880222,-0.4566637,-0.54905784,-0.14370757,-0.52815247,-0.06867951,-0.32901183,-0.1053454,-0.45525414,-0.17889255,-0.2625849,-0.041330405,-0.06825314,-0.078358516,0.027107984,-0.39766628,-0.044886343,-0.22488628,-0.23917393,-0.78484124,-0.451433,-0.19387476,-0.05877857,0.25034568,-1.323104,-0.50739527,-0.03697734,-0.059162382,-0.09997062,-0.21529208,-0.09926551,-0.08825256,-0.14203855,0.039304398,-0.26329067,-0.7373943,-0.49046534,-0.108182445,-0.14970674,-0.684413,-0.0583981,-0.20410514,-0.052082743,0.02718452,0
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,-0.06710228,0.10678903,-0.08343716,-0.07355285,-0.05578467,-0.067629814,-0.054042384,-0.0679732,0.12011606,0.03866025,-0.039025616,-0.113159,-0.15852861,-0.042500064,-0.17719148,-0.41973817,-0.060981262,-0.05998392,-0.054831173,-0.069158584,-0.089100406,-0.039873518,-0.053536013,-0.09654722,0.20228925,0.27632806,-0.1266541,-0.04891446,-0.065219104,-0.057666454,-0.06925289,-0.06940588,-0.04061949,-0.5443985,-0.062246185,0.35366178,-0.33585742,0.14428157,-0.15233943,-0.05709003,-0.09052681,0.23524143,0.2407127,-0.20232221,0.0830313,-0.14370757,-0.044638727,-0.06867951,0.10124547,-0.1053454,0.61090565,0.41056055,-0.3793243,-0.041330405,-0.06825314,-0.078358516,-0.18398409,-0.15905763,-0.044886343,-0.8841017,-0.40057236,-0.039854575,-0.11398026,-0.19387476,-0.05877857,12.039299,-0.061688613,-0.39563727,0.016389895,-0.059162382,0.16912529,2.589988,-0.09926551,-0.09323182,-0.14203855,0.058790714,-0.33530015,0.22784412,-0.21289678,-0.037392955,-0.39320883,-0.050377708,-0.0583981,-0.09701469,-0.052082743,0.069383554,1
-0.030400895,-0.030400896,-0.030400896,-0.030400895,-0.030400898,-0.030400895,-0.030400895,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.039174013,-0.03489425,-0.051822077,-0.06710228,0.2558799,0.1791918,-0.07355285,-0.05578467,-0.067629814,-0.054042384,-0.0679732,0.17854363,0.28250474,-0.039025616,0.29585013,-0.15706192,-0.042500064,-0.11403511,0.19199088,-0.022669125,-0.05998392,-0.054831173,-0.069158584,-0.089100406,-0.039873518,-0.053536013,-0.09654722,0.039493494,-0.14955032,-0.07377817,0.0036797028,-0.065219104,-0.057666454,-0.06925289,-0.06940588,-0.04061949,-0.27538082,-0.062246185,-0.2708802,-0.011934135,0.21447335,0.16276759,0.1880384,-0.09052681,0.33831567,-0.044819664,-0.20814203,0.5107447,-0.14370757,-0.02612935,-0.06867951,-0.4016427,-0.1053454,0.58261806,0.37450778,-0.272925,-0.041330405,-0.06825314,-0.078358516,-0.008716016,-0.018064536,-0.044886343,-0.3715321,-0.21019047,-0.13553019,-0.1532109,-0.19387476,-0.05877857,-0.74582887,4.849765e-05,-0.24454752,0.20620777,-0.059162382,0.7348931,-0.21529208,-0.09926551,-0.036150683,-0.14203855,-0.37667128,-0.27345356,0.15581416,0.25102252,10.229894,-0.31505147,-0.29469705,-0.0583981,0.058151405,-0.052082743,0.11994856,0
