rank,feature_id,modality
1,rnaseq_gene::GENE:SNAR-F,rnaseq_gene
2,rnaseq_gene::GENE:CDY2B,rnaseq_gene
3,rnaseq_gene::GENE:OR2T29,rnaseq_gene
4,rnaseq_gene::GENE:CDY1B,rnaseq_gene
5,rnaseq_gene::GENE:TTTY21,rnaseq_gene
6,rnaseq_gene::GENE:DEFB121,rnaseq_gene
7,rnaseq_gene::GENE:CSPG4P2Y,rnaseq_gene
8,rnaseq_gene::GENE:SNAR-C4,rnaseq_gene
9,rnaseq_gene::GENE:PRM1,rnaseq_gene
10,rnaseq_gene::GENE:OR4B1,rnaseq_gene
11,rnaseq_gene::GENE:SNORD8,rnaseq_gene
12,rnaseq_gene::GENE:TSPY4,rnaseq_gene
13,rnaseq_gene::GENE:LCE4A,rnaseq_gene
14,methylation_gene::GENE:OSBPL6,methylation_gene
15,methylation_gene::GENE:ADAR,methylation_gene
16,rnaseq_gene::GENE:LCE1D,rnaseq_gene
17,methylation_gene::GENE:GPI,methylation_gene
18,rnaseq_gene::GENE:KRTAP10-9,rnaseq_gene
19,rnaseq_gene::GENE:MS4A5,rnaseq_gene
20,rnaseq_gene::GENE:FLJ44082,rnaseq_gene
21,rnaseq_gene::GENE:NKX6-2,rnaseq_gene
22,rnaseq_gene::GENE:LRRC30,rnaseq_gene
23,rnaseq_gene::GENE:SPO11,rnaseq_gene
24,rnaseq_gene::GENE:XKRY2,rnaseq_gene
25,methylation_gene::GENE:COMMD5,methylation_gene
26,rnaseq_gene::GENE:OR10J1,rnaseq_gene
27,methylation_gene::GENE:CASP6,methylation_gene
28,methylation_gene::GENE:PNN,methylation_gene
29,rnaseq_gene::GENE:OR4A15,rnaseq_gene
30,methylation_gene::GENE:TRAPPC2L;GALNS,methylation_gene
31,methylation_gene::GENE:EXT1,methylation_gene
32,rnaseq_gene::GENE:VN1R4,rnaseq_gene
33,methylation_gene::GENE:MAP3K9,methylation_gene
34,rnaseq_gene::GENE:KRTAP27-1,rnaseq_gene
35,methylation_gene::GENE:SLC25A38,methylation_gene
36,rnaseq_gene::GENE:OR10T2,rnaseq_gene
37,rnaseq_gene::GENE:PRAMEF18,rnaseq_gene
38,rnaseq_gene::GENE:PRAMEF17,rnaseq_gene
39,methylation_gene::GENE:VEGFA,methylation_gene
40,rnaseq_gene::GENE:TSPY3,rnaseq_gene
41,rnaseq_gene::GENE:PRAMEF16,rnaseq_gene
42,methylation_gene::GENE:ZNF721;PIGG,methylation_gene
43,methylation_gene::GENE:LPPR2,methylation_gene
44,rnaseq_gene::GENE:LCE6A,rnaseq_gene
45,methylation_gene::GENE:ZNF414,methylation_gene
46,rnaseq_gene::GENE:PSG11,rnaseq_gene
47,rnaseq_gene::GENE:HES3,rnaseq_gene
48,rnaseq_gene::GENE:LCE2D,rnaseq_gene
49,rnaseq_gene::GENE:PRM2,rnaseq_gene
50,methylation_gene::GENE:FRY,methylation_gene
51,rnaseq_gene::GENE:LCE3C,rnaseq_gene
52,rnaseq_gene::GENE:OR8H1,rnaseq_gene
53,methylation_gene::GENE:ACPL2,methylation_gene
54,methylation_gene::GENE:CNP,methylation_gene
55,methylation_gene::GENE:BID,methylation_gene
56,rnaseq_gene::GENE:LCE3E,rnaseq_gene
57,rnaseq_gene::GENE:DEFB129,rnaseq_gene
58,methylation_gene::GENE:YJU2B,methylation_gene
59,methylation_gene::GENE:ASAH1,methylation_gene
60,methylation_gene::GENE:CDK5RAP1,methylation_gene
61,rnaseq_gene::GENE:LCE2C,rnaseq_gene
62,rnaseq_gene::GENE:OR2T6,rnaseq_gene
63,methylation_gene::GENE:ENO2,methylation_gene
64,methylation_gene::GENE:PPP2R5D,methylation_gene
65,rnaseq_gene::GENE:LCE2B,rnaseq_gene
66,rnaseq_gene::GENE:LCE1A,rnaseq_gene
67,methylation_gene::GENE:ZNF44,methylation_gene
68,rnaseq_gene::GENE:KRTAP20-4,rnaseq_gene
69,rnaseq_gene::GENE:LCE1F,rnaseq_gene
70,rnaseq_gene::GENE:KRTAP19-6,rnaseq_gene
71,methylation_gene::GENE:B2M,methylation_gene
72,rnaseq_gene::GENE:GPHB5,rnaseq_gene
73,rnaseq_gene::GENE:OR4P4,rnaseq_gene
74,rnaseq_gene::GENE:SNORA69,rnaseq_gene
75,methylation_gene::GENE:RSPH3,methylation_gene
76,rnaseq_gene::GENE:FLJ43859,rnaseq_gene
77,rnaseq_gene::GENE:CRYGC,rnaseq_gene
78,methylation_gene::GENE:SKIL,methylation_gene
79,rnaseq_gene::GENE:FGF6,rnaseq_gene
80,methylation_gene::GENE:ATP5S;L2HGDH,methylation_gene
81,methylation_gene::GENE:SUV39H2,methylation_gene
82,methylation_gene::GENE:RBP5;CLSTN3,methylation_gene
83,rnaseq_gene::GENE:DEFB104A,rnaseq_gene
84,rnaseq_gene::GENE:C20ORF166,rnaseq_gene
