methylation_gene__GENE_CDCA4,methylation_gene__GENE_TRIM25,methylation_gene__GENE_C18ORF10;KIAA1328,methylation_gene__GENE_GATA6,methylation_gene__GENE_BCL7A,methylation_gene__GENE_KIF15;KIAA1143,methylation_gene__GENE_MTMR4,methylation_gene__GENE_ETS1,methylation_gene__GENE_MRPS17,methylation_gene__GENE_MAN2A1,methylation_gene__GENE_TM9SF1,methylation_gene__GENE_KIAA0101,methylation_gene__GENE_HSPBP1,methylation_gene__GENE_USPL1,methylation_gene__GENE_MRPS34;EME2,methylation_gene__GENE_BRI3,methylation_gene__GENE_CYP2R1,methylation_gene__GENE_APLP2,methylation_gene__GENE_CNPY3,methylation_gene__GENE_ZNF273,methylation_gene__GENE_NCK1,methylation_gene__GENE_FIBCD1,methylation_gene__GENE_SMARCA4,methylation_gene__GENE_LIF,methylation_gene__GENE_PTGES3,methylation_gene__GENE_KIAA1328;C18ORF10,methylation_gene__GENE_PAPD4,methylation_gene__GENE_POM121,methylation_gene__GENE_H3F3B,methylation_gene__GENE_CYP39A1;SLC25A27,methylation_gene__GENE_CEP350,methylation_gene__GENE_LOC100329108;GCSH,methylation_gene__GENE_RNF17,methylation_gene__GENE_GAS2L1,methylation_gene__GENE_USF1,methylation_gene__GENE_MSRB2,methylation_gene__GENE_FUCA1,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_TMEM8A;LOC100134368,methylation_gene__GENE_MDK,methylation_gene__GENE_C19ORF2,methylation_gene__GENE_TAPBPL;LOC678655,methylation_gene__GENE_NAA20,methylation_gene__GENE_TMEM20,methylation_gene__GENE_CD27;TAPBPL;LOC678655,methylation_gene__GENE_XKR8,methylation_gene__GENE_ZNF747,methylation_gene__GENE_MXD3,methylation_gene__GENE_FHIT,methylation_gene__GENE_FKBPL,methylation_gene__GENE_NMD3,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_RAB28,methylation_gene__GENE_POLR1B,rnaseq_gene__GENE_KLHL1,rnaseq_gene__GENE_GABRG1,methylation_gene__GENE_GSTK1,methylation_gene__GENE_ZCCHC9;RNU5E;RNU5D,methylation_gene__GENE_FAM103A1,rnaseq_gene__GENE_FAM9C,methylation_gene__GENE_MYLIP,methylation_gene__GENE_ALOXE3,methylation_gene__GENE_EPR1;BIRC5,rnaseq_gene__GENE_LGALS14,methylation_gene__GENE_PPP1R13B,methylation_gene__GENE_CIDECP;FANCD2,methylation_gene__GENE_GMFB,rnaseq_gene__GENE_SEL1L2,methylation_gene__GENE_NOC3L,methylation_gene__GENE_TFDP3,methylation_gene__GENE_IER3,rnaseq_gene__GENE_CPS1-IT1,methylation_gene__GENE_LGMN,methylation_gene__GENE_STAMBP,rnaseq_gene__GENE_ESRP1,methylation_gene__GENE_GPHN,methylation_gene__GENE_SPPL3,methylation_gene__GENE_OSBP,rnaseq_gene__GENE_HSD3B1,methylation_gene__GENE_CDK11A;CDK11B,methylation_gene__GENE_UGT8,methylation_gene__GENE_XRCC5,methylation_gene__GENE_TXNL1,rnaseq_gene__GENE_C19ORF41,methylation_gene__GENE_GOPC,methylation_gene__GENE_TIGD7,rnaseq_gene__GENE_CLEC4M,methylation_gene__GENE_PBX4,methylation_gene__GENE_CUL3,methylation_gene__GENE_MPZL3,rnaseq_gene__GENE_XAGE2,rnaseq_gene__GENE_DPEP3,rnaseq_gene__GENE_UGT2B10,methylation_gene__GENE_GBAS,methylation_gene__GENE_ANP32D,methylation_gene__GENE_FABP7,cnv_log2__GENE_SNORA70B,methylation_gene__GENE_NME6,methylation_gene__GENE_ANUBL1,methylation_gene__GENE_SGSM3,target
-0.15309937,-0.10189479,-0.12042356,-0.10181659,-0.27916497,-0.28597042,-0.08092904,-0.14018331,-0.25178477,-0.40885615,-0.37846366,-0.49593568,-0.14430168,-0.15754049,-0.077964045,-0.28196302,-0.3401808,-0.2174001,0.20942542,0.13214898,-0.49672914,-0.21117869,-0.25306448,0.034403235,-0.42453286,-0.42525506,-0.082640216,-0.15632284,-0.48487633,-0.657494,-0.4362095,-0.553942,0.26188102,-0.26169896,-0.016671997,-0.16501203,-0.21462262,-0.8892181,-0.14075182,-0.74594975,-0.7607976,0.07173982,-0.4239661,-0.072787024,0.19853982,-0.051690888,-0.3060914,-0.5685845,-0.2582071,-0.026828105,0.5794942,-0.12790692,1.786925,-0.33951688,-0.22644344,-0.3143071,-0.42679265,-0.24126025,0.15357982,0.28141597,-0.40228924,0.025174027,-0.13278142,-0.29149142,-0.2829287,0.88032216,-0.5599618,-0.21608903,0.92739695,0.5367785,-0.44643414,-0.23655611,-0.17961797,-0.84843445,-0.8494072,-0.38595578,-0.6583797,-0.06859118,0.34857312,-0.20291467,-0.8712394,-0.51687306,-0.75363,-0.31097722,-0.17159055,0.29469037,-0.46237782,-0.38554668,-0.47395393,-0.9415479,-0.31089383,-0.1621327,-0.3506713,-1.31631,0.19983132,0.13884334,-0.33288258,0.05059491,-0.35157725,0.017601565,1
-0.13626535,-0.1399508,-0.15827413,-0.1764202,-0.2403434,-0.18966815,-0.06322965,-0.17057674,-0.20746854,-0.2767135,-0.2011076,-0.1583147,-0.04637125,0.22336783,-0.4445929,-0.17894247,-0.08123497,-0.39245757,-0.11489365,-0.08641388,1.0234138,-0.4197621,-0.20452805,-0.59644866,-0.35423854,0.4719186,0.11510134,0.24186167,-0.22748196,0.15520678,11.121735,0.7776212,0.28193697,-0.30383012,0.52057236,-0.6237908,-0.1244237,-0.096695915,0.1365469,-0.47440267,0.15103927,-0.8056214,0.16506663,-0.11803964,0.35607556,-0.2996407,-0.1523737,-0.25538749,-0.018574383,0.20972079,-0.14307897,-0.12790692,0.51584476,-0.05481036,-0.22644344,-0.3143071,0.21307404,-0.22913748,-0.31987497,-0.09226942,-0.11086361,0.7752662,0.23310369,-0.29149142,-0.5354839,-0.21020164,-0.40116775,-0.21608903,-0.09094664,0.28165817,-0.55689496,0.74682736,-0.70652145,0.59248716,0.2899568,-0.18561868,-0.39463675,0.20510529,-0.34746942,-0.022628788,0.23907754,-0.21372469,0.9429031,1.7629076,-0.24294037,0.7276297,-0.46237782,0.32389495,-0.48860827,-1.0504161,0.13606386,1.3868243,1.4895555,0.124062866,-2.7121162,1.1316627,-0.45025486,-0.23018819,-0.45098767,0.3448115,0
-0.18061188,-0.25801846,-0.3133753,0.09015068,-0.269621,-0.36469877,-0.2548977,-0.26829007,-0.4750711,-0.37058023,-0.24720623,-0.31759986,-0.35473064,0.13351685,-0.5355556,-0.17248102,-0.03643893,0.44427246,-0.12638642,-0.47973046,-0.34952003,-0.29222408,-0.16133733,0.022085713,-0.05338346,-0.5433646,0.06157824,0.685925,-0.28370342,-0.03389227,0.46395847,0.8057906,0.064432494,-0.5646023,-0.3166527,-0.5845804,-0.16922677,-0.6562533,-0.2892459,-0.7084215,-0.8640826,-0.4125777,-0.37774712,-0.23812401,0.26371938,-0.44922775,-0.41892996,-0.5623242,-0.075659476,-0.12679401,-0.5485702,-0.12790692,-0.38415116,-0.60081804,-0.22644344,-0.3143071,-0.69695234,0.6566044,0.1841632,0.0160855,-0.38632253,-0.32303658,-0.52591,-0.29149142,-0.5063642,0.19353266,-0.56707466,-0.21608903,-0.42601594,0.016231379,-0.4470441,-0.23655611,-0.19620728,-0.3388503,-0.11757784,0.016487919,-0.70230055,-0.45341325,-0.34746942,-0.43781227,-0.16191944,1.8109933,-0.11734475,0.34356675,-0.16426554,0.46834102,-0.46237782,0.30291146,-0.37161994,-0.24330269,-0.31089383,1.048547,-0.3506713,-1.1651995,-0.009513487,-0.08989394,-0.3915687,-0.6321623,-0.42627805,-0.37937889,1
13.370496,-0.15234661,-0.2692028,0.091636024,-0.22594784,-0.3287966,11.998044,-0.051124576,-0.13606463,0.0024000707,-0.24771543,-0.28086093,-0.049827434,0.26702738,-0.18112141,0.14211307,-0.016882468,-0.18240722,0.822772,0.60690975,0.09113888,-0.15976326,-0.2947506,-0.2248359,0.2119474,0.54149485,12.092065,-0.71383226,-0.14772744,0.6043019,-0.3956729,0.06669565,0.008929011,-0.1736755,0.8387641,0.3626195,-0.29507363,-0.71497303,-0.50159293,-0.9654006,-0.8985096,-0.19871767,0.083853856,-0.19577889,0.77393925,-0.08403313,-0.30758676,-0.43944016,-0.20251502,-0.061928503,0.47650972,-0.12790692,0.014423673,-0.22579788,-0.22644344,-0.3143071,0.5712479,11.258243,0.007951804,-0.0686784,-0.09234269,-0.3392487,-0.61741006,-0.29149142,-0.29780123,-0.10126763,-0.56358224,-0.21608903,-0.024045367,0.14123268,-0.22735097,2.3998973,-0.16650282,0.010019864,-0.5756547,-0.20559913,-0.0070276954,-0.6092262,1.0654622,-0.43375322,0.07913783,0.08883972,0.6419746,0.20948379,-0.20782644,0.3594777,-0.057895944,0.48931265,-0.08349564,-0.42078453,-0.31089383,-0.21682951,0.048955936,-0.74021757,-0.49541032,-0.23282985,0.6148985,-0.48052785,-0.31495643,-0.08972543,1
-0.080584556,-0.11056121,-0.049506936,-0.15115662,-0.27631932,-0.24792343,-0.3040645,-0.072364986,-0.050473657,-0.30778143,-0.23308076,-0.30353892,-0.13434929,0.019741075,-0.048429336,-0.2882291,-0.58870983,-0.06332681,-0.12858291,0.5915443,0.13381052,0.029429475,12.341857,0.1857642,-0.3903833,-0.4961975,-0.31784058,0.28011078,-0.2563652,-0.3708393,-0.6165426,-0.5558545,0.2538162,0.12583984,-0.124135174,-0.2010781,-0.2668664,-0.3742556,-0.3460912,-0.5620957,-0.70097065,-0.12004995,-0.50488037,-0.23568141,-0.08806655,-0.17787986,-0.28593266,-0.20651688,-0.15686741,-0.059663415,0.07516287,-0.12790692,-0.74006015,-0.29177344,1.0937482,-0.3143071,0.34453878,-0.3434682,-0.13086243,-0.33781904,-0.31639555,-0.3945711,0.07703586,-0.29149142,-0.02748943,-0.018352956,-0.62222,-0.21608903,1.3944869,0.11563928,-0.50299215,-0.23655611,0.29303512,0.56569225,0.64077634,-0.30609035,-0.52610624,0.37574607,-0.34746942,-0.2515313,-0.48935354,-0.1514156,-0.08188566,2.040055,-0.22346146,-0.7259912,-0.46237782,0.91520923,-0.13106479,0.47960407,2.5941978,-0.5163124,-0.3506713,-0.31798413,-2.6155553,0.6260605,-0.0746636,-0.517715,0.18035108,-0.21992208,1
-0.0019791485,-0.118353195,-0.076776564,-0.007816054,-0.13029934,-0.20228823,0.45538974,-0.27892804,-0.40200272,-0.18172434,-0.050992697,-0.30464637,0.13068776,-0.2731376,-0.030902633,-0.30365443,-0.14641185,-0.332818,-0.025150318,-0.19225714,-0.16250642,-0.25836387,-0.037670888,0.0081204055,0.023367235,-0.22380064,0.06659615,0.010973318,0.759903,0.12938309,-0.152696,-0.04840492,-0.6049786,-0.3015228,0.08520219,-0.45102304,-0.30870333,-0.5577921,-0.1571433,-0.6777513,-0.6083718,9.344927,0.10252699,0.035623137,10.442121,-0.483795,-0.19451293,-0.57123303,-0.16125028,-0.45841068,-0.13139655,-0.12790692,0.34840685,-0.048498943,9.779633,9.398473,0.8951402,-0.14874448,-0.38924482,-0.02199272,-0.4173688,-0.31927383,0.42659578,-0.29149142,-0.71699446,-0.11880703,-0.21034513,-0.21608903,-0.48722395,-0.1724979,-0.5711203,-0.23655611,-0.4423666,-0.37987396,0.9186037,-0.212956,-0.20933877,-0.5920318,-0.34746942,-0.29959944,-4.2481604,0.14770739,-1.0528412,0.28333306,-0.09595255,1.0368466,-0.46237782,-0.4632308,-0.4923663,10.185141,-0.31089383,8.057336,-0.3506713,-0.56929946,-3.0400407,-0.5557105,-2.5658898,-0.6246405,-0.16481549,1.3727356,1
0.007656226,0.07756482,-0.13365273,-0.101245165,0.4050877,0.19692032,-0.062428676,-0.14210112,0.24224794,-0.19583035,0.18973851,0.35316592,-0.31855386,-0.17149349,-0.057318814,0.01719522,-0.06646903,0.48988834,0.2721751,-0.23135632,0.009610579,0.14180818,0.20365079,-0.41767544,-0.08235893,0.034979817,0.018538749,-0.018611988,0.045224253,-0.21695581,0.47178146,-0.16829638,0.3074352,0.07803201,-0.045545083,0.43052825,-0.38807204,0.36729807,0.10297123,0.39125243,-0.100450225,-0.10577337,0.33131212,-0.08652848,-0.09949208,0.09345756,-0.08993947,0.9914192,0.04659167,-0.76878077,0.9386058,-0.12790692,-0.1890781,0.13590455,0.67392147,-0.3143071,-0.22294821,-0.013359669,-0.16261281,0.5800207,-0.10370692,-0.18501507,0.6610185,-0.29149142,3.6644475,0.20225455,0.09997812,-0.21608903,0.2661065,0.61732006,0.7174841,-0.23655611,-0.2855435,-0.46559644,0.47162026,3.6680446,0.1523539,-0.29890054,-0.34746942,0.0083420575,0.7361494,-0.8675557,-0.15280275,-0.31097722,-0.2153354,0.18478522,-0.12648027,0.011011118,0.020171575,2.434963,-0.31089383,-0.5163124,-0.3506713,0.3863882,0.12792413,0.3027631,-0.72607964,-0.25532135,0.25407138,0.29974315,1
-0.044088945,-0.19480488,-0.095324434,-0.06507239,-0.32173628,-0.28027946,-0.2866069,-0.18137515,-0.16544594,-0.20202482,-0.18634976,-0.21336734,-0.20353393,-0.37703004,-0.6007533,-0.1441283,-0.487677,-0.2701879,-0.3071365,-0.09770713,-0.1938402,-0.021701181,-0.59414,-0.2004812,-0.19583263,0.21076159,-0.35647452,-0.46562642,-0.08202837,0.09183531,-0.41288826,-0.39977652,0.27349374,-0.13487652,-0.5127107,-0.6193497,-0.16819476,-0.5929688,-0.35927436,0.14451967,-0.19852884,-0.40260282,-0.4432434,-0.20177993,-0.62144744,-0.33189955,-0.20269929,-0.8026677,-0.46490625,-0.41270506,-1.0382706,-0.12790692,-0.5272827,-0.3682012,4.0853515,1.7645962,-0.42015505,-0.5221321,-0.43916586,-0.33781904,-0.31943953,-0.22375435,0.13916895,-0.29149142,0.98446023,-0.7673484,-0.21660154,-0.21608903,-0.3100048,-0.19579877,-0.28665656,-0.23655611,1.0766896,-0.27864957,0.36001423,-0.25815094,-0.79154533,-0.19521196,-0.34746942,-0.36087805,0.36084363,-0.78504527,-1.0063894,0.3220455,-0.28689307,0.53139204,1.3064876,-0.60974777,-0.70385724,-0.65162754,-0.31089383,0.6609161,0.49507827,0.056425918,0.42224067,-0.13855419,1.0345044,-0.65016085,-0.40499344,-0.8440988,1
-0.08034601,0.031586252,-0.016895387,0.64030874,0.09559412,-0.18912965,-0.21124083,-0.14965713,-0.41164657,0.19169793,-0.089353085,-0.17427307,0.1199309,-0.32157308,-0.21245508,-0.29930308,-0.16303326,-0.19465226,-0.07753325,0.13561313,0.2640328,-0.0023328604,0.1437951,0.25801817,-0.10861521,-0.065277845,-0.4855244,-0.33448294,-0.02933889,0.8577442,-0.20941122,0.39210075,0.24842632,-0.1765733,-0.024222218,-0.4075283,0.07467358,0.23435944,-0.087172136,0.12813407,0.39171556,-0.21310742,-0.25058427,-0.16231172,0.07674261,-0.086524665,-0.023027852,-0.41671017,0.27638465,0.092103295,-0.6710019,-0.12790692,-0.7012541,-0.20746155,-0.22644344,0.90751004,-0.27395242,0.64910424,-0.3706699,-0.33781904,-0.44542652,0.30330056,0.42229363,1.7557031,1.1504679,-0.43190002,0.12891895,0.85851854,0.16803479,-0.29916486,1.5168313,-0.23655611,1.7699838,-0.27721167,-7.3419538,0.35411116,-0.21449433,0.089040056,-0.34746942,0.05606704,0.4095864,-0.40518153,-0.8243358,-0.31097722,-0.0027651696,-0.36218736,10.454142,-0.37678742,-0.23077711,-0.93269473,-0.31089383,1.378376,-0.3506713,0.08868412,0.4917222,0.13382244,-0.4355833,-0.4711978,-0.006570219,-0.2968832,1
-0.046353027,-0.3017068,-0.18243662,-0.15521447,-0.06592238,0.12312337,-0.28485033,-0.17175561,-0.15004455,-0.27869058,0.08509043,-0.29442933,-0.3963385,6.7637315,-0.10369891,0.026650878,0.065140456,-0.15809728,-0.39827892,-0.45661718,-0.4865477,-0.18907048,-0.52643824,0.42451644,-0.27075493,-0.46825743,-0.56544566,-0.12758736,-0.34924832,-0.7148396,-0.07327166,-0.28120947,0.29620838,-0.30418417,-0.26906514,-0.025400717,-0.33605233,-0.2913015,-0.0812887,-0.59667856,-0.3637662,-0.7833559,-0.0008412564,-0.23905188,0.2786382,-0.16254492,-0.54325694,-0.20804416,-0.42199066,-0.5844573,-0.22384195,-0.12790692,0.084298186,-0.47224715,-0.22644344,-0.3143071,-0.34246647,-0.49148476,-0.048902206,-0.33781904,0.107165344,-0.3933313,-0.76417667,-0.29149142,-0.13067615,-0.60619974,11.302935,-0.21608903,-0.09498472,0.41479254,-0.19571392,-0.23655611,0.18274619,-0.22096068,0.48562422,-0.042526305,-0.8677269,0.07449351,-0.34746942,-0.3778821,-0.99502325,7.351994,9.107284,-0.31097722,-0.17587349,0.023450311,0.24476942,-0.4917878,-0.23957475,-0.65163314,-0.31089383,-0.2220974,-0.3506713,-0.74027866,0.39783955,0.45625004,-0.44438624,0.017956471,-0.2325859,0.13767613,1
