methylation_gene__GENE_S1PR2,methylation_gene__GENE_NHEDC2,methylation_gene__GENE_FAM55C,methylation_gene__GENE_C1ORF216,methylation_gene__GENE_FDFT1,methylation_gene__GENE_EFHC1,methylation_gene__GENE_ADH5,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_C14ORF80,methylation_gene__GENE_GOLIM4,methylation_gene__GENE_LPCAT1,methylation_gene__GENE_CLIC4,methylation_gene__GENE_BCL7A,methylation_gene__GENE_DNMT3B,methylation_gene__GENE_HEXB,methylation_gene__GENE_THUMPD3,methylation_gene__GENE_MAN2A1,methylation_gene__GENE_SIKE1,methylation_gene__GENE_KIF15;KIAA1143,methylation_gene__GENE_ICA1L,methylation_gene__GENE_MRPS17,methylation_gene__GENE_SLC22A4,methylation_gene__GENE_SIN3A,methylation_gene__GENE_LLPH,methylation_gene__GENE_ZNF747,methylation_gene__GENE_DNAJC18,methylation_gene__GENE_OSBPL8,methylation_gene__GENE_KIAA0101,methylation_gene__GENE_GEMIN6,methylation_gene__GENE_HSPBP1,methylation_gene__GENE_USPL1,methylation_gene__GENE_BRI3,methylation_gene__GENE_UBE2L6,methylation_gene__GENE_GPRIN1,methylation_gene__GENE_BET1,methylation_gene__GENE_PRKAG2,methylation_gene__GENE_TSPAN12,methylation_gene__GENE_HERC5,methylation_gene__GENE_CLTCL1,methylation_gene__GENE_BLVRA,methylation_gene__GENE_UQCRB,methylation_gene__GENE_NEO1,methylation_gene__GENE_APLP2,methylation_gene__GENE_FUCA1,methylation_gene__GENE_CNPY3,methylation_gene__GENE_PTPN12,methylation_gene__GENE_NCK1,methylation_gene__GENE_FIBCD1,methylation_gene__GENE_DLX2,methylation_gene__GENE_RNF17,methylation_gene__GENE_LHX4,methylation_gene__GENE_CASD1,methylation_gene__GENE_SH3RF2,methylation_gene__GENE_WWOX,methylation_gene__GENE_C3ORF59,methylation_gene__GENE_HOMER1,methylation_gene__GENE_LIF,methylation_gene__GENE_SMARCA4,methylation_gene__GENE_MITF,methylation_gene__GENE_KLHL7,methylation_gene__GENE_NAAA,methylation_gene__GENE_ATP6V1C1,methylation_gene__GENE_ITPR1,methylation_gene__GENE_HACE1,methylation_gene__GENE_POLR1B,methylation_gene__GENE_MDH1B;FASTKD2,methylation_gene__GENE_MAP4K4,methylation_gene__GENE_C1ORF85,methylation_gene__GENE_SLC35F2,methylation_gene__GENE_BBX,methylation_gene__GENE_H3F3B,methylation_gene__GENE_MIR548G;C3ORF26,methylation_gene__GENE_CYP39A1;SLC25A27,methylation_gene__GENE_CRIP2,methylation_gene__GENE_RAI14,methylation_gene__GENE_E2F5,methylation_gene__GENE_MARCH8,methylation_gene__GENE_KLHL32,methylation_gene__GENE_USF1,methylation_gene__GENE_ACPL2,methylation_gene__GENE_MSRB2,methylation_gene__GENE_GAS2L1,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_GALNT11,methylation_gene__GENE_C19ORF2,methylation_gene__GENE_SSBP2,methylation_gene__GENE_SBNO1,methylation_gene__GENE_NAA20,methylation_gene__GENE_ZNF507,methylation_gene__GENE_FHIT,methylation_gene__GENE_ZNF277;DOCK4,methylation_gene__GENE_FCHSD2,methylation_gene__GENE_NDUFB8,methylation_gene__GENE_CAMK2D,methylation_gene__GENE_TMEM67,methylation_gene__GENE_FKBPL,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_HEY1,methylation_gene__GENE_RFXAP,methylation_gene__GENE_UBE2Q2,target
-0.17010453,-0.17417066,-0.14875567,-0.159886,-0.30398738,-0.25473112,-0.27582815,-0.09972884,-0.19512706,0.23020484,-0.24764444,-0.12944539,-0.27916497,-0.17171039,-0.043722235,-0.19026418,-0.40885615,-0.07146025,-0.28597042,-0.10565371,-0.25178477,-0.31024504,-0.25140756,-0.2336075,-0.3060914,-0.16700353,-0.40258998,-0.49593568,-0.21950842,-0.14430168,-0.15754049,-0.28196302,-0.12952122,-0.18257737,-0.03328874,-0.3409763,-0.48787996,0.20958243,-0.52384025,-0.6205796,-0.17979158,-0.094283596,-0.2174001,-0.21462262,0.20942542,-0.11972395,-0.49672914,-0.21117869,-0.5416935,0.26188102,-0.33867493,-0.33336952,0.00061801134,0.017528662,-0.58049285,-0.32344797,0.034403235,-0.25306448,-0.5403596,-0.3990872,-0.31757328,-0.028367246,-0.19061306,-0.37450323,-0.33951688,-0.579226,-0.3194074,-0.2993337,-0.36570096,-0.5107816,-0.48487633,-0.23571226,-0.657494,-0.39611983,-0.3183109,-0.40829554,1.9530253,-0.12173542,-0.016671997,-0.22090907,-0.16501203,-0.26169896,-0.8892181,-0.25654227,-0.7607976,0.053661775,0.24967737,-0.4239661,-0.32304016,-0.2582071,-0.104899205,-0.33243126,-0.57267755,2.8271365,-0.22556257,-0.026828105,-0.12790692,0.3935999,-0.20115887,-0.24383539,1
-0.17472287,-0.043406088,-0.067632355,-0.21678185,0.031726517,0.19862062,0.18156189,0.022383025,-0.25605118,0.012471726,0.23530866,-0.019296423,-0.2403434,-0.17366898,0.012546526,0.107280195,-0.2767135,-0.0658681,-0.18966815,0.1945664,-0.20746854,0.011390092,-0.29718542,-0.04454681,-0.1523737,-0.15167123,-0.052915864,-0.1583147,-0.161183,-0.04637125,0.22336783,-0.17894247,-0.2848581,-0.19914705,-0.020418176,-0.10494047,-0.35153,0.037042063,-0.17513974,-0.22589543,0.08881786,-0.22873172,-0.39245757,-0.1244237,-0.11489365,-0.24216363,1.0234138,-0.4197621,-0.05752435,0.28193697,-0.3195033,-0.6032634,-0.23513901,-0.28223833,0.10648455,0.008292655,-0.59644866,-0.20452805,-0.13405879,-0.3706313,-0.21911067,0.006986288,0.045399874,-0.03813751,-0.05481036,-0.26578528,-0.2953937,-0.23525475,-0.30470735,-0.2885016,-0.22748196,-0.16827738,0.15520678,-0.3513212,-0.037268754,-0.26687983,0.28413382,-0.37841612,0.52057236,-0.49090603,-0.6237908,-0.30383012,-0.096695915,-0.24768028,0.15103927,-0.010742696,-0.9393102,0.16506663,0.99429643,-0.018574383,0.015499452,-0.17767446,-0.43367472,0.3056828,-0.11474885,0.20972079,-0.12790692,1.0051628,0.1255631,-0.10012796,0
-0.080469415,-0.15618895,-0.26734456,-0.2573959,-0.2631469,-0.1283248,-0.26851514,-0.2040161,-0.11621391,-0.25918847,-0.2527949,-0.04445741,-0.269621,-0.15754369,-0.1393659,-0.037230212,-0.37058023,-0.129668,-0.36469877,-0.11932493,-0.4750711,-0.05786217,-0.30005628,-0.13818367,-0.41892996,-0.14588307,-0.40921775,-0.31759986,-0.1063391,-0.35473064,0.13351685,-0.17248102,-0.4771529,-0.034807816,-0.3546737,-0.1243243,0.04125371,-0.25524947,-0.25900227,-0.73046935,-0.5214161,0.005834582,0.44427246,-0.16922677,-0.12638642,-0.33432665,-0.34952003,-0.29222408,-0.46623144,0.064432494,-0.3523299,-0.33661562,0.13653287,-0.59828144,-0.10887328,-0.22775319,0.022085713,-0.16133733,0.06775041,-0.5968613,-0.31893006,-0.48078033,-0.13258238,-0.4576201,-0.60081804,-0.2056977,-0.43235654,-0.1649308,-0.60484755,-0.56192553,-0.28370342,0.38459077,-0.03389227,0.28754038,-0.25640938,-0.20133051,-0.35287946,-0.14797267,-0.3166527,-0.4087229,-0.5845804,-0.5646023,-0.6562533,-0.18535483,-0.8640826,-0.111911826,-0.018554842,-0.37774712,-0.3535423,-0.075659476,-0.5020795,-0.16462354,-0.7437517,0.3117761,-0.17653649,-0.12679401,-0.12790692,-0.69397396,-0.24884038,-0.29445404,1
-0.08622815,0.029051254,-0.104901776,-0.18629724,-0.16981329,-0.077822216,13.194387,-0.09009483,-0.0979659,-0.08711366,-0.40123516,-0.11903907,-0.11044404,-0.13700119,0.34198052,0.030815868,-0.100017436,0.08411637,0.04000164,-0.17532565,0.029739426,-0.18964486,0.35731247,12.904035,0.006717662,0.2988873,-0.3667423,-0.16198395,0.56025285,-0.13390587,-0.012702421,0.10456552,-0.29931942,-0.1009506,0.033523306,-0.2099245,0.011855438,12.847178,-0.25786424,0.26208565,-0.21482411,0.18206185,-0.04239003,-0.24268933,0.14193642,-0.07294426,0.060611855,-0.3391247,-0.33583346,0.27219123,0.118598916,-0.28482476,11.390017,-0.16464946,-0.46235508,-0.18936132,0.08118388,0.3781045,-0.20209847,-0.10636888,0.094773926,0.15154855,-0.031377144,0.10479625,-0.062234756,-0.21672748,-0.13700682,-0.32106304,12.072283,0.027465692,0.75316364,0.45351064,-0.31915474,0.08788194,5.1967993,-0.008855096,-0.17462584,-0.2796581,-0.112030074,-0.23383027,0.08351358,-0.11690556,-0.3738944,-0.22370276,-0.81801236,-0.076225236,-0.28033257,-0.6704215,0.2000315,-0.66042036,-0.09295066,-0.14125803,0.70120084,0.25900388,-0.16420484,0.42077842,-0.12790692,-0.0021922535,-0.23355734,-0.30713248,1
-0.07270196,-0.12656847,-0.26548606,-0.041483946,9.0728445,-0.2879815,-0.17044866,13.190743,-0.1569292,-0.04432878,0.06794629,-0.09236138,-0.12849638,-0.12737343,-0.13180418,-0.16176488,-0.32008344,-0.2506785,-0.13734502,-0.12552465,-0.35420147,-0.14912295,-0.1547106,-0.19620104,-0.3871431,0.043307077,-0.4294674,-0.31787807,-0.24712946,-0.36139128,0.022066489,-0.07214784,-0.7213841,-0.058987856,-0.55145586,-0.22848654,-0.36157194,0.0034632222,-0.32170945,-0.11260398,-0.4568415,-0.5056818,-0.25311825,-0.5856675,-0.49371743,-0.4688699,-0.57621574,-0.44161722,0.72077227,0.16256295,-0.4516076,-0.38867846,-0.13471405,-0.30437163,-0.48174655,-0.672855,-0.053444296,-0.23291832,-0.33673579,-0.33064213,-0.522132,0.26486492,0.27921385,-0.20064831,-0.17922921,-0.63659364,-0.08119577,-0.34629846,-0.20993401,0.10443192,-0.09264583,-0.09541584,-0.3284145,-0.30644175,-0.29174903,-0.066670254,-0.20312281,-0.0477158,-0.44070458,-0.3762978,-0.22918516,-0.24314675,-0.7953367,-0.36765003,-1.2810516,-0.00396161,0.25342384,-0.4475429,1.0253665,-0.66993743,-0.5883088,-0.44839227,-0.044466548,-0.18771888,-0.29239857,-1.1341858,-0.12790692,-0.23052917,-0.25904793,-0.5467252,1
-0.14735138,-0.111491755,-0.14132154,-0.19139953,0.18536499,-0.2665714,-0.1272466,-0.07239632,-0.34544042,-0.2586679,-0.21945752,-0.09082515,-0.27631932,-0.16917469,0.018214827,-0.23556064,-0.30778143,-0.21296947,-0.24792343,-0.025060453,-0.050473657,-0.20693927,-0.26557085,-0.14292705,-0.28593266,-0.052495208,-0.2939936,-0.30353892,-0.22728665,-0.13434929,0.019741075,-0.2882291,-0.23551436,0.06269774,-0.31316093,-0.0068119327,-0.3586451,-0.25151125,-0.29841787,-0.44062248,-0.34441963,0.16681175,-0.06332681,-0.2668664,-0.12858291,-0.29742748,0.13381052,0.029429475,-0.13253087,0.2538162,-0.4232239,0.020720998,-0.27710226,-0.24211201,-0.11646767,-0.15355575,0.1857642,12.341857,0.051489975,-0.3000057,-0.2769906,-0.19358946,-0.14060444,-0.13764031,-0.29177344,0.020765241,-0.4586364,-0.33957314,-0.41398153,-0.11681525,-0.2563652,0.0050459737,-0.3708393,-0.58231074,-0.2604244,0.051656827,-0.7367082,-0.30755776,-0.124135174,0.0356237,-0.2010781,0.12583984,-0.3742556,-0.21740697,-0.70097065,0.19033,-0.90026325,-0.50488037,-0.4518528,-0.15686741,-0.15063247,-0.2179653,-0.41361716,-0.13538946,-0.20448558,-0.059663415,-0.12790692,1.5498799,-0.26763853,-0.25771305,1
0.0026580337,0.02819348,-0.09770972,0.07612877,-0.09837427,-0.2313155,0.09546122,-0.028818285,-0.022657534,-0.07676112,-0.18204257,0.10824748,-0.004858531,-0.038662873,-0.030928224,-0.02067721,0.46198994,-0.08226251,0.1313303,-0.12205691,-0.22466454,0.4737936,-0.039776877,0.07714144,0.3266533,0.19422853,-0.18992555,-0.11757119,-0.16150026,-0.16682507,-0.18129402,-0.008693896,0.043317657,-0.020159015,0.041149303,-0.1496366,7.389685,-0.13232537,-0.12372464,0.42877918,0.3592236,0.21753897,-0.13729641,-0.19624321,-0.19597968,-0.28263897,0.5634633,-0.20407428,0.16755816,0.20771627,-0.26140183,-0.060857482,0.13275537,0.016032092,-0.13330688,0.2616514,-0.15142925,-0.29382825,-0.0021835035,0.06667099,0.24490747,12.181546,0.09271932,0.052911878,0.031088235,-0.07632954,-0.077386945,-0.19654405,0.1313436,-0.3922875,-0.18200354,0.86270833,-0.5544259,-0.2748777,-0.14207974,-0.025995135,0.17764662,0.117689714,0.107394695,-0.034435175,-0.45968264,-0.097286284,-0.5203101,0.21897738,-0.34163278,0.011540874,0.22657618,0.7377656,0.114299074,0.15472001,-0.111213714,-0.23943098,-0.26885402,0.518304,-0.036510292,-0.34603596,-0.12790692,0.79800224,-0.030090172,-0.2580087,1
-0.012269001,0.017061764,0.046726435,-0.21601425,-0.005179084,0.12714192,0.03392084,-0.06277764,0.28865352,-0.040049683,0.11354168,-0.19560508,0.4050877,0.012400415,0.14861274,-0.121057734,-0.19583035,-0.0681828,0.19692032,0.15121435,0.24224794,-0.073798046,-0.21585743,-0.20009455,-0.08993947,-0.01964887,0.15514122,0.35316592,0.034001432,-0.31855386,-0.17149349,0.01719522,0.29560724,-0.18277456,0.49425715,-0.1071805,0.11745503,-0.012431122,0.2620193,0.47085828,-0.3338328,-0.29846245,0.48988834,-0.38807204,0.2721751,0.056085493,0.009610579,0.14180818,1.8822497,0.3074352,0.28780505,-0.037945382,-0.26885673,-0.104425624,0.5591555,-0.20643729,-0.41767544,0.20365079,-0.023123587,0.45144427,-0.23709519,0.036136057,0.17501704,0.23799916,0.13590455,0.049558245,0.29031327,-0.2252679,0.34156257,0.67560166,0.045224253,-0.11672776,-0.21695581,0.33241582,-0.024297075,-0.25483468,0.3570021,0.266844,-0.045545083,-0.16491479,0.43052825,0.07803201,0.36729807,-0.026548233,-0.100450225,-0.06945113,0.7910198,0.33131212,-0.1731811,0.04659167,0.20955586,0.10076013,0.048271816,-0.07692099,-0.15816036,-0.76878077,-0.12790692,-0.9091028,-0.12472529,-0.25182635,1
-0.15169755,-0.06377304,-0.097452395,0.075127244,-0.12230251,0.095661245,-0.15641169,-0.06277569,-0.11725363,-0.24709916,0.08856968,0.0048688403,-0.21341583,-0.069768704,0.020542664,-0.2938879,-0.20219915,-0.0385366,-0.11487443,-0.3433326,-0.116790794,0.048065796,-0.04015702,-0.113633275,-0.20840776,0.030246297,0.0606376,-0.007407932,-0.13033623,0.19867375,-0.12623821,-0.3373624,-0.060573272,-0.08535133,-0.29670006,-0.19936478,-0.48760366,-0.32717198,0.090392694,0.21470344,-0.27573597,0.01423797,-0.13470641,0.20895436,-0.19298214,-0.2530088,-0.230814,-0.24834794,-0.22639507,0.41370544,-0.124114126,-0.33962342,-0.49143,10.814074,-0.40539598,0.46241057,-0.21577844,0.028724244,-0.29685226,-0.22404861,0.07713206,-0.1592597,0.22030029,-0.50828654,-0.037475742,-0.288738,-0.06114652,0.01514303,0.18807353,-0.0647706,-0.09755363,-0.3051966,0.44699314,-0.0773798,-0.21135838,-0.81904435,-0.1786785,-0.23777999,-0.37055597,-0.2310025,-0.24074204,-0.1655739,0.22980028,-0.19239575,-0.18664269,-0.22101036,0.21666902,-0.2820587,-0.6866971,-0.25824898,-0.26009077,-0.18313716,0.86923456,-0.45373118,0.08587375,0.5795001,-0.12790692,-0.017952824,-0.13582665,-0.14406939,1
-0.059797835,-0.111764014,-0.042884838,-0.22846478,-0.15968305,0.26488268,-0.26946762,-0.12553848,0.20973156,-0.15918219,0.06618141,-0.2884895,-0.21957824,-0.066918515,-0.1156053,0.11153104,0.15689392,-0.08089267,0.07445879,-0.2643466,0.16021661,0.04544567,0.16333288,-0.1849668,0.23224305,0.637434,-0.012135417,0.9993149,-0.18721873,-0.29327902,-0.35856295,-0.14336632,0.03278749,-0.09361152,0.068981685,0.17305773,-0.29714575,0.0376391,-0.111359105,0.39928755,-0.16041508,0.612563,-0.17193104,0.31125292,0.24947663,0.15896122,-0.11070143,0.16542009,0.73320156,0.016901432,0.23857209,0.12569845,-0.36052233,0.14876857,-0.055416156,-0.0316534,0.10900333,-0.09336548,0.13945962,0.008107591,0.09103842,-0.13387425,0.00922182,-0.18566103,0.09403156,-0.2515857,0.46216255,-0.25727814,-0.16680625,0.3461979,-0.40849674,-0.29035595,0.3875612,0.4635438,-0.20555358,-0.055713028,0.2623516,-0.150667,-0.30879846,-0.10460691,-0.348745,-0.20293963,0.123483546,0.03713079,0.38776687,-0.29729307,-0.39329925,0.2532168,0.16853817,-0.12295225,0.61410505,-0.1939144,-0.14707255,0.46958926,-0.15527934,-1.0946999,-0.12790692,-0.029854987,-0.110401824,-0.36098439,1
