methylation_gene__GENE_CDCA4,methylation_gene__GENE_S1PR2,methylation_gene__GENE_NHEDC2,methylation_gene__GENE_C18ORF10;KIAA1328,methylation_gene__GENE_FAM55C,methylation_gene__GENE_C1ORF216,methylation_gene__GENE_ERICH1,methylation_gene__GENE_FDFT1,methylation_gene__GENE_C14ORF80,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_ZNF639,methylation_gene__GENE_EFHC1,methylation_gene__GENE_CLIC4,methylation_gene__GENE_LPCAT1,methylation_gene__GENE_GOLIM4,methylation_gene__GENE_DNMT3B,methylation_gene__GENE_TRIM25,methylation_gene__GENE_SIKE1,methylation_gene__GENE_MTMR4,methylation_gene__GENE_ICA1L,methylation_gene__GENE_SLC22A4,methylation_gene__GENE_MAN2A1,methylation_gene__GENE_DNAJC18,methylation_gene__GENE_SIN3A,methylation_gene__GENE_FUCA1,methylation_gene__GENE_ZNF747,methylation_gene__GENE_TM9SF1,methylation_gene__GENE_OSBPL8,methylation_gene__GENE_USPL1,methylation_gene__GENE_HSPBP1,methylation_gene__GENE_GPRIN1,methylation_gene__GENE_BET1,methylation_gene__GENE_NEO1,rnaseq_gene__GENE_ACTL6B,methylation_gene__GENE_CYP2R1,methylation_gene__GENE_PTPN12,methylation_gene__GENE_UQCRB,methylation_gene__GENE_BLVRA,methylation_gene__GENE_APLP2,methylation_gene__GENE_CASD1,methylation_gene__GENE_NCK1,methylation_gene__GENE_ANUBL1,methylation_gene__GENE_LHX4,methylation_gene__GENE_SMARCA4,methylation_gene__GENE_DLX2,methylation_gene__GENE_LIF,methylation_gene__GENE_PRKAG2,methylation_gene__GENE_KLHL7,methylation_gene__GENE_HOMER1,methylation_gene__GENE_C3ORF59,methylation_gene__GENE_PTGES3,methylation_gene__GENE_KIAA1328;C18ORF10,methylation_gene__GENE_ITPR1,methylation_gene__GENE_MITF,methylation_gene__GENE_MDH1B;FASTKD2,methylation_gene__GENE_CLTCL1,methylation_gene__GENE_C1ORF85,methylation_gene__GENE_HACE1,methylation_gene__GENE_MAP4K4,methylation_gene__GENE_POLR1B,methylation_gene__GENE_E2F5,methylation_gene__GENE_BBX,methylation_gene__GENE_KLHL32,methylation_gene__GENE_CRIP2,methylation_gene__GENE_USF1,methylation_gene__GENE_MSRB2,methylation_gene__GENE_XKR8,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_GAS2L1,methylation_gene__GENE_ACPL2,methylation_gene__GENE_LOC100329108;GCSH,methylation_gene__GENE_GALNT11,methylation_gene__GENE_TSPYL4,methylation_gene__GENE_CEP350,methylation_gene__GENE_PAPD4,methylation_gene__GENE_RCBTB2,methylation_gene__GENE_SBNO1,methylation_gene__GENE_MARCH8,methylation_gene__GENE_ZNF507,methylation_gene__GENE_SSBP2,rnaseq_gene__GENE_FAM9C,methylation_gene__GENE_CLDN7,methylation_gene__GENE_ZNF277;DOCK4,methylation_gene__GENE_RAB28,methylation_gene__GENE_ZHX2,methylation_gene__GENE_NMD3,methylation_gene__GENE_ZNF416,methylation_gene__GENE_FCHSD2,methylation_gene__GENE_UBAC2;GPR18,methylation_gene__GENE_NDUFB8,methylation_gene__GENE_TMEM67,methylation_gene__GENE_NAA20,methylation_gene__GENE_CDK11A;CDK11B,methylation_gene__GENE_HEY1,methylation_gene__GENE_UBE2Q2,methylation_gene__GENE_RFXAP,methylation_gene__GENE_GEMIN6,methylation_gene__GENE_SH3GLB1,methylation_gene__GENE_GPT2,methylation_gene__GENE_ZCCHC9;RNU5E;RNU5D,target
-0.08739183,-0.08866627,-0.064874195,-0.10217685,-0.034012016,-0.16185357,-0.032527298,-0.1348288,-0.0776894,0.107649475,13.172163,-0.054789208,-0.21995667,-0.15450417,-0.012239568,-0.049853753,0.030950854,0.31016997,0.0064322073,-0.11089701,0.10565683,-0.27929723,0.24737519,0.028643543,-0.12155704,-0.05972503,-0.30040297,-0.032345828,-0.33018425,-0.14234594,0.06781581,-0.26819578,0.26324624,-0.16482092,-0.0020132412,0.12284281,-0.003725595,-0.045493547,-0.110399574,-0.22009625,-0.0012460853,-0.13168763,-0.4016763,-0.35182557,-0.2734872,-0.46419337,0.15064204,-0.16228442,0.077103525,0.11254852,-0.058503903,-0.20994219,-0.072693504,-0.13603306,-0.14696833,-0.25008088,-0.01447829,-0.16872638,-0.36803126,-0.19239254,0.49168184,0.33711985,0.099351786,0.15374132,-0.028223146,-0.32300517,-0.32540244,0.9581157,-0.17666025,0.13628013,-0.32689273,-0.23426504,-0.23126802,-0.09468811,0.03330521,-3.524915e-05,-0.35356006,-0.45186,0.8866974,0.115340106,-0.041516338,0.0025459086,-0.317619,1.2615538,0.07748852,-0.020593707,-0.25489813,-0.20059481,-0.3702074,0.24860466,-0.19113486,0.36064595,-0.19125426,1.0953442,0.099170014,0.05571291,0.15498966,-0.1710505,-0.008086167,-0.14298941,1
-0.13626535,-0.17472287,-0.043406088,-0.15827413,-0.067632355,-0.21678185,-0.3345964,0.031726517,-0.25605118,0.022383025,-0.19963199,0.19862062,-0.019296423,0.23530866,0.012471726,-0.17366898,-0.1399508,-0.0658681,-0.06322965,0.1945664,0.011390092,-0.2767135,-0.15167123,-0.29718542,-0.1244237,-0.1523737,-0.2011076,-0.052915864,0.22336783,-0.04637125,-0.19914705,-0.020418176,-0.22873172,-0.16482092,-0.08123497,-0.24216363,0.08881786,-0.22589543,-0.39245757,-0.6032634,1.0234138,-0.45098767,-0.3195033,-0.20452805,-0.05752435,-0.59644866,-0.10494047,-0.3706313,0.008292655,0.10648455,-0.35423854,0.4719186,0.045399874,-0.13405879,-0.26578528,-0.17513974,-0.23525475,-0.03813751,-0.2953937,-0.05481036,-0.26687983,-0.2885016,-0.37841612,-0.3513212,0.52057236,-0.6237908,-0.2996407,-0.096695915,-0.30383012,-0.49090603,0.7776212,-0.24768028,0.4584462,11.121735,0.11510134,-0.6449782,-0.9393102,0.28413382,0.99429643,-0.010742696,-0.09226942,-0.02921373,0.015499452,0.51584476,-0.09449819,-0.14307897,-0.3983348,-0.17767446,-0.28700706,-0.43367472,-0.11474885,0.16506663,-0.022628788,1.0051628,-0.10012796,0.1255631,-0.161183,-0.034949385,-0.13105291,-0.22913748,0
-0.18061188,-0.080469415,-0.15618895,-0.3133753,-0.26734456,-0.2573959,-0.32091752,-0.2631469,-0.11621391,-0.2040161,-0.18960099,-0.1283248,-0.04445741,-0.2527949,-0.25918847,-0.15754369,-0.25801846,-0.129668,-0.2548977,-0.11932493,-0.05786217,-0.37058023,-0.14588307,-0.30005628,-0.16922677,-0.41892996,-0.24720623,-0.40921775,0.13351685,-0.35473064,-0.034807816,-0.3546737,0.005834582,-0.16482092,-0.03643893,-0.33432665,-0.5214161,-0.73046935,0.44427246,-0.33661562,-0.34952003,-0.42627805,-0.3523299,-0.16133733,-0.46623144,0.022085713,-0.1243243,-0.5968613,-0.22775319,-0.10887328,-0.05338346,-0.5433646,-0.13258238,0.06775041,-0.2056977,-0.25900227,-0.1649308,-0.4576201,-0.43235654,-0.60081804,-0.20133051,-0.56192553,-0.14797267,0.28754038,-0.3166527,-0.5845804,-0.44922775,-0.6562533,-0.5646023,-0.4087229,0.8057906,-0.18535483,-0.54267675,0.46395847,0.06157824,-0.38482407,-0.018554842,-0.35287946,-0.3535423,-0.111911826,0.0160855,0.020908361,-0.5020795,-0.38415116,-0.22976024,-0.5485702,-0.47623214,-0.16462354,-0.37511116,-0.7437517,-0.17653649,-0.37774712,-0.43781227,-0.69397396,-0.29445404,-0.24884038,-0.1063391,-0.1998501,-0.22934407,0.6566044,1
13.370496,-0.08948615,-0.02188562,-0.2692028,-0.056545027,0.15417506,-0.16205096,-0.11951841,-0.09264344,-0.24096261,-0.34039626,-0.2280928,-0.12663881,-0.121952444,-0.024637919,-0.11737258,-0.15234661,-0.042061064,11.998044,-0.17604811,-0.01998898,0.0024000707,-0.14287218,-0.22175868,-0.29507363,-0.30758676,-0.24771543,-0.14332074,0.26702738,-0.049827434,-0.3242549,0.0710147,-0.1770779,0.5143135,-0.016882468,-0.12902099,-0.03758072,0.28759882,-0.18240722,0.14669982,0.09113888,-0.31495643,-0.39686865,-0.2947506,0.041237123,-0.2248359,-0.007936997,-0.3926891,-0.26087707,-0.24956185,0.2119474,0.54149485,0.051050268,-0.22078891,-0.08537369,-0.30232716,-0.32094827,-0.25403056,-0.22494729,-0.22579788,-0.13572142,-0.35667613,-0.23224904,-0.5264976,0.8387641,0.3626195,-0.08403313,-0.71497303,-0.1736755,-0.12231914,0.06669565,-0.33525732,-0.51393914,-0.3956729,12.092065,-0.107914545,0.22015078,0.017063223,0.022870203,0.0072612283,-0.0686784,-0.23947355,-0.23374319,0.014423673,-0.118164256,0.47650972,-0.15200226,-0.26395336,-0.07520729,-0.3511706,-0.11687071,0.083853856,-0.43375322,0.56149334,-0.35010785,-0.21978357,-0.11167539,-0.41583374,-0.13354425,11.258243,1
-0.07342529,-0.07270196,-0.12656847,-0.34737036,-0.26548606,-0.041483946,-0.23570997,9.0728445,-0.1569292,13.190743,-0.24480535,-0.2879815,-0.09236138,0.06794629,-0.04432878,-0.12737343,-0.22656669,-0.2506785,-0.16991378,-0.12552465,-0.14912295,-0.32008344,0.043307077,-0.1547106,-0.5856675,-0.3871431,-0.27354714,-0.4294674,0.022066489,-0.36139128,-0.058987856,-0.55145586,-0.5056818,0.95229316,-0.033494767,-0.4688699,-0.4568415,-0.11260398,-0.25311825,-0.38867846,-0.57621574,-0.18781923,-0.4516076,-0.23291832,0.72077227,-0.053444296,-0.22848654,-0.33064213,-0.672855,-0.48174655,-0.5102772,-0.3876447,0.27921385,-0.33673579,-0.63659364,-0.32170945,-0.34629846,-0.20064831,-0.08119577,-0.17922921,-0.066670254,0.10443192,-0.0477158,-0.30644175,-0.44070458,-0.22918516,-0.43890437,-0.7953367,-0.24314675,-0.3762978,0.03999283,-0.36765003,0.4129365,-0.5290258,-0.47761038,-0.51879704,0.25342384,-0.20312281,1.0253665,-0.00396161,-0.33781904,-0.5390679,-0.5883088,0.32000905,-0.47545716,-0.46870142,-0.06839798,-0.44839227,-0.61304235,-0.044466548,-0.29239857,-0.4475429,-0.3793476,-0.23052917,-0.5467252,-0.25904793,-0.24712946,-0.48132965,-0.14087489,-0.5713549,1
-0.080584556,-0.14735138,-0.111491755,-0.049506936,-0.14132154,-0.19139953,-0.18659927,0.18536499,-0.34544042,-0.07239632,0.26382524,-0.2665714,-0.09082515,-0.21945752,-0.2586679,-0.16917469,-0.11056121,-0.21296947,-0.3040645,-0.025060453,-0.20693927,-0.30778143,-0.052495208,-0.26557085,-0.2668664,-0.28593266,-0.23308076,-0.2939936,0.019741075,-0.13434929,0.06269774,-0.31316093,0.16681175,-0.16482092,-0.58870983,-0.29742748,-0.34441963,-0.44062248,-0.06332681,0.020720998,0.13381052,0.18035108,-0.4232239,12.341857,-0.13253087,0.1857642,-0.0068119327,-0.3000057,-0.15355575,-0.11646767,-0.3903833,-0.4961975,-0.14060444,0.051489975,0.020765241,-0.29841787,-0.33957314,-0.13764031,-0.4586364,-0.29177344,0.051656827,-0.11681525,-0.30755776,-0.58231074,-0.124135174,-0.2010781,-0.17787986,-0.3742556,0.12583984,0.0356237,-0.5558545,-0.21740697,-0.30905047,-0.6165426,-0.31784058,-0.056074016,-0.90026325,-0.7367082,-0.4518528,0.19033,-0.33781904,-0.02280675,-0.15063247,-0.74006015,0.061747916,0.07516287,0.48238552,-0.2179653,-0.3993208,-0.41361716,-0.20448558,-0.50488037,-0.2515313,1.5498799,-0.25771305,-0.26763853,-0.22728665,-0.15532759,-0.17741865,-0.3434682,1
0.007656226,-0.012269001,0.017061764,-0.13365273,0.046726435,-0.21601425,0.26962784,-0.005179084,0.28865352,-0.06277764,-0.11180343,0.12714192,-0.19560508,0.11354168,-0.040049683,0.012400415,0.07756482,-0.0681828,-0.062428676,0.15121435,-0.073798046,-0.19583035,-0.01964887,-0.21585743,-0.38807204,-0.08993947,0.18973851,0.15514122,-0.17149349,-0.31855386,-0.18277456,0.49425715,-0.29846245,-0.16482092,-0.06646903,0.056085493,-0.3338328,0.47085828,0.48988834,-0.037945382,0.009610579,0.25407138,0.28780505,0.20365079,1.8822497,-0.41767544,-0.1071805,0.45144427,-0.20643729,0.5591555,-0.08235893,0.034979817,0.17501704,-0.023123587,0.049558245,0.2620193,-0.2252679,0.23799916,0.29031327,0.13590455,-0.25483468,0.67560166,0.266844,0.33241582,-0.045545083,0.43052825,0.09345756,0.36729807,0.07803201,-0.16491479,-0.16829638,-0.026548233,-0.47119886,0.47178146,0.018538749,0.052764814,0.7910198,0.3570021,-0.1731811,-0.06945113,0.5800207,1.136506,0.20955586,-0.1890781,-0.18579109,0.9386058,-0.15289958,0.10076013,0.66165185,0.048271816,-0.15816036,0.33131212,0.0083420575,-0.9091028,-0.25182635,-0.12472529,0.034001432,0.13570021,-0.18585701,-0.013359669,1
-0.044088945,-0.2115205,-0.23901358,-0.095324434,-0.38200665,-0.008974729,0.038979217,-0.19395065,-0.31770703,-0.30031186,-0.13811849,-0.19354078,-0.25144204,-0.0075776274,-0.2187226,-0.105927154,-0.19480488,-0.22107951,-0.2866069,-0.29629812,-0.22969995,-0.20202482,-0.36421886,-0.20050606,-0.16819476,-0.20269929,-0.18634976,-0.32978868,-0.37703004,-0.20353393,-0.37724996,-0.31422254,-0.14198399,-0.16482092,-0.487677,-0.50172836,-0.43506333,-0.4259665,-0.2701879,0.48160902,-0.1938402,-0.40499344,-0.039768234,-0.59414,-0.027387515,-0.2004812,-0.1523931,-0.22888963,-0.4984397,-0.3095982,-0.19583263,0.21076159,-0.48532888,0.14142296,-0.6283941,-0.26342452,-0.43502557,-0.04911695,-0.4453226,-0.3682012,-0.51387006,0.21232316,-0.37915465,-0.20407325,-0.5127107,-0.6193497,-0.33189955,-0.5929688,-0.13487652,-0.4405564,-0.39977652,-0.5380776,-0.21655418,-0.41288826,-0.35647452,0.323846,-0.24002619,-0.53012645,-0.5344922,-0.41221818,-0.33781904,0.00024067835,-0.16735907,-0.5272827,-0.677885,-1.0382706,-0.24005498,-0.3246716,0.4911038,-0.31542027,-0.13605106,-0.4432434,-0.36087805,-0.47321597,-0.39304957,-0.26291135,-0.50336343,-0.5596003,-0.2937381,-0.5221321,1
-0.08034601,0.019754233,-0.085614376,-0.016895387,-0.09439074,-0.32048133,-0.18968022,-0.15310419,-0.29519665,-0.18821892,-0.1813042,-0.064282104,-0.12040559,-0.21278837,0.13262692,-0.068785265,0.031586252,-0.14883049,-0.21124083,-0.17179121,-0.20621596,0.19169793,0.0138681745,-0.08409968,0.07467358,-0.023027852,-0.089353085,-0.3807533,-0.32157308,0.1199309,-0.10844711,-0.21814576,0.29488567,-0.16482092,-0.16303326,-0.41110155,0.7511656,-0.18737568,-0.19465226,1.1112889,0.2640328,-0.006570219,-0.041571025,0.1437951,-0.03243942,0.25801817,0.017145772,-0.25194144,0.6488607,0.075654395,-0.10861521,-0.065277845,-0.1761657,0.41873485,0.36955765,-0.005057553,-0.19082585,0.14791329,0.032719452,-0.20746155,-0.40575218,-0.1978416,-0.29469973,-0.23106626,-0.024222218,-0.4075283,-0.086524665,0.23435944,-0.1765733,-0.15572943,0.39210075,0.11236343,-0.46842626,-0.20941122,-0.4855244,0.333785,0.3176517,-0.06218289,0.8385675,-0.245875,-0.33781904,0.5344551,-0.048697576,-0.7012541,-0.4408971,-0.6710019,0.40736866,-0.0043809605,-0.11285874,-0.5453282,-0.21916036,-0.25058427,0.05606704,-0.5862599,0.3476133,-0.19128677,0.095590785,0.6383652,-0.012855022,0.64910424,1
-0.046353027,-0.1811715,-0.1737857,-0.18243662,-0.21857429,0.09694378,-0.2525449,-0.13344458,-0.12293833,-0.052787606,-0.28768405,-0.19894968,0.38851297,0.053683452,-0.10177632,-0.06935662,-0.3017068,-0.10577587,-0.28485033,-0.06847036,-0.32595962,-0.27869058,-0.312726,-0.26547843,-0.33605233,-0.54325694,0.08509043,-0.01982568,6.7637315,-0.3963385,-0.27053738,0.115123615,-0.17066048,-0.16482092,0.065140456,-0.24084288,0.20047063,-0.33818287,-0.15809728,-0.3087741,-0.4865477,-0.2325859,0.5295309,-0.52643824,0.00031559955,0.42451644,-0.28631777,-0.291063,-0.6624402,-0.21540082,-0.27075493,-0.46825743,0.116447285,-0.2404783,0.13051352,-0.39939028,-0.5041818,-0.2134586,-0.35457915,-0.47224715,0.0070614517,-0.38772103,-0.12425787,0.0034763548,-0.26906514,-0.025400717,-0.16254492,-0.2913015,-0.30418417,0.33996645,-0.28120947,-0.4442524,-0.02212474,-0.07327166,-0.56544566,0.78909767,0.027214156,0.14799772,-0.73552066,-0.16831948,-0.33781904,-0.27926204,-0.11446608,0.084298186,-0.057862792,-0.22384195,-0.17944922,0.024146266,0.15230554,-0.44478142,-0.1377819,-0.0008412564,-0.3778821,-0.38897482,-0.039591152,-0.19379133,-0.13384826,-0.25690004,0.03548983,-0.49148476,1
