methylation_gene__GENE_S1PR2,methylation_gene__GENE_NHEDC2,methylation_gene__GENE_TRIM25,methylation_gene__GENE_FAM55C,methylation_gene__GENE_C1ORF216,methylation_gene__GENE_EFHC1,methylation_gene__GENE_GOLIM4,methylation_gene__GENE_ADH5,methylation_gene__GENE_CLIC4,methylation_gene__GENE_GATA6,methylation_gene__GENE_DNMT3B,methylation_gene__GENE_KIF15;KIAA1143,methylation_gene__GENE_BCL7A,methylation_gene__GENE_ZNF639,methylation_gene__GENE_SIKE1,methylation_gene__GENE_ETS1,methylation_gene__GENE_ICA1L,methylation_gene__GENE_MRPS17,methylation_gene__GENE_MAN2A1,methylation_gene__GENE_SLC22A4,methylation_gene__GENE_LLPH,methylation_gene__GENE_DNAJC18,methylation_gene__GENE_TMEM20,methylation_gene__GENE_KIAA0101,methylation_gene__GENE_OSBPL8,methylation_gene__GENE_GEMIN6,methylation_gene__GENE_HSPBP1,methylation_gene__GENE_GPRIN1,methylation_gene__GENE_CDK11A;CDK11B,methylation_gene__GENE_BET1,methylation_gene__GENE_BRI3,methylation_gene__GENE_HERC5,methylation_gene__GENE_NEO1,methylation_gene__GENE_PRKAG2,methylation_gene__GENE_BLVRA,methylation_gene__GENE_CYP2R1,methylation_gene__GENE_APLP2,methylation_gene__GENE_ANUBL1,methylation_gene__GENE_CNPY3,methylation_gene__GENE_LHX4,methylation_gene__GENE_SMARCA4,methylation_gene__GENE_FIBCD1,methylation_gene__GENE_C3ORF59,methylation_gene__GENE_LIF,methylation_gene__GENE_PTGES3,methylation_gene__GENE_DLX2,methylation_gene__GENE_MITF,methylation_gene__GENE_HOMER1,methylation_gene__GENE_ITPR1,methylation_gene__GENE_HACE1,methylation_gene__GENE_SLC35F2,methylation_gene__GENE_ATP6V1C1,methylation_gene__GENE_KLHL7,methylation_gene__GENE_MAP4K4,methylation_gene__GENE_BBX,methylation_gene__GENE_H3F3B,methylation_gene__GENE_MIR548G;C3ORF26,methylation_gene__GENE_C1ORF85,methylation_gene__GENE_LOC100329108;GCSH,methylation_gene__GENE_CLTCL1,methylation_gene__GENE_RAI14,methylation_gene__GENE_MARCH8,methylation_gene__GENE_POLR1B,methylation_gene__GENE_MSRB2,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_FUCA1,methylation_gene__GENE_USF1,methylation_gene__GENE_GALNT11,methylation_gene__GENE_TSPYL4,methylation_gene__GENE_TMEM8A;LOC100134368,methylation_gene__GENE_CYP39A1;SLC25A27,methylation_gene__GENE_SSBP2,methylation_gene__GENE_TAPBPL;LOC678655,methylation_gene__GENE_ZNF507,methylation_gene__GENE_MDK,methylation_gene__GENE_ZNF277;DOCK4,methylation_gene__GENE_C19ORF2,methylation_gene__GENE_NAA20,methylation_gene__GENE_NDUFB8,methylation_gene__GENE_CD27;TAPBPL;LOC678655,methylation_gene__GENE_FCHSD2,methylation_gene__GENE_FHIT,methylation_gene__GENE_SBNO1,methylation_gene__GENE_XKR8,methylation_gene__GENE_TMEM67,methylation_gene__GENE_HEY1,methylation_gene__GENE_MXD3,methylation_gene__GENE_PEX11A;WDR93,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_KCNK16,methylation_gene__GENE_UBE2Q2,methylation_gene__GENE_RAB28,methylation_gene__GENE_RNF25;STK36,methylation_gene__GENE_RNF17,methylation_gene__GENE_GPT2,methylation_gene__GENE_FKBPL,methylation_gene__GENE_AK3L1,rnaseq_gene__GENE_GABRG1,methylation_gene__GENE_C9ORF30,methylation_gene__GENE_GSTK1,target
-0.08866627,-0.064874195,0.030950854,-0.034012016,-0.16185357,-0.054789208,-0.012239568,-0.043135297,-0.21995667,-0.16431302,-0.049853753,0.86621064,0.24948281,13.172163,0.31016997,-0.09088203,-0.11089701,-0.023774117,-0.27929723,0.10565683,-0.07282656,0.24737519,0.19522707,0.16437852,-0.032345828,0.15498966,-0.14234594,0.06781581,-0.19125426,-0.26819578,-0.07535844,-0.18479791,0.26324624,0.15064204,-0.045493547,-0.0020132412,-0.110399574,-0.13168763,0.043321285,-0.4016763,-0.35182557,-0.17051342,0.11254852,-0.46419337,-0.058503903,-0.2734872,-0.13603306,0.077103525,-0.072693504,-0.16872638,0.24345884,-0.12018456,-0.16228442,-0.36803126,0.33711985,-0.12242063,0.23280713,-0.01447829,-0.32689273,-0.25008088,-0.19643718,-0.45186,-0.19239254,-0.32300517,0.9581157,-0.12155704,-0.028223146,-0.23426504,-0.23126802,-0.10170314,0.21703447,0.115340106,-0.63158983,0.8866974,-0.61902076,-0.317619,-0.0011930015,0.36064595,0.24860466,0.9641024,-0.20059481,0.13255881,-0.35356006,-0.32540244,-0.19113486,1.0953442,-0.19462387,0.0668336,-0.12790692,-0.21404667,0.099170014,1.2615538,0.12318739,0.03801761,-0.008086167,-0.07286758,-0.25338122,-0.3143071,0.44085515,1.3103299,1
-0.17010453,-0.17417066,-0.10189479,-0.14875567,-0.159886,-0.25473112,0.23020484,-0.27582815,-0.12944539,-0.10181659,-0.17171039,-0.28597042,-0.27916497,0.02239299,-0.07146025,-0.14018331,-0.10565371,-0.25178477,-0.40885615,-0.31024504,-0.2336075,-0.16700353,-0.072787024,-0.49593568,-0.40258998,-0.21950842,-0.14430168,-0.18257737,-0.20291467,-0.03328874,-0.28196302,0.20958243,-0.094283596,-0.3409763,-0.6205796,-0.3401808,-0.2174001,-0.35157725,0.20942542,-0.33867493,-0.25306448,-0.21117869,-0.58049285,0.034403235,-0.42453286,-0.5416935,-0.5403596,-0.32344797,-0.19061306,-0.37450323,-0.36570096,-0.028367246,-0.3990872,-0.3194074,-0.5107816,-0.48487633,-0.23571226,-0.2993337,-0.553942,-0.52384025,-0.3183109,1.9530253,-0.33951688,-0.16501203,-0.8892181,-0.21462262,-0.016671997,-0.25654227,0.42425126,-0.14075182,-0.657494,0.053661775,0.07173982,-0.32304016,-0.74594975,-0.104899205,-0.7607976,-0.4239661,-0.57267755,0.19853982,-0.33243126,-0.2582071,0.24967737,-0.051690888,-0.22556257,0.3935999,-0.5685845,-0.48183924,-0.12790692,-0.21404667,-0.24383539,1.786925,-0.5160872,0.26188102,-0.19352843,-0.026828105,-0.116909556,-0.3143071,-0.6510373,-0.42679265,1
-0.080469415,-0.15618895,-0.25801846,-0.26734456,-0.2573959,-0.1283248,-0.25918847,-0.26851514,-0.04445741,0.09015068,-0.15754369,-0.36469877,-0.269621,-0.18960099,-0.129668,-0.26829007,-0.11932493,-0.4750711,-0.37058023,-0.05786217,-0.13818367,-0.14588307,-0.23812401,-0.31759986,-0.40921775,-0.1063391,-0.35473064,-0.034807816,-0.43781227,-0.3546737,-0.17248102,-0.25524947,0.005834582,-0.1243243,-0.73046935,-0.03643893,0.44427246,-0.42627805,-0.12638642,-0.3523299,-0.16133733,-0.29222408,-0.10887328,0.022085713,-0.05338346,-0.46623144,0.06775041,-0.22775319,-0.13258238,-0.4576201,-0.60484755,-0.48078033,-0.5968613,-0.43235654,-0.56192553,-0.28370342,0.38459077,-0.1649308,0.8057906,-0.25900227,-0.25640938,-0.35287946,-0.60081804,-0.5845804,-0.6562533,-0.16922677,-0.3166527,-0.18535483,-0.54267675,-0.2892459,-0.03389227,-0.111911826,-0.4125777,-0.3535423,-0.7084215,-0.5020795,-0.8640826,-0.37774712,-0.7437517,0.26371938,-0.16462354,-0.075659476,-0.018554842,-0.44922775,-0.17653649,-0.69397396,-0.5623242,-0.14473729,-0.12790692,-0.21404667,-0.29445404,-0.38415116,-0.41177326,0.064432494,-0.22934407,-0.12679401,-0.30896804,-0.3143071,-0.19736832,-0.69695234,1
-0.08622815,0.029051254,-0.17678337,-0.104901776,-0.18629724,-0.077822216,-0.08711366,13.194387,-0.11903907,-0.15842189,-0.13700119,0.04000164,-0.11044404,0.23882732,0.08411637,0.13591978,-0.17532565,0.029739426,-0.100017436,-0.18964486,12.904035,0.2988873,-0.10892952,-0.16198395,-0.3667423,0.56025285,-0.13390587,-0.1009506,-0.065416716,0.033523306,0.10456552,12.847178,0.18206185,-0.2099245,0.26208565,0.13626534,-0.04239003,0.571894,0.14193642,0.118598916,0.3781045,-0.3391247,-0.46235508,0.08118388,-0.1032105,-0.33583346,-0.20209847,-0.18936132,-0.031377144,0.10479625,12.072283,0.15154855,-0.10636888,-0.13700682,0.027465692,0.75316364,0.45351064,-0.32106304,-0.43800908,-0.25786424,5.1967993,-0.17462584,-0.062234756,0.08351358,-0.3738944,-0.24268933,-0.112030074,-0.22370276,-0.17550784,-0.27692196,-0.31915474,-0.076225236,0.43278965,0.2000315,-0.3748921,-0.09295066,-0.81801236,-0.6704215,0.70120084,0.15432148,-0.14125803,-0.66042036,-0.28033257,-0.5229464,-0.16420484,-0.0021922535,-0.07140592,0.062341373,-0.12790692,11.201384,-0.30713248,-0.025741411,-0.49711716,0.27219123,0.15195256,0.42077842,1.871078,0.74295706,-0.78691643,-0.077229895,1
-0.14735138,-0.111491755,-0.11056121,-0.14132154,-0.19139953,-0.2665714,-0.2586679,-0.1272466,-0.09082515,-0.15115662,-0.16917469,-0.24792343,-0.27631932,0.26382524,-0.21296947,-0.072364986,-0.025060453,-0.050473657,-0.30778143,-0.20693927,-0.14292705,-0.052495208,-0.23568141,-0.30353892,-0.2939936,-0.22728665,-0.13434929,0.06269774,-0.2515313,-0.31316093,-0.2882291,-0.25151125,0.16681175,-0.0068119327,-0.44062248,-0.58870983,-0.06332681,0.18035108,-0.12858291,-0.4232239,12.341857,0.029429475,-0.11646767,0.1857642,-0.3903833,-0.13253087,0.051489975,-0.15355575,-0.14060444,-0.13764031,-0.41398153,-0.19358946,-0.3000057,-0.4586364,-0.11681525,-0.2563652,0.0050459737,-0.33957314,-0.5558545,-0.29841787,-0.2604244,-0.7367082,-0.29177344,-0.2010781,-0.3742556,-0.2668664,-0.124135174,-0.21740697,-0.30905047,-0.3460912,-0.3708393,0.19033,-0.12004995,-0.4518528,-0.5620957,-0.15063247,-0.70097065,-0.50488037,-0.41361716,-0.08806655,-0.2179653,-0.15686741,-0.90026325,-0.17787986,-0.20448558,1.5498799,-0.20651688,0.31102175,-0.12790692,-0.21404667,-0.25771305,-0.74006015,-0.5530181,0.2538162,-0.17741865,-0.059663415,-0.3534313,-0.3143071,-0.15809764,0.34453878,1
-0.16320108,-0.106853865,-0.118353195,-0.2354759,-0.14086083,-0.32808492,-0.058885664,-0.10603004,-0.25666672,-0.007816054,-0.14013739,-0.20228823,-0.13029934,-0.2434179,-0.05563956,-0.27892804,-0.1602332,-0.40200272,-0.18172434,-0.21809629,-0.09072618,-0.039355367,0.035623137,-0.30464637,-0.024664642,-0.122879244,0.13068776,-0.24284342,-0.29959944,-0.33708012,-0.30365443,-0.2707783,-0.045488913,-0.13304706,-0.12965393,-0.14641185,-0.332818,-0.16481549,-0.025150318,-0.2819739,-0.037670888,-0.25836387,-0.45504695,0.0081204055,0.023367235,-0.57692325,-0.038358055,-0.18047963,0.20469515,0.08376307,-0.45882443,-0.33654228,-0.42755675,-0.2333234,-0.17012808,0.759903,0.27278095,0.3326541,-0.04840492,-0.013040569,-0.23389937,-0.6972098,-0.048498943,-0.45102304,-0.5577921,-0.30870333,0.08520219,-0.42742115,0.06702775,-0.1571433,0.12938309,-0.15629631,9.344927,-0.52607554,-0.6777513,-0.37349087,-0.6083718,0.10252699,-0.29755643,10.442121,-0.315045,-0.16125028,0.03269131,-0.483795,-0.3247713,0.62565625,-0.57123303,-0.21486503,-0.12790692,-0.21404667,-0.55973315,0.34840685,-0.3787408,-0.6049786,-0.117003076,-0.45841068,-0.41544747,9.398473,-0.3653449,0.8951402,1
0.0026580337,0.02819348,-0.11018006,-0.09770972,0.07612877,-0.2313155,-0.07676112,0.09546122,0.10824748,0.3479157,-0.038662873,0.1313303,-0.004858531,0.17639776,-0.08226251,-0.14007694,-0.12205691,-0.22466454,0.46198994,0.4737936,0.07714144,0.19422853,0.019391857,-0.11757119,-0.18992555,-0.16150026,-0.16682507,-0.020159015,-0.09166617,0.041149303,-0.008693896,-0.13232537,0.21753897,-0.1496366,0.42877918,0.12654595,-0.13729641,-0.09907971,-0.19597968,-0.26140183,-0.29382825,-0.20407428,-0.13330688,-0.15142925,-0.07277114,0.16755816,-0.0021835035,0.2616514,0.09271932,0.052911878,0.1313436,12.181546,0.06667099,-0.077386945,-0.3922875,-0.18200354,0.86270833,-0.19654405,-0.014617581,-0.12372464,-0.14207974,0.17764662,0.031088235,-0.45968264,-0.5203101,-0.19624321,0.107394695,0.21897738,-0.22866872,0.30245435,-0.5544259,0.011540874,0.4153124,0.114299074,-0.3325965,-0.111213714,-0.34163278,0.7377656,-0.26885402,0.2874828,-0.23943098,0.15472001,0.22657618,-0.18585919,-0.036510292,0.79800224,-0.15937479,-0.34655133,-0.12790692,-0.21404667,-0.2580087,-0.3016251,-0.17303918,0.20771627,0.062357336,-0.34603596,6.2398863,-0.3143071,-0.05003545,0.21551187,1
-0.2115205,-0.23901358,-0.19480488,-0.38200665,-0.008974729,-0.19354078,-0.2187226,-0.20685264,-0.25144204,-0.06507239,-0.105927154,-0.28027946,-0.32173628,-0.13811849,-0.22107951,-0.18137515,-0.29629812,-0.16544594,-0.20202482,-0.22969995,-0.2625747,-0.36421886,-0.20177993,-0.21336734,-0.32978868,-0.50336343,-0.20353393,-0.37724996,-0.36087805,-0.31422254,-0.1441283,-0.3028021,-0.14198399,-0.1523931,-0.4259665,-0.487677,-0.2701879,-0.40499344,-0.3071365,-0.039768234,-0.59414,-0.021701181,-0.3095982,-0.2004812,-0.19583263,-0.027387515,0.14142296,-0.4984397,-0.48532888,-0.04911695,-0.6040681,-0.20794867,-0.22888963,-0.4453226,0.21232316,-0.08202837,-0.49553517,-0.43502557,-0.39977652,-0.26342452,-0.15882312,-0.53012645,-0.3682012,-0.6193497,-0.5929688,-0.16819476,-0.5127107,-0.5380776,-0.21655418,-0.35927436,0.09183531,-0.41221818,-0.40260282,-0.5344922,0.14451967,-0.16735907,-0.19852884,-0.4432434,-0.31542027,-0.62144744,-0.3246716,-0.46490625,-0.24002619,-0.33189955,-0.13605106,-0.47321597,-0.8026677,-0.6534153,-0.12790692,-0.21404667,-0.39304957,-0.5272827,-0.5401231,0.27349374,-0.2937381,-0.41270506,-0.019184945,1.7645962,-0.19960652,-0.42015505,1
0.019754233,-0.085614376,0.031586252,-0.09439074,-0.32048133,-0.064282104,0.13262692,-0.04627304,-0.12040559,0.64030874,-0.068785265,-0.18912965,0.09559412,-0.1813042,-0.14883049,-0.14965713,-0.17179121,-0.41164657,0.19169793,-0.20621596,-0.10238546,0.0138681745,-0.16231172,-0.17427307,-0.3807533,0.095590785,0.1199309,-0.10844711,0.05606704,-0.21814576,-0.29930308,0.185951,0.29488567,0.017145772,-0.18737568,-0.16303326,-0.19465226,-0.006570219,-0.07753325,-0.041571025,0.1437951,-0.0023328604,0.075654395,0.25801817,-0.10861521,-0.03243942,0.41873485,0.6488607,-0.1761657,0.14791329,-0.14302804,-0.4666425,-0.25194144,0.032719452,-0.1978416,-0.02933889,-0.28995487,-0.19082585,0.39210075,-0.005057553,-0.002418213,-0.06218289,-0.20746155,-0.4075283,0.23435944,0.07467358,-0.024222218,0.11236343,-0.46842626,-0.087172136,0.8577442,-0.245875,-0.21310742,0.8385675,0.12813407,-0.048697576,0.39171556,-0.25058427,-0.5453282,0.07674261,-0.0043809605,0.27638465,0.3176517,-0.086524665,-0.21916036,-0.5862599,-0.41671017,-0.39983377,-0.12790692,-0.21404667,0.3476133,-0.7012541,-0.2872884,0.24842632,-0.012855022,0.092103295,0.007589922,0.90751004,0.32555658,-0.27395242,1
-0.059797835,-0.111764014,-0.07793327,-0.042884838,-0.22846478,0.26488268,-0.15918219,-0.26946762,-0.2884895,-0.08734669,-0.066918515,0.07445879,-0.21957824,-0.08683194,-0.08089267,-0.10081882,-0.2643466,0.16021661,0.15689392,0.04544567,-0.1849668,0.637434,-0.057308372,0.9993149,-0.012135417,-0.18721873,-0.29327902,-0.09361152,0.04328777,0.068981685,-0.14336632,0.0376391,0.612563,0.17305773,0.39928755,-0.046352793,-0.17193104,0.26624265,0.24947663,0.23857209,-0.09336548,0.16542009,-0.055416156,0.10900333,-0.030131696,0.73320156,0.13945962,-0.0316534,0.00922182,-0.18566103,-0.16680625,-0.13387425,0.008107591,0.46216255,0.3461979,-0.40849674,-0.29035595,-0.25727814,-0.20556441,-0.111359105,-0.20555358,0.2623516,0.09403156,-0.348745,0.123483546,0.31125292,-0.30879846,0.03713079,0.21738361,-0.14125003,0.3875612,-0.29729307,-0.085151844,0.16853817,1.3971138,0.61410505,0.38776687,0.2532168,-0.14707255,-0.4582277,-0.1939144,-0.12295225,-0.39329925,-0.3495149,-0.15527934,-0.029854987,0.7792744,-0.025139427,-0.12790692,-0.21404667,-0.36098439,-0.26775038,0.17857084,0.016901432,-0.33266395,-1.0946999,-0.17911582,-0.3143071,-0.15028764,-0.80283356,1
