rank,feature_id,modality
1,methylation_gene::GENE:C18ORF10;KIAA1328,methylation_gene
2,methylation_gene::GENE:FDFT1,methylation_gene
3,methylation_gene::GENE:C14ORF80,methylation_gene
4,methylation_gene::GENE:ADH5,methylation_gene
5,methylation_gene::GENE:ZNF33B,methylation_gene
6,methylation_gene::GENE:HEXB,methylation_gene
7,methylation_gene::GENE:BCL7A,methylation_gene
8,methylation_gene::GENE:THUMPD3,methylation_gene
9,methylation_gene::GENE:GATA6,methylation_gene
10,methylation_gene::GENE:KIF15;KIAA1143,methylation_gene
11,methylation_gene::GENE:ETS1,methylation_gene
12,methylation_gene::GENE:TUBGCP3,methylation_gene
13,methylation_gene::GENE:ZNF747,methylation_gene
14,methylation_gene::GENE:LLPH,methylation_gene
15,methylation_gene::GENE:TM9SF1,methylation_gene
16,methylation_gene::GENE:KIAA0101,methylation_gene
17,methylation_gene::GENE:HSPBP1,methylation_gene
18,methylation_gene::GENE:USPL1,methylation_gene
19,methylation_gene::GENE:BRI3,methylation_gene
20,methylation_gene::GENE:HERC5,methylation_gene
21,methylation_gene::GENE:UBE2L6,methylation_gene
22,methylation_gene::GENE:CRIP2,methylation_gene
23,methylation_gene::GENE:ACP2;NR1H3,methylation_gene
24,methylation_gene::GENE:CYP2R1,methylation_gene
25,methylation_gene::GENE:APLP2,methylation_gene
26,methylation_gene::GENE:NCK1,methylation_gene
27,methylation_gene::GENE:ZNF273,methylation_gene
28,methylation_gene::GENE:FIBCD1,methylation_gene
29,methylation_gene::GENE:SH3RF2,methylation_gene
30,methylation_gene::GENE:WWOX,methylation_gene
31,methylation_gene::GENE:LIF,methylation_gene
32,methylation_gene::GENE:KIAA1328;C18ORF10,methylation_gene
33,methylation_gene::GENE:FUCA1,methylation_gene
34,methylation_gene::GENE:POM121,methylation_gene
35,methylation_gene::GENE:H3F3B,methylation_gene
36,methylation_gene::GENE:CYP39A1;SLC25A27,methylation_gene
37,methylation_gene::GENE:GAS2L1,methylation_gene
38,methylation_gene::GENE:ATP6V1C1,methylation_gene
39,methylation_gene::GENE:MSRB2,methylation_gene
40,methylation_gene::GENE:CEP350,methylation_gene
41,methylation_gene::GENE:USF1,methylation_gene
42,methylation_gene::GENE:SLC35F2,methylation_gene
43,methylation_gene::GENE:TAPBPL;LOC678655,methylation_gene
44,methylation_gene::GENE:TMEM8A;LOC100134368,methylation_gene
45,methylation_gene::GENE:CAMK2D,methylation_gene
46,methylation_gene::GENE:MDK,methylation_gene
47,methylation_gene::GENE:TMEM20,methylation_gene
48,methylation_gene::GENE:CD27;TAPBPL;LOC678655,methylation_gene
49,methylation_gene::GENE:MXD3,methylation_gene
50,rnaseq_gene::GENE:RHAG,rnaseq_gene
51,methylation_gene::GENE:NMD3,methylation_gene
52,rnaseq_gene::GENE:C21ORF54,rnaseq_gene
53,methylation_gene::GENE:UBAC2;GPR18,methylation_gene
54,rnaseq_gene::GENE:INSL6,rnaseq_gene
55,methylation_gene::GENE:POLR1B,methylation_gene
56,methylation_gene::GENE:ZNF416,methylation_gene
57,rnaseq_gene::GENE:FAM9C,rnaseq_gene
58,methylation_gene::GENE:GSTK1,methylation_gene
59,methylation_gene::GENE:FHIT,methylation_gene
60,methylation_gene::GENE:INPP5K;LOC100306951,methylation_gene
61,rnaseq_gene::GENE:KCNK16,rnaseq_gene
62,methylation_gene::GENE:EPR1;BIRC5,methylation_gene
63,methylation_gene::GENE:GMFB,methylation_gene
64,methylation_gene::GENE:ALOXE3,methylation_gene
65,rnaseq_gene::GENE:SEL1L2,rnaseq_gene
66,methylation_gene::GENE:STAMBP,methylation_gene
67,methylation_gene::GENE:SC5DL,methylation_gene
68,methylation_gene::GENE:MYLIP,methylation_gene
69,methylation_gene::GENE:GADD45B,methylation_gene
70,cnv_log2::GENE:FAM155B,cnv_log2
71,cnv_log2::GENE:EFNB1,cnv_log2
72,cnv_log2::GENE:PJA1,cnv_log2
73,cnv_log2::GENE:LINC00269,cnv_log2
74,rnaseq_gene::GENE:GABRG1,rnaseq_gene
75,methylation_gene::GENE:FAM103A1,methylation_gene
76,methylation_gene::GENE:CCDC62,methylation_gene
77,cnv_log2::GENE:EDA,cnv_log2
78,rnaseq_gene::GENE:LGALS14,rnaseq_gene
79,methylation_gene::GENE:MNAT1,methylation_gene
80,cnv_log2::GENE:STARD8,cnv_log2
81,methylation_gene::GENE:GPHN,methylation_gene
82,cnv_log2::GENE:YIPF6,cnv_log2
83,methylation_gene::GENE:IER3,methylation_gene
84,methylation_gene::GENE:ANUBL1,methylation_gene
85,methylation_gene::GENE:PPP1R13B,methylation_gene
86,methylation_gene::GENE:GLT25D1,methylation_gene
87,methylation_gene::GENE:OSBP,methylation_gene
88,rnaseq_gene::GENE:SYCP3,rnaseq_gene
89,methylation_gene::GENE:AARS;EXOSC6,methylation_gene
90,rnaseq_gene::GENE:C19ORF41,rnaseq_gene
91,methylation_gene::GENE:GOPC,methylation_gene
92,cnv_log2::GENE:CT47A2,cnv_log2
93,cnv_log2::GENE:CT47A10,cnv_log2
94,cnv_log2::GENE:CT47A1,cnv_log2
95,cnv_log2::GENE:CT47A4,cnv_log2
96,cnv_log2::GENE:CT47A5,cnv_log2
97,cnv_log2::GENE:CT47A6,cnv_log2
98,cnv_log2::GENE:CT47A7,cnv_log2
99,cnv_log2::GENE:CT47A8,cnv_log2
100,cnv_log2::GENE:GLUD2,cnv_log2
