methylation_gene__GENE_CDCA4,methylation_gene__GENE_S1PR2,methylation_gene__GENE_TRIM25,methylation_gene__GENE_C18ORF10;KIAA1328,methylation_gene__GENE_NHEDC2,methylation_gene__GENE_FAM55C,methylation_gene__GENE_C1ORF216,methylation_gene__GENE_FDFT1,methylation_gene__GENE_C14ORF80,methylation_gene__GENE_EFHC1,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_GATA6,methylation_gene__GENE_CLIC4,methylation_gene__GENE_ZNF639,methylation_gene__GENE_GOLIM4,methylation_gene__GENE_ADH5,methylation_gene__GENE_DNMT3B,methylation_gene__GENE_BCL7A,methylation_gene__GENE_KIF15;KIAA1143,methylation_gene__GENE_ETS1,methylation_gene__GENE_ICA1L,methylation_gene__GENE_MTMR4,methylation_gene__GENE_SIKE1,methylation_gene__GENE_MAN2A1,methylation_gene__GENE_MRPS17,methylation_gene__GENE_SLC22A4,methylation_gene__GENE_DNAJC18,methylation_gene__GENE_ZNF747,methylation_gene__GENE_TMEM20,methylation_gene__GENE_LLPH,methylation_gene__GENE_TM9SF1,methylation_gene__GENE_KIAA0101,methylation_gene__GENE_CRIP2,methylation_gene__GENE_OSBPL8,methylation_gene__GENE_GEMIN6,methylation_gene__GENE_BET1,methylation_gene__GENE_GPRIN1,methylation_gene__GENE_BRI3,methylation_gene__GENE_HERC5,methylation_gene__GENE_NEO1,methylation_gene__GENE_PRKAG2,methylation_gene__GENE_CLTCL1,methylation_gene__GENE_MRPS34;EME2,methylation_gene__GENE_BLVRA,methylation_gene__GENE_ACP2;NR1H3,methylation_gene__GENE_APLP2,methylation_gene__GENE_NCK1,methylation_gene__GENE_CNPY3,methylation_gene__GENE_LHX4,methylation_gene__GENE_FIBCD1,methylation_gene__GENE_DLX2,methylation_gene__GENE_WWOX,methylation_gene__GENE_C3ORF59,methylation_gene__GENE_RNF17,methylation_gene__GENE_HOMER1,methylation_gene__GENE_MITF,methylation_gene__GENE_PTGES3,methylation_gene__GENE_ATP6V1C1,methylation_gene__GENE_HACE1,methylation_gene__GENE_KLHL7,methylation_gene__GENE_ITPR1,methylation_gene__GENE_KIAA1328;C18ORF10,methylation_gene__GENE_PAPD4,methylation_gene__GENE_MAP4K4,methylation_gene__GENE_MIR548G;C3ORF26,methylation_gene__GENE_BBX,methylation_gene__GENE_SLC35F2,methylation_gene__GENE_POM121,methylation_gene__GENE_RAI14,rnaseq_gene__GENE_KCNK16,methylation_gene__GENE_USF1,methylation_gene__GENE_LOC100329108;GCSH,methylation_gene__GENE_CAMK2D,methylation_gene__GENE_GAS2L1,methylation_gene__GENE_MARCH8,methylation_gene__GENE_GALNT11,methylation_gene__GENE_TMEM8A;LOC100134368,methylation_gene__GENE_NEK11;ASTE1,methylation_gene__GENE_MDK,methylation_gene__GENE_CYP39A1;SLC25A27,methylation_gene__GENE_SBNO1,methylation_gene__GENE_SSBP2,methylation_gene__GENE_ZNF507,methylation_gene__GENE_FKBPL,methylation_gene__GENE_NAA20,methylation_gene__GENE_ZNF277;DOCK4,methylation_gene__GENE_PEX11A;WDR93,methylation_gene__GENE_XKR8,methylation_gene__GENE_FCHSD2,methylation_gene__GENE_NDUFB8,methylation_gene__GENE_TMEM67,methylation_gene__GENE_PEBP1,methylation_gene__GENE_UBE2Q2,methylation_gene__GENE_SLC16A13,methylation_gene__GENE_MXD3,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_CDK11A;CDK11B,methylation_gene__GENE_INPP5K;LOC100306951,methylation_gene__GENE_AK3L1,methylation_gene__GENE_GPT2,target
-0.08739183,-0.08866627,0.030950854,-0.10217685,-0.064874195,-0.034012016,-0.16185357,-0.1348288,-0.0776894,-0.054789208,0.107649475,-0.16431302,-0.21995667,13.172163,-0.012239568,-0.043135297,-0.049853753,0.24948281,0.86621064,-0.09088203,-0.11089701,0.0064322073,0.31016997,-0.27929723,-0.023774117,0.10565683,0.24737519,-0.05972503,0.19522707,-0.07282656,-0.30040297,0.16437852,0.15374132,-0.032345828,0.15498966,-0.26819578,0.06781581,-0.07535844,-0.18479791,0.26324624,0.15064204,-0.25008088,0.24556208,-0.045493547,-0.014137638,-0.110399574,-0.0012460853,0.043321285,-0.4016763,-0.17051342,-0.2734872,-0.17008843,0.11254852,0.03801761,0.077103525,-0.13603306,-0.058503903,-0.12018456,-0.16872638,-0.16228442,-0.072693504,-0.20994219,0.03330521,-0.36803126,0.23280713,0.33711985,0.24345884,0.49863565,-0.19643718,-0.21404667,-0.028223146,-0.32689273,-0.008452598,-0.17666025,-0.45186,-0.23426504,-0.10170314,0.9581157,-0.61902076,0.21703447,-0.35356006,0.115340106,0.8866974,-0.07286758,0.36064595,-0.317619,0.0668336,-0.32540244,-0.20059481,0.24860466,-0.19113486,8.1421995,0.099170014,-0.43877584,-0.19462387,-0.12790692,-0.19125426,0.3800887,-0.25338122,-0.008086167,1
-0.15309937,-0.17010453,-0.10189479,-0.12042356,-0.17417066,-0.14875567,-0.159886,-0.30398738,-0.19512706,-0.25473112,-0.09972884,-0.10181659,-0.12944539,0.02239299,0.23020484,-0.27582815,-0.17171039,-0.27916497,-0.28597042,-0.14018331,-0.10565371,-0.08092904,-0.07146025,-0.40885615,-0.25178477,-0.31024504,-0.16700353,-0.3060914,-0.072787024,-0.2336075,-0.37846366,-0.49593568,-0.39611983,-0.40258998,-0.21950842,-0.03328874,-0.18257737,-0.28196302,0.20958243,-0.094283596,-0.3409763,-0.52384025,-0.077964045,-0.6205796,0.035978954,-0.2174001,-0.49672914,0.20942542,-0.33867493,-0.21117869,-0.5416935,0.017528662,-0.58049285,0.26188102,-0.32344797,-0.5403596,-0.42453286,-0.028367246,-0.37450323,-0.3990872,-0.19061306,-0.42525506,-0.082640216,-0.3194074,-0.23571226,-0.5107816,-0.36570096,-0.15632284,-0.3183109,-0.21404667,-0.016671997,-0.553942,2.8271365,-0.26169896,1.9530253,-0.25654227,-0.14075182,-0.8892181,-0.74594975,-0.657494,0.24967737,0.053661775,-0.32304016,-0.026828105,-0.4239661,-0.104899205,-0.48183924,-0.051690888,-0.33243126,-0.57267755,-0.22556257,-0.40735084,-0.24383539,-0.052734558,-0.5685845,-0.12790692,-0.20291467,0.40392038,-0.116909556,-0.19352843,1
-0.13626535,-0.17472287,-0.1399508,-0.15827413,-0.043406088,-0.067632355,-0.21678185,0.031726517,-0.25605118,0.19862062,0.022383025,-0.1764202,-0.019296423,-0.19963199,0.012471726,0.18156189,-0.17366898,-0.2403434,-0.18966815,-0.17057674,0.1945664,-0.06322965,-0.0658681,-0.2767135,-0.20746854,0.011390092,-0.15167123,-0.1523737,-0.11803964,-0.04454681,-0.2011076,-0.1583147,-0.3513212,-0.052915864,-0.161183,-0.020418176,-0.19914705,-0.17894247,0.037042063,-0.22873172,-0.10494047,-0.17513974,-0.4445929,-0.22589543,-0.041121714,-0.39245757,1.0234138,-0.11489365,-0.3195033,-0.4197621,-0.05752435,-0.28223833,0.10648455,0.28193697,0.008292655,-0.13405879,-0.35423854,0.006986288,-0.03813751,-0.3706313,0.045399874,0.4719186,0.11510134,-0.2953937,-0.16827738,-0.2885016,-0.30470735,0.24186167,-0.037268754,1.8054682,0.52057236,0.7776212,0.3056828,-0.30383012,0.28413382,-0.24768028,0.1365469,-0.096695915,-0.47440267,0.15520678,-0.9393102,-0.010742696,0.99429643,0.20972079,0.16506663,0.015499452,-0.3538573,-0.2996407,-0.17767446,-0.43367472,-0.11474885,-0.41246396,-0.10012796,-0.46799344,-0.25538749,-0.12790692,-0.022628788,-0.6326667,-0.38485095,-0.13105291,0
-0.07940217,-0.08622815,-0.17678337,-0.010509118,0.029051254,-0.104901776,-0.18629724,-0.16981329,-0.0979659,-0.077822216,-0.09009483,-0.15842189,-0.11903907,0.23882732,-0.08711366,13.194387,-0.13700119,-0.11044404,0.04000164,0.13591978,-0.17532565,-0.10484859,0.08411637,-0.100017436,0.029739426,-0.18964486,0.2988873,0.006717662,-0.10892952,12.904035,-0.24643792,-0.16198395,0.08788194,-0.3667423,0.56025285,0.033523306,-0.1009506,0.10456552,12.847178,0.18206185,-0.2099245,-0.25786424,-0.2318156,0.26208565,-0.013916197,-0.04239003,0.060611855,0.14193642,0.118598916,-0.3391247,-0.33583346,-0.16464946,-0.46235508,0.27219123,-0.18936132,-0.20209847,-0.1032105,0.15154855,0.10479625,-0.10636888,-0.031377144,-0.11411928,-0.18717127,-0.13700682,0.45351064,0.027465692,12.072283,0.6070808,5.1967993,11.201384,-0.112030074,-0.43800908,0.25900388,-0.11690556,-0.17462584,-0.22370276,-0.27692196,-0.3738944,-0.3748921,-0.31915474,-0.28033257,-0.076225236,0.2000315,0.42077842,-0.6704215,-0.09295066,0.062341373,-0.5229464,-0.14125803,0.70120084,-0.16420484,-0.3991519,-0.30713248,-0.31123462,-0.07140592,-0.12790692,-0.065416716,6.040608,1.871078,0.15195256,1
13.370496,-0.08948615,-0.15234661,-0.2692028,-0.02188562,-0.056545027,0.15417506,-0.11951841,-0.09264344,-0.2280928,-0.24096261,0.091636024,-0.12663881,-0.34039626,-0.024637919,-0.23168354,-0.11737258,-0.22594784,-0.3287966,-0.051124576,-0.17604811,11.998044,-0.042061064,0.0024000707,-0.13606463,-0.01998898,-0.14287218,-0.30758676,-0.19577889,-0.006369258,-0.24771543,-0.28086093,-0.5264976,-0.14332074,-0.11167539,0.0710147,-0.3242549,0.14211307,-0.17671151,-0.1770779,-0.007936997,-0.30232716,-0.18112141,0.28759882,0.37006518,-0.18240722,0.09113888,0.822772,-0.39686865,-0.15976326,0.041237123,-0.35261363,-0.24956185,0.008929011,-0.26087707,-0.22078891,0.2119474,-0.5363796,-0.25403056,-0.3926891,0.051050268,0.54149485,12.092065,-0.22494729,0.034247767,-0.35667613,-0.2641773,-0.71383226,-0.21896973,-0.21404667,0.8387641,0.06669565,-0.19013484,-0.1736755,0.017063223,-0.33525732,-0.50159293,-0.71497303,-0.9654006,0.6043019,0.22015078,0.0072612283,0.022870203,-0.061928503,0.083853856,-0.23374319,1.2754048,-0.08403313,-0.26395336,-0.3511706,-0.11687071,-0.03464608,-0.35010785,-0.42467585,-0.43944016,-0.12790692,-0.43375322,0.08664097,-0.31025267,-0.13354425,1
-0.07342529,-0.07270196,-0.22656669,-0.34737036,-0.12656847,-0.26548606,-0.041483946,9.0728445,-0.1569292,-0.2879815,13.190743,-0.22971325,-0.09236138,-0.24480535,-0.04432878,-0.17044866,-0.12737343,-0.12849638,-0.13734502,-0.27327314,-0.12552465,-0.16991378,-0.2506785,-0.32008344,-0.35420147,-0.14912295,0.043307077,-0.3871431,-0.14434557,-0.19620104,-0.27354714,-0.31787807,-0.30644175,-0.4294674,-0.24712946,-0.55145586,-0.058987856,-0.07214784,0.0034632222,-0.5056818,-0.22848654,-0.32170945,-0.2105808,-0.11260398,-0.73651403,-0.25311825,-0.57621574,-0.49371743,-0.4516076,-0.44161722,0.72077227,-0.30437163,-0.48174655,0.16256295,-0.672855,-0.33673579,-0.5102772,0.26486492,-0.20064831,-0.33064213,0.27921385,-0.3876447,-0.47761038,-0.08119577,-0.09541584,0.10443192,-0.20993401,-0.20862456,-0.29174903,-0.21404667,-0.44070458,0.03999283,-0.18771888,-0.24314675,-0.20312281,-0.36765003,-0.19562101,-0.7953367,-0.84978414,-0.3284145,0.25342384,-0.00396161,1.0253665,-1.1341858,-0.4475429,-0.5883088,-0.3475702,-0.43890437,-0.44839227,-0.044466548,-0.29239857,-0.31673294,-0.5467252,-0.49134305,-0.40866166,-0.12790692,-0.3793476,-0.5783948,-0.3756537,-0.14087489,1
-0.062336408,0.0026580337,-0.11018006,-0.0072624236,0.02819348,-0.09770972,0.07612877,-0.09837427,-0.022657534,-0.2313155,-0.028818285,0.3479157,0.10824748,0.17639776,-0.07676112,0.09546122,-0.038662873,-0.004858531,0.1313303,-0.14007694,-0.12205691,-0.03465343,-0.08226251,0.46198994,-0.22466454,0.4737936,0.19422853,0.3266533,0.019391857,0.07714144,-0.16927032,-0.11757119,-0.2748777,-0.18992555,-0.16150026,0.041149303,-0.020159015,-0.008693896,-0.13232537,0.21753897,-0.1496366,-0.12372464,0.2921489,0.42877918,0.12810759,-0.13729641,0.5634633,-0.19597968,-0.26140183,-0.20407428,0.16755816,0.016032092,-0.13330688,0.20771627,0.2616514,-0.0021835035,-0.07277114,12.181546,0.052911878,0.06667099,0.09271932,0.03397437,-0.30756566,-0.077386945,0.86270833,-0.3922875,0.1313436,0.21651338,-0.14207974,-0.21404667,0.107394695,-0.014617581,0.518304,-0.097286284,0.17764662,0.21897738,0.30245435,-0.5203101,-0.3325965,-0.5544259,0.22657618,0.011540874,0.114299074,-0.34603596,0.7377656,-0.111213714,-0.34655133,-0.18585919,-0.23943098,-0.26885402,-0.036510292,0.5953082,-0.2580087,-0.13307637,-0.15937479,-0.12790692,-0.09166617,-0.39903867,6.2398863,0.062357336,1
0.007656226,-0.012269001,0.07756482,-0.13365273,0.017061764,0.046726435,-0.21601425,-0.005179084,0.28865352,0.12714192,-0.06277764,-0.101245165,-0.19560508,-0.11180343,-0.040049683,0.03392084,0.012400415,0.4050877,0.19692032,-0.14210112,0.15121435,-0.062428676,-0.0681828,-0.19583035,0.24224794,-0.073798046,-0.01964887,-0.08993947,-0.08652848,-0.20009455,0.18973851,0.35316592,0.33241582,0.15514122,0.034001432,0.49425715,-0.18277456,0.01719522,-0.012431122,-0.29846245,-0.1071805,0.2620193,-0.057318814,0.47085828,-0.119900964,0.48988834,0.009610579,0.2721751,0.28780505,0.14180818,1.8822497,-0.104425624,0.5591555,0.3074352,-0.20643729,-0.023123587,-0.08235893,0.036136057,0.23799916,0.45144427,0.17501704,0.034979817,0.018538749,0.29031327,-0.11672776,0.67560166,0.34156257,-0.018611988,-0.024297075,-0.21404667,-0.045545083,-0.16829638,-0.07692099,0.07803201,0.3570021,-0.026548233,0.10297123,0.36729807,0.39125243,-0.21695581,0.7910198,-0.06945113,-0.1731811,-0.76878077,0.33131212,0.20955586,-0.17562497,0.09345756,0.10076013,0.048271816,-0.15816036,-0.010465777,-0.25182635,0.19814543,0.9914192,-0.12790692,0.0083420575,0.1973892,-0.020447912,-0.18585701,1
-0.17693096,-0.15169755,0.05315163,0.2535018,-0.06377304,-0.097452395,0.075127244,-0.12230251,-0.11725363,0.095661245,-0.06277569,0.18888171,0.0048688403,-0.009833532,-0.24709916,-0.15641169,-0.069768704,-0.21341583,-0.11487443,0.021808943,-0.3433326,-0.16491546,-0.0385366,-0.20219915,-0.116790794,0.048065796,0.030246297,-0.20840776,-0.0036856825,-0.113633275,-0.09688462,-0.007407932,-0.0773798,0.0606376,-0.13033623,-0.29670006,-0.08535133,-0.3373624,-0.32717198,0.01423797,-0.19936478,0.090392694,0.38587096,0.21470344,-0.13105114,-0.13470641,-0.230814,-0.19298214,-0.124114126,-0.24834794,-0.22639507,10.814074,-0.40539598,0.41370544,0.46241057,-0.29685226,-0.15414329,-0.1592597,-0.50828654,-0.22404861,0.22030029,-0.0028487,-0.4755248,-0.06114652,-0.3051966,-0.0647706,0.18807353,0.022782175,-0.21135838,-0.21404667,-0.37055597,-0.0034473666,-0.45373118,-0.1655739,-0.1786785,-0.19239575,-0.11254255,0.22980028,-0.05337084,0.44699314,0.21666902,-0.22101036,-0.6866971,0.5795001,-0.2820587,-0.26009077,-0.03756862,-0.18898554,-0.18313716,0.86923456,0.08587375,-0.41094807,-0.14406939,-0.4635313,-0.54775023,-0.12790692,-0.11015472,-0.44543278,-0.2743055,-0.21799582,1
-0.08034601,0.019754233,0.031586252,-0.016895387,-0.085614376,-0.09439074,-0.32048133,-0.15310419,-0.29519665,-0.064282104,-0.18821892,0.64030874,-0.12040559,-0.1813042,0.13262692,-0.04627304,-0.068785265,0.09559412,-0.18912965,-0.14965713,-0.17179121,-0.21124083,-0.14883049,0.19169793,-0.41164657,-0.20621596,0.0138681745,-0.023027852,-0.16231172,-0.10238546,-0.089353085,-0.17427307,-0.23106626,-0.3807533,0.095590785,-0.21814576,-0.10844711,-0.29930308,0.185951,0.29488567,0.017145772,-0.005057553,-0.21245508,-0.18737568,-0.3425258,-0.19465226,0.2640328,-0.07753325,-0.041571025,-0.0023328604,-0.03243942,-0.059218876,0.075654395,0.24842632,0.6488607,0.41873485,-0.10861521,-0.4666425,0.14791329,-0.25194144,-0.1761657,-0.065277845,-0.4855244,0.032719452,-0.28995487,-0.1978416,-0.14302804,-0.33448294,-0.002418213,-0.21404667,-0.024222218,0.39210075,-0.4051037,-0.1765733,-0.06218289,0.11236343,-0.087172136,0.23435944,0.12813407,0.8577442,0.3176517,-0.245875,0.8385675,0.092103295,-0.25058427,-0.048697576,-0.39983377,-0.086524665,-0.0043809605,-0.5453282,-0.21916036,-0.43574065,0.3476133,0.002632431,-0.41671017,-0.12790692,0.05606704,-0.4295316,0.007589922,-0.012855022,1
