rank,feature_id,modality
1,methylation_gene::GENE:DGUOK,methylation_gene
2,rnaseq_gene::GENE:SNORA70C,rnaseq_gene
3,rnaseq_gene::GENE:CT47A9,rnaseq_gene
4,rnaseq_gene::GENE:CT47A7,rnaseq_gene
5,rnaseq_gene::GENE:TEX36-AS1,rnaseq_gene
6,rnaseq_gene::GENE:PPIAL4B,rnaseq_gene
7,rnaseq_gene::GENE:CT47A11,rnaseq_gene
8,rnaseq_gene::GENE:PRLH,rnaseq_gene
9,rnaseq_gene::GENE:DEFB128,rnaseq_gene
10,rnaseq_gene::GENE:OR11H1,rnaseq_gene
11,rnaseq_gene::GENE:SNAR-C3,rnaseq_gene
12,rnaseq_gene::GENE:KRTAP19-4,rnaseq_gene
13,rnaseq_gene::GENE:SNORA36C,rnaseq_gene
14,rnaseq_gene::GENE:SPINK14,rnaseq_gene
15,rnaseq_gene::GENE:TEX28,rnaseq_gene
16,rnaseq_gene::GENE:SCARNA27,rnaseq_gene
17,rnaseq_gene::GENE:DEFB127,rnaseq_gene
18,rnaseq_gene::GENE:TTTY22,rnaseq_gene
19,rnaseq_gene::GENE:SPACA1,rnaseq_gene
20,rnaseq_gene::GENE:TTTY6B,rnaseq_gene
21,rnaseq_gene::GENE:MS4A5,rnaseq_gene
22,rnaseq_gene::GENE:KRTAP20-3,rnaseq_gene
23,methylation_gene::GENE:MYO6,methylation_gene
24,rnaseq_gene::GENE:DEFB110,rnaseq_gene
25,rnaseq_gene::GENE:CT47A1,rnaseq_gene
26,rnaseq_gene::GENE:LCN9,rnaseq_gene
27,rnaseq_gene::GENE:SNAR-C4,rnaseq_gene
28,rnaseq_gene::GENE:C20ORF71,rnaseq_gene
29,rnaseq_gene::GENE:RBMY1F,rnaseq_gene
30,rnaseq_gene::GENE:C11ORF64,rnaseq_gene
31,rnaseq_gene::GENE:SCARNA23,rnaseq_gene
32,rnaseq_gene::GENE:RBMY1E,rnaseq_gene
33,methylation_gene::GENE:CDC42,methylation_gene
34,methylation_gene::GENE:GALE,methylation_gene
35,methylation_gene::GENE:ZNF296,methylation_gene
36,methylation_gene::GENE:MAP3K11,methylation_gene
37,rnaseq_gene::GENE:RBMY3AP,rnaseq_gene
38,methylation_gene::GENE:HIST1H4C,methylation_gene
39,rnaseq_gene::GENE:NPS,rnaseq_gene
40,rnaseq_gene::GENE:TSPY3,rnaseq_gene
41,methylation_gene::GENE:HIC1,methylation_gene
42,methylation_gene::GENE:ZNF596;RPL23AP53,methylation_gene
43,methylation_gene::GENE:NDUFAF1,methylation_gene
44,rnaseq_gene::GENE:TSPY4,rnaseq_gene
45,methylation_gene::GENE:NSUN5,methylation_gene
46,methylation_gene::GENE:ACPL2,methylation_gene
47,methylation_gene::GENE:NR4A2,methylation_gene
48,methylation_gene::GENE:C16ORF80,methylation_gene
49,rnaseq_gene::GENE:TSPY1,rnaseq_gene
50,rnaseq_gene::GENE:ADAD1,rnaseq_gene
51,methylation_gene::GENE:MANBA,methylation_gene
52,methylation_gene::GENE:EMP1,methylation_gene
53,rnaseq_gene::GENE:CT47A6,rnaseq_gene
54,methylation_gene::GENE:TARS,methylation_gene
55,methylation_gene::GENE:ZNF33B,methylation_gene
56,rnaseq_gene::GENE:WFDC9,rnaseq_gene
57,rnaseq_gene::GENE:TTTY20,rnaseq_gene
58,rnaseq_gene::GENE:OR5D16,rnaseq_gene
59,methylation_gene::GENE:C19ORF24,methylation_gene
60,methylation_gene::GENE:RAB6B,methylation_gene
61,methylation_gene::GENE:SRD5A1;NSUN2,methylation_gene
62,methylation_gene::GENE:CCRN4L,methylation_gene
63,methylation_gene::GENE:EPHB6,methylation_gene
64,methylation_gene::GENE:FUK,methylation_gene
65,rnaseq_gene::GENE:TSPY2,rnaseq_gene
66,methylation_gene::GENE:NOC2L;KLHL17,methylation_gene
67,methylation_gene::GENE:NRF1,methylation_gene
68,methylation_gene::GENE:WDR5B,methylation_gene
69,methylation_gene::GENE:PRC1,methylation_gene
70,methylation_gene::GENE:PTDSS1;MTERFD1,methylation_gene
71,methylation_gene::GENE:TRIB3,methylation_gene
72,methylation_gene::GENE:TMED10,methylation_gene
73,methylation_gene::GENE:NIPSNAP1,methylation_gene
74,methylation_gene::GENE:FBXW8,methylation_gene
75,methylation_gene::GENE:SETD3;CCNK,methylation_gene
76,methylation_gene::GENE:RSAD2,methylation_gene
77,rnaseq_gene::GENE:SPINT4,rnaseq_gene
78,methylation_gene::GENE:DACT1,methylation_gene
79,methylation_gene::GENE:LRRFIP2,methylation_gene
80,methylation_gene::GENE:TOMM40L,methylation_gene
81,methylation_gene::GENE:LPHN1,methylation_gene
82,methylation_gene::GENE:ZNF787,methylation_gene
83,methylation_gene::GENE:YIF1A,methylation_gene
84,methylation_gene::GENE:ZBTB12,methylation_gene
85,methylation_gene::GENE:ARL13B,methylation_gene
86,methylation_gene::GENE:C3ORF23,methylation_gene
87,methylation_gene::GENE:GEMIN6,methylation_gene
88,methylation_gene::GENE:EPN2,methylation_gene
89,methylation_gene::GENE:C9ORF3,methylation_gene
90,rnaseq_gene::GENE:FAM197Y2,rnaseq_gene
91,methylation_gene::GENE:RASA1,methylation_gene
92,methylation_gene::GENE:RNF17,methylation_gene
93,methylation_gene::GENE:SLC16A1,methylation_gene
94,methylation_gene::GENE:PXMP3,methylation_gene
95,methylation_gene::GENE:NRCAM,methylation_gene
96,methylation_gene::GENE:SREBF2,methylation_gene
97,methylation_gene::GENE:AZIN1,methylation_gene
98,methylation_gene::GENE:USP13,methylation_gene
99,methylation_gene::GENE:TOR1A,methylation_gene
100,methylation_gene::GENE:HIST1H1C,methylation_gene
