rnaseq_gene__GENE_DEFB121,rnaseq_gene__GENE_SNAR-A2,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_PRAMEF17,methylation_gene__GENE_OSBPL6,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_LRRC30,methylation_gene__GENE_EXT1,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_PNN,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_CASP6,rnaseq_gene__GENE_OR10J1,rnaseq_gene__GENE_KRTAP10-9,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_OR4D10,methylation_gene__GENE_VEGFA,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_OR8H1,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_ZNF721;PIGG,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_LCE3C,methylation_gene__GENE_NDE1;KIAA0430,rnaseq_gene__GENE_HES3,rnaseq_gene__GENE_FGF6,rnaseq_gene__GENE_KRTAP19-6,methylation_gene__GENE_CNP,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_BID,methylation_gene__GENE_YJU2B,rnaseq_gene__GENE_OR2T6,methylation_gene__GENE_CDK5RAP1,rnaseq_gene__GENE_DEFB104A,rnaseq_gene__GENE_C20ORF166,rnaseq_gene__GENE_OR5A1,methylation_gene__GENE_B2M,rnaseq_gene__GENE_DEFB129,methylation_gene__GENE_RSPH3,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_PPP2R5D,methylation_gene__GENE_ZNF596;RPL23AP53,methylation_gene__GENE_FRY,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_ASAH1,rnaseq_gene__GENE_DHRS7C,rnaseq_gene__GENE_OR6C4,methylation_gene__GENE_ENTPD6,methylation_gene__GENE_NACC1;TRMT1,methylation_gene__GENE_ATP5S;L2HGDH,rnaseq_gene__GENE_PAGE3,methylation_gene__GENE_SDC1,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_C21ORF131,methylation_gene__GENE_ADK;AP3M1,methylation_gene__GENE_ST3GAL1,rnaseq_gene__GENE_OR8K3,methylation_gene__GENE_LRRC20,methylation_gene__GENE_CYP51A1,rnaseq_gene__GENE_TECRL,rnaseq_gene__GENE_NKX6-2,rnaseq_gene__GENE_MAGEB10,rnaseq_gene__GENE_SNORA69,rnaseq_gene__GENE_FAM99A,methylation_gene__GENE_DIS3L,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_OTUD6A,methylation_gene__GENE_ENO2,methylation_gene__GENE_DCTN3,methylation_gene__GENE_CNIH,methylation_gene__GENE_SKIL,methylation_gene__GENE_NKIRAS2;DNAJC7,rnaseq_gene__GENE_OR4A5,methylation_gene__GENE_TPP1,rnaseq_gene__GENE_ZNF735,methylation_gene__GENE_VEGFB,rnaseq_gene__GENE_IAPP,methylation_gene__GENE_ITPA,methylation_gene__GENE_PNP,methylation_gene__GENE_DCI,methylation_gene__GENE_LASS5,rnaseq_gene__GENE_CSRP3,rnaseq_gene__GENE_BCYRN1,methylation_gene__GENE_ACTR1A;SUFU,rnaseq_gene__GENE_OR7G2,rnaseq_gene__GENE_C10ORF71,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_CRYGA,methylation_gene__GENE_COX6A1,target
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,0.024985047,-0.07355285,-0.067629814,-0.05803116,0.2724021,-0.042500064,0.92409426,-0.0679732,0.43147662,-0.07421895,-0.05562216,-0.13785753,-0.07234395,-0.050053358,-0.09654722,-0.04435848,-0.08606776,-0.06925289,-0.06940588,-0.08720162,-0.057666454,0.57670254,0.42173645,-0.071920976,-0.062246185,0.13529193,-0.089100406,-0.08795058,-0.041330405,0.8835326,0.043400798,-0.14370757,0.27185285,0.42896795,-0.083192356,0.22245051,-0.048288155,-0.11526267,-0.09926551,-0.019082772,-0.06825314,1.8004966,0.4490543,0.72174776,-0.11021341,0.25627154,-0.21529208,0.3274703,1.7362952,-0.0583981,0.28123093,1.1414319,0.9158221,-0.066061795,2.29268,0.49858165,-0.09370761,0.15196294,0.64437985,-0.08367701,0.4131752,0.31500235,-0.11196494,-0.09467098,0.8101285,-0.08561648,-0.069542356,0.04163547,-0.09939945,-0.1489025,0.07336908,0.27439588,0.58171415,0.7472554,-0.19255161,-0.06427042,-0.10161546,-0.09391567,-0.17079495,-0.14094758,0.33710602,0.74621373,0.22217868,0.93290526,-0.15924661,-0.078358516,0.87651545,-0.06859739,-0.1911025,23.692472,-0.07638114,0.8926659,0
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,0.29696387,-0.07355285,-0.067629814,-0.05803116,0.047453728,-0.042500064,0.36188236,-0.0679732,0.37512636,-0.07421895,-0.05562216,0.23064291,-0.07234395,-0.050053358,-0.09654722,-0.05125228,-0.08606776,-0.06925289,-0.06940588,-0.08720162,-0.057666454,0.2569746,0.30067533,-0.071920976,-0.062246185,-0.059406396,-0.089100406,-0.08795058,-0.041330405,0.29769805,0.49041125,-0.14370757,0.77753603,0.4818272,-0.083192356,0.7981819,-0.048288155,-0.11526267,4.4264455,0.17234565,-0.06825314,0.28290993,0.14871067,0.30446488,-0.15192229,0.6557903,-0.21529208,-0.029027075,-0.17625973,-0.0583981,0.3547302,0.19510004,0.05212484,-0.066061795,0.6688122,0.54176915,-0.09370761,-0.0008208119,0.5072738,-0.08367701,-0.1851329,0.2938332,-0.11196494,-0.09467098,-0.1653577,-0.08561648,-0.069542356,0.005384936,-0.09939945,-0.1489025,-0.32059684,0.08976974,0.044528294,0.4385283,0.22070405,-0.06427042,0.025402108,-0.09391567,-0.18246691,-0.14094758,-0.005793088,0.44180295,0.46784836,0.07087298,-0.15924661,-0.078358516,0.19357608,-0.06859739,3.5609434,-0.08846551,-0.07638114,0.0444566,0
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,13.4373045,-0.12225317,-0.07355285,-0.067629814,-0.05803116,-0.22995704,-0.042500064,0.05508806,29.66682,0.38779214,-0.07421895,-0.05562216,-0.5697412,-0.07234395,-0.050053358,-0.09654722,-0.0075936196,-0.08606776,-0.06925289,6.499733,-0.08720162,-0.057666454,-0.30798945,-0.30156872,-0.071920976,-0.062246185,0.24955367,11.295503,-0.08795058,-0.041330405,-0.27653405,-0.5374824,-0.14370757,-0.80404365,-0.36832228,-0.083192356,-0.62134945,-0.048288155,-0.11526267,-0.09926551,-0.3136486,-0.06825314,0.363912,-0.34003553,-0.0068120486,0.23902906,-0.41832557,-0.21529208,0.66419744,-0.17625973,-0.0583981,-0.26187956,-0.39243972,-0.970754,-0.066061795,-0.1538012,0.48221505,-0.09370761,-0.19678165,-0.28232503,-0.08367701,-0.39638203,-0.17207763,-0.11196494,1.5501657,-0.1653577,-0.08561648,-0.069542356,-0.15640284,-0.09939945,-0.1489025,-0.6882903,19.838295,-0.18355137,-0.28729084,-0.11098085,-0.06427042,-0.42391214,-0.09391567,-0.33989236,-0.14094758,1.2722404,-0.07774605,-0.7196318,-0.45911855,0.49590597,-0.078358516,-0.34465763,-0.06859739,10.166941,-0.08846551,-0.07638114,-0.7486864,1
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,-0.17863783,-0.07355285,-0.067629814,-0.05803116,-0.3300132,-0.042500064,-0.41923362,-0.0679732,-0.3334045,-0.07421895,-0.05562216,-0.4579842,-0.07234395,-0.050053358,-0.09654722,-0.30582115,-0.08606776,-0.06925289,-0.06940588,-0.08720162,-0.057666454,-0.3648553,-0.1900458,-0.071920976,-0.062246185,-0.95206517,-0.089100406,11.442419,-0.041330405,-0.6323357,-0.41058275,-0.14370757,-0.4669323,-0.6229121,-0.083192356,0.03172992,-0.048288155,-0.11526267,-0.09926551,0.10679096,-0.06825314,-0.27988753,-0.20189038,-0.1448726,-0.0067735068,-0.31920248,-0.21529208,-0.059737857,-0.17625973,-0.0583981,-0.55395526,-0.54242903,-0.38611126,-0.066061795,-1.1064398,-0.0707264,-0.09370761,-0.40701145,-0.22376871,-0.08367701,-0.008786143,-0.11618164,-0.11196494,-0.09467098,-0.1653577,-0.08561648,-0.069542356,-0.80540514,-0.09939945,-0.1489025,-0.28991085,-0.0033715067,0.071725115,-0.77329755,-0.52921176,-0.06427042,-0.31761447,-0.09391567,-0.45827174,-0.14094758,-0.70183337,-0.206947,-0.3187792,-0.23693548,-0.15924661,-0.078358516,0.06372066,-0.06859739,-0.1911025,-0.08846551,-0.07638114,0.26521647,0
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,0.10678903,-0.07355285,-0.067629814,-0.05803116,0.03866025,-0.042500064,-0.15852861,-0.0679732,-0.17719148,-0.07421895,-0.05562216,-0.060981262,-0.07234395,-0.050053358,-0.09654722,0.131724,-0.08606776,-0.06925289,-0.06940588,-0.08720162,-0.057666454,0.20228925,-0.04891446,-0.071920976,-0.062246185,-0.5443985,-0.089100406,-0.08795058,-0.041330405,0.14428157,-0.33585742,-0.14370757,-0.20232221,-0.3793243,-0.083192356,-0.05709003,-0.048288155,-0.11526267,-0.09926551,-0.18398409,-0.06825314,-0.8841017,-0.026363669,0.41056055,-0.30572116,-0.1538763,2.589988,0.10124547,-0.17625973,-0.0583981,0.49037334,-0.39563727,-0.061688613,-0.066061795,-0.21289678,-0.037392955,-0.09370761,-0.09701469,0.22784412,-0.08367701,-0.06186747,-0.18359837,-0.11196494,-0.09467098,2.178494,-0.08561648,-0.069542356,-0.23674446,-0.09939945,-0.1489025,0.35366178,-0.29779166,0.069383554,-0.15905763,-0.4268463,-0.06427042,0.06663842,-0.09391567,-0.15632717,1.4871397,0.40266174,-0.29389346,0.02144555,-0.050377708,-0.15924661,-0.078358516,-0.09323182,-0.06859739,-0.1911025,-0.08846551,-0.07638114,0.29931468,1
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,0.2558799,-0.07355285,-0.067629814,-0.05803116,0.28250474,-0.042500064,-0.15706192,-0.0679732,-0.11403511,-0.07421895,-0.05562216,-0.022669125,-0.07234395,-0.050053358,-0.09654722,0.92865384,-0.08606776,-0.06925289,-0.06940588,-0.08720162,-0.057666454,0.039493494,0.0036797028,-0.071920976,-0.062246185,-0.27538082,-0.089100406,-0.08795058,-0.041330405,0.21447335,-0.011934135,-0.14370757,-0.20814203,-0.272925,-0.083192356,0.1880384,-0.048288155,-0.11526267,-0.09926551,-0.008716016,-0.06825314,-0.3715321,-0.066588126,0.37450778,-0.06961542,16.977419,-0.21529208,-0.4016427,-0.17625973,-0.0583981,0.034216244,-0.24454752,4.849765e-05,-0.066061795,0.25102252,10.229894,-0.09370761,0.058151405,0.15581416,-0.08367701,0.035564743,-0.09363314,-0.11196494,-0.09467098,1.7176727,-0.08561648,-0.069542356,-0.3252559,-0.09939945,-0.1489025,-0.2708802,-0.030138152,0.11994856,-0.018064536,-0.42125672,-0.06427042,-0.3469324,-0.09391567,0.23164392,-0.14094758,-0.22887963,-0.136214,0.045835294,-0.29469705,-0.15924661,-0.078358516,-0.036150683,-0.06859739,-0.1911025,-0.08846551,-0.07638114,0.9643626,0
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,-0.14730205,-0.07355285,-0.067629814,-0.05803116,0.11138058,-0.042500064,0.15324245,-0.0679732,-0.8004506,-0.07421895,-0.05562216,-0.07433188,-0.07234395,-0.050053358,-0.09654722,-0.26771,-0.08606776,-0.06925289,-0.06940588,-0.08720162,-0.057666454,-0.2161776,0.26369026,-0.071920976,-0.062246185,0.2516241,-0.089100406,-0.08795058,-0.041330405,0.96450573,-0.6799201,-0.14370757,-0.15263277,-1.0026215,-0.083192356,0.5596398,-0.048288155,-0.11526267,-0.09926551,0.1699537,-0.06825314,1.3794566,-0.058388073,-0.08248456,-0.00013214204,-0.18761054,-0.21529208,-0.72487885,-0.17625973,-0.0583981,-0.0127045745,-0.45751405,0.12013544,-0.066061795,-0.7849969,0.02774375,-0.09370761,0.04576718,0.13991801,-0.08367701,0.017150274,0.14450017,-0.11196494,-0.09467098,-0.1653577,-0.08561648,-0.069542356,-0.42744264,-0.09939945,-0.1489025,-0.7740745,-0.021249246,0.2896576,0.85466564,-0.87556803,-0.06427042,0.16948433,-0.09391567,-0.45241278,-0.14094758,-0.7447274,-0.21024981,-0.19530241,-0.061486535,-0.15924661,-0.078358516,0.28885862,1.8795662,-0.1911025,-0.08846551,-0.07638114,-0.061529733,0
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,0.2127286,-0.07355285,-0.067629814,-0.05803116,-0.093570836,-0.042500064,-0.14915372,-0.0679732,0.04140262,-0.07421895,-0.05562216,0.03748442,-0.07234395,-0.050053358,-0.09654722,1.8418019,-0.08606776,29.499832,-0.06940588,-0.08720162,-0.057666454,0.639818,0.2391726,-0.071920976,-0.062246185,-0.15298854,-0.089100406,-0.08795058,-0.041330405,0.10937657,0.37477794,-0.14370757,-0.12849128,0.10437643,-0.083192356,-0.04568205,-0.048288155,-0.11526267,-0.09926551,0.5825816,-0.06825314,-0.06818555,0.112116285,1.1453167,-0.08376198,-0.091064334,2.6728935,0.42293563,-0.17625973,-0.0583981,0.3172136,-0.21437827,0.40849096,-0.066061795,-0.43352103,0.4566232,-0.09370761,0.070752665,0.11929931,-0.08367701,0.12295465,0.33931962,-0.11196494,-0.09467098,-0.1653577,-0.08561648,-0.069542356,0.114990875,-0.09939945,-0.1489025,-0.111611575,-0.07082722,0.05843391,2.735388,0.39399883,-0.06427042,0.08233936,-0.09391567,-0.09600338,-0.14094758,-0.25537145,0.16685109,0.44753098,-0.0912711,-0.15924661,-0.078358516,0.9363885,-0.06859739,-0.1911025,-0.08846551,-0.07638114,0.93161917,0
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,-0.062082857,-0.07355285,-0.067629814,-0.05803116,0.12289606,-0.042500064,0.09272659,-0.0679732,-0.3214761,-0.07421895,-0.05562216,-0.23372367,-0.07234395,-0.050053358,-0.09654722,-0.17836002,-0.08606776,-0.06925289,-0.06940588,-0.08720162,-0.057666454,-0.19231333,-0.17115928,-0.071920976,-0.062246185,-0.23670651,-0.089100406,-0.08795058,-0.041330405,-0.2830614,-0.11547741,-0.14370757,-0.40225932,-0.030735927,-0.083192356,-0.4540141,-0.048288155,-0.11526267,-0.09926551,-0.18169767,-0.06825314,-0.32062066,-0.16840427,-0.3093328,-0.26215294,-0.02198543,-0.21529208,-0.21521895,-0.17625973,-0.0583981,-0.16906242,0.36027178,-0.45004946,-0.066061795,0.030208712,-0.006336753,-0.09370761,0.218851,-0.32236236,-0.08367701,-0.22907917,0.059908167,-0.11196494,-0.09467098,-0.1653577,-0.08561648,-0.069542356,-0.3245739,4.320285,-0.1489025,-0.14172249,-0.2715606,0.11042936,0.3873884,-0.41870794,-0.06427042,-0.11678503,-0.09391567,-0.10388707,-0.14094758,-0.62407154,0.0009767121,-0.27926168,-0.005380332,-0.15924661,-0.078358516,-0.14683536,-0.06859739,-0.1911025,-0.08846551,-0.07638114,-0.10411849,0
-0.030400896,-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400898,-0.030400896,-0.040199555,0.045141302,-0.07355285,-0.067629814,4.4684606,0.22430259,-0.042500064,-0.12249072,-0.0679732,-0.0295345,-0.07421895,-0.05562216,-0.04518739,2.6616113,-0.050053358,-0.09654722,0.07154202,5.717438,-0.06925289,-0.06940588,-0.08720162,-0.057666454,-0.06892276,0.0320534,-0.071920976,-0.062246185,-0.14209785,-0.089100406,-0.08795058,-0.041330405,0.160025,-0.019686019,-0.14370757,0.03582428,0.13953227,-0.083192356,-0.039698705,-0.048288155,-0.11526267,-0.09926551,-0.19716755,-0.06825314,-0.1886873,-0.062103976,0.4799726,19.522757,0.0053541134,-0.21529208,-0.34034875,4.046281,-0.0583981,0.24420565,-0.5251848,0.054476775,-0.066061795,0.9274533,0.020923164,-0.09370761,-0.14327101,-0.07876867,-0.08367701,0.07321998,-0.16648886,-0.11196494,-0.09467098,-0.1653577,-0.08561648,-0.069542356,-0.47691375,-0.09939945,-0.1489025,0.14294401,12.7811775,-0.035289913,-0.359619,-0.50386804,-0.06427042,-0.30928355,-0.09391567,0.7058375,-0.14094758,0.47417513,-0.19406368,0.1348535,-0.116136685,-0.15924661,-0.078358516,-0.07081715,-0.06859739,-0.1911025,-0.08846551,-0.07638114,-0.22467485,1
