rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_SNAR-A13,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_SNAR-A2,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_SNAR-F,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_TSPY4,methylation_gene__GENE_GPI,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_LRRC30,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_MS4A5,rnaseq_gene__GENE_PRAMEF16,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_TSPY3,methylation_gene__GENE_VEGFA,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_LCE3C,rnaseq_gene__GENE_OR51A7,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_KRTAP19-6,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_FGF6,rnaseq_gene__GENE_HES3,methylation_gene__GENE_OBFC2B,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_DEFB129,methylation_gene__GENE_NSUN5,rnaseq_gene__GENE_DEFB104A,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_C20ORF166,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_ONECUT3,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_PRDM14,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_VEGFB,rnaseq_gene__GENE_OR5A1,methylation_gene__GENE_NACC1;TRMT1,rnaseq_gene__GENE_PAGE3,methylation_gene__GENE_TSPAN3,rnaseq_gene__GENE_DKFZP434L192,rnaseq_gene__GENE_ZNF735,rnaseq_gene__GENE_OTUD6A,rnaseq_gene__GENE_C21ORF131,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_DAZ1,rnaseq_gene__GENE_NKX6-2,rnaseq_gene__GENE_OR8K3,rnaseq_gene__GENE_ADAM7,rnaseq_gene__GENE_SRY,methylation_gene__GENE_ST3GAL1,methylation_gene__GENE_ZNF44,methylation_gene__GENE_ZNF624,methylation_gene__GENE_DCTN3,rnaseq_gene__GENE_TMEM207,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_DHRS7C,rnaseq_gene__GENE_LINC00635,rnaseq_gene__GENE_GUCA1C,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_TECRL,methylation_gene__GENE_CYP51A1,methylation_gene__GENE_SLC22A17,rnaseq_gene__GENE_MAGEB10,rnaseq_gene__GENE_OR7G2,rnaseq_gene__GENE_CRYGA,rnaseq_gene__GENE_OR2T27,methylation_gene__GENE_SLC25A38,methylation_gene__GENE_ZNF563,methylation_gene__GENE_TPP1,methylation_gene__GENE_ITPA,rnaseq_gene__GENE_CABP2,rnaseq_gene__GENE_MRGPRG,rnaseq_gene__GENE_RAG2,rnaseq_gene__GENE_RTP1,rnaseq_gene__GENE_C10ORF71,methylation_gene__GENE_PMS1;ORMDL1,methylation_gene__GENE_LRP2BP,rnaseq_gene__GENE_FOXB2,methylation_gene__GENE_ATMIN,rnaseq_gene__GENE_OR2M1P,methylation_gene__GENE_DCI,methylation_gene__GENE_DUSP4,methylation_gene__GENE_CCR4,rnaseq_gene__GENE_CSRP3,methylation_gene__GENE_ZNF160,rnaseq_gene__GENE_OR4D6,rnaseq_gene__GENE_CHRND,methylation_gene__GENE_RCBTB2,rnaseq_gene__GENE_SNAR-B2,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,-0.040199555,-0.035875507,0.18294889,-0.0679732,-0.05803116,-0.05562216,-0.067629814,-0.069158584,-0.07234395,0.23064291,-0.050053358,-0.04756436,-0.05125228,-0.14113313,-0.09654722,-0.06925289,-0.06940588,-0.08606776,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,-0.08795058,-0.089100406,0.47386664,0.49041125,-0.06825314,0.66948795,-0.048288155,0.15346035,-0.11526267,0.8020264,-0.071920976,-0.15192229,-0.19387476,0.14871067,-0.18246691,4.4264455,0.19510004,-0.066061795,-0.08839884,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,-0.09467098,-0.08367701,-0.1181239,-0.06418999,0.5072738,0.1412926,0.15315995,0.08976974,-0.11980957,-0.09939945,-0.17625973,-0.18354331,-0.10974532,-0.078358516,-0.11196494,0.2938332,-0.12951767,-0.1653577,-0.06859739,-0.07638114,-0.050521668,-0.022540353,-0.011687097,0.025402108,-0.005793088,-0.07587367,-0.04293071,-0.18899952,-0.4345085,3.5609434,0.07848424,-0.24544275,-0.12846951,-0.18094221,-0.10272443,0.46784836,-0.02096244,0.33000132,-0.15924661,0.022995586,-0.114294864,-0.17307012,3.4615011,4.0270185,0
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,13.4373045,-0.035875507,-0.16173632,29.66682,-0.05803116,-0.05562216,-0.067629814,-0.069158584,-0.07234395,-0.5697412,-0.050053358,-0.04756436,-0.0075936196,-0.04141815,-0.09654722,-0.06925289,6.499733,-0.08606776,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,-0.08795058,11.295503,0.26173994,-0.5374824,-0.06825314,-0.30510747,-0.048288155,-0.6014492,-0.11526267,-0.2746765,-0.071920976,0.23902906,1.4741709,-0.34003553,-0.33989236,-0.09926551,-0.39243972,-0.066061795,-0.05450361,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,1.5501657,-0.08367701,-0.1181239,-0.06418999,-0.28232503,-0.11395588,-0.34459332,19.838295,-0.11980957,-0.09939945,-0.17625973,-0.18354331,-0.10974532,-0.078358516,-0.11196494,-0.17207763,-0.3441319,-0.1653577,-0.06859739,-0.07638114,-0.050521668,0.17809758,-0.15466104,-0.42391214,1.2722404,-0.07587367,24.622232,-0.18899952,13.414578,10.166941,1.5643848,-0.16473432,12.407528,-0.49182108,-0.10272443,-0.7196318,0.40575242,0.62006927,0.49590597,-0.26926696,-0.114294864,-0.17307012,0.46075478,-0.13498159,1
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,-0.040199555,-0.035875507,-0.07527803,-0.0679732,-0.05803116,-0.05562216,-0.067629814,-0.069158584,-0.07234395,-0.4579842,-0.050053358,-0.04756436,-0.30582115,-0.42164096,-0.09654722,-0.06925289,-0.06940588,-0.08606776,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,11.442419,-0.089100406,-0.3953722,-0.41058275,-0.06825314,-0.3817342,-0.048288155,-0.02344199,-0.11526267,-0.4577368,-0.071920976,-0.0067735068,-0.19387476,-0.20189038,-0.45827174,-0.09926551,-0.54242903,-0.066061795,-0.1585702,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,-0.09467098,-0.08367701,-0.1181239,-0.06418999,-0.22376871,-0.39772284,-0.33035803,-0.0033715067,-0.11980957,-0.09939945,-0.17625973,-0.18354331,-0.10974532,-0.078358516,-0.11196494,-0.11618164,-0.405372,-0.1653577,-0.06859739,-0.07638114,-0.050521668,-0.06386584,-0.3748469,-0.31761447,-0.70183337,-0.07587367,-0.04293071,-0.18899952,-0.4345085,-0.1911025,-0.6284267,0.7121924,-0.12846951,-0.26031652,-0.10272443,-0.3187792,-0.3292429,0.12624688,-0.15924661,-0.18157369,-0.114294864,-0.17307012,-0.03581134,-0.13498159,0
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,-0.040199555,-0.035875507,-0.08343716,-0.0679732,-0.05803116,-0.05562216,-0.067629814,-0.069158584,-0.07234395,-0.060981262,-0.050053358,-0.04756436,0.131724,-0.1266541,-0.09654722,-0.06925289,-0.06940588,-0.08606776,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,-0.08795058,-0.089100406,0.0830313,-0.33585742,-0.06825314,-0.29192448,-0.048288155,0.61090565,-0.11526267,0.001589194,-0.071920976,-0.30572116,-0.19387476,-0.026363669,-0.15632717,-0.09926551,-0.39563727,-0.066061795,0.120995305,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,-0.09467098,-0.08367701,-0.1181239,-0.06418999,0.22784412,-0.044638727,-0.08773452,-0.29779166,-0.11980957,-0.09939945,-0.17625973,2.3484457,-0.10974532,-0.078358516,-0.11196494,-0.18359837,0.31964636,2.178494,-0.06859739,-0.07638114,-0.050521668,-0.15233943,0.21252887,0.06663842,0.40266174,-0.07587367,-0.04293071,-0.18899952,2.7723577,-0.1911025,-0.7129856,0.16912529,-0.12846951,0.08215214,-0.10272443,0.02144555,0.5499593,0.23325513,-0.15924661,-0.1419233,-0.114294864,-0.17307012,0.34665728,-0.13498159,1
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,-0.040199555,-0.035875507,-0.09081804,-0.0679732,-0.05803116,-0.05562216,-0.067629814,-0.069158584,-0.07234395,-0.3458404,-0.050053358,-0.04756436,-0.1843051,-0.12523481,-0.09654722,-0.06925289,-0.06940588,-0.08606776,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,-0.08795058,-0.089100406,-0.65297306,-0.5281125,-0.06825314,-0.19320671,-0.048288155,-0.21392961,-0.11526267,-0.38270107,-0.071920976,-0.3447013,-0.19387476,-0.3150327,-0.5688526,-0.09926551,-0.17031978,-0.066061795,-0.24889456,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,-0.09467098,-0.08367701,-0.1181239,-0.06418999,-0.6440362,-0.27481735,-0.013435239,0.3760799,-0.11980957,-0.09939945,-0.17625973,-0.18354331,-0.10974532,-0.078358516,-0.11196494,-0.25319222,-0.47221553,-0.1653577,-0.06859739,-0.07638114,-0.050521668,-0.18744747,-0.19048701,-0.363927,-0.12336554,-0.07587367,-0.04293071,-0.18899952,-0.4345085,-0.1911025,0.29207784,-0.14146052,-0.12846951,-1.0461692,-0.10272443,-0.20575269,-0.6273908,-0.29353178,-0.15924661,-0.30890614,-0.114294864,-0.17307012,-0.072894886,-0.13498159,0
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,-0.040199555,-0.035875507,0.24034937,-0.0679732,-0.05803116,-0.05562216,-0.067629814,-0.069158584,-0.07234395,0.052516337,-0.050053358,-0.04756436,-0.3656297,-0.16323148,-0.09654722,-0.06925289,-0.06940588,-0.08606776,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,-0.08795058,-0.089100406,0.24947543,0.014584921,-0.06825314,-0.07183568,-0.048288155,-0.0016824864,-0.11526267,-0.09867363,-0.071920976,-0.10377448,-0.19387476,-0.034732528,-0.12455251,-0.09926551,-0.09760316,-0.066061795,-0.15731242,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,-0.09467098,-0.08367701,-0.1181239,-0.06418999,0.08057464,0.117894776,0.0053006993,-0.05973935,-0.11980957,-0.09939945,-0.17625973,-0.18354331,-0.10974532,-0.078358516,-0.11196494,-0.07095375,0.2400079,-0.1653577,-0.06859739,-0.07638114,-0.050521668,-0.17624028,0.019845208,-0.19000192,-0.5581085,-0.07587367,-0.04293071,-0.18899952,-0.4345085,-0.1911025,-0.73649764,0.5760963,-0.12846951,0.12433029,6.020494,-0.093274154,0.26853207,-0.08890364,-0.15924661,-0.05654225,-0.114294864,-0.17307012,0.07560564,-0.13498159,0
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,-0.040199555,-0.035875507,0.06073366,-0.0679732,-0.05803116,-0.05562216,-0.067629814,-0.069158584,-0.07234395,0.03748442,-0.050053358,-0.04756436,1.8418019,-0.39314377,-0.09654722,29.499832,-0.06940588,-0.08606776,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,-0.08795058,-0.089100406,-0.04919406,0.37477794,-0.06825314,-0.055667236,-0.048288155,0.5055419,-0.11526267,0.48425657,-0.071920976,-0.08376198,-0.19387476,0.112116285,-0.09600338,-0.09926551,-0.21437827,-0.066061795,0.38086036,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,-0.09467098,-0.08367701,-0.1181239,-0.06418999,0.11929931,0.042251926,0.6777469,-0.07082722,-0.11980957,-0.09939945,-0.17625973,-0.18354331,-0.10974532,-0.078358516,-0.11196494,0.33931962,0.034532215,-0.1653577,-0.06859739,-0.07638114,-0.050521668,3.5423095,-0.09596445,0.08233936,-0.25537145,-0.07587367,-0.04293071,-0.18899952,-0.4345085,-0.1911025,-0.023281515,0.12199654,-0.12846951,0.110738575,-0.10272443,0.44753098,-0.24486835,0.2939392,-0.15924661,0.19432314,-0.114294864,-0.17307012,0.0070302887,-0.13498159,0
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,-0.040199555,-0.035875507,0.10668483,-0.0679732,-0.05803116,-0.05562216,-0.067629814,-0.069158584,-0.07234395,-0.23372367,-0.050053358,-0.04756436,-0.17836002,-0.33878514,-0.09654722,-0.06925289,-0.06940588,-0.08606776,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,-0.08795058,-0.089100406,-0.25047988,-0.11547741,-0.06825314,-0.025430227,-0.048288155,-0.30329698,-0.11526267,-0.089279756,-0.071920976,-0.26215294,-0.19387476,-0.16840427,-0.10388707,-0.09926551,0.36027178,-0.066061795,-0.11218969,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,-0.09467098,-0.08367701,-0.1181239,-0.06418999,-0.32236236,-0.34133247,-0.25072306,-0.2715606,-0.11980957,4.320285,-0.17625973,-0.18354331,-0.10974532,-0.078358516,-0.11196494,0.059908167,-0.14241439,-0.1653577,-0.06859739,-0.07638114,-0.050521668,-0.18421952,-0.10477052,-0.11678503,-0.62407154,-0.07587367,-0.04293071,-0.18899952,0.41622394,-0.1911025,-0.012349918,-0.07709879,-0.12846951,0.27030557,-0.10272443,-0.27926168,-0.18931454,-0.45947966,-0.15924661,-0.17353417,-0.114294864,-0.17307012,-0.13673162,-0.13498159,0
-0.030400893,-0.030400895,-0.030400895,-0.030400896,-0.030400898,-0.030400896,-0.030400895,-0.040199555,-0.035875507,0.19646877,-0.0679732,4.4684606,-0.05562216,-0.067629814,-0.069158584,2.6616113,-0.04518739,-0.050053358,-0.04756436,0.07154202,-0.15689152,-0.09654722,-0.06925289,-0.06940588,5.717438,-0.057666454,-0.062246185,-0.06867951,-0.083192356,-0.041330405,-0.14370757,-0.08795058,-0.089100406,0.37442306,-0.019686019,-0.06825314,-0.08120737,-0.048288155,0.49732104,-0.11526267,-0.048224147,-0.071920976,19.522757,-0.19387476,-0.062103976,0.7058375,-0.09926551,-0.5251848,-0.066061795,0.021482324,-0.16218084,-0.09391567,-0.1489025,-0.09370761,-0.06427042,-0.08408102,-0.09467098,-0.08367701,-0.1181239,-0.06418999,-0.07876867,-0.12898755,-0.009135867,12.7811775,-0.11980957,-0.09939945,4.046281,-0.18354331,-0.10974532,-0.078358516,-0.11196494,-0.16648886,0.5324965,-0.1653577,-0.06859739,-0.07638114,-0.050521668,-0.225915,0.26600382,-0.30928355,0.47417513,-0.07587367,-0.04293071,-0.18899952,1.2048695,-0.1911025,-0.61610097,0.55644506,-0.12846951,0.08095482,-0.10272443,0.1348535,0.086566135,0.050085153,-0.15924661,-0.036366597,-0.114294864,-0.17307012,0.20117368,-0.13498159,1
