rnaseq_gene__GENE_DEFB121,rnaseq_gene__GENE_SNAR-A13,rnaseq_gene__GENE_TTTY21,rnaseq_gene__GENE_CDY1B,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_LRRC30,rnaseq_gene__GENE_VN1R4,rnaseq_gene__GENE_MS4A5,methylation_gene__GENE_VEGFA,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_LCE3C,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_ONECUT3,methylation_gene__GENE_ENO2,methylation_gene__GENE_MAP3K9,rnaseq_gene__GENE_FGF6,rnaseq_gene__GENE_C10ORF96,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_NSUN5,rnaseq_gene__GENE_C20ORF166,rnaseq_gene__GENE_DEFB104A,rnaseq_gene__GENE_GSC2,rnaseq_gene__GENE_OTUD6A,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_AMBN,rnaseq_gene__GENE_OR5A1,rnaseq_gene__GENE_P2RX6P,methylation_gene__GENE_NACC1;TRMT1,rnaseq_gene__GENE_HES3,methylation_gene__GENE_TSPAN3,methylation_gene__GENE_NAT14,methylation_gene__GENE_ZNF44,rnaseq_gene__GENE_DHRS7C,rnaseq_gene__GENE_C21ORF131,methylation_gene__GENE_PTGR2,rnaseq_gene__GENE_OR8K3,rnaseq_gene__GENE_OR51A7,rnaseq_gene__GENE_CSRP3,methylation_gene__GENE_ATP5S;L2HGDH,rnaseq_gene__GENE_NKX6-2,rnaseq_gene__GENE_PRODH2,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_TECRL,methylation_gene__GENE_PARP4,rnaseq_gene__GENE_ZNF735,methylation_gene__GENE_ST3GAL1,rnaseq_gene__GENE_MYL1,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_LIM2,rnaseq_gene__GENE_C10ORF71,methylation_gene__GENE_UNC84B,rnaseq_gene__GENE_IAPP,rnaseq_gene__GENE_ADAM7,methylation_gene__GENE_TRIB3,methylation_gene__GENE_ZNF624,methylation_gene__GENE_SLC25A38,rnaseq_gene__GENE_LYZL6,rnaseq_gene__GENE_OR7G2,rnaseq_gene__GENE_CRYGA,rnaseq_gene__GENE_OR2T27,methylation_gene__GENE_ITPA,methylation_gene__GENE_ZNF563,methylation_gene__GENE_CNIH,rnaseq_gene__GENE_MAGEB10,methylation_gene__GENE_SLC22A17,methylation_gene__GENE_LOC652276,rnaseq_gene__GENE_MRGPRG,methylation_gene__GENE_ZNF787,methylation_gene__GENE_CDKN1B,rnaseq_gene__GENE_ATP1B4,rnaseq_gene__GENE_DKFZP434L192,rnaseq_gene__GENE_OR52E2,rnaseq_gene__GENE_TGM6,methylation_gene__GENE_LRP2BP,rnaseq_gene__GENE_PPP1R3A,rnaseq_gene__GENE_KBTBD5,methylation_gene__GENE_PMS1;ORMDL1,rnaseq_gene__GENE_CABP2,methylation_gene__GENE_C18ORF1,rnaseq_gene__GENE_SPANXE,methylation_gene__GENE_DUSP4,methylation_gene__GENE_LPCAT1,methylation_gene__GENE_UBE2N,methylation_gene__GENE_CCR4,rnaseq_gene__GENE_IFNK,rnaseq_gene__GENE_TBC1D28,rnaseq_gene__GENE_SNAR-B2,rnaseq_gene__GENE_OR4D6,rnaseq_gene__GENE_LCE3E,methylation_gene__GENE_ZNF160,rnaseq_gene__GENE_CACNA1S,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.067629814,-0.0679732,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,-0.05125228,0.23064291,-0.06925289,-0.062246185,-0.057666454,-0.071920976,-0.32059684,0.2569746,-0.08795058,-0.14370757,0.49041125,0.66948795,-0.11526267,-0.048288155,-0.05877857,-0.1489025,0.8020264,-0.06940588,-0.19387476,-0.21529208,4.4264455,-0.052082743,0.19510004,-0.089100406,-0.08839884,-0.0035445255,0.1412926,-0.17625973,-0.09370761,-0.06924885,-0.08367701,-0.06867951,-0.15924661,0.05212484,-0.09467098,-0.16565828,-0.09939945,-0.11196494,0.18344745,-0.09391567,0.5072738,-0.15378062,-0.06427042,-0.23341642,3.5609434,-0.41376457,-0.14094758,-0.1181239,0.1348818,0.15315995,-0.022540353,-0.10483764,-0.06859739,-0.07638114,-0.050521668,-0.005793088,-0.011687097,0.044528294,-0.1653577,-0.12951767,0.27190563,-0.04293071,0.035926845,0.6107545,-0.2503585,-0.16218084,-0.09379102,-0.079487145,-0.24544275,-0.13976352,-0.25002742,0.07848424,-0.07587367,0.06686925,-0.17491919,-0.02096244,-0.08353435,0.27796152,0.33000132,-0.28798902,-0.16144404,4.0270185,-0.114294864,-0.12899014,0.022995586,1.2687815,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.067629814,29.66682,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,-0.0075936196,-0.5697412,-0.06925289,-0.062246185,-0.057666454,-0.071920976,-0.6882903,-0.30798945,-0.08795058,-0.14370757,-0.5374824,-0.30510747,-0.11526267,-0.048288155,19.78605,-0.1489025,-0.2746765,6.499733,1.4741709,-0.21529208,-0.09926551,-0.052082743,-0.39243972,11.295503,-0.05450361,-0.21582314,-0.11395588,-0.17625973,-0.09370761,-0.14977585,-0.08367701,-0.06867951,0.49590597,-0.970754,1.5501657,-0.16565828,-0.09939945,-0.11196494,0.10419866,-0.09391567,-0.28232503,-0.15378062,-0.06427042,-0.23341642,10.166941,-0.8629122,-0.14094758,-0.1181239,-0.17073378,-0.34459332,0.17809758,-0.10483764,-0.06859739,-0.07638114,-0.050521668,1.2722404,-0.15466104,-0.18355137,-0.1653577,-0.3441319,0.5902403,24.622232,0.30670273,-0.12242256,-0.2503585,-0.16218084,-0.09379102,23.561584,-0.16473432,-0.13976352,-0.25002742,1.5643848,-0.07587367,-0.32975313,-0.17491919,0.40575242,-0.12416397,-0.19013341,0.62006927,-0.28798902,-0.16144404,-0.13498159,-0.114294864,-0.12899014,-0.26926696,1.449954,1
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.067629814,-0.0679732,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,-0.30582115,-0.4579842,-0.06925289,-0.062246185,-0.057666454,-0.071920976,-0.28991085,-0.3648553,11.442419,-0.14370757,-0.41058275,-0.3817342,-0.11526267,-0.048288155,-0.05877857,-0.1489025,-0.4577368,-0.06940588,-0.19387476,-0.21529208,-0.09926551,-0.052082743,-0.54242903,-0.089100406,-0.1585702,-0.6373846,-0.39772284,-0.17625973,-0.09370761,-0.46729913,-0.08367701,-0.06867951,-0.15924661,-0.38611126,-0.09467098,-0.16565828,-0.09939945,-0.11196494,-0.6268822,-0.09391567,-0.22376871,-0.15378062,-0.06427042,-0.23341642,-0.1911025,-1.1152893,-0.14094758,-0.1181239,-0.23495351,-0.33035803,-0.06386584,-0.10483764,-0.06859739,-0.07638114,-0.050521668,-0.70183337,-0.3748469,0.071725115,-0.1653577,-0.405372,-0.3705093,-0.04293071,-0.6496399,0.5350803,-0.2503585,-0.16218084,-0.09379102,-0.079487145,0.7121924,-0.13976352,-0.25002742,-0.6284267,-0.07587367,0.048806496,-0.17491919,-0.3292429,-0.29508233,-0.40128434,0.12624688,-0.28798902,-0.16144404,-0.13498159,-0.114294864,-0.12899014,-0.18157369,-0.40497914,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.067629814,-0.0679732,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,0.131724,-0.060981262,-0.06925289,-0.062246185,-0.057666454,-0.071920976,0.35366178,0.20228925,-0.08795058,-0.14370757,-0.33585742,-0.29192448,-0.11526267,-0.048288155,-0.05877857,-0.1489025,0.001589194,-0.06940588,-0.19387476,2.589988,-0.09926551,-0.052082743,-0.39563727,-0.089100406,0.120995305,-0.23018494,-0.044638727,-0.17625973,-0.09370761,-0.11398026,-0.08367701,-0.06867951,-0.15924661,-0.061688613,-0.09467098,-0.16565828,-0.09939945,-0.11196494,-0.15355188,-0.09391567,0.22784412,0.6656477,-0.06427042,-0.23341642,-0.1911025,-0.0408568,1.4871397,-0.1181239,0.21334267,-0.08773452,-0.15233943,-0.10483764,-0.06859739,-0.07638114,-0.050521668,0.40266174,0.21252887,0.069383554,2.178494,0.31964636,-0.20541738,-0.04293071,-0.28914925,0.14301221,-0.2503585,-0.16218084,-0.09379102,-0.079487145,0.16912529,-0.13976352,-0.25002742,-0.7129856,-0.07587367,0.04345514,-0.17491919,0.5499593,-0.02443152,-0.13732009,0.23325513,-0.28798902,-0.16144404,-0.13498159,-0.114294864,-0.12899014,-0.1419233,-0.40497914,1
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.067629814,-0.0679732,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,-0.1843051,-0.3458404,-0.06925289,-0.062246185,-0.057666454,-0.071920976,-0.41722843,-0.37810174,-0.08795058,-0.14370757,-0.5281125,-0.19320671,-0.11526267,-0.048288155,-0.05877857,-0.1489025,-0.38270107,-0.06940588,-0.19387476,-0.21529208,-0.09926551,-0.052082743,-0.17031978,-0.089100406,-0.24889456,-0.42433253,-0.27481735,-0.17625973,-0.09370761,-0.58054376,-0.08367701,-0.06867951,-0.15924661,-0.0794803,-0.09467098,-0.16565828,-0.09939945,-0.11196494,0.11386561,-0.09391567,-0.6440362,-0.15378062,-0.06427042,-0.23341642,-0.1911025,-0.1900007,-0.14094758,-0.1181239,-0.2783788,-0.013435239,-0.18744747,-0.10483764,-0.06859739,-0.07638114,-0.050521668,-0.12336554,-0.19048701,-0.5922564,-0.1653577,-0.47221553,-0.21894683,-0.04293071,0.073780596,-0.27514294,-0.2503585,-0.16218084,-0.09379102,-0.079487145,-0.14146052,-0.13976352,-0.25002742,0.29207784,-0.07587367,-0.5128219,-0.17491919,-0.6273908,-0.1322655,-0.34960365,-0.29353178,-0.28798902,-0.16144404,-0.13498159,-0.114294864,-0.12899014,-0.30890614,-0.40497914,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,2.2814748,-0.0679732,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,0.43371195,-0.10993154,-0.06925289,-0.062246185,-0.057666454,-0.071920976,0.3043084,-0.0024062146,-0.08795058,-0.14370757,0.068772785,-0.1526307,-0.11526267,-0.048288155,-0.05877857,-0.1489025,-0.20360105,-0.06940588,-0.19387476,-0.21529208,-0.09926551,-0.052082743,-0.17821845,-0.089100406,-0.20211247,-0.08323812,0.0029508118,-0.17625973,-0.09370761,-0.23486212,-0.08367701,-0.06867951,-0.15924661,0.06265122,-0.09467098,-0.16565828,-0.09939945,-0.11196494,0.20116802,-0.09391567,0.06906666,-0.15378062,-0.06427042,-0.23341642,-0.1911025,0.28704673,-0.14094758,-0.1181239,-0.18863861,-0.08600272,-0.25925747,-0.10483764,-0.06859739,-0.07638114,-0.050521668,0.21274723,-0.22471935,-0.027962904,-0.1653577,-0.076030836,-0.35825244,-0.04293071,-0.1544359,-0.090995,-0.2503585,-0.16218084,-0.09379102,-0.079487145,0.41180268,-0.13976352,-0.25002742,-0.62392634,-0.07587367,0.8117607,-0.17491919,0.73474103,0.1443245,-0.121598795,0.42002723,1.7404045,-0.16144404,-0.13498159,-0.114294864,-0.12899014,-0.0986965,0.37222642,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.067629814,-0.0679732,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,1.8418019,0.03748442,29.499832,-0.062246185,-0.057666454,-0.071920976,-0.111611575,0.639818,-0.08795058,-0.14370757,0.37477794,-0.055667236,-0.11526267,-0.048288155,-0.05877857,-0.1489025,0.48425657,-0.06940588,-0.19387476,2.6728935,-0.09926551,-0.052082743,-0.21437827,-0.089100406,0.38086036,-0.39061576,0.042251926,-0.17625973,-0.09370761,0.71555626,-0.08367701,-0.06867951,-0.15924661,0.40849096,-0.09467098,-0.16565828,-0.09939945,-0.11196494,-0.5037098,-0.09391567,0.11929931,-0.15378062,-0.06427042,-0.23341642,-0.1911025,0.7580945,-0.14094758,-0.1181239,0.2388579,0.6777469,3.5423095,-0.10483764,-0.06859739,-0.07638114,-0.050521668,-0.25537145,-0.09596445,0.05843391,-0.1653577,0.034532215,0.30433145,-0.04293071,0.29164308,0.71053964,-0.2503585,-0.16218084,-0.09379102,-0.079487145,0.12199654,-0.13976352,-0.25002742,-0.023281515,-0.07587367,0.235729,8.846061,-0.24486835,-0.01587116,0.11001103,0.2939392,-0.28798902,-0.16144404,-0.13498159,-0.114294864,-0.12899014,0.19432314,3.61733,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.067629814,-0.0679732,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,-0.17836002,-0.23372367,-0.06925289,-0.062246185,-0.057666454,-0.071920976,-0.14172249,-0.19231333,-0.08795058,-0.14370757,-0.11547741,-0.025430227,-0.11526267,-0.048288155,-0.05877857,-0.1489025,-0.089279756,-0.06940588,-0.19387476,-0.21529208,-0.09926551,-0.052082743,0.36027178,-0.089100406,-0.11218969,0.2693744,-0.34133247,-0.17625973,-0.09370761,0.07747791,-0.08367701,-0.06867951,-0.15924661,-0.45004946,-0.09467098,-0.16565828,4.320285,-0.11196494,-0.32894704,-0.09391567,-0.32236236,-0.15378062,-0.06427042,-0.23341642,-0.1911025,-0.37266234,-0.14094758,-0.1181239,-0.08953954,-0.25072306,-0.18421952,-0.10483764,-0.06859739,-0.07638114,-0.050521668,-0.62407154,-0.10477052,0.11042936,-0.1653577,-0.14241439,-0.117324315,-0.04293071,-0.2879293,-0.4170473,-0.2503585,-0.16218084,-0.09379102,-0.079487145,-0.07709879,-0.13976352,-0.25002742,-0.012349918,-0.07587367,-0.29709446,-0.17491919,-0.18931454,-0.015928619,-0.5689258,-0.45947966,-0.28798902,-0.16144404,-0.13498159,-0.114294864,-0.12899014,-0.17353417,-0.40497914,0
-0.030400896,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.030400895,-0.067629814,-0.0679732,-0.05562216,-0.07355285,-0.05803116,-0.054831173,-0.069158584,-0.4224554,0.12205048,-0.06925289,-0.062246185,-0.057666454,-0.071920976,7.1797347,-0.21860923,-0.08795058,-0.14370757,-0.50137776,-0.33091405,-0.11526267,-0.048288155,-0.05877857,-0.1489025,-0.63090295,-0.06940588,-0.19387476,-0.21529208,-0.09926551,-0.052082743,4.415684,-0.089100406,-0.16018167,-0.6196023,-0.23298235,-0.17625973,-0.09370761,-0.079971455,-0.08367701,-0.06867951,-0.15924661,0.2170256,-0.09467098,-0.16565828,-0.09939945,-0.11196494,-0.6380028,-0.09391567,-0.7239059,-0.15378062,-0.06427042,-0.23341642,-0.1911025,1.5819958,-0.14094758,-0.1181239,-0.4069389,0.093627945,-0.15769653,-0.10483764,-0.06859739,-0.07638114,-0.050521668,-0.75567347,-0.3625162,-0.5927945,-0.1653577,2.0477738,-0.15374674,-0.04293071,-0.5648893,0.3749144,1.0253562,-0.16218084,-0.09379102,-0.079487145,0.6907735,-0.13976352,-0.25002742,-0.873124,-0.07587367,-0.35384297,-0.17491919,-0.51225424,-0.31883085,-0.69386566,0.40870908,1.5831431,-0.16144404,-0.13498159,2.1664186,-0.12899014,-0.22905418,-0.40497914,0
