rank,feature_id,modality
1,methylation_gene::GENE:TMEM109,methylation_gene
2,rnaseq_gene::GENE:DEFB105A,rnaseq_gene
3,rnaseq_gene::GENE:SNAR-F,rnaseq_gene
4,rnaseq_gene::GENE:CT47A7,rnaseq_gene
5,rnaseq_gene::GENE:SNAR-C3,rnaseq_gene
6,rnaseq_gene::GENE:DUX4L2,rnaseq_gene
7,rnaseq_gene::GENE:SNORA19,rnaseq_gene
8,rnaseq_gene::GENE:TTTY11,rnaseq_gene
9,rnaseq_gene::GENE:SUN5,rnaseq_gene
10,rnaseq_gene::GENE:DEFB130,rnaseq_gene
11,rnaseq_gene::GENE:KRTAP13-3,rnaseq_gene
12,rnaseq_gene::GENE:DEFB136,rnaseq_gene
13,rnaseq_gene::GENE:SPINT4,rnaseq_gene
14,rnaseq_gene::GENE:KRTAP19-7,rnaseq_gene
15,methylation_gene::GENE:CCNDBP1,methylation_gene
16,rnaseq_gene::GENE:LGALS13,rnaseq_gene
17,rnaseq_gene::GENE:SNORA78,rnaseq_gene
18,methylation_gene::GENE:MOV10,methylation_gene
19,methylation_gene::GENE:RPUSD2,methylation_gene
20,rnaseq_gene::GENE:DEFB107A,rnaseq_gene
21,rnaseq_gene::GENE:DCD,rnaseq_gene
22,rnaseq_gene::GENE:LCN9,rnaseq_gene
23,methylation_gene::GENE:CNOT10,methylation_gene
24,methylation_gene::GENE:ZNF33B,methylation_gene
25,methylation_gene::GENE:IL10RB,methylation_gene
26,methylation_gene::GENE:SNORD84;BAT1,methylation_gene
27,methylation_gene::GENE:SIX5,methylation_gene
28,methylation_gene::GENE:MERTK,methylation_gene
29,rnaseq_gene::GENE:TBC1D21,rnaseq_gene
30,methylation_gene::GENE:COMMD5,methylation_gene
31,methylation_gene::GENE:GEMIN6,methylation_gene
32,rnaseq_gene::GENE:DEFB115,rnaseq_gene
33,methylation_gene::GENE:RAB3GAP1,methylation_gene
34,methylation_gene::GENE:TYMP;SCO2,methylation_gene
35,methylation_gene::GENE:ESRP1,methylation_gene
36,methylation_gene::GENE:HSPD1;HSPE1,methylation_gene
37,methylation_gene::GENE:ZMYM6,methylation_gene
38,methylation_gene::GENE:LIG4,methylation_gene
39,methylation_gene::GENE:ZNF354B,methylation_gene
40,methylation_gene::GENE:H2AFX,methylation_gene
41,methylation_gene::GENE:TIGD3,methylation_gene
42,methylation_gene::GENE:C4ORF21;LARP7,methylation_gene
43,methylation_gene::GENE:DLEU2;TRIM13,methylation_gene
