rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_VN1R4,methylation_gene__GENE_GPI,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_CSPG4P2Y,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_ONECUT3,methylation_gene__GENE_VEGFA,rnaseq_gene__GENE_OR10AG1,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_DEFB107A,rnaseq_gene__GENE_PSG7,rnaseq_gene__GENE_TSPY3,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_SPACA1,methylation_gene__GENE_FRY,rnaseq_gene__GENE_PRAMEF18,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_LCE3C,rnaseq_gene__GENE_OR2T1,methylation_gene__GENE_DDX11,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_PSG2,rnaseq_gene__GENE_SPAG11A,rnaseq_gene__GENE_CT47A6,methylation_gene__GENE_KTELC1,rnaseq_gene__GENE_MLN,rnaseq_gene__GENE_DEFB132,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_IFNK,rnaseq_gene__GENE_TMIGD1,rnaseq_gene__GENE_NPPB,rnaseq_gene__GENE_CRYGA,methylation_gene__GENE_ZNF672,methylation_gene__GENE_PRCP,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_SCARNA8,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_LINC01591,methylation_gene__GENE_LRRC20,cnv_log2__GENE_SLC16A2,cnv_log2__GENE_RLIM,rnaseq_gene__GENE_TEX28,methylation_gene__GENE_SLC22A17,methylation_gene__GENE_COASY,rnaseq_gene__GENE_ACCSL,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_HSD3B1,rnaseq_gene__GENE_NKX6-2,methylation_gene__GENE_ZNF345,rnaseq_gene__GENE_OR10J1,methylation_gene__GENE_PTGR2,rnaseq_gene__GENE_DAZ1,methylation_gene__GENE_KBTBD7,methylation_gene__GENE_ADAR,methylation_gene__GENE_SYPL1,rnaseq_gene__GENE_LCE3E,methylation_gene__GENE_DUSP4,rnaseq_gene__GENE_GUCA1C,methylation_gene__GENE_SPATA13,methylation_gene__GENE_AMDHD2,methylation_gene__GENE_UNC84B,methylation_gene__GENE_RSAD2,cnv_log2__GENE_IL36G,rnaseq_gene__GENE_IQCF5,rnaseq_gene__GENE_VCY,cnv_log2__GENE_DDX18,methylation_gene__GENE_TRAF6,cnv_log2__GENE_LOC101927709,rnaseq_gene__GENE_TEX13A,methylation_gene__GENE_ZNF619,cnv_log2__GENE_STEAP3,rnaseq_gene__GENE_SRY,methylation_gene__GENE_KCNIP3,rnaseq_gene__GENE_HDGFL1,methylation_gene__GENE_SETD3;CCNK,methylation_gene__GENE_PARP4,methylation_gene__GENE_CCNG1,methylation_gene__GENE_ITPA,cnv_log2__GENE_TMEM37,cnv_log2__GENE_MARCO,cnv_log2__GENE_C2ORF76,cnv_log2__GENE_DBI,cnv_log2__GENE_INSIG2,cnv_log2__GENE_EN1,rnaseq_gene__GENE_FLJ25328,rnaseq_gene__GENE_SCARNA4,cnv_log2__GENE_HIPK3,cnv_log2__GENE_C1QL2,rnaseq_gene__GENE_AADACL3,methylation_gene__GENE_ANXA5,cnv_log2__GENE_CKAP2L,cnv_log2__GENE_IL1A,rnaseq_gene__GENE_LIM2,methylation_gene__GENE_PCMTD2,methylation_gene__GENE_ZNF160,target
-0.08720162,-0.035875507,-0.054831173,0.20043744,0.49858165,-0.030400893,0.07336908,-0.07355285,-0.06940588,-0.071920976,-0.04435848,-0.07527141,-0.14370757,-0.06594675,1.4590394,-0.04756436,0.48104048,-0.10053951,0.25627154,-0.08606776,0.24027158,-0.062246185,-0.06331775,0.122357935,-0.07234395,-0.2157582,-0.10430648,-0.030400895,0.63478726,-0.11664121,1.2119027,-0.09654722,-0.030400895,-0.28798902,-0.13838363,-0.23330294,-0.07638114,0.061287247,1.9994855,-0.083192356,-0.16951889,-0.040199555,-0.18395357,0.4131752,-1.9755679,-1.9697239,-0.030400895,1.6284221,-0.26532367,3.6489415,-0.06427042,-0.41950408,-0.09467098,0.25208822,-0.07421895,0.15393122,-0.08408102,0.11190159,0.32660446,0.61588115,-0.12899014,0.18946539,-0.10974532,0.19387342,0.82299024,0.52809095,0.102882214,-1.6432655,-0.09630276,-0.05755121,-1.5988895,0.798916,-1.5815867,-0.09973995,-0.093438834,-1.5952908,-0.06418999,-0.34845015,5.682815,0.44645026,-0.21582247,0.28553733,0.33710602,-1.5958343,-1.6068069,-1.5978389,-1.5978389,-1.5852623,-1.6022755,-0.1885197,-0.11476634,0.264411,-1.5892488,-0.31696543,0.15586825,-1.6323968,-1.6323968,-0.23341642,0.6738547,0.40766037,0
-0.08720162,-0.035875507,-0.054831173,-0.07527803,-0.0707264,-0.030400893,-0.28991085,-0.07355285,-0.06940588,-0.071920976,-0.30582115,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,-0.5461516,-0.10053951,-0.31920248,-0.08606776,-0.4577368,-0.062246185,-0.06331775,-0.012735409,-0.07234395,-0.2157582,-0.10430648,-0.030400895,-0.2995729,-0.11664121,0.39582017,-0.09654722,-0.030400895,-0.28798902,-0.13838363,-0.23330294,-0.07638114,-0.33906972,-0.295507,-0.083192356,-0.16951889,-0.040199555,-0.18395357,-0.008786143,0.30504394,0.3135529,-0.030400895,-0.405372,-0.34025303,-0.25247434,-0.06427042,-0.41950408,-0.09467098,0.14440846,-0.07421895,-0.46729913,-0.08408102,-0.28216037,-0.3432501,-0.48064336,-0.12899014,-0.3292429,-0.10974532,-0.07342295,-0.09888837,-1.1152893,-0.07879445,0.13526306,-0.09630276,-0.05755121,0.16073829,-0.5916763,0.17090216,-0.09973995,-0.08480112,0.18248877,-0.06418999,-0.35546175,-0.37641618,-0.959446,-0.6268822,-0.10858247,-0.70183337,0.18553975,0.171645,0.18126343,0.18126343,0.15135828,0.17394549,-0.1885197,-0.11476634,-0.15874955,0.17872143,-0.31696543,-0.39784762,0.14203188,0.14203188,-0.23341642,-0.1376639,-0.18157369,0
-0.08720162,-0.035875507,-0.054831173,-0.08343716,-0.037392955,-0.030400893,0.35366178,-0.07355285,-0.06940588,-0.071920976,0.131724,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,0.051245335,-0.10053951,-0.1538763,-0.08606776,0.001589194,-0.062246185,-0.06331775,-0.18227434,-0.07234395,-0.2157582,-0.10430648,-0.030400895,-0.21149805,-0.11664121,-1.2656302,-0.09654722,-0.030400895,-0.28798902,-0.13838363,-0.23330294,-0.07638114,-0.5567943,-0.48839897,-0.083192356,-0.16951889,-0.040199555,-0.18395357,-0.06186747,-2.2347283,-2.229187,-0.030400895,0.31964636,-0.2539906,-0.25247434,-0.06427042,0.22542645,-0.09467098,-0.767704,-0.07421895,-0.11398026,-0.08408102,0.00015419653,-0.0050814194,-0.41529012,-0.12899014,0.5499593,-0.10974532,-0.076988906,0.40985247,-0.0408568,-0.47375852,-0.29345146,-0.09630276,-0.05755121,-0.2172247,-0.30848202,-0.20552744,-0.09973995,-0.057213724,-0.19937319,-0.06418999,-0.094361514,3.1364088,0.58692634,-0.15355188,-0.24605142,0.40266174,-0.19709428,-0.21036136,-0.20088266,-0.20088266,-0.22166285,-0.2075817,-0.1885197,-0.11476634,2.0197437,-0.20103352,-0.31696543,-0.20073171,-0.2856944,-0.2856944,-0.23341642,-0.3978663,-0.1419233,1
-0.08720162,-0.035875507,-0.054831173,0.1791918,10.229894,-0.030400893,-0.2708802,-0.07355285,-0.06940588,-0.071920976,0.92865384,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,-0.02134801,-0.10053951,16.977419,-0.08606776,0.120217554,-0.062246185,-0.06331775,-0.10425809,-0.07234395,-0.2157582,-0.10430648,-0.030400895,-0.15528233,-0.11664121,-1.2656302,-0.09654722,-0.030400895,-0.28798902,-0.13838363,-0.23330294,-0.07638114,0.5743611,-1.0373367,-0.083192356,-0.16951889,-0.040199555,-0.18395357,0.035564743,0.24802865,0.25647095,-0.030400895,0.038891412,-0.34743956,-0.25247434,-0.06427042,-0.41950408,-0.09467098,-0.86230284,-0.07421895,-0.1532109,-0.08408102,-0.099946104,0.30032864,-0.14935572,-0.12899014,0.41167986,-0.10974532,0.49996182,0.3328231,0.28809008,-0.48739105,0.6531162,-0.09630276,-0.05755121,0.6730882,-0.32998416,0.6811734,-0.09973995,-0.05531286,0.70012385,-0.06418999,0.111655146,-0.37641618,1.0621966,-0.07562056,-0.2724393,-0.22887963,0.7042214,0.68947583,0.69928366,0.69928366,0.6570092,0.69112676,-0.1885197,-0.11476634,-0.23039578,0.69350034,-0.31696543,-0.105376035,0.6586913,0.6586913,3.677241,-0.23416947,-0.078271024,0
-0.08720162,-0.035875507,-0.054831173,-0.09081804,-0.029444681,-0.030400893,-0.41722843,-0.07355285,-0.06940588,-0.071920976,-0.1843051,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,0.46519563,-0.10053951,-0.38734296,-0.08606776,-0.38270107,-0.062246185,-0.06331775,0.65168554,-0.07234395,-0.2157582,-0.10430648,-0.030400895,-0.28397837,-0.11664121,0.5510001,-0.09654722,-0.030400895,-0.28798902,-0.13838363,-0.23330294,-0.07638114,-0.35009035,1.709032,-0.083192356,-0.16951889,-0.040199555,-0.18395357,-0.17775714,-0.6072008,-0.5997578,-0.030400895,-0.47221553,-0.30882165,-0.25247434,-0.06427042,-0.41950408,-0.09467098,0.35282114,-0.07421895,-0.58054376,-0.08408102,0.131644,-0.27437282,10.054507,-0.12899014,-0.6273908,-0.10974532,-0.5061675,-0.24191166,-0.1900007,-0.0068984423,0.07159258,-0.09630276,-0.05755121,0.09774446,-0.4303233,0.108163886,-0.09973995,-0.18793975,0.118845105,-0.06418999,-0.53575724,-0.37641618,-1.2323399,0.11386561,-0.2891171,-0.12336554,0.12176741,0.10797728,0.11757241,0.11757241,0.08918809,0.11035762,-0.1885197,-0.11476634,-0.1363601,0.11542893,-0.31696543,-0.093157694,0.078508176,0.078508176,-0.23341642,-0.1670128,-0.30890614,0
-0.08720162,-0.035875507,-0.054831173,-0.39433774,0.02774375,-0.030400893,-0.7740745,-0.07355285,-0.06940588,-0.071920976,-0.26771,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,0.4394913,-0.10053951,-0.18761054,-0.08606776,-0.14644094,-0.062246185,-0.06331775,-0.029833782,-0.07234395,-0.2157582,-0.10430648,-0.030400895,-0.28512245,-0.11664121,-1.2656302,-0.09654722,-0.030400895,-0.28798902,-0.13838363,-0.23330294,-0.07638114,-1.0678099,0.94685245,-0.083192356,-0.16951889,-0.040199555,-0.18395357,0.017150274,-1.4002318,-1.3937155,-0.030400895,-0.27398795,0.015166166,-0.25247434,-0.06427042,-0.41950408,-0.09467098,0.17178231,-0.07421895,0.3169814,-0.08408102,0.105301395,0.019193472,0.06226441,-0.12899014,0.7317149,-0.10974532,0.75683755,0.039096016,0.56129915,-0.21764384,-0.44626057,-0.09630276,-0.05755121,2.617498,1.1534154,0.074703485,-0.09973995,-0.056578893,2.723992,-0.06418999,1.0473998,-0.37641618,-0.1548609,-0.5799893,0.50093424,-0.7447274,0.07500103,2.7141097,2.7246578,2.7246578,2.5759957,0.0764441,-0.1885197,-0.11476634,4.890071,2.7062016,-0.31696543,-0.017923253,4.1736693,4.1736693,-0.23341642,0.051351365,0.30988386,0
-0.08720162,-0.035875507,-0.054831173,0.10668483,-0.006336753,-0.030400893,-0.14172249,-0.07355285,-0.06940588,-0.071920976,-0.17836002,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,0.1191499,-0.10053951,-0.02198543,-0.08606776,-0.089279756,-0.062246185,-0.06331775,-0.31517678,-0.07234395,-0.2157582,-0.10430648,-0.030400895,0.06421481,-0.11664121,0.44453427,-0.09654722,-0.030400895,-0.28798902,-0.13838363,-0.23330294,-0.07638114,0.17677861,0.14254545,-0.083192356,-0.16951889,-0.040199555,-0.18395357,-0.22907917,-0.03186462,-0.02374936,-0.030400895,-0.14241439,-0.29700884,-0.25247434,-0.06427042,0.10422162,-0.09467098,-0.3032711,-0.07421895,0.07747791,-0.08408102,-0.22699441,0.12381957,-0.10067958,-0.12899014,-0.18931454,-0.10974532,-0.2434841,-0.29107508,-0.37266234,-0.23254496,0.14375244,-0.09630276,-0.05755121,0.16913748,-0.6995414,0.17926726,-0.09973995,-0.20231354,0.1909746,-0.06418999,-0.07496301,-0.37641618,0.0078040515,-0.32894704,-0.17832027,-0.62407154,0.19404273,0.18013404,0.18975556,0.18975556,0.15964764,0.18242387,-0.1885197,-0.11476634,0.040516526,0.18716043,0.53681755,-0.24438785,0.1505017,0.1505017,-0.23341642,-0.1692099,-0.17353417,0
-0.08720162,-0.035875507,-0.054831173,-0.3852079,-0.23226331,-0.030400893,7.1797347,-0.07355285,-0.06940588,-0.071920976,-0.4224554,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,-0.71577716,-0.10053951,-0.42714083,-0.08606776,-0.63090295,-0.062246185,-0.06331775,-0.15517183,-0.07234395,-0.2157582,-0.10430648,-0.030400895,-0.26223677,-0.11664121,1.1851985,-0.09654722,-0.030400895,1.5831431,-0.13838363,-0.23330294,-0.07638114,-0.49397856,-0.79701954,-0.083192356,-0.16951889,-0.040199555,-0.18395357,-0.37438908,-0.24955939,-0.2416985,-0.030400895,2.0477738,1.1968344,-0.25247434,-0.06427042,-0.41950408,-0.09467098,0.3975702,-0.07421895,-0.079971455,-0.08408102,-0.36030543,-0.22805837,-0.52993363,-0.12899014,-0.51225424,-0.10974532,-0.09447816,-0.46988893,1.5819958,-0.2458021,0.6403822,-0.09630276,-0.05755121,0.6604894,4.3596435,0.6686257,-0.09973995,-0.1663969,0.68739516,-0.06418999,0.4153664,-0.37641618,-1.1274964,-0.6380028,0.02635211,-0.75567347,0.691467,0.6767423,0.68654543,0.68654543,0.6445751,0.6784092,-0.1885197,-0.11476634,-0.27517465,0.68084186,-0.31696543,2.518096,0.64598656,0.64598656,-0.23341642,-0.33535329,-0.22905418,0
-0.08720162,-0.035875507,-0.054831173,0.11527684,-0.3220667,-0.030400893,-0.27726114,-0.07355285,-0.06940588,-0.071920976,0.07120265,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,-0.3320806,-0.10053951,-0.24422622,-0.08606776,-0.34989718,-0.062246185,-0.06331775,-0.3686723,-0.07234395,-0.2157582,-0.10430648,-0.030400895,-0.20484722,-0.11664121,-0.12577116,-0.09654722,-0.030400895,-0.28798902,-0.13838363,-0.23330294,-0.07638114,-0.4513928,-0.891775,-0.083192356,-0.16951889,-0.040199555,-0.18395357,0.06750668,0.12881485,0.13711786,-0.030400895,0.2404093,-0.449756,-0.25247434,-0.06427042,-0.41950408,-0.09467098,-0.6719743,-0.07421895,-0.31626874,-0.08408102,-0.047583412,-0.1735769,-0.2501635,-0.12899014,0.82808924,-0.10974532,-0.01059868,0.34494266,0.59401083,-0.3811501,0.16497593,-0.09630276,-0.05755121,0.17753665,-0.15663637,0.18763237,-0.09973995,-0.12753914,0.19946042,-0.06418999,-0.09660549,-0.37641618,7.5951815,0.27760917,-0.21758465,-0.13265978,0.20254572,0.18862307,0.1982477,0.1982477,0.16793701,0.19090225,-0.1885197,-0.11476634,-0.14755481,0.19559944,-0.31696543,0.26170924,0.17167626,0.17167626,-0.23341642,-0.47493398,-0.0529301,0
-0.08720162,-0.035875507,-0.054831173,0.17765413,-0.08983373,-0.030400893,-0.39755365,-0.07355285,-0.06940588,-0.071920976,-0.11420005,-0.07527141,-0.14370757,-0.06594675,-0.18492761,-0.04756436,-0.12232274,-0.10053951,-0.059112195,-0.08606776,-0.033905465,-0.062246185,-0.06331775,-0.082782164,-0.07234395,1.8337386,-0.10430648,-0.030400895,-0.023521764,-0.11664121,-1.2656302,-0.09654722,-0.030400895,-0.28798902,-0.13838363,0.96742177,-0.07638114,-0.381246,-0.7639562,-0.083192356,-0.16951889,-0.040199555,-0.18395357,-0.15413386,-0.06296388,-0.054884955,-0.030400895,0.97180265,-0.3354352,-0.25247434,-0.06427042,0.8910626,-0.09467098,-0.58486515,-0.07421895,-0.30324808,-0.08408102,-0.29692888,0.043381333,-0.33511427,-0.12899014,-0.01923275,-0.10974532,-0.5046585,0.22787328,-0.8972486,-0.24595806,0.14375244,-0.09630276,-0.05755121,0.16913748,-0.62122643,0.17926726,-0.09973995,-0.13425067,0.1909746,-0.06418999,0.21332611,1.4437702,0.38526988,-0.30472004,0.15242212,-0.4934297,0.19404273,0.18013404,0.18975556,0.18975556,0.15964764,0.18242387,-0.1885197,-0.11476634,-0.140838,0.18716043,-0.31696543,-0.24001579,0.1505017,0.1505017,3.0098479,0.019759309,-0.392959,0
