rnaseq_gene__GENE_PSG11,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_SCARNA23,methylation_gene__GENE_FRY,rnaseq_gene__GENE_CT47A6,methylation_gene__GENE_GPI,rnaseq_gene__GENE_ADAD1,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_CDY2B,methylation_gene__GENE_VEGFA,methylation_gene__GENE_SKIL,rnaseq_gene__GENE_DEFB107A,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_TSPY3,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_USP14,rnaseq_gene__GENE_PSG7,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_OR10J1,rnaseq_gene__GENE_PRAMEF17,methylation_gene__GENE_C18ORF19;RNMT,rnaseq_gene__GENE_PRAMEF18,methylation_gene__GENE_NDUFAF1,methylation_gene__GENE_SART3,rnaseq_gene__GENE_PRAMEF16,methylation_gene__GENE_CCNG1,rnaseq_gene__GENE_SLC6A5,methylation_gene__GENE_SYPL1,rnaseq_gene__GENE_KRTAP20-4,rnaseq_gene__GENE_KCNK18,methylation_gene__GENE_ZNF619,rnaseq_gene__GENE_IQCF5,rnaseq_gene__GENE_SNORA11B,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_CDX4,methylation_gene__GENE_FADS1;MIR1908,rnaseq_gene__GENE_KRTAP19-3,methylation_gene__GENE_RBP5;CLSTN3,rnaseq_gene__GENE_DEFB129,rnaseq_gene__GENE_OR2T6,methylation_gene__GENE_LRRC20,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_TMIGD1,methylation_gene__GENE_ENO2,methylation_gene__GENE_ZNF345,rnaseq_gene__GENE_SCARNA8,rnaseq_gene__GENE_SNORA69,methylation_gene__GENE_KTELC1,methylation_gene__GENE_DGUOK,methylation_gene__GENE_TNKS2,methylation_gene__GENE_TRIB3,rnaseq_gene__GENE_OR9I1,rnaseq_gene__GENE_GUCA1C,rnaseq_gene__GENE_OR7G2,methylation_gene__GENE_SLC15A4,rnaseq_gene__GENE_PSG2,rnaseq_gene__GENE_CRYGA,methylation_gene__GENE_GMCL1,methylation_gene__GENE_SPATA13,rnaseq_gene__GENE_UBE2DNL,methylation_gene__GENE_TPCN2,methylation_gene__GENE_NT5C3L,rnaseq_gene__GENE_GALNTL5,methylation_gene__GENE_ADAR,rnaseq_gene__GENE_LYZL1,rnaseq_gene__GENE_SPANXN4,rnaseq_gene__GENE_NANOGNB,methylation_gene__GENE_ABAT,methylation_gene__GENE_CYP51A1,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_TEX28,cnv_log2__GENE_MIR1296,methylation_gene__GENE_DCTN3,rnaseq_gene__GENE_DAZ1,rnaseq_gene__GENE_SRY,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_PRDM14,methylation_gene__GENE_SLC25A38,cnv_log2__GENE_NRBF2,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_CT47B1,rnaseq_gene__GENE_PRAMEF22,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_PRAMEF5,cnv_log2__GENE_ADO,cnv_log2__GENE_EGR2,cnv_log2__GENE_JMJD1C-AS1,rnaseq_gene__GENE_TMEM225,methylation_gene__GENE_CNOT10,methylation_gene__GENE_NEK4,methylation_gene__GENE_SQLE,rnaseq_gene__GENE_SPACA1,rnaseq_gene__GENE_HSD3B1,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.08720162,0.59649277,-0.050053358,-0.030400893,-0.14370757,-0.030400895,-0.07355285,-0.078748696,0.25627154,-0.030400895,0.20043744,-0.175216,-0.06940588,-0.0679732,-0.030400895,-0.04435848,0.7472554,-0.06594675,-0.035875507,-0.04756436,0.043400798,1.3675417,1.4590394,-0.078358516,-0.07421895,-0.040199555,-0.6672956,-0.08606776,0.48104048,0.4417737,-0.07234395,0.28553733,-0.067629814,0.61588115,-0.0848391,-0.12371241,-0.093438834,-0.09630276,-0.082764626,-0.030400898,-0.110764034,-0.18569441,-0.124685876,-0.27694494,-0.06825314,-0.083192356,0.4131752,-0.06427042,-0.09654722,-0.13838363,0.07336908,0.25208822,-0.16951889,-0.08561648,0.63478726,0.9196133,0.24027158,-0.03337716,-0.084201984,-0.10974532,-0.06859739,0.36594135,-0.2157582,-0.07638114,1.1340773,0.19387342,-0.15623061,0.6046986,-0.09491056,-0.11692425,0.32660446,1.3337699,-0.050725356,-0.23784015,-0.22823371,0.31500235,23.692472,-0.030400895,-1.3057536,0.27439588,-0.08408102,-0.06418999,0.7585861,-0.19387476,0.15351161,-1.3204677,-0.05562216,-0.1120253,-0.11066106,-0.41032338,-0.08723144,-1.292513,-1.2881676,-1.2546988,-0.051617455,1.5376943,0.35253876,0.19957852,-0.10053951,-0.41950408,0
-0.08720162,-0.032206632,-0.050053358,-0.030400893,-0.14370757,-0.030400895,-0.07355285,-0.078748696,-0.41832557,-0.030400895,-0.16173632,-0.175216,6.499733,29.66682,-0.030400895,-0.0075936196,-0.28729084,-0.06594675,-0.035875507,-0.04756436,-0.5374824,-1.1155547,-0.18492761,-0.078358516,-0.07421895,13.4373045,0.5846303,-0.08606776,-0.057804774,0.46088958,-0.07234395,-0.018124282,-0.067629814,-0.4134138,-0.0848391,-0.12371241,-0.055531196,-0.09630276,-0.082764626,-0.030400898,-0.110764034,-0.2304765,-0.124685876,-0.020897005,-0.06825314,-0.083192356,-0.39638203,-0.06427042,-0.09654722,-0.13838363,-0.6882903,0.112489134,-0.16951889,-0.08561648,-0.18614367,-0.4006596,-0.2746765,-0.17073378,-0.084201984,-0.10974532,-0.06859739,-0.61345065,-0.2157582,-0.07638114,-0.47632927,-0.7209185,-0.15623061,-0.46601668,-0.22693717,15.865079,-0.14713787,-0.43353972,-0.050725356,0.88819385,-0.48037246,-0.17207763,-0.08846551,-0.030400895,-1.3057536,19.838295,-0.08408102,-0.06418999,-0.04141815,1.4741709,0.17809758,-1.3204677,-0.05562216,-0.1120253,-0.11066106,-0.6014492,-0.08723144,-1.292513,-1.2881676,-1.2546988,-0.051617455,0.28992623,-0.1664154,-0.095096745,-0.10053951,-0.41950408,1
-0.08720162,-0.66036993,-0.050053358,-0.030400893,-0.14370757,-0.030400895,-0.07355285,-0.078748696,-0.31920248,-0.030400895,-0.07527803,-0.175216,-0.06940588,-0.0679732,-0.030400895,-0.30582115,-0.77329755,-0.06594675,-0.035875507,-0.04756436,-0.41058275,-1.1597393,-0.18492761,-0.078358516,-0.07421895,-0.040199555,-0.47360888,-0.08606776,-0.5461516,0.103043824,-0.07234395,-0.10858247,-0.067629814,-0.48064336,-0.0848391,-0.12371241,-0.08480112,-0.09630276,-0.082764626,-0.030400898,-0.110764034,-0.27164832,-0.124685876,-0.35488898,-0.06825314,-0.083192356,-0.008786143,-0.06427042,-0.09654722,-0.13838363,-0.28991085,0.14440846,-0.16951889,-0.08561648,-0.2995729,0.37705538,-0.4577368,-0.23495351,-0.084201984,-0.10974532,-0.06859739,0.7810225,-0.2157582,-0.07638114,-0.30556974,-0.07342295,-0.15623061,-0.25484502,-0.2829578,-0.11692425,-0.3432501,0.39722583,-0.050725356,-0.23784015,-0.60718554,-0.11618164,-0.08846551,-0.030400895,0.03946005,-0.0033715067,-0.08408102,-0.06418999,-0.42164096,-0.19387476,-0.06386584,0.041221272,-0.05562216,-0.1120253,-0.11066106,-0.02344199,-0.08723144,0.028958378,0.031010196,0.030042432,-0.051617455,-0.24320917,-0.36380792,0.2380908,-0.10053951,-0.41950408,0
-0.08720162,-0.26756728,-0.050053358,-0.030400893,-0.14370757,-0.030400895,-0.07355285,-0.078748696,16.977419,-0.030400895,0.1791918,-0.175216,-0.06940588,-0.0679732,-0.030400895,0.92865384,-0.018064536,-0.06594675,-0.035875507,-0.04756436,-0.011934135,1.3398998,-0.18492761,-0.078358516,-0.07421895,-0.040199555,0.1302066,-0.08606776,-0.02134801,0.15121952,-0.07234395,-0.2724393,-0.067629814,-0.14935572,-0.0848391,-0.12371241,-0.05531286,-0.09630276,-0.082764626,-0.030400898,-0.110764034,-0.16263461,-0.124685876,-0.0764692,-0.06825314,-0.083192356,0.035564743,-0.06427042,-0.09654722,-0.13838363,-0.2708802,-0.86230284,-0.16951889,-0.08561648,-0.15528233,-0.6873589,0.120217554,0.26360202,-0.084201984,-0.10974532,-0.06859739,-0.06827953,-0.2157582,-0.07638114,-0.003098298,0.49996182,-0.15623061,-0.005434377,6.2047453,-0.11692425,0.30032864,-0.43353972,-0.050725356,-0.23784015,6.6726837,-0.09363314,-0.08846551,-0.030400895,0.3715421,-0.030138152,-0.08408102,-0.06418999,-0.07377817,-0.19387476,0.16276759,0.37737045,-0.05562216,-0.1120253,-0.11066106,0.58261806,-0.08723144,0.35517937,0.356665,0.34719613,-0.051617455,-0.14955032,-0.094787724,-0.1935955,-0.10053951,-0.41950408,0
-0.08720162,-0.114545524,-0.050053358,-0.030400893,-0.14370757,-0.030400895,-0.07355285,-0.078748696,-0.38734296,-0.030400895,-0.09081804,-0.175216,-0.06940588,-0.0679732,-0.030400895,-0.1843051,-0.6036509,-0.06594675,-0.035875507,-0.04756436,-0.5281125,-0.9540156,-0.18492761,-0.078358516,-0.07421895,-0.040199555,-1.6939074,-0.08606776,0.46519563,-0.63133156,-0.07234395,-0.2891171,-0.067629814,10.054507,-0.0848391,-0.12371241,-0.18793975,-0.09630276,-0.082764626,-0.030400898,-0.110764034,-0.2526667,-0.124685876,0.18222055,-0.06825314,-0.083192356,-0.17775714,-0.06427042,-0.09654722,-0.13838363,-0.41722843,0.35282114,-0.16951889,-0.08561648,-0.28397837,0.35791117,-0.38270107,-0.2783788,-0.084201984,-0.10974532,-0.06859739,-0.5200291,-0.2157582,-0.07638114,-0.2841756,-0.5061675,-0.15623061,-0.5660709,-0.2520474,-0.11692425,-0.27437282,-0.43353972,-0.050725356,-0.23784015,-0.56879824,-0.25319222,-0.08846551,-0.030400895,0.07885961,0.3760799,-0.08408102,-0.06418999,-0.12523481,-0.19387476,-0.18744747,0.08110338,-0.05562216,-0.1120253,-0.11066106,-0.21392961,-0.08723144,0.06766256,0.06964721,0.06767084,-0.051617455,-0.39222795,0.012672805,0.09330216,-0.10053951,-0.41950408,0
-0.08720162,-0.24715324,-0.050053358,-0.030400893,-0.14370757,-0.030400895,2.4205613,-0.078748696,-0.28886914,-0.030400895,0.24034937,-0.175216,-0.06940588,-0.0679732,-0.030400895,-0.3656297,-0.5455208,-0.06594675,-0.035875507,-0.04756436,0.014584921,1.6713597,-0.18492761,-0.078358516,-0.07421895,-0.040199555,0.0033143,-0.08606776,0.09360264,-0.054238815,-0.07234395,-0.18038625,-0.067629814,-0.32727182,-0.0848391,-0.12371241,-0.1536663,-0.09630276,-0.082764626,-0.030400898,16.322033,-0.21318425,-0.124685876,-0.1490745,-0.06825314,-0.083192356,-0.012360114,-0.06427042,-0.09654722,-0.13838363,-0.0915964,-0.6216566,-0.16951889,-0.08561648,-0.18377839,-1.193131,-0.09867363,0.08121111,-0.084201984,-0.10974532,-0.06859739,0.938605,-0.2157582,-0.07638114,-0.10176468,-0.37966824,-0.15623061,-0.14261924,-0.15870336,-0.11692425,-0.17345196,-0.43353972,-0.050725356,-0.23784015,0.22997905,-0.07095375,-0.08846551,-0.030400895,-1.266354,-0.05973935,-0.08408102,-0.06418999,-0.16323148,-0.19387476,-0.17624028,-1.2805856,-0.05562216,-0.1120253,-0.11066106,-0.0016824864,-0.08723144,-1.2538089,-1.2495306,-1.2170703,-0.051617455,-0.5593076,-0.14369366,-0.40187675,-0.10053951,-0.41950408,0
-0.08720162,0.2807133,-0.050053358,-0.030400893,-0.14370757,-0.030400895,-0.07355285,-0.078748696,-0.02198543,-0.030400895,0.10668483,-0.175216,-0.06940588,-0.0679732,-0.030400895,-0.17836002,0.3873884,-0.06594675,-0.035875507,-0.04756436,-0.11547741,0.6135162,-0.18492761,-0.078358516,-0.07421895,-0.040199555,2.1313226,-0.08606776,0.1191499,-0.43027908,-0.07234395,-0.17832027,-0.067629814,-0.10067958,-0.0848391,-0.12371241,-0.20231354,-0.09630276,-0.082764626,-0.030400898,-0.110764034,-0.1294035,-0.124685876,-0.09537885,-0.06825314,-0.083192356,-0.22907917,-0.06427042,-0.09654722,-0.13838363,-0.14172249,-0.3032711,-0.16951889,-0.08561648,0.06421481,0.38272366,-0.089279756,-0.08953954,-0.084201984,-0.10974532,-0.06859739,0.34272802,-0.2157582,-0.07638114,-0.28660023,-0.2434841,-0.15623061,-0.1261481,-0.12731563,-0.11692425,0.12381957,-0.43353972,-0.050725356,-0.23784015,-0.3824056,0.059908167,-0.08846551,-0.030400895,0.02538878,-0.2715606,-0.08408102,-0.06418999,-0.33878514,-0.19387476,-0.18421952,0.026977662,-0.05562216,-0.1120253,-0.11066106,-0.30329698,-0.08723144,0.015135456,0.017211266,0.016603716,-0.051617455,0.08591692,-0.47377867,-0.55582756,-0.10053951,0.10422162,0
-0.08720162,-0.8805329,-0.050053358,-0.030400893,-0.14370757,-0.030400895,-0.07355285,-0.078748696,-0.42714083,-0.030400895,-0.3852079,-0.175216,-0.06940588,-0.0679732,-0.030400895,-0.4224554,-1.0589294,-0.06594675,-0.035875507,-0.04756436,-0.50137776,-1.919306,-0.18492761,-0.078358516,-0.07421895,-0.040199555,-1.3096874,-0.08606776,-0.71577716,1.0704455,-0.07234395,0.02635211,-0.067629814,-0.52993363,-0.0848391,-0.12371241,-0.1663969,-0.09630276,-0.082764626,-0.030400898,-0.110764034,-0.27857563,-0.124685876,-0.00652374,-0.06825314,-0.083192356,-0.37438908,-0.06427042,-0.09654722,-0.13838363,7.1797347,0.3975702,-0.16951889,-0.08561648,-0.26223677,-0.5271776,-0.63090295,-0.4069389,-0.084201984,-0.10974532,-0.06859739,-0.08130737,-0.2157582,-0.07638114,-0.64196527,-0.09447816,-0.15623061,-0.36413893,-0.25556234,-0.11692425,-0.22805837,-0.43353972,-0.050725356,-0.23784015,4.2853746,-0.20483275,-0.08846551,-0.030400895,9.326499,-0.13523546,-0.08408102,-0.06418999,-0.6482932,-0.19387476,-0.15769653,9.442002,-0.05562216,-0.1120253,-0.11066106,0.17565227,-0.08723144,9.152087,9.138305,8.899594,-0.051617455,-0.15237454,-0.13342392,-0.059284437,-0.10053951,-0.41950408,0
-0.08720162,-0.2745591,-0.050053358,-0.030400893,-0.14370757,-0.030400895,-0.07355285,-0.078748696,0.0053541134,-0.030400895,0.19646877,-0.175216,-0.06940588,-0.0679732,-0.030400895,0.07154202,-0.359619,-0.06594675,-0.035875507,-0.04756436,-0.019686019,1.4558551,-0.18492761,-0.078358516,-0.07421895,-0.040199555,0.19091703,5.717438,0.036176722,0.19300161,2.6616113,0.15242913,-0.067629814,0.08506472,-0.0848391,-0.12371241,-0.03998788,-0.09630276,-0.082764626,-0.030400898,-0.110764034,-0.16458717,-0.124685876,-0.38204977,-0.06825314,-0.083192356,0.07321998,-0.06427042,-0.09654722,-0.13838363,0.14294401,-0.5925387,-0.16951889,-0.08561648,-0.19640131,0.8847392,-0.048224147,-0.057090644,-0.084201984,-0.10974532,-0.06859739,0.10279952,-0.2157582,-0.07638114,0.1411506,0.47538194,-0.15623061,-0.09585453,-0.12019074,-0.11692425,0.20504797,5.2397485,-0.050725356,-0.23784015,13.753472,-0.16648886,-0.08846551,-0.030400895,0.92595017,12.7811775,-0.08408102,-0.06418999,-0.15689152,-0.19387476,-0.225915,0.93856853,-0.05562216,2.5653284,-0.11066106,0.49732104,-0.08723144,0.8998025,0.90034276,0.8766815,-0.051617455,-0.52218586,-0.096318975,-0.37715933,-0.10053951,-0.41950408,1
