rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_OR2T1,rnaseq_gene__GENE_SNAR-C4,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_OR2M7,rnaseq_gene__GENE_VN1R4,rnaseq_gene__GENE_OR8B12,methylation_gene__GENE_GPI,rnaseq_gene__GENE_OR10AG1,rnaseq_gene__GENE_OR10Z1,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_ADAD1,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_DEFB129,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_OR2M1P,methylation_gene__GENE_USP14,rnaseq_gene__GENE_LINC01020,rnaseq_gene__GENE_OR4D10,methylation_gene__GENE_TRIB3,rnaseq_gene__GENE_OR1S1,rnaseq_gene__GENE_OR2T27,methylation_gene__GENE_SYPL1,rnaseq_gene__GENE_OR8I2,rnaseq_gene__GENE_OR5A2,rnaseq_gene__GENE_KRTAP5-11,rnaseq_gene__GENE_AMBN,rnaseq_gene__GENE_PRAMEF22,rnaseq_gene__GENE_DKFZP434L192,rnaseq_gene__GENE_LCE3C,rnaseq_gene__GENE_OR1S2,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_OR4C12,rnaseq_gene__GENE_GUCA1C,methylation_gene__GENE_FRY,rnaseq_gene__GENE_SCARNA23,rnaseq_gene__GENE_OR4F6,methylation_gene__GENE_NRXN2,methylation_gene__GENE_DDX11,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_KRTAP15-1,rnaseq_gene__GENE_OR4C13,rnaseq_gene__GENE_SCARNA8,rnaseq_gene__GENE_OR51L1,rnaseq_gene__GENE_KRTAP19-3,rnaseq_gene__GENE_LINC01591,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_DGUOK,rnaseq_gene__GENE_PATE1,rnaseq_gene__GENE_LINC00442,methylation_gene__GENE_MAP3K9,rnaseq_gene__GENE_KCNK18,rnaseq_gene__GENE_OR5AC2,rnaseq_gene__GENE_OR14J1,rnaseq_gene__GENE_DEFB123,rnaseq_gene__GENE_DEFB118,cnv_log2__GENE_PRKG1,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_IQCF5,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_OR4L1,rnaseq_gene__GENE_PLAC1L,rnaseq_gene__GENE_DAZ1,methylation_gene__GENE_GMCL1,methylation_gene__GENE_CYP51A1,rnaseq_gene__GENE_HPVC1,methylation_gene__GENE_ZNF160,rnaseq_gene__GENE_KRTAP20-4,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_CABP2,rnaseq_gene__GENE_OR51G1,rnaseq_gene__GENE_GPHB5,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_SULT6B1,rnaseq_gene__GENE_SRY,methylation_gene__GENE_SIX5;DMPK,methylation_gene__GENE_SLC22A17,methylation_gene__GENE_ABAT,rnaseq_gene__GENE_OR6X1,cnv_log2__GENE_DKK1,cnv_log2__GENE_PRKG1-AS1,rnaseq_gene__GENE_GDF2,rnaseq_gene__GENE_OR5H14,rnaseq_gene__GENE_CRYGA,methylation_gene__GENE_FADS1;MIR1908,rnaseq_gene__GENE_OR7G3,rnaseq_gene__GENE_GDEP,rnaseq_gene__GENE_LCN9,methylation_gene__GENE_ATP5S;L2HGDH,rnaseq_gene__GENE_IL3,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.07355285,-0.06331775,-0.050053358,0.59649277,-0.07234395,-0.083192356,-0.030400893,-0.08606776,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,0.20043744,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,-0.175216,-0.41032338,-0.06825314,0.043400798,-0.071920976,-0.04756436,-0.10272443,1.3675417,-0.1724362,-0.09654722,-0.03337716,-0.050438117,-0.050521668,0.61588115,-0.051938124,-0.07316671,-0.21476083,-0.21529208,-0.11066106,-0.16218084,-0.062246185,-0.074266955,0.48104048,-0.11426283,-0.10974532,0.25627154,-0.078748696,-0.0926184,-0.14466798,0.122357935,23.692472,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,-0.18395357,0.7585861,0.9196133,-0.19044563,-0.17408647,0.57670254,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,-1.5038369,0.07336908,-0.09630276,-0.09939945,-0.052030247,-0.04578994,-0.08408102,1.1340773,0.31500235,-0.16757613,0.40766037,-0.0848391,0.24027158,-0.07587367,-0.06812416,-0.06327252,-0.19387476,-0.1383598,-0.06418999,1.6245252,1.6284221,-0.22823371,5.02971,-1.6405069,-1.6405069,-0.12063365,-0.04067079,-0.07638114,-0.18569441,-0.07509167,-0.21880457,-0.059162382,0.9158221,-0.22086798,0
-0.07355285,-0.06331775,-0.050053358,-0.66036993,-0.07234395,-0.083192356,-0.030400893,-0.08606776,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,-0.07527803,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,-0.175216,-0.02344199,-0.06825314,-0.41058275,-0.071920976,-0.04756436,-0.10272443,-1.1597393,-0.1724362,-0.09654722,-0.23495351,-0.050438117,-0.050521668,-0.48064336,-0.051938124,-0.07316671,-0.21476083,-0.21529208,-0.11066106,-0.16218084,-0.062246185,-0.074266955,-0.5461516,-0.11426283,-0.10974532,-0.31920248,-0.078748696,-0.0926184,-0.21175788,-0.012735409,-0.08846551,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,-0.18395357,-0.42164096,0.37705538,-0.19044563,-0.17408647,-0.3648553,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,0.07421593,-0.28991085,-0.09630276,-0.09939945,-0.052030247,-0.04578994,-0.08408102,-0.30556974,-0.11618164,-0.16757613,-0.18157369,-0.0848391,-0.4577368,-0.07587367,-0.06812416,-0.06327252,-0.19387476,-0.1383598,-0.06418999,-0.18611132,-0.405372,-0.60718554,-0.10364239,0.09173293,0.09173293,-0.12063365,-0.04067079,-0.07638114,-0.27164832,-0.07509167,-0.21880457,-0.059162382,-0.38611126,-0.22086798,0
-0.07355285,-0.06331775,-0.050053358,-0.016315434,-0.07234395,-0.083192356,-0.030400893,-0.08606776,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,-0.08343716,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,1.457769,0.61090565,-0.06825314,-0.33585742,-0.071920976,-0.04756436,-0.10272443,0.26801127,2.4205139,-0.09654722,0.21334267,-0.050438117,-0.050521668,-0.41529012,-0.051938124,-0.07316671,3.9727807,2.589988,-0.11066106,-0.16218084,-0.062246185,-0.074266955,0.051245335,-0.11426283,-0.10974532,-0.1538763,-0.078748696,-0.0926184,-0.3309649,-0.18227434,-0.08846551,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,-0.18395357,-0.1266541,-0.24516787,-0.19044563,-0.17408647,0.20228925,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,0.39774978,0.35366178,-0.09630276,-0.09939945,-0.052030247,-0.04578994,-0.08408102,0.05669328,-0.18359837,-0.16757613,-0.1419233,-0.0848391,0.001589194,-0.07587367,-0.06812416,-0.06327252,-0.19387476,-0.1383598,-0.06418999,-0.5496803,0.31964636,0.16288958,-0.10364239,0.44687834,0.44687834,-0.12063365,-0.04067079,-0.07638114,-0.21395817,-0.07509167,-0.21880457,-0.059162382,-0.061688613,-0.22086798,1
-0.07355285,-0.06331775,-0.050053358,-0.26756728,-0.07234395,-0.083192356,-0.030400893,-0.08606776,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,0.1791918,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,-0.175216,0.58261806,-0.06825314,-0.011934135,-0.071920976,-0.04756436,-0.10272443,1.3398998,3.3752687,-0.09654722,0.26360202,-0.050438117,-0.050521668,-0.14935572,-0.051938124,-0.07316671,-0.21476083,-0.21529208,-0.11066106,-0.16218084,-0.062246185,-0.074266955,-0.02134801,-0.11426283,-0.10974532,16.977419,-0.078748696,-0.0926184,-0.31572297,-0.10425809,-0.08846551,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,-0.18395357,-0.07377817,-0.6873589,-0.19044563,-0.17408647,0.039493494,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,0.46377715,-0.2708802,-0.09630276,-0.09939945,-0.052030247,-0.04578994,-0.08408102,-0.003098298,-0.09363314,-0.16757613,-0.078271024,-0.0848391,0.120217554,-0.07587367,-0.06812416,-0.06327252,-0.19387476,-0.1383598,-0.06418999,-0.33823964,0.038891412,6.6726837,-0.10364239,0.519357,0.519357,-0.12063365,-0.04067079,-0.07638114,-0.16263461,-0.07509167,-0.21880457,-0.059162382,4.849765e-05,-0.22086798,0
-0.07355285,-0.06331775,-0.050053358,-0.114545524,-0.07234395,-0.083192356,-0.030400893,-0.08606776,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,-0.09081804,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,-0.175216,-0.21392961,-0.06825314,-0.5281125,-0.071920976,-0.04756436,-0.10272443,-0.9540156,-0.1724362,-0.09654722,-0.2783788,-0.050438117,-0.050521668,10.054507,-0.051938124,-0.07316671,-0.21476083,-0.21529208,-0.11066106,-0.16218084,-0.062246185,-0.074266955,0.46519563,-0.11426283,-0.10974532,-0.38734296,-0.078748696,-0.0926184,1.5605413,0.65168554,-0.08846551,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,-0.18395357,-0.12523481,0.35791117,-0.19044563,-0.17408647,-0.37810174,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,0.12043506,-0.41722843,-0.09630276,-0.09939945,-0.052030247,-0.04578994,-0.08408102,-0.2841756,-0.25319222,-0.16757613,-0.30890614,-0.0848391,-0.38270107,-0.07587367,-0.06812416,-0.06327252,-0.19387476,-0.1383598,-0.06418999,-0.447999,-0.47221553,-0.56879824,-0.10364239,0.14246798,0.14246798,-0.12063365,-0.04067079,-0.07638114,-0.2526667,-0.07509167,-0.21880457,-0.059162382,-0.0794803,-0.22086798,0
2.4205613,-0.06331775,-0.050053358,-0.24715324,-0.07234395,-0.083192356,-0.030400893,-0.08606776,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,0.24034937,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,-0.175216,-0.0016824864,-0.06825314,0.014584921,-0.071920976,-0.04756436,6.020494,1.6713597,-0.1724362,-0.09654722,0.08121111,-0.050438117,-0.050521668,-0.32727182,-0.051938124,-0.07316671,-0.21476083,0.96102065,-0.11066106,-0.16218084,-0.062246185,-0.074266955,0.09360264,-0.11426283,-0.10974532,-0.28886914,-0.078748696,-0.0926184,-0.3727598,-0.32431647,-0.08846551,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,2.1971388,-0.16323148,-1.193131,-0.19044563,-0.17408647,0.04559499,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,-1.4378097,-0.0915964,-0.09630276,-0.09939945,-0.052030247,-0.04578994,-0.08408102,-0.10176468,-0.07095375,-0.16757613,-0.05654225,-0.0848391,-0.09867363,-0.07587367,-0.06812416,-0.06327252,-0.19387476,5.512666,-0.06418999,-0.24089424,0.2400079,0.22997905,-0.10364239,-1.5680283,-1.5680283,-0.12063365,-0.04067079,-0.07638114,-0.21318425,-0.07509167,-0.21880457,-0.059162382,-0.019060967,8.491078,0
-0.07355285,-0.06331775,-0.050053358,0.2807133,-0.07234395,-0.083192356,-0.030400893,-0.08606776,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,0.10668483,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,-0.175216,-0.30329698,-0.06825314,-0.11547741,-0.071920976,-0.04756436,-0.10272443,0.6135162,-0.1724362,-0.09654722,-0.08953954,-0.050438117,-0.050521668,-0.10067958,-0.051938124,-0.07316671,1.2993833,-0.21529208,-0.11066106,-0.16218084,-0.062246185,-0.074266955,0.1191499,-0.11426283,-0.10974532,-0.02198543,-0.078748696,-0.0926184,-0.043192297,-0.31517678,-0.08846551,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,-0.18395357,-0.33878514,0.38272366,-0.19044563,-0.17408647,-0.19231333,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,0.05770911,-0.14172249,-0.09630276,4.320285,-0.052030247,-0.04578994,-0.08408102,-0.28660023,0.059908167,-0.16757613,-0.17353417,-0.0848391,-0.089279756,-0.07587367,-0.06812416,-0.06327252,-0.19387476,-0.1383598,-0.06418999,-0.5256332,-0.14241439,-0.3824056,-0.10364239,0.073613256,0.073613256,10.210869,-0.04067079,-0.07638114,-0.1294035,-0.07509167,-0.21880457,-0.059162382,-0.45004946,-0.22086798,0
-0.07355285,-0.06331775,-0.050053358,-0.8805329,-0.07234395,-0.083192356,-0.030400893,-0.08606776,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,-0.3852079,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,-0.175216,0.17565227,-0.06825314,-0.50137776,-0.071920976,-0.04756436,-0.10272443,-1.919306,-0.1724362,-0.09654722,-0.4069389,-0.050438117,-0.050521668,-0.52993363,-0.051938124,-0.07316671,1.1919477,-0.21529208,-0.11066106,-0.16218084,-0.062246185,-0.074266955,-0.71577716,-0.11426283,-0.10974532,-0.42714083,-0.078748696,-0.0926184,-0.24386054,-0.15517183,-0.08846551,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,-0.18395357,-0.6482932,-0.5271776,-0.19044563,-0.17408647,-0.21860923,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,0.2789006,7.1797347,-0.09630276,-0.09939945,-0.052030247,-0.04578994,-0.08408102,-0.64196527,-0.20483275,-0.16757613,-0.22905418,-0.0848391,-0.63090295,-0.07587367,-0.06812416,-0.06327252,-0.19387476,-0.1383598,-0.06418999,-0.33426338,2.0477738,4.2853746,-0.10364239,0.31641674,0.31641674,-0.12063365,-0.04067079,-0.07638114,-0.27857563,-0.07509167,3.6102552,-0.059162382,0.2170256,-0.22086798,0
-0.07355285,-0.06331775,-0.050053358,-0.2745591,2.6616113,-0.083192356,-0.030400893,5.717438,-0.06427042,-0.06940588,-0.11696981,-0.054831173,-0.13939492,0.19646877,-0.07527141,-0.059134748,-0.067629814,-0.040199555,-0.035875507,-0.175216,0.49732104,-0.06825314,-0.019686019,-0.071920976,-0.04756436,-0.10272443,1.4558551,-0.1724362,-0.09654722,-0.057090644,-0.050438117,-0.050521668,0.08506472,-0.051938124,-0.07316671,-0.21476083,-0.21529208,-0.11066106,-0.16218084,-0.062246185,-0.074266955,0.036176722,-0.11426283,-0.10974532,0.0053541134,-0.078748696,-0.0926184,15.924743,-0.22606361,-0.08846551,-0.055652253,-0.10578322,-0.16951889,-0.0686956,-0.124685876,-0.18395357,-0.15689152,0.8847392,-0.19044563,-0.17408647,-0.06892276,-0.12371241,-0.08507758,-0.067872696,-0.04597636,-0.13369994,1.1141461,0.14294401,-0.09630276,-0.09939945,-0.052030247,-0.04578994,-0.08408102,0.1411506,-0.16648886,-0.16757613,-0.036366597,-0.0848391,-0.048224147,-0.07587367,-0.06812416,-0.06327252,-0.19387476,-0.1383598,-0.06418999,-0.22346067,0.5324965,13.753472,-0.10364239,1.2332717,1.2332717,-0.12063365,-0.04067079,-0.07638114,-0.16458717,-0.07509167,-0.21880457,-0.059162382,0.054476775,-0.22086798,1
