rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_OR10J1,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_TSPY2,rnaseq_gene__GENE_RBMY1A1,rnaseq_gene__GENE_OR2M7,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_OR9I1,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_SCARNA23,rnaseq_gene__GENE_OR10Z1,rnaseq_gene__GENE_CXORF66,methylation_gene__GENE_RPUSD2,methylation_gene__GENE_GPI,rnaseq_gene__GENE_ADAD1,rnaseq_gene__GENE_OR5H14,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_OR5A1,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_OR1S2,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_OR5W2,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_OR8B12,methylation_gene__GENE_FRY,rnaseq_gene__GENE_HPVC1,rnaseq_gene__GENE_SCARNA8,rnaseq_gene__GENE_SNORA69,rnaseq_gene__GENE_OR2M1P,methylation_gene__GENE_C19ORF24,rnaseq_gene__GENE_OR10AG1,rnaseq_gene__GENE_DEFB132,rnaseq_gene__GENE_OR1S1,rnaseq_gene__GENE_OR2T27,rnaseq_gene__GENE_FGF6,rnaseq_gene__GENE_KCNK18,rnaseq_gene__GENE_OR2W5,methylation_gene__GENE_VEGFA,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_KRTAP19-3,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_KRTAP10-1,rnaseq_gene__GENE_KIF2B,rnaseq_gene__GENE_DKFZP434L192,methylation_gene__GENE_TM7SF2,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_FLJ25328,rnaseq_gene__GENE_ACCSL,rnaseq_gene__GENE_OR6B1,rnaseq_gene__GENE_LCE3C,methylation_gene__GENE_FADS1;MIR1908,rnaseq_gene__GENE_OR5A2,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_OR6C68,methylation_gene__GENE_DDX11,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_TMIGD1,rnaseq_gene__GENE_IFNA14,rnaseq_gene__GENE_SRY,methylation_gene__GENE_RBP5;CLSTN3,rnaseq_gene__GENE_RAG2,rnaseq_gene__GENE_TSPY1,rnaseq_gene__GENE_KRTAP10-7,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_CRYGA,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_OR2G6,rnaseq_gene__GENE_OR5D16,methylation_gene__GENE_DCUN1D4,rnaseq_gene__GENE_DEFB123,rnaseq_gene__GENE_SPAG11A,rnaseq_gene__GENE_OR8B4,methylation_gene__GENE_TRIB3,rnaseq_gene__GENE_OR14J1,rnaseq_gene__GENE_OR1I1,rnaseq_gene__GENE_IQCF5,rnaseq_gene__GENE_DAZ1,rnaseq_gene__GENE_PRAMEF22,methylation_gene__GENE_IL4R,methylation_gene__GENE_SKIL,methylation_gene__GENE_AARS;EXOSC6,rnaseq_gene__GENE_CDX4,rnaseq_gene__GENE_PSG7,rnaseq_gene__GENE_MAGEB3,target
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,0.49858165,0.20043744,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,0.043400798,-0.13939492,0.25627154,-0.16757613,-0.16951889,-0.08561648,-0.10272443,-0.013400931,-0.07527141,1.2119027,-0.050438117,-0.050521668,-0.08795058,-0.12371241,2.0266945,-0.04435848,-0.071920976,-0.124685876,0.07336908,8.4414625,-0.13158298,-0.16218084,-0.22500522,0.23093128,-0.1885197,3.6489415,-0.12339336,-0.062246185,-0.18569441,-0.07316671,-0.19387476,23.692472,-0.08303952,0.122357935,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.27694494,1.1611284,6.0857224,8.974015,-0.09939945,-0.07638114,0.24027158,-0.117310815,-0.06780475,0.32707933,-0.04597636,-0.10430648,-0.078787245,-0.03337716,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,0.3878568,0.7472554,-0.23536432,-0.110764034,1.4590394,-0.19023986,0
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,-0.0707264,-0.07527803,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,-0.41058275,-0.13939492,-0.31920248,-0.16757613,-0.16951889,-0.08561648,-0.10272443,-0.29268792,-0.07527141,0.39582017,-0.050438117,-0.050521668,11.442419,-0.12371241,-0.14741206,-0.30582115,-0.071920976,-0.124685876,-0.28991085,-0.13944355,-0.13158298,-0.16218084,-0.24507041,-0.52044886,-0.1885197,-0.25247434,-0.12339336,-0.062246185,-0.27164832,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.012735409,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.35488898,-0.18899952,-0.061940223,-0.118806034,-0.09939945,-0.07638114,-0.4577368,-0.117310815,-0.06780475,-0.2035684,-0.04597636,-0.10430648,-0.078787245,-0.23495351,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,-0.5159015,-0.77329755,-2.1983855,-0.110764034,-0.18492761,-0.19023986,0
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,-0.037392955,-0.08343716,1.457769,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,-0.33585742,-0.13939492,-0.1538763,-0.16757613,-0.16951889,-0.08561648,-0.10272443,0.023367934,-0.07527141,-1.2656302,-0.050438117,-0.050521668,-0.08795058,-0.12371241,-0.14741206,0.131724,-0.071920976,-0.124685876,0.35366178,-0.13944355,-0.13158298,-0.16218084,-0.23817854,0.12011606,-0.1885197,-0.25247434,-0.12339336,-0.062246185,-0.21395817,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.18227434,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.16057037,-0.18899952,-0.061940223,-0.118806034,-0.09939945,-0.07638114,0.001589194,-0.117310815,-0.06780475,-0.06348308,-0.04597636,-0.10430648,-0.078787245,0.21334267,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,-0.2107817,-0.15905763,0.92469716,-0.110764034,-0.18492761,-0.19023986,1
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,10.229894,0.1791918,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,-0.011934135,-0.13939492,16.977419,-0.16757613,-0.16951889,-0.08561648,-0.10272443,0.16804264,-0.07527141,-1.2656302,-0.050438117,-0.050521668,-0.08795058,-0.12371241,-0.14741206,0.92865384,-0.071920976,-0.124685876,-0.2708802,-0.13944355,2.936548,-0.16218084,-0.0938253,0.17854363,-0.1885197,-0.25247434,-0.12339336,-0.062246185,-0.16263461,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.10425809,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.0764692,-0.18899952,-0.061940223,-0.118806034,-0.09939945,-0.07638114,0.120217554,-0.117310815,-0.06780475,-0.092039905,-0.04597636,-0.10430648,-0.078787245,0.26360202,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,-0.0953913,-0.018064536,0.8766881,-0.110764034,-0.18492761,-0.19023986,0
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,-0.09964505,0.24034937,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,0.014584921,-0.13939492,-0.28886914,-0.16757613,-0.16951889,-0.08561648,6.020494,0.02432365,-0.07527141,-1.2656302,-0.050438117,-0.050521668,-0.08795058,-0.12371241,-0.14741206,-0.3656297,-0.071920976,-0.124685876,-0.0915964,-0.13944355,-0.13158298,-0.16218084,-0.18493073,0.31953079,-0.1885197,-0.25247434,-0.12339336,-0.062246185,-0.21318425,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.32431647,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.1490745,-0.18899952,-0.061940223,-0.118806034,-0.09939945,-0.07638114,-0.09867363,-0.117310815,-0.06780475,-0.23678796,-0.04597636,-0.10430648,-0.078787245,0.08121111,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,-0.26768753,-0.5455208,1.1561157,16.322033,-0.18492761,-0.19023986,0
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,29.499832,-0.030400893,-0.078748696,-0.059134748,-0.05234718,0.4566232,0.06073366,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,0.37477794,-0.13939492,-0.091064334,-0.16757613,-0.16951889,-0.08561648,-0.10272443,0.47878084,-0.07527141,-1.2656302,-0.050438117,-0.050521668,-0.08795058,-0.12371241,-0.14741206,1.8418019,-0.071920976,-0.124685876,-0.111611575,-0.13944355,-0.13158298,-0.16218084,0.09736151,0.020665038,-0.1885197,-0.25247434,-0.12339336,-0.062246185,-0.16878924,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.14465098,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.4848446,-0.18899952,-0.061940223,-0.118806034,-0.09939945,-0.07638114,0.48425657,-0.117310815,-0.06780475,0.10422674,-0.04597636,-0.10430648,-0.078787245,0.2388579,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,0.3887041,2.735388,-2.7382421,-0.110764034,-0.18492761,-0.19023986,0
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,-0.006336753,0.10668483,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,-0.11547741,-0.13939492,-0.02198543,-0.16757613,-0.16951889,-0.08561648,-0.10272443,-0.011554832,-0.07527141,0.44453427,-0.050438117,-0.050521668,-0.08795058,-0.12371241,2.3434784,-0.17836002,-0.071920976,-0.124685876,-0.14172249,-0.13944355,-0.13158298,-0.16218084,-0.25226298,0.5869054,-0.1885197,-0.25247434,-0.12339336,-0.062246185,-0.1294035,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.31517678,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.09537885,-0.18899952,-0.061940223,-0.118806034,4.320285,-0.07638114,-0.089279756,-0.117310815,-0.06780475,-0.15942761,-0.04597636,-0.10430648,-0.078787245,-0.08953954,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,-0.28849685,0.3873884,-0.046505865,-0.110764034,-0.18492761,1.1136487,0
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,2.6616113,-0.035875507,5.717438,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,0.020923164,0.19646877,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,-0.019686019,-0.13939492,0.0053541134,-0.16757613,-0.16951889,-0.08561648,-0.10272443,0.0699102,-0.07527141,-1.2656302,-0.050438117,-0.050521668,-0.08795058,-0.12371241,-0.14741206,0.07154202,-0.071920976,-0.124685876,0.14294401,-0.13944355,-0.13158298,-0.16218084,3.8259983,0.37145784,-0.1885197,-0.25247434,-0.12339336,-0.062246185,-0.16458717,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.22606361,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.38204977,-0.18899952,-0.061940223,-0.118806034,-0.09939945,-0.07638114,-0.048224147,-0.117310815,-0.06780475,0.024911541,-0.04597636,-0.10430648,-0.078787245,-0.057090644,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,15.333439,-0.359619,1.094165,-0.110764034,-0.18492761,-0.19023986,1
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,-0.3220667,0.11527684,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,0.06900399,-0.13939492,-0.24422622,-0.16757613,-0.16951889,-0.08561648,-0.10272443,0.168116,-0.07527141,-0.12577116,-0.050438117,-0.050521668,-0.08795058,-0.12371241,-0.14741206,0.07120265,-0.071920976,-0.124685876,-0.27726114,-0.13944355,4.692915,-0.16218084,-0.23477913,0.12004117,-0.1885197,-0.25247434,-0.12339336,-0.062246185,-0.21488664,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.3686723,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.09138854,-0.18899952,-0.061940223,-0.118806034,-0.09939945,-0.07638114,-0.34989718,-0.117310815,-0.06780475,-0.03734598,-0.04597636,-0.10430648,-0.078787245,0.0097025465,-0.067872696,-0.09172271,-0.09630276,-0.08408102,-0.11066106,-0.20920111,-0.107541315,0.86005604,-0.110764034,-0.18492761,-0.19023986,0
-0.030400895,-0.06940588,-0.07421895,-0.030400895,-0.04756436,-0.04061949,-0.08720162,-0.083192356,-0.030400895,-0.14370757,-0.030400895,-0.09654722,-0.040199555,-0.07234395,-0.035875507,-0.08606776,-0.061702468,-0.044386145,-0.11696981,-0.030400896,-0.084201984,-0.039873518,-0.06925289,-0.030400893,-0.078748696,-0.059134748,-0.05234718,-0.3381686,0.0009969068,-0.175216,-0.04067079,-0.06427042,-0.09926551,-0.05562216,-0.074266955,-0.067629814,-0.042821996,0.113067225,-0.13939492,-0.15448385,-0.16757613,-0.16951889,-0.08561648,-0.10272443,0.088097155,-0.07527141,-0.15029456,-0.050438117,-0.050521668,-0.08795058,-0.12371241,-0.14741206,1.597401,-0.071920976,-0.124685876,-0.41135514,10.587373,-0.13158298,-0.16218084,-0.23310255,0.40087995,-0.1885197,-0.25247434,-0.12339336,-0.062246185,0.16249493,-0.07316671,-0.19387476,-0.08846551,-0.08303952,-0.5009435,-0.030400898,-0.13838363,-0.18716085,-0.06418999,-0.21406157,-0.18899952,-0.061940223,-0.118806034,-0.09939945,-0.07638114,-0.16651766,4.553922,-0.06780475,0.19111574,-0.04597636,-0.10430648,-0.078787245,-0.08621708,-0.067872696,-0.09172271,-0.09630276,-0.08408102,6.467453,-0.32397607,0.35898903,0.97921246,-0.110764034,-0.18492761,-0.19023986,0
