rank,feature_id,modality
1,rnaseq_gene::GENE:PSG11,rnaseq_gene
2,rnaseq_gene::GENE:RBMY1J,rnaseq_gene
3,rnaseq_gene::GENE:CSPG4P2Y,rnaseq_gene
4,rnaseq_gene::GENE:RBMY1A3P,rnaseq_gene
5,rnaseq_gene::GENE:RBMY1E,rnaseq_gene
6,rnaseq_gene::GENE:TSPY3,rnaseq_gene
7,rnaseq_gene::GENE:LOC646813,rnaseq_gene
8,rnaseq_gene::GENE:RBMY1A1,rnaseq_gene
9,rnaseq_gene::GENE:RBMY3AP,rnaseq_gene
10,rnaseq_gene::GENE:RBMY2FP,rnaseq_gene
11,rnaseq_gene::GENE:VN1R4,rnaseq_gene
12,rnaseq_gene::GENE:RBMY1F,rnaseq_gene
13,rnaseq_gene::GENE:TSPY4,rnaseq_gene
14,rnaseq_gene::GENE:TSPY2,rnaseq_gene
15,rnaseq_gene::GENE:CDY2B,rnaseq_gene
16,rnaseq_gene::GENE:CT47A6,rnaseq_gene
17,methylation_gene::GENE:VEGFA,methylation_gene
18,methylation_gene::GENE:TRIB3,methylation_gene
19,rnaseq_gene::GENE:SNAR-C4,rnaseq_gene
20,methylation_gene::GENE:SHBG;SAT2,methylation_gene
21,methylation_gene::GENE:SCRIB,methylation_gene
22,rnaseq_gene::GENE:ONECUT3,rnaseq_gene
23,rnaseq_gene::GENE:OR2T1,rnaseq_gene
24,methylation_gene::GENE:PIGP;TTC3,methylation_gene
25,rnaseq_gene::GENE:ADAD1,rnaseq_gene
26,methylation_gene::GENE:ENO2,methylation_gene
27,methylation_gene::GENE:TYMP;ODF3B,methylation_gene
28,rnaseq_gene::GENE:SPACA1,rnaseq_gene
29,rnaseq_gene::GENE:OR10J1,rnaseq_gene
30,rnaseq_gene::GENE:LCE3C,rnaseq_gene
31,methylation_gene::GENE:YAP1,methylation_gene
32,methylation_gene::GENE:SYPL1,methylation_gene
33,methylation_gene::GENE:SORBS1,methylation_gene
34,rnaseq_gene::GENE:PRAMEF16,rnaseq_gene
35,methylation_gene::GENE:SART3,methylation_gene
36,rnaseq_gene::GENE:OR5B3,rnaseq_gene
37,methylation_gene::GENE:NDUFAF1,methylation_gene
38,rnaseq_gene::GENE:PSG7,rnaseq_gene
39,rnaseq_gene::GENE:SLC6A5,rnaseq_gene
40,rnaseq_gene::GENE:PSG2,rnaseq_gene
41,rnaseq_gene::GENE:SCARNA8,rnaseq_gene
42,methylation_gene::GENE:RBP5;CLSTN3,methylation_gene
43,methylation_gene::GENE:DDX11,methylation_gene
44,rnaseq_gene::GENE:HSD3B1,rnaseq_gene
45,rnaseq_gene::GENE:OR2T29,rnaseq_gene
46,rnaseq_gene::GENE:PRAMEF18,rnaseq_gene
47,methylation_gene::GENE:TM7SF2,methylation_gene
48,rnaseq_gene::GENE:TMIGD1,rnaseq_gene
49,methylation_gene::GENE:NT5C3L,methylation_gene
50,rnaseq_gene::GENE:DEFB118,rnaseq_gene
