rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_RBMY1A1,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_VN1R4,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_TSPY2,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_CT47A6,methylation_gene__GENE_VEGFA,methylation_gene__GENE_TRIB3,rnaseq_gene__GENE_SNAR-C4,methylation_gene__GENE_SHBG;SAT2,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_OR2T1,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_ADAD1,methylation_gene__GENE_ENO2,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_SPACA1,rnaseq_gene__GENE_OR10J1,rnaseq_gene__GENE_LCE3C,methylation_gene__GENE_YAP1,methylation_gene__GENE_SYPL1,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_PRAMEF16,methylation_gene__GENE_SART3,rnaseq_gene__GENE_OR5B3,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_PSG7,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_PSG2,rnaseq_gene__GENE_SCARNA8,methylation_gene__GENE_RBP5;CLSTN3,methylation_gene__GENE_DDX11,rnaseq_gene__GENE_HSD3B1,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_PRAMEF18,methylation_gene__GENE_TM7SF2,rnaseq_gene__GENE_TMIGD1,methylation_gene__GENE_NT5C3L,rnaseq_gene__GENE_DEFB118,rnaseq_gene__GENE_DEFB132,methylation_gene__GENE_LRRC20,methylation_gene__GENE_NRXN2,rnaseq_gene__GENE_DEFB129,rnaseq_gene__GENE_DEFB123,rnaseq_gene__GENE_GUCA1C,methylation_gene__GENE_DCUN1D4,rnaseq_gene__GENE_TEX13A,rnaseq_gene__GENE_SRY,rnaseq_gene__GENE_IQCF5,methylation_gene__GENE_DGUOK,rnaseq_gene__GENE_S100G,rnaseq_gene__GENE_DAZ1,rnaseq_gene__GENE_CT47A7,methylation_gene__GENE_ZNF619,methylation_gene__GENE_SKIL,rnaseq_gene__GENE_CST8,rnaseq_gene__GENE_SNORA11B,methylation_gene__GENE_GMCL1,methylation_gene__GENE_ACPL2,cnv_log2__GENE_PRKG1,rnaseq_gene__GENE_LINC01020,methylation_gene__GENE_ZNF672,methylation_gene__GENE_SLC25A38,rnaseq_gene__GENE_PRAMEF17,rnaseq_gene__GENE_OR4A5,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_FABP9,methylation_gene__GENE_PARP4,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_TEX28,methylation_gene__GENE_PCCA,rnaseq_gene__GENE_OR7G2,rnaseq_gene__GENE_SCARNA23,methylation_gene__GENE_ZNF596;RPL23AP53,methylation_gene__GENE_ZNF160,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_NKX6-2,rnaseq_gene__GENE_LCE3E,methylation_gene__GENE_NRCAM,rnaseq_gene__GENE_MOS,rnaseq_gene__GENE_NPPB,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_NANOGNB,rnaseq_gene__GENE_VCY,rnaseq_gene__GENE_CDX4,cnv_log2__GENE_DKK1,cnv_log2__GENE_PRKG1-AS1,rnaseq_gene__GENE_C2ORF27B,rnaseq_gene__GENE_DEFB103A,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,-0.05125228,0.1348818,-0.050053358,15.103444,0.15346035,-0.071920976,-0.06331775,0.49041125,-0.175216,-0.32059684,-0.14113313,5.9350004,-0.07421895,-0.062246185,0.34327278,-0.07018332,-0.035036173,-0.07234395,-0.38165906,-0.06940588,0.7617472,-0.18492761,-0.067629814,-0.2157582,-0.16951889,0.107172646,-0.62092483,-0.41950408,-0.030400898,-0.08606776,-0.25367188,-0.13838363,-0.07991607,-0.13369994,-1.2656302,-0.1851329,-0.17961895,-0.06825314,-0.04597636,-0.10974532,0.63045555,-0.09973995,-0.06418999,-0.09630276,-0.63236576,-0.36230543,-0.08408102,-0.030400895,0.30465758,0.4385283,-0.15146537,-0.082764626,0.34237644,0.7476855,-1.4807273,-0.1724362,-0.14737801,-0.022540353,-0.040199555,-0.06427042,0.8020264,-0.14199477,0.18344745,-0.06925289,-0.030400895,-0.0665177,-0.06859739,-0.078748696,-0.15192229,0.022995586,-0.078358516,-0.09467098,-0.12899014,0.19155665,-0.09939945,-0.23330294,-0.05562216,-0.23784015,-0.05755121,-0.110764034,-1.6151394,-1.6151394,4.8046875,-0.13368,0
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,-0.30582115,-0.23495351,-0.050053358,-0.5905463,-0.02344199,-0.071920976,-0.06331775,-0.41058275,-0.175216,-0.28991085,-0.42164096,-0.10053951,-0.07421895,-0.062246185,0.3284185,-0.48064336,-0.52044886,-0.07234395,0.103043824,-0.06940588,-0.5461516,-0.18492761,-0.067629814,-0.2157582,-0.16951889,-0.35488898,-0.012735409,-0.41950408,-0.030400898,-0.08606776,-0.24507041,-0.13838363,-0.2829578,-0.13369994,0.39582017,-0.008786143,-0.21175788,-0.06825314,-0.04597636,-0.10974532,-0.2035684,-0.09973995,-0.06418999,-0.09630276,0.37705538,-0.36230543,-0.08408102,-0.030400895,-0.08480112,-0.77329755,-0.15146537,-0.082764626,-0.30556974,-0.66036993,0.07421593,-0.1724362,-0.33906972,-0.06386584,-0.040199555,-0.06427042,-0.4577368,-0.14199477,-0.6268822,-0.06925289,-0.030400895,-0.25120002,-0.06859739,-0.078748696,-0.0067735068,-0.18157369,-0.078358516,-0.09467098,-0.12899014,-0.26987532,-0.09939945,-0.23330294,-0.05562216,-0.23784015,-0.05755121,-0.110764034,0.09173293,0.09173293,-0.23449756,-0.13368,0
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,0.131724,0.21334267,-0.050053358,-0.26497257,0.61090565,-0.071920976,-0.06331775,-0.33585742,1.457769,0.35366178,-0.1266541,-0.10053951,-0.07421895,-0.062246185,0.6798048,-0.41529012,0.12011606,-0.07234395,0.21971548,-0.06940588,0.051245335,-0.18492761,-0.067629814,-0.2157582,-0.16951889,-0.16057037,-0.18227434,0.22542645,-0.030400898,-0.08606776,-0.23817854,-0.13838363,-0.12580054,-0.13369994,-1.2656302,-0.06186747,-0.3309649,-0.06825314,-0.04597636,-0.10974532,-0.06348308,-0.09973995,-0.06418999,-0.09630276,-0.24516787,-0.36230543,-0.08408102,-0.030400895,-0.057213724,-0.15905763,-0.15146537,-0.082764626,0.05669328,-0.016315434,0.39774978,2.4205139,-0.5567943,-0.15233943,-0.040199555,-0.06427042,0.001589194,-0.14199477,-0.15355188,-0.06925289,-0.030400895,-0.03748492,-0.06859739,-0.078748696,-0.30572116,-0.1419233,-0.078358516,-0.09467098,-0.12899014,0.41867667,-0.09939945,-0.23330294,-0.05562216,1.4794515,-0.05755121,-0.110764034,0.44687834,0.44687834,-0.23449756,-0.13368,1
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,-0.1843051,-0.2783788,-0.050053358,-0.31104493,-0.21392961,-0.071920976,-0.06331775,-0.5281125,-0.175216,-0.41722843,-0.12523481,-0.10053951,-0.07421895,-0.062246185,-0.81863666,10.054507,-0.667513,-0.07234395,-0.63133156,-0.06940588,0.46519563,-0.18492761,-0.067629814,-0.2157582,-0.16951889,0.18222055,0.65168554,-0.41950408,-0.030400898,-0.08606776,-0.24181673,-0.13838363,-0.2520474,-0.13369994,0.5510001,-0.17775714,1.5605413,-0.06825314,-0.04597636,-0.10974532,-0.23640743,-0.09973995,-0.06418999,-0.09630276,0.35791117,-0.12835655,-0.08408102,-0.030400895,-0.18793975,-0.6036509,-0.15146537,-0.082764626,-0.2841756,-0.114545524,0.12043506,-0.1724362,-0.35009035,-0.18744747,-0.040199555,-0.06427042,-0.38270107,-0.14199477,0.11386561,-0.06925289,-0.030400895,0.0885005,-0.06859739,-0.078748696,-0.3447013,-0.30890614,-0.078358516,-0.09467098,-0.12899014,-0.4688175,-0.09939945,-0.23330294,-0.05562216,-0.23784015,-0.05755121,-0.110764034,0.14246798,0.14246798,-0.23449756,-0.13368,0
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,-0.26771,-0.1217616,-0.050053358,-0.21237452,-0.42612198,-0.071920976,-0.06331775,-0.6799201,-0.175216,-0.7740745,-0.16216893,-0.10053951,-0.07421895,-0.062246185,0.72275716,0.06226441,-0.4240292,-0.07234395,0.17392717,-0.06940588,0.4394913,-0.18492761,-0.067629814,-0.2157582,-0.16951889,-0.2227331,-0.029833782,-0.41950408,-0.030400898,-0.08606776,-0.25344294,-0.13838363,-0.23296742,-0.13369994,-1.2656302,0.017150274,-0.43337354,-0.06825314,-0.04597636,-0.10974532,0.041524988,-0.09973995,-0.06418999,-0.09630276,-2.6807249,-0.36230543,-0.08408102,-0.030400895,-0.056578893,0.85466564,-0.15146537,-0.082764626,-0.5615083,-0.72791964,3.1081712,4.248955,-1.0678099,0.31965792,-0.040199555,-0.06427042,-0.14644094,5.991037,-0.5799893,-0.06925289,-0.030400895,-0.351978,1.8795662,-0.078748696,-0.00013214204,0.30988386,-0.078358516,-0.09467098,-0.12899014,-0.45083603,-0.09939945,-0.23330294,-0.05562216,-0.23784015,-0.05755121,-0.110764034,3.4221272,3.4221272,-0.23449756,-0.13368,0
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,1.8418019,0.2388579,-0.050053358,1.4664812,0.5055419,-0.071920976,-0.06331775,0.37477794,-0.175216,-0.111611575,-0.39314377,-0.10053951,-0.07421895,-0.062246185,0.7079774,0.12568556,0.020665038,-0.07234395,0.4080284,-0.06940588,0.46105212,-0.18492761,-0.067629814,7.0586586,-0.16951889,-0.4848446,-0.14465098,-0.41950408,-0.030400898,-0.08606776,0.09736151,-0.13838363,-0.100502044,-0.13369994,-1.2656302,0.12295465,0.1353862,-0.06825314,-0.04597636,-0.10974532,0.10422674,-0.09973995,-0.06418999,-0.09630276,1.8882889,-0.36230543,-0.08408102,-0.030400895,0.09297218,2.735388,-0.15146537,-0.082764626,0.29620782,0.15347788,-0.7874405,-0.1724362,-0.50243586,3.5423095,-0.040199555,-0.06427042,0.48425657,-0.14199477,-0.5037098,29.499832,-0.030400895,0.15047435,-0.06859739,-0.078748696,-0.08376198,0.19432314,-0.078358516,-0.09467098,-0.12899014,-0.047913395,-0.09939945,-0.23330294,-0.05562216,-0.23784015,-0.05755121,-0.110764034,-0.85411346,-0.85411346,-0.23449756,2.5852768,0
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,-0.4224554,-0.4069389,-0.050053358,-0.5427555,0.17565227,-0.071920976,-0.06331775,-0.50137776,-0.175216,7.1797347,-0.6482932,-0.10053951,-0.07421895,-0.062246185,-0.33538756,-0.52993363,-0.44447336,-0.07234395,1.0704455,-0.06940588,-0.71577716,-0.18492761,-0.067629814,-0.2157582,-0.16951889,-0.00652374,-0.15517183,-0.41950408,-0.030400898,-0.08606776,0.14493814,-0.13838363,-0.25556234,-0.13369994,1.1851985,-0.37438908,-0.24386054,-0.06825314,-0.04597636,-0.10974532,-0.14184256,-0.09973995,-0.06418999,-0.09630276,-0.5271776,-0.12370364,-0.08408102,-0.030400895,-0.1663969,-1.0589294,-0.15146537,-0.082764626,-0.64196527,-0.8805329,0.2789006,-0.1724362,-0.49397856,-0.15769653,-0.040199555,-0.06427042,-0.63090295,-0.14199477,-0.6380028,-0.06925289,-0.030400895,-0.061481696,-0.06859739,-0.078748696,0.16587727,-0.22905418,-0.078358516,-0.09467098,-0.12899014,3.5133264,-0.09939945,-0.23330294,-0.05562216,-0.23784015,-0.05755121,-0.110764034,0.31641674,0.31641674,-0.23449756,-0.13368,0
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,0.07154202,-0.057090644,-0.050053358,-0.05401068,0.49732104,-0.071920976,-0.06331775,-0.019686019,-0.175216,0.14294401,-0.15689152,-0.10053951,-0.07421895,-0.062246185,0.7161504,0.08506472,0.37145784,2.6616113,0.19300161,-0.06940588,0.036176722,-0.18492761,-0.067629814,-0.2157582,-0.16951889,-0.38204977,-0.22606361,-0.41950408,-0.030400898,5.717438,3.8259983,-0.13838363,-0.12019074,-0.13369994,-1.2656302,0.07321998,15.924743,-0.06825314,-0.04597636,-0.10974532,0.024911541,-0.09973995,-0.06418999,-0.09630276,0.8847392,-0.36230543,-0.08408102,-0.030400895,-0.03998788,-0.359619,-0.15146537,-0.082764626,0.1411506,-0.2745591,1.1141461,-0.1724362,-0.5204446,-0.225915,-0.040199555,-0.06427042,-0.048224147,-0.14199477,0.3058051,-0.06925289,-0.030400895,0.018570444,-0.06859739,-0.078748696,19.522757,-0.036366597,-0.078358516,-0.09467098,-0.12899014,0.44848832,-0.09939945,-0.23330294,-0.05562216,-0.23784015,-0.05755121,-0.110764034,1.2332717,1.2332717,-0.23449756,-0.13368,1
-0.08720162,-0.04061949,-0.030400893,-0.030400895,-0.030400895,-0.04756436,-0.07355285,-0.044386145,-0.030400895,-0.039873518,-0.054831173,-0.030400896,-0.035875507,-0.061702468,-0.030400895,-0.030400895,0.07120265,0.0097025465,-0.050053358,-0.26750088,0.52590865,-0.071920976,-0.06331775,0.06900399,-0.175216,-0.27726114,-0.15487866,-0.10053951,-0.07421895,-0.062246185,0.21324275,-0.2501635,0.12004117,-0.07234395,0.11168946,-0.06940588,-0.3320806,-0.18492761,-0.067629814,-0.2157582,-0.16951889,-0.09138854,-0.3686723,-0.41950408,-0.030400898,-0.08606776,-0.23477913,-0.13838363,-0.21835573,-0.13369994,-0.12577116,0.06750668,-0.20181996,-0.06825314,-0.04597636,-0.10974532,-0.03734598,-0.09973995,-0.06418999,-0.09630276,-0.018361848,0.62403405,-0.08408102,-0.030400895,-0.12753914,-0.107541315,-0.15146537,-0.082764626,0.08937116,-0.40429112,0.06761321,-0.1724362,-0.4513928,-0.23488212,-0.040199555,-0.06427042,-0.34989718,-0.14199477,0.27760917,-0.06925289,-0.030400895,-0.23367554,-0.06859739,-0.078748696,-0.16705619,-0.0529301,-0.078358516,-0.09467098,-0.12899014,0.1811491,-0.09939945,-0.23330294,-0.05562216,-0.23784015,-0.05755121,-0.110764034,0.08448506,0.08448506,-0.23449756,-0.13368,0
