methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_SCARNA23,rnaseq_gene__GENE_PRAMEF17,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_DEFB118,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_DEFB129,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_CDY2B,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_GPI,rnaseq_gene__GENE_OR8B12,methylation_gene__GENE_VEGFA,rnaseq_gene__GENE_OR2T6,methylation_gene__GENE_C19ORF24,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_OR7G2,rnaseq_gene__GENE_DEFB107A,rnaseq_gene__GENE_DKFZP434L192,rnaseq_gene__GENE_GUCA1C,methylation_gene__GENE_USP14,methylation_gene__GENE_C18ORF19;RNMT,rnaseq_gene__GENE_OR5W2,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_NPBWR2,rnaseq_gene__GENE_OR10Z1,rnaseq_gene__GENE_CDX4,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_ZNF619,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_DEFB132,rnaseq_gene__GENE_PRAMEF22,rnaseq_gene__GENE_KRTAP5-11,rnaseq_gene__GENE_IQCF5,rnaseq_gene__GENE_GALNTL5,rnaseq_gene__GENE_OR8I2,rnaseq_gene__GENE_OR2T29,rnaseq_gene__GENE_SCARNA14,rnaseq_gene__GENE_OR2T27,methylation_gene__GENE_DDX11,rnaseq_gene__GENE_OR7G1,methylation_gene__GENE_NRXN2,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_OR2T1,methylation_gene__GENE_SKIL,cnv_log2__GENE_RLIM,rnaseq_gene__GENE_VCY,rnaseq_gene__GENE_GDEP,rnaseq_gene__GENE_KRTAP10-1,rnaseq_gene__GENE_OR1S2,methylation_gene__GENE_TPCN2,methylation_gene__GENE_ENO2,methylation_gene__GENE_GMCL1,methylation_gene__GENE_TRIB3,rnaseq_gene__GENE_BCYRN1,methylation_gene__GENE_DCTN3,cnv_log2__GENE_SLC16A2,rnaseq_gene__GENE_SCARNA8,methylation_gene__GENE_TNKS2,methylation_gene__GENE_SIX5;DMPK,rnaseq_gene__GENE_DAZ1,methylation_gene__GENE_ZNF160,methylation_gene__GENE_LRRC20,rnaseq_gene__GENE_FLJ43859,methylation_gene__GENE_QTRT1,rnaseq_gene__GENE_SCARNA11,methylation_gene__GENE_SHBG;SAT2,rnaseq_gene__GENE_SRY,rnaseq_gene__GENE_TEX28,methylation_gene__GENE_MOCS2,rnaseq_gene__GENE_OR4D11,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_OR4S1,methylation_gene__GENE_ADAR,rnaseq_gene__GENE_FKSG83,methylation_gene__GENE_ATP5J2,rnaseq_gene__GENE_OR10AG1,rnaseq_gene__GENE_TMEM225,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_LCN9,rnaseq_gene__GENE_SPANXN4,rnaseq_gene__GENE_LIM2,methylation_gene__GENE_PTGR2,rnaseq_gene__GENE_OR51G1,methylation_gene__GENE_PNPLA6,methylation_gene__GENE_MTHFD2,methylation_gene__GENE_AARS;EXOSC6,rnaseq_gene__GENE_HDGFL1,rnaseq_gene__GENE_HPVC1,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.59649277,-0.050053358,-0.07355285,-0.07234395,-0.030400893,-0.030400895,-0.078748696,-0.040199555,-0.41032338,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,-0.08606776,-0.06940588,-0.05562216,-0.0679732,0.20043744,-0.13939492,-0.04435848,-0.083192356,-0.013400931,0.043400798,-0.071920976,-0.06859739,-0.06594675,-0.16218084,-0.10974532,1.3675417,-0.6672956,-0.042821996,-0.067629814,-0.09654722,23.692472,-0.059134748,-0.110764034,0.7585861,-0.093438834,0.48104048,-0.035875507,1.2119027,-0.11066106,-0.21476083,-0.09630276,-0.11692425,-0.051938124,-0.030400898,-0.08317388,-0.050521668,0.122357935,-0.06987374,-0.14466798,-0.04756436,-0.06331775,0.7472554,-1.9697239,-0.05755121,-0.21880457,8.4414625,-0.074266955,0.6046986,0.07336908,1.1340773,-0.03337716,-0.078358516,0.27439588,-1.9755679,-0.16951889,0.24027158,1.6245252,-0.08408102,0.40766037,0.4131752,-0.1053454,0.092756815,-0.10826717,0.4506155,-0.06418999,-0.030400895,1.7180257,-0.088503554,-0.19387476,-0.10086597,0.32660446,-0.21242365,1.5675433,-0.07527141,-0.051617455,-0.11021341,-0.059162382,-0.050725356,-0.23341642,0.15393122,-0.06812416,0.085546516,1.3264271,-0.23536432,5.682815,-0.16757613,0
0.7476855,-0.050053358,-0.07355285,-0.07234395,-0.030400893,-0.030400895,-0.078748696,-0.040199555,0.15346035,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,-0.08606776,-0.06940588,-0.05562216,-0.0679732,0.18294889,-0.13939492,-0.05125228,-0.083192356,0.18405713,0.49041125,-0.071920976,-0.06859739,-0.06594675,-0.16218084,-0.10974532,1.3568002,-0.3995505,-0.042821996,-0.067629814,-0.09654722,-0.08846551,-0.059134748,-0.110764034,-0.14113313,0.30465758,0.7617472,-0.035875507,-1.2656302,-0.11066106,-0.21476083,-0.09630276,-0.11692425,-0.051938124,-0.030400898,-0.08317388,-0.050521668,-0.62092483,-0.06987374,-0.17961895,-0.04756436,-0.06331775,0.4385283,-2.3537295,-0.05755121,-0.21880457,-0.13944355,-0.074266955,0.055608325,-0.32059684,0.34237644,0.1348818,-0.078358516,0.08976974,-2.3591254,-0.16951889,0.8020264,-0.07881819,-0.08408102,0.022995586,-0.1851329,-0.1053454,0.6938821,-0.10826717,15.103444,-0.06418999,-0.030400895,0.8314624,-0.088503554,-0.19387476,-0.10086597,0.43491757,-0.21242365,0.96459234,-0.07527141,-0.051617455,-0.15192229,-0.059162382,-0.050725356,-0.23341642,-0.06924885,-0.06812416,-0.11988321,0.99146444,-0.14898685,-0.37641618,-0.16757613,0
-0.032206632,-0.050053358,-0.07355285,-0.07234395,-0.030400893,-0.030400895,-0.078748696,13.4373045,-0.6014492,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,-0.08606776,6.499733,-0.05562216,29.66682,-0.16173632,-0.13939492,-0.0075936196,-0.083192356,0.07216099,-0.5374824,-0.071920976,-0.06859739,-0.06594675,-0.16218084,-0.10974532,-1.1155547,0.5846303,-0.042821996,-0.067629814,-0.09654722,-0.08846551,-0.059134748,-0.110764034,-0.04141815,-0.055531196,-0.057804774,-0.035875507,-1.2656302,-0.11066106,-0.21476083,-0.09630276,15.865079,-0.051938124,-0.030400898,-0.08317388,-0.050521668,-0.2977539,-0.06987374,-0.029101834,-0.04756436,-0.06331775,-0.28729084,-0.56862223,-0.05755121,-0.21880457,-0.13944355,-0.074266955,-0.46601668,-0.6882903,-0.47632927,-0.17073378,-0.078358516,19.838295,-0.57610154,-0.16951889,-0.2746765,-0.01417854,-0.08408102,-0.26926696,-0.39638203,-0.1053454,-0.31691542,-0.10826717,-0.7827393,-0.06418999,-0.030400895,0.8992851,-0.088503554,1.4741709,-0.10086597,-0.14713787,1.8729422,-0.40426162,7.955814,-0.051617455,0.23902906,-0.059162382,-0.050725356,-0.23341642,-0.14977585,-0.06812416,-0.060196795,-0.47880924,-0.41459867,0.97608554,-0.16757613,1
-0.66036993,-0.050053358,-0.07355285,-0.07234395,-0.030400893,-0.030400895,-0.078748696,-0.040199555,-0.02344199,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,-0.08606776,-0.06940588,-0.05562216,-0.0679732,-0.07527803,-0.13939492,-0.30582115,-0.083192356,-0.29268792,-0.41058275,-0.071920976,-0.06859739,-0.06594675,-0.16218084,-0.10974532,-1.1597393,-0.47360888,-0.042821996,-0.067629814,-0.09654722,-0.08846551,-0.059134748,-0.110764034,-0.42164096,-0.08480112,-0.5461516,-0.035875507,0.39582017,-0.11066106,-0.21476083,-0.09630276,-0.11692425,-0.051938124,-0.030400898,-0.08317388,-0.050521668,-0.012735409,-0.06987374,-0.21175788,-0.04756436,-0.06331775,-0.77329755,0.3135529,-0.05755121,-0.21880457,-0.13944355,-0.074266955,-0.25484502,-0.28991085,-0.30556974,-0.23495351,-0.078358516,-0.0033715067,0.30504394,-0.16951889,-0.4577368,-0.18611132,-0.08408102,-0.18157369,-0.008786143,-0.1053454,-0.24829736,-0.10826717,-0.5905463,-0.06418999,-0.030400895,-0.0935266,-0.088503554,-0.19387476,-0.10086597,-0.3432501,-0.21242365,-1.2231578,-0.07527141,-0.051617455,-0.0067735068,-0.059162382,-0.050725356,-0.23341642,-0.46729913,-0.06812416,-0.33448175,0.15095398,-2.1983855,-0.37641618,-0.16757613,0
-0.114545524,-0.050053358,-0.07355285,-0.07234395,-0.030400893,-0.030400895,-0.078748696,-0.040199555,-0.21392961,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,-0.08606776,-0.06940588,-0.05562216,-0.0679732,-0.09081804,-0.13939492,-0.1843051,-0.083192356,-0.24822688,-0.5281125,-0.071920976,-0.06859739,-0.06594675,-0.16218084,-0.10974532,-0.9540156,-1.6939074,-0.042821996,-0.067629814,-0.09654722,-0.08846551,-0.059134748,-0.110764034,-0.12523481,-0.18793975,0.46519563,-0.035875507,0.5510001,-0.11066106,-0.21476083,-0.09630276,-0.11692425,-0.051938124,-0.030400898,-0.08317388,-0.050521668,0.65168554,-0.06987374,1.5605413,-0.04756436,-0.06331775,-0.6036509,-0.5997578,-0.05755121,-0.21880457,-0.13944355,-0.074266955,-0.5660709,-0.41722843,-0.2841756,-0.2783788,-0.078358516,0.3760799,-0.6072008,-0.16951889,-0.38270107,-0.447999,-0.08408102,-0.30890614,-0.17775714,-0.1053454,-0.17959459,-0.10826717,-0.31104493,-0.06418999,-0.030400895,-0.39570546,-0.088503554,-0.19387476,-0.10086597,-0.27437282,-0.21242365,0.4962523,-0.07527141,-0.051617455,-0.3447013,-0.059162382,-0.050725356,-0.23341642,-0.58054376,-0.06812416,-0.01592818,-0.8008192,-0.710076,-0.37641618,-0.16757613,0
-0.24715324,-0.050053358,2.4205613,-0.07234395,-0.030400893,-0.030400895,-0.078748696,-0.040199555,-0.0016824864,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,-0.08606776,-0.06940588,-0.05562216,-0.0679732,0.24034937,-0.13939492,-0.3656297,-0.083192356,0.02432365,0.014584921,-0.071920976,-0.06859739,-0.06594675,-0.16218084,-0.10974532,1.6713597,0.0033143,-0.042821996,-0.067629814,-0.09654722,-0.08846551,-0.059134748,16.322033,-0.16323148,-0.1536663,0.09360264,-0.035875507,-1.2656302,-0.11066106,-0.21476083,-0.09630276,-0.11692425,-0.051938124,-0.030400898,-0.08317388,-0.050521668,-0.32431647,-0.06987374,-0.3727598,-0.04756436,-0.06331775,-0.5455208,2.4930441,-0.05755121,-0.21880457,-0.13944355,-0.074266955,-0.14261924,-0.0915964,-0.10176468,0.08121111,-0.078358516,-0.05973935,2.4819915,-0.16951889,-0.09867363,-0.24089424,-0.08408102,-0.05654225,-0.012360114,-0.1053454,-0.1974051,-0.10826717,-0.1488203,-0.06418999,-0.030400895,0.17164244,-0.088503554,-0.19387476,-0.10086597,-0.17345196,-0.21242365,0.207962,-0.07527141,-0.051617455,-0.10377448,-0.059162382,-0.050725356,-0.23341642,-0.3364693,-0.06812416,-0.14449221,-0.037974596,1.1561157,1.0965849,-0.16757613,0
-0.72791964,-0.050053358,-0.07355285,-0.07234395,-0.030400893,-0.030400895,-0.078748696,-0.040199555,-0.42612198,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,-0.08606776,-0.06940588,-0.05562216,-0.0679732,-0.39433774,-0.13939492,-0.26771,-0.083192356,-0.09193348,-0.6799201,-0.071920976,1.8795662,-0.06594675,-0.16218084,-0.10974532,-1.6468358,0.188089,-0.042821996,-0.067629814,-0.09654722,-0.08846551,-0.059134748,-0.110764034,-0.16216893,-0.056578893,0.4394913,-0.035875507,-1.2656302,-0.11066106,-0.21476083,-0.09630276,-0.11692425,-0.051938124,-0.030400898,-0.08317388,-0.050521668,-0.029833782,-0.06987374,-0.43337354,-0.04756436,-0.06331775,0.85466564,-1.3937155,-0.05755121,-0.21880457,-0.13944355,-0.074266955,-0.15872498,-0.7740745,-0.5615083,-0.1217616,-0.078358516,-0.021249246,-1.4002318,-0.16951889,-0.14644094,-0.15873305,-0.08408102,0.30988386,0.017150274,-0.1053454,-0.3880481,-0.10826717,-0.21237452,-0.06418999,-0.030400895,0.07874842,-0.088503554,-0.19387476,-0.10086597,0.019193472,-0.21242365,-1.4024453,-0.07527141,-0.051617455,-0.00013214204,-0.059162382,-0.050725356,-0.23341642,0.3169814,-0.06812416,-0.37712023,0.42534873,-2.560443,-0.37641618,-0.16757613,0
-0.8805329,-0.050053358,-0.07355285,-0.07234395,-0.030400893,-0.030400895,-0.078748696,-0.040199555,0.17565227,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,-0.08606776,-0.06940588,-0.05562216,-0.0679732,-0.3852079,-0.13939492,-0.4224554,-0.083192356,-0.3350704,-0.50137776,-0.071920976,-0.06859739,-0.06594675,-0.16218084,-0.10974532,-1.919306,-1.3096874,-0.042821996,-0.067629814,-0.09654722,-0.08846551,-0.059134748,-0.110764034,-0.6482932,-0.1663969,-0.71577716,-0.035875507,1.1851985,-0.11066106,1.1919477,-0.09630276,-0.11692425,-0.051938124,-0.030400898,-0.08317388,-0.050521668,-0.15517183,-0.06987374,-0.24386054,-0.04756436,-0.06331775,-1.0589294,-0.2416985,-0.05755121,3.6102552,-0.13944355,-0.074266955,-0.36413893,7.1797347,-0.64196527,-0.4069389,-0.078358516,-0.13523546,-0.24955939,-0.16951889,-0.63090295,-0.33426338,-0.08408102,-0.22905418,-0.37438908,-0.1053454,-0.2507075,-0.10826717,-0.5427555,-0.06418999,-0.030400895,-0.344815,-0.088503554,-0.19387476,-0.10086597,-0.22805837,-0.21242365,-1.4119371,-0.07527141,-0.051617455,0.16587727,-0.059162382,-0.050725356,-0.23341642,-0.079971455,-0.06812416,-0.44389048,0.4990824,0.346532,-0.37641618,-0.16757613,0
-0.2745591,-0.050053358,-0.07355285,2.6616113,-0.030400893,-0.030400895,-0.078748696,-0.040199555,0.49732104,-0.13369994,-0.030400895,-0.06825314,-0.06427042,-0.030400895,5.717438,-0.06940588,-0.05562216,-0.0679732,0.19646877,-0.13939492,0.07154202,-0.083192356,0.0699102,-0.019686019,-0.071920976,-0.06859739,-0.06594675,-0.16218084,-0.10974532,1.4558551,0.19091703,-0.042821996,-0.067629814,-0.09654722,-0.08846551,-0.059134748,-0.110764034,-0.15689152,-0.03998788,0.036176722,-0.035875507,-1.2656302,-0.11066106,-0.21476083,-0.09630276,-0.11692425,-0.051938124,-0.030400898,-0.08317388,-0.050521668,-0.22606361,-0.06987374,15.924743,-0.04756436,-0.06331775,-0.359619,1.5122731,-0.05755121,-0.21880457,-0.13944355,-0.074266955,-0.09585453,0.14294401,0.1411506,-0.057090644,-0.078358516,12.7811775,1.5023651,-0.16951889,-0.048224147,-0.22346067,-0.08408102,-0.036366597,0.07321998,-0.1053454,-0.09881759,-0.10826717,-0.05401068,-0.06418999,-0.030400895,0.2638974,8.547053,-0.19387476,-0.10086597,0.20504797,-0.21242365,-0.47468576,-0.07527141,-0.051617455,19.522757,-0.059162382,-0.050725356,-0.23341642,-0.3115122,-0.06812416,-0.28556392,0.17914258,1.094165,-0.37641618,-0.16757613,1
