rnaseq_gene__GENE_OR5B3,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_SNAR-C4,rnaseq_gene__GENE_OR2T1,rnaseq_gene__GENE_CT47A7,rnaseq_gene__GENE_OR10J1,rnaseq_gene__GENE_OR2M7,rnaseq_gene__GENE_VN1R4,rnaseq_gene__GENE_DEFB129,rnaseq_gene__GENE_OR4A5,rnaseq_gene__GENE_PSG11,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_TRIB3,rnaseq_gene__GENE_GPHB5,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_CT47A6,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_CXORF66,methylation_gene__GENE_ZNF619,rnaseq_gene__GENE_OR2T27,rnaseq_gene__GENE_SPACA1,rnaseq_gene__GENE_OR51A4,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_OR8B12,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_LCE3C,rnaseq_gene__GENE_SLC6A5,rnaseq_gene__GENE_FLJ25328,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_OR8I2,rnaseq_gene__GENE_OR2T29,methylation_gene__GENE_PRCP,methylation_gene__GENE_DDX11,rnaseq_gene__GENE_OR10AG1,methylation_gene__GENE_SKIL,rnaseq_gene__GENE_BCYRN1,rnaseq_gene__GENE_OR1S2,cnv_log2__GENE_RLIM,methylation_gene__GENE_LRRC20,rnaseq_gene__GENE_OR10Z1,rnaseq_gene__GENE_IFNA16,rnaseq_gene__GENE_DKFZP434L192,rnaseq_gene__GENE_OR6C68,rnaseq_gene__GENE_RAG2,rnaseq_gene__GENE_KRTAP5-11,rnaseq_gene__GENE_KRTAP19-3,rnaseq_gene__GENE_HPVC1,cnv_log2__GENE_SLC16A2,rnaseq_gene__GENE_IQCF5,rnaseq_gene__GENE_SNORA69,methylation_gene__GENE_MAP3K9,rnaseq_gene__GENE_LINC01591,rnaseq_gene__GENE_GUCA1C,rnaseq_gene__GENE_OR4C12,rnaseq_gene__GENE_DEFB118,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_CDX4,rnaseq_gene__GENE_OR51G1,methylation_gene__GENE_IL4R,rnaseq_gene__GENE_FKSG83,methylation_gene__GENE_CASKIN2;TSEN54,rnaseq_gene__GENE_OR51L1,rnaseq_gene__GENE_LINC00442,rnaseq_gene__GENE_TAAR8,rnaseq_gene__GENE_ACCSL,methylation_gene__GENE_SHBG;SAT2,rnaseq_gene__GENE_OR2M1P,methylation_gene__GENE_ADAR,methylation_gene__GENE_MOCS2,rnaseq_gene__GENE_DEFB107A,rnaseq_gene__GENE_OR6B1,rnaseq_gene__GENE_MYF5,rnaseq_gene__GENE_FGF6,methylation_gene__GENE_SLC15A4,rnaseq_gene__GENE_PRAMEF5,methylation_gene__GENE_ZNF345,rnaseq_gene__GENE_SCARNA8,methylation_gene__GENE_PSMG1,rnaseq_gene__GENE_CPS1-IT1,rnaseq_gene__GENE_PAGE3,rnaseq_gene__GENE_SNORA11B,methylation_gene__GENE_QTRT1,methylation_gene__GENE_ZNF160,methylation_gene__GENE_PTGR2,rnaseq_gene__GENE_OR14C36,rnaseq_gene__GENE_TMEM225,methylation_gene__GENE_CNOT10,rnaseq_gene__GENE_FLJ43859,methylation_gene__GENE_C19ORF24,methylation_gene__GENE_ATP5S;L2HGDH,rnaseq_gene__GENE_IFNA6,methylation_gene__GENE_USP14,methylation_gene__GENE_H3F3B,rnaseq_gene__GENE_CRYGA,methylation_gene__GENE_SOCS4;WDHD1,rnaseq_gene__GENE_OPTC,methylation_gene__GENE_CYP51A1,cnv_log2__GENE_MIR1277,cnv_log2__GENE_WDR44,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6.499733,-0.032206632,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,-0.6882903,29.66682,-0.17073378,-0.06327252,-0.6014492,-0.030400895,-0.5374824,-0.05234718,-0.055531196,-0.050521668,-0.10053951,-0.06342052,-0.057804774,-0.13939492,-0.04141815,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,0.026278762,-0.2977539,7.955814,-0.28729084,-0.078358516,-0.074266955,-0.56862223,-0.39638203,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,-0.21476083,-0.124685876,-0.16757613,-0.57610154,-0.09630276,-0.08561648,-0.30798945,-0.18395357,-0.10974532,-0.11426283,-0.13369994,1.4741709,-0.110764034,-0.06812416,-0.15113056,1.8729422,-1.0775168,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.7827393,-0.10272443,-0.14713787,0.8992851,-0.06594675,-0.12339336,-0.105133064,-0.08795058,-0.61345065,-0.08723144,0.112489134,-0.16951889,-0.2941289,-0.114638045,-0.066061795,-0.082764626,-0.31691542,-0.26926696,-0.14977585,-0.10445149,-0.051617455,0.28992623,-0.1053454,0.07216099,-0.970754,-0.108581774,-1.1155547,-0.001658821,-0.07638114,-0.12461323,-0.36342356,-0.17207763,-0.5702553,-0.5702389,1
-0.06940588,-0.66036993,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,-0.28991085,-0.0679732,-0.23495351,-0.06327252,-0.02344199,-0.030400895,-0.41058275,-0.05234718,-0.08480112,-0.050521668,-0.10053951,-0.06342052,-0.5461516,-0.13939492,-0.42164096,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,-0.295507,-0.012735409,-0.07527141,-0.77329755,-0.078358516,-0.074266955,0.3135529,-0.008786143,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,-0.21476083,-0.124685876,-0.16757613,0.30504394,-0.09630276,-0.08561648,-0.3648553,-0.18395357,-0.10974532,-0.11426283,-0.13369994,-0.19387476,-0.110764034,-0.06812416,-0.5159015,-0.21242365,-0.49935895,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.5905463,-0.10272443,-0.3432501,-0.0935266,-0.06594675,-0.12339336,-0.105133064,11.442419,0.7810225,-0.08723144,0.14440846,-0.16951889,-0.28600797,-0.114638045,-0.066061795,-0.082764626,-0.24829736,-0.18157369,-0.46729913,-0.10445149,-0.051617455,-0.24320917,-0.1053454,-0.29268792,-0.38611126,5.476302,-1.1597393,-0.16216761,-0.07638114,-0.24064389,-0.36342356,-0.11618164,0.221361,0.22137272,0
-0.06940588,-0.016315434,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,0.35366178,-0.0679732,0.21334267,-0.06327252,0.61090565,-0.030400895,-0.33585742,-0.05234718,-0.057213724,-0.050521668,-0.10053951,-0.06342052,0.051245335,-0.13939492,-0.1266541,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,-0.48839897,-0.18227434,-0.07527141,-0.15905763,-0.078358516,-0.074266955,-2.229187,-0.06186747,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,3.9727807,-0.124685876,-0.16757613,-2.2347283,-0.09630276,-0.08561648,0.20228925,-0.18395357,-0.10974532,-0.11426283,-0.13369994,-0.19387476,-0.110764034,-0.06812416,-0.2107817,-0.21242365,3.9946616,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.26497257,-0.10272443,-0.0050814194,-0.40663362,-0.06594675,-0.12339336,-0.105133064,-0.08795058,1.0702682,-0.08723144,-0.767704,-0.16951889,-0.08824364,-0.114638045,-0.066061795,-0.082764626,-0.20841007,-0.1419233,-0.11398026,-0.10445149,-0.051617455,0.27632806,-0.1053454,0.023367934,-0.061688613,-0.108581774,0.26801127,-0.5337281,-0.07638114,-0.035876755,-0.36342356,-0.18359837,-0.337427,-0.33741194,1
-0.06940588,-0.114545524,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,-0.41722843,-0.0679732,-0.2783788,-0.06327252,-0.21392961,-0.030400895,-0.5281125,-0.05234718,-0.18793975,-0.050521668,-0.10053951,-0.06342052,0.46519563,-0.13939492,-0.12523481,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,1.709032,0.65168554,-0.07527141,-0.6036509,-0.078358516,-0.074266955,-0.5997578,-0.17775714,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,-0.21476083,-0.124685876,-0.16757613,-0.6072008,-0.09630276,-0.08561648,-0.37810174,-0.18395357,-0.10974532,-0.11426283,-0.13369994,-0.19387476,-0.110764034,-0.06812416,-0.28895697,-0.21242365,-0.11305469,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.31104493,-0.10272443,-0.27437282,-0.39570546,-0.06594675,-0.12339336,-0.105133064,-0.08795058,-0.5200291,-0.08723144,0.35282114,-0.16951889,-0.3322638,-0.114638045,-0.066061795,-0.082764626,-0.17959459,-0.30890614,-0.58054376,-0.10445149,-0.051617455,-0.39222795,-0.1053454,-0.24822688,-0.0794803,-0.108581774,-0.9540156,-0.12327371,-0.07638114,-0.31450275,-0.36342356,-0.25319222,-0.5609422,-0.56092584,0
-0.06940588,-0.24715324,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,-0.0915964,-0.0679732,0.08121111,-0.06327252,-0.0016824864,-0.030400895,0.014584921,-0.05234718,-0.1536663,-0.050521668,-0.10053951,-0.06342052,0.09360264,-0.13939492,-0.16323148,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,-0.9243635,-0.32431647,-0.07527141,-0.5455208,-0.078358516,-0.074266955,2.4930441,-0.012360114,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,-0.21476083,-0.124685876,-0.16757613,2.4819915,-0.09630276,-0.08561648,0.04559499,2.1971388,-0.10974532,-0.11426283,-0.13369994,-0.19387476,16.322033,-0.06812416,-0.26768753,-0.21242365,-0.0050635412,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.1488203,6.020494,-0.17345196,0.17164244,-0.06594675,-0.12339336,-0.105133064,-0.08795058,0.938605,-0.08723144,-0.6216566,-0.16951889,-0.0065154345,-0.114638045,-0.066061795,-0.082764626,-0.1974051,-0.05654225,-0.3364693,-0.10445149,-0.051617455,-0.5593076,-0.1053454,0.02432365,-0.019060967,-0.108581774,1.6713597,-0.40311337,-0.07638114,-0.0030532705,-0.36342356,-0.07095375,1.9256642,1.9256661,0
-0.06940588,-0.72791964,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,-0.7740745,-0.0679732,-0.1217616,-0.06327252,-0.42612198,-0.030400895,-0.6799201,-0.05234718,-0.056578893,-0.050521668,-0.10053951,-0.06342052,0.4394913,-0.13939492,-0.16216893,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,0.94685245,-0.029833782,-0.07527141,0.85466564,-0.078358516,-0.074266955,-1.3937155,0.017150274,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,-0.21476083,-0.124685876,-0.16757613,-1.4002318,-0.09630276,-0.08561648,-0.2161776,-0.18395357,-0.10974532,-0.11426283,-0.13369994,-0.19387476,-0.110764034,-0.06812416,0.019295638,-0.21242365,-0.18750645,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.21237452,-0.10272443,0.019193472,0.07874842,-0.06594675,-0.12339336,-0.105133064,-0.08795058,-0.20348194,-0.08723144,0.17178231,-0.16951889,-0.44713405,-0.114638045,-0.066061795,-0.082764626,-0.3880481,0.30988386,0.3169814,-0.10445149,-0.051617455,-0.6126069,-0.1053454,-0.09193348,0.12013544,-0.108581774,-1.6468358,-0.13661855,-0.07638114,0.09231275,-0.36342356,0.14450017,-1.4363767,-1.436355,0
-0.06940588,-0.8805329,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,7.1797347,-0.0679732,-0.4069389,-0.06327252,0.17565227,-0.030400895,-0.50137776,-0.05234718,-0.1663969,-0.050521668,-0.10053951,-0.06342052,-0.71577716,-0.13939492,-0.6482932,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,-0.79701954,-0.15517183,-0.07527141,-1.0589294,-0.078358516,-0.074266955,-0.2416985,-0.37438908,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,1.1919477,-0.124685876,-0.16757613,-0.24955939,-0.09630276,-0.08561648,-0.21860923,-0.18395357,-0.10974532,-0.11426283,-0.13369994,-0.19387476,-0.110764034,-0.06812416,-0.36079916,-0.21242365,-0.39035827,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.5427555,-0.10272443,-0.22805837,-0.344815,-0.06594675,-0.12339336,-0.105133064,-0.08795058,-0.08130737,-0.08723144,0.3975702,-0.16951889,-0.43103057,-0.114638045,-0.066061795,-0.082764626,-0.2507075,-0.22905418,-0.079971455,-0.10445149,-0.051617455,-0.15237454,-0.1053454,-0.3350704,0.2170256,-0.108581774,-1.919306,-0.24403438,-0.07638114,-0.42661437,1.0418328,-0.20483275,-0.27689162,-0.27687693,0
-0.06940588,-0.2745591,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,0.14294401,-0.0679732,-0.057090644,-0.06327252,0.49732104,-0.030400895,-0.019686019,-0.05234718,-0.03998788,-0.050521668,-0.10053951,-0.06342052,0.036176722,-0.13939492,-0.15689152,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,-0.38821283,-0.22606361,-0.07527141,-0.359619,-0.078358516,-0.074266955,1.5122731,0.07321998,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,-0.21476083,-0.124685876,-0.16757613,1.5023651,-0.09630276,-0.08561648,-0.06892276,-0.18395357,-0.10974532,-0.11426283,-0.13369994,-0.19387476,-0.110764034,-0.06812416,15.333439,-0.21242365,0.06717664,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.05401068,-0.10272443,0.20504797,0.2638974,-0.06594675,-0.12339336,-0.105133064,-0.08795058,0.10279952,-0.08723144,-0.5925387,-0.16951889,-0.060314067,-0.114638045,-0.066061795,-0.082764626,-0.09881759,-0.036366597,-0.3115122,-0.10445149,-0.051617455,-0.52218586,-0.1053454,0.0699102,0.054476775,-0.108581774,1.4558551,-0.5436288,-0.07638114,0.1057796,-0.36342356,-0.16648886,1.3342803,1.3342856,1
-0.06940588,-0.118393786,-0.050053358,-0.06331775,-0.030400895,-0.07421895,-0.11696981,-0.054831173,-0.06825314,-0.06427042,-0.08720162,-0.41135514,-0.0679732,-0.08621708,-0.06327252,0.7437531,-0.030400895,0.113067225,-0.05234718,-0.2753441,-0.050521668,-0.10053951,-0.06342052,-0.13956898,-0.13939492,-0.087109365,-0.062246185,-0.067629814,-0.1885197,-0.09654722,-0.051938124,-0.030400898,-1.0710675,-0.5009435,-0.07527141,0.35898903,-0.078358516,-0.074266955,-0.08602055,0.12157805,-0.059134748,-0.12434906,-0.16218084,-0.08303952,-0.18899952,-0.21476083,-0.124685876,-0.16757613,-0.09406314,-0.09630276,-0.08561648,-0.06788468,-0.18395357,-0.10974532,-0.11426283,-0.13369994,-0.19387476,-0.110764034,-0.06812416,-0.32397607,-0.21242365,0.068027824,-0.0686956,-0.17408647,-0.07787435,-0.25247434,-0.28970525,-0.10272443,-0.18152979,-0.0888975,-0.06594675,-0.12339336,-0.105133064,-0.08795058,0.19501846,-0.08723144,-0.6370673,-0.16951889,-0.1663642,-0.114638045,-0.066061795,-0.082764626,-0.1990654,-0.08925558,-0.3569711,-0.10445149,-0.051617455,-0.5672096,-0.1053454,0.088097155,-0.29295343,-0.108581774,1.5454861,-0.46846482,-0.07638114,-0.14812967,2.0400314,-0.16469687,-0.13719463,-0.13718078,0
