methylation_gene__GENE_ZNF33B,methylation_gene__GENE_ACPL2,methylation_gene__GENE_LPPR2,rnaseq_gene__GENE_KRTAP27-1,methylation_gene__GENE_KIAA1328;C18ORF10,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_OR4D9,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_OR8B12,methylation_gene__GENE_CDK2AP2,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_DEFB118,methylation_gene__GENE_NSUN5,methylation_gene__GENE_GPI,methylation_gene__GENE_ZMYND19,methylation_gene__GENE_ZNF44,methylation_gene__GENE_ARPC2,methylation_gene__GENE_ST3GAL1,rnaseq_gene__GENE_OTUD6A,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_CNOT10,methylation_gene__GENE_SNX10,methylation_gene__GENE_PNRC1,methylation_gene__GENE_OBFC2B,methylation_gene__GENE_TSPAN3,methylation_gene__GENE_TM7SF2,methylation_gene__GENE_PGAP1,methylation_gene__GENE_KIF15;KIAA1143,methylation_gene__GENE_RNF7,methylation_gene__GENE_SETD3;CCNK,methylation_gene__GENE_PRDX6,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_MEIS1,methylation_gene__GENE_C1ORF85,methylation_gene__GENE_RPUSD2,methylation_gene__GENE_NSMAF,methylation_gene__GENE_C18ORF19;RNMT,rnaseq_gene__GENE_ONECUT3,methylation_gene__GENE_SNORD84;BAT1,methylation_gene__GENE_SYPL1,methylation_gene__GENE_GMFB,methylation_gene__GENE_COMMD5,methylation_gene__GENE_CCR4,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_DDX21,methylation_gene__GENE_DOHH,methylation_gene__GENE_DGUOK,rnaseq_gene__GENE_GUCA1C,methylation_gene__GENE_PDHX;APIP,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_TMEM63A,methylation_gene__GENE_TNKS2,methylation_gene__GENE_CENPM,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_LIN7B,methylation_gene__GENE_LRP2BP,methylation_gene__GENE_ZNF787,methylation_gene__GENE_MTHFD2,methylation_gene__GENE_TCFL5,methylation_gene__GENE_PXMP3,rnaseq_gene__GENE_OR51A7,methylation_gene__GENE_STAMBPL1,rnaseq_gene__GENE_PRAMEF22,methylation_gene__GENE_PIGC;C1ORF105,methylation_gene__GENE_KIAA0100,methylation_gene__GENE_TEF,methylation_gene__GENE_IPPK,methylation_gene__GENE_KTELC1,rnaseq_gene__GENE_PRDM14,rnaseq_gene__GENE_FLJ43859,methylation_gene__GENE_TRIM8,methylation_gene__GENE_VPS28,methylation_gene__GENE_TRAF6,methylation_gene__GENE_ACTB,methylation_gene__GENE_SERPINB6,methylation_gene__GENE_STRAP,methylation_gene__GENE_DCK,methylation_gene__GENE_SKIL,methylation_gene__GENE_RASA1,methylation_gene__GENE_KIF14,methylation_gene__GENE_ZNF672,methylation_gene__GENE_TYMP,rnaseq_gene__GENE_SPAG11A,methylation_gene__GENE_PSMG1,methylation_gene__GENE_BCAP29,methylation_gene__GENE_ZNF563,methylation_gene__GENE_RCBTB2,methylation_gene__GENE_NGRN,methylation_gene__GENE_ADAR,methylation_gene__GENE_ARG2,rnaseq_gene__GENE_DAZ1,methylation_gene__GENE_NACC1;TRMT1,methylation_gene__GENE_KIF27,rnaseq_gene__GENE_OR10W1,methylation_gene__GENE_GCC1,methylation_gene__GENE_PLK4,methylation_gene__GENE_FAM177A1,rnaseq_gene__GENE_HTR3B,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.4490543,0.59649277,0.28703848,-0.05008855,0.2719112,-0.41032338,-0.10281369,-0.08720162,-0.13939492,-0.4144276,-0.11021341,-0.07234395,-0.08606776,-0.13369994,0.35242248,0.20043744,0.16524199,0.64314336,0.9171042,0.64437985,-0.1489025,0.7585861,1.5376943,0.7842886,0.70702374,0.8677229,-0.1840963,-0.22500522,-0.07695419,0.50345325,1.2357007,0.44645026,-0.13785753,0.57670254,0.2475779,-0.10875279,0.49858165,0.34200108,-0.6672956,-0.071920976,2.1244195,0.61588115,1.7465876,-0.1607682,0.8598167,0.9158221,-0.22255118,0.9212578,0.9196133,-0.10974532,0.13645941,-0.21529208,0.7897198,0.24027158,0.89855057,0.32707933,0.17383759,0.3083548,0.37969083,1.3264271,0.41494763,0.13022788,-0.06867951,0.09512929,-0.11066106,-0.08587251,0.3653119,0.03218266,0.23374176,0.63478726,-0.19387476,-0.1053454,0.2939059,0.43621123,0.798916,0.26546022,0.39949757,0.69819933,-0.081198186,0.7472554,0.63358283,1.2262802,0.061287247,-0.07699258,-0.10430648,0.5826708,0.84269786,-0.035650518,0.011206888,0.2287747,0.32660446,0.1496741,-0.08408102,1.1414319,0.7226004,-0.16063432,1.2324553,0.69962716,0.0447179,-0.20727761,0
0.14871067,0.7476855,0.16414265,-0.05008855,0.63164926,0.15346035,-0.10281369,-0.08720162,-0.13939492,0.12295953,-0.15192229,-0.07234395,-0.08606776,-0.13369994,0.66948795,0.18294889,0.5980208,0.1412926,0.82651114,0.5072738,-0.1489025,-0.14113313,0.5404921,0.70721316,0.34047058,0.47386664,-0.08839884,-0.25367188,0.15189625,0.16161367,0.78491956,0.5108831,0.23064291,0.2569746,-0.026167534,0.18282017,0.54176915,0.28461346,-0.3995505,-0.071920976,0.92659074,-0.07018332,-0.037170887,0.0015077826,0.33000132,0.05212484,-0.32096818,-0.16457027,-0.63236576,-0.10974532,-0.29257587,-0.21529208,0.36841294,0.8020264,0.44882357,0.63045555,0.42265218,-0.24544275,0.035926845,0.99146444,0.10791283,-0.1281406,-0.06867951,-0.16520421,-0.11066106,2.1583543,-0.13394058,0.86704713,0.5295257,-0.37059265,-0.19387476,-0.1053454,0.282832,0.16959104,1.2168982,0.12221368,0.0696729,0.3843979,-0.43329883,0.4385283,0.7605691,1.392259,-0.14737801,-0.043791454,-0.10430648,-0.023446083,0.47920737,-0.011687097,3.4615011,0.10227868,0.43491757,0.3252347,-0.08408102,0.19510004,-0.063731,-0.16063432,0.9126737,2.0276034,0.70162654,-0.20727761,0
0.11228093,1.3346683,0.028524911,-0.05008855,-0.13317966,-0.1498576,-0.10281369,-0.08720162,-0.13939492,0.1484289,-0.19309218,-0.07234395,-0.08606776,-0.13369994,0.7692807,0.24464342,-0.1812005,0.17307654,0.24059713,0.050673194,-0.1489025,0.1355378,1.1095629,0.05455773,0.26312187,0.31872043,-0.086612485,-0.22836752,-0.061139487,0.029730145,0.3759214,1.1246847,0.23126501,0.1465024,-0.26432875,0.48866603,-0.09030614,-0.24040128,-0.78613746,-0.071920976,-0.007284099,0.42339393,0.341874,0.13546705,0.90569377,0.5766715,-0.18309458,-0.37818277,-0.07610227,-0.10974532,-0.101273626,-0.21529208,-0.17218976,0.20012291,0.2531766,0.09802495,0.47430572,0.05197497,0.2886794,-0.009008836,-0.0011133582,0.74792093,-0.06867951,-0.21724093,-0.11066106,-0.335421,0.06893354,0.89813006,0.46547338,0.39414436,-0.19387476,-0.1053454,0.5660327,0.71194977,-0.3827452,-0.16719145,-0.31981292,0.13390958,-0.011331305,0.26322258,0.28574768,0.43139675,0.078394674,-0.12807165,-0.10430648,-0.21646015,1.1972598,0.12600318,0.034167845,0.09399598,0.57892925,-0.6751322,4.309086,0.32274202,0.27389413,-0.16063432,0.23229788,0.5628916,0.69702524,-0.20727761,0
-0.22021592,0.002228383,-0.010312691,-0.05008855,-0.15336615,-0.29871964,-0.10281369,-0.08720162,-0.13939492,0.14196536,-0.1983823,-0.07234395,-0.08606776,-0.13369994,-0.19733639,0.10214165,-0.46608615,0.007443731,-0.32618397,-0.017967097,-0.1489025,-0.30292547,-0.12903625,-0.6181502,-0.3460234,-0.3240726,-0.14353688,-0.231559,-0.29686168,-0.23802868,-0.056822583,-0.46853352,0.019703066,-0.00067577366,-0.21643469,-0.37884003,0.022521175,-0.47914106,-1.073184,-0.071920976,-0.0022669388,-0.110466786,-0.20430723,0.20750016,-0.0999688,0.55873907,-0.680885,-0.32096255,0.05867009,-0.10974532,-0.56597,-0.21529208,-0.14078398,-0.14661795,0.23503034,-0.11811119,-0.17170073,0.045109227,-0.32718068,-0.73447186,-0.29202035,-0.35529777,-0.06867951,-0.06797549,-0.11066106,-0.25494173,-0.093084276,-0.7051827,-0.6707006,-0.66376024,-0.19387476,-0.1053454,-0.4579862,-0.28468916,-0.2894631,0.005214513,-0.58068836,0.07887871,0.11426538,0.09448052,0.032876994,-0.055558547,0.54038066,-0.08817064,-0.10430648,-0.097085804,-0.0955193,-0.37301162,-0.45649415,-0.006403456,-0.096484266,0.08142032,-0.08408102,0.06247911,-0.17211062,-0.16063432,0.5355791,-0.15092923,-0.71351683,-0.20727761,0
-0.3686539,-0.33982432,-0.21235238,-0.05008855,-0.550192,-0.1769642,-0.10281369,-0.08720162,-0.13939492,-0.4666912,-0.2957689,-0.07234395,-0.08606776,-0.13369994,-0.08315403,-0.34590235,-0.33103484,-0.5461532,-0.3899457,-0.47278947,-0.1489025,-0.49862137,-0.34600082,-0.903075,-0.32715115,-0.6139798,-0.32766554,-0.28128305,-0.22500001,-0.4227848,-0.5349966,-0.093494184,-0.75217575,-0.3309933,-0.42153743,-0.1748944,-0.16821635,-0.1823676,-0.93900335,-0.071920976,-0.7709318,-0.47549772,-0.7063413,-0.3181959,-0.12088713,-0.26299343,-0.18273337,-0.8400326,-1.2072479,-0.10974532,-0.892812,-0.21529208,-0.7539636,-0.206775,-0.5359646,-0.44623557,-0.20406143,0.062803894,-0.28305477,-0.555346,-0.7787512,-0.4734597,-0.06867951,-0.04370341,-0.11066106,-0.22299105,0.05478344,0.45787668,-0.47872797,-0.5314625,-0.19387476,-0.1053454,-0.19488487,-0.24719374,-0.38574108,-0.5458468,-0.773854,-0.58293587,-0.82109326,-0.7254762,-0.30951968,-0.49018797,-0.09924384,-0.2284836,-0.10430648,-0.35451344,-0.649731,-0.18061356,-0.10326405,-0.607892,-0.17375389,-1.2416689,-0.08408102,-0.38135278,-0.114214055,-0.16063432,-0.23522073,-1.1269255,-0.9206046,-0.20727761,0
-0.09836335,-0.10187517,-0.021735957,-0.05008855,-0.69697976,-0.5097272,-0.10281369,-0.08720162,-0.13939492,-0.39062223,-0.23249246,-0.07234395,-0.08606776,-0.13369994,0.035159115,-0.08658419,-0.18499725,-0.54590017,-0.16049689,-0.088339545,-0.1489025,-0.073929235,-0.15693864,-0.555316,-0.14100234,-0.34938216,-0.16841334,-0.27390775,-0.2895278,-0.04086746,0.041677784,-1.066989,-0.49400833,-0.20082346,-0.41094628,-0.16067839,-0.19059616,-0.49019876,-0.75886333,-0.071920976,-0.29734376,-0.23929554,-0.51607484,0.5973911,0.15320891,-0.6816844,-0.51651925,-0.3054027,-0.94387484,-0.10974532,-0.718979,-0.21529208,-0.25599757,-0.160841,-0.18414086,0.038442627,-0.1977648,0.063782185,0.046456415,-0.93193513,-0.22429594,-0.16198787,-0.06867951,-0.49214652,-0.11066106,-0.37077317,0.20512164,-0.8110952,-0.48835298,-0.78918487,-0.19387476,-0.1053454,-0.7226426,-0.32556567,-0.4645792,-0.47806475,-0.62738645,-0.07554528,-0.4089497,-0.5974562,-0.10725698,-0.043276235,-0.71161014,-0.16813211,-0.10430648,-0.14020054,-0.39121237,-0.14418508,-0.74395853,-0.18157208,0.016616315,-0.039460707,-0.08408102,0.3315243,-0.4032887,-0.16063432,-0.14809495,-0.42595252,0.032391038,-0.20727761,0
-0.29308355,-0.2028569,-0.17969838,-0.05008855,-0.42294428,-0.45525414,-0.10281369,-0.08720162,-0.13939492,0.06308561,-0.32123244,-0.07234395,2.6635144,-0.13369994,-0.06679495,-0.19832766,-0.62892807,-0.52815247,-0.333519,-0.7373943,-0.1489025,-0.20128061,0.31734,-0.08708398,-0.3404203,-0.54905784,-0.3157222,-0.25133625,-0.23917393,0.2131415,0.09380079,-0.6236692,-0.29191408,-0.33156312,-0.03720599,-0.3138599,-0.108182445,-0.3060584,-0.706087,-0.071920976,-0.39233685,-0.3273616,-0.5584745,-0.10868358,0.07638824,-1.323104,-0.354259,-0.11091096,-0.20876865,-0.10974532,-0.8387915,-0.21529208,-0.59881634,-0.20859727,-0.055339508,-0.14202435,-0.078082785,-0.09997062,-0.5615313,-0.5330097,-0.5669245,-0.21776755,-0.06867951,0.6124953,-0.11066106,-0.047341704,-0.10919622,-0.39228654,0.019707005,0.3393736,-0.19387476,-0.1053454,-0.5896103,0.030367902,-0.1532269,-0.357805,-0.6198699,-0.3916034,-0.6329046,-0.39766628,-0.4494959,-0.58358353,0.51286197,-0.20136273,-0.10430648,-0.25955036,-0.41525826,-0.23242895,-0.62156886,-0.26606673,-0.27712643,-0.3401267,-0.08408102,-0.50739527,-0.7597108,-0.16063432,-1.2710723,-0.37011248,0.34956056,-0.20727761,0
-0.026363669,-0.016315434,-0.113159,-0.05008855,0.1213794,0.61090565,-0.10281369,-0.08720162,-0.13939492,-0.09127277,-0.30572116,-0.07234395,-0.08606776,-0.13369994,-0.29192448,-0.08343716,-0.16842608,-0.044638727,-0.18519668,0.22784412,-0.1489025,-0.1266541,0.27632806,0.21478201,0.035264805,0.0830313,0.120995305,-0.23817854,-0.40057236,-0.23964483,0.27608088,0.58692634,-0.060981262,0.20228925,-0.31362313,0.05303038,-0.037392955,-0.30565894,0.22783658,-0.071920976,-0.6319759,-0.41529012,-0.4069285,-0.26514336,0.23325513,-0.061688613,-0.9525464,-0.19770838,-0.24516787,-0.10974532,-0.2627205,2.589988,0.11700124,0.001589194,-0.5786295,-0.06348308,-0.41463414,0.16912529,-0.28914925,-0.08892949,-0.32455632,-0.35832602,-0.06867951,-0.39339554,-0.11066106,0.14162144,-0.105848946,0.3079537,-0.5056701,-0.21149805,-0.19387476,-0.1053454,0.59975886,-0.41642702,-0.30848202,-0.007731057,-0.10023612,-0.6810579,0.06682626,-0.15905763,-0.31321234,-0.37474218,-0.5567943,-0.13520476,-0.10430648,-0.08824364,-0.166663,0.21252887,0.34665728,-0.3647758,-0.0050814194,-0.3144809,-0.08408102,-0.39563727,-0.37478063,-0.16063432,0.013875581,0.15457384,-0.24573149,-0.20727761,1
-0.3150327,-0.114545524,-0.12508807,-0.05008855,-0.77106476,-0.21392961,-0.10281369,-0.08720162,-0.13939492,-0.48682207,-0.3447013,-0.07234395,-0.08606776,-0.13369994,-0.19320671,-0.09081804,0.19865146,-0.27481735,-0.45584184,-0.6440362,-0.1489025,-0.12523481,-0.39222795,-0.6129695,-0.44886,-0.65297306,-0.24889456,-0.24181673,-0.19420971,0.14160612,-0.48663443,-1.2323399,-0.3458404,-0.37810174,0.5860956,-0.1813049,-0.029444681,-0.3148711,-1.6939074,-0.071920976,-0.046127107,10.054507,0.53511435,0.040965132,-0.29353178,-0.0794803,-0.64134794,0.9119341,0.35791117,-0.10974532,-0.656039,-0.21529208,0.16718404,-0.38270107,0.10327002,-0.23640743,5.650004,-0.14146052,0.073780596,-0.8008192,2.2933555,0.17848107,-0.06867951,-0.34894451,-0.11066106,0.21281907,-0.10888363,-1.4260961,-0.4023731,-0.28397837,-0.19387476,-0.1053454,-0.542255,-0.40319833,-0.4303233,-0.54194856,-0.35788015,-0.40440202,-0.36735025,-0.6036509,-0.21650787,-0.5759897,-0.35009035,-0.21443348,-0.10430648,-0.3322638,-0.6116524,-0.19048701,-0.072894886,-0.12975459,-0.27437282,-0.5520605,-0.08408102,-0.17031978,-0.4011894,-0.16063432,-0.8321999,-1.0032008,0.8201309,-0.20727761,0
