methylation_gene__GENE_LPPR2,rnaseq_gene__GENE_PSG11,methylation_gene__GENE_SCRIB,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_FLJ43859,rnaseq_gene__GENE_GUCA1C,methylation_gene__GENE_KIAA1328;C18ORF10,rnaseq_gene__GENE_DEFB118,methylation_gene__GENE_ADAR,methylation_gene__GENE_CNOT10,methylation_gene__GENE_CDK2AP2,rnaseq_gene__GENE_ADAM5P,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_OR4K2,methylation_gene__GENE_ZNF33B,methylation_gene__GENE_C1ORF85,methylation_gene__GENE_ARPC2,methylation_gene__GENE_SUV39H2,methylation_gene__GENE_ZNF619,rnaseq_gene__GENE_OTUD6A,rnaseq_gene__GENE_PRAMEF18,methylation_gene__GENE_CCRN4L,methylation_gene__GENE_MAP3K9,methylation_gene__GENE_TSPAN3,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_ADAM18,methylation_gene__GENE_RSAD2,methylation_gene__GENE_PNRC1,rnaseq_gene__GENE_OR51A7,methylation_gene__GENE_LASS4,methylation_gene__GENE_TNKS2,methylation_gene__GENE_OBFC2B,methylation_gene__GENE_GCH1,methylation_gene__GENE_SUFU,methylation_gene__GENE_MMP15,methylation_gene__GENE_QTRT1,methylation_gene__GENE_ZNF624,methylation_gene__GENE_PRDX6,methylation_gene__GENE_AMDHD2,methylation_gene__GENE_SKIL,methylation_gene__GENE_LIN7B,methylation_gene__GENE_VEGFA,methylation_gene__GENE_SYPL1,methylation_gene__GENE_ACPL2,methylation_gene__GENE_NSMAF,methylation_gene__GENE_IL20RB,methylation_gene__GENE_KIAA0100,rnaseq_gene__GENE_TRPC7,methylation_gene__GENE_SPSB1,methylation_gene__GENE_DOHH,methylation_gene__GENE_ASCC1;C10ORF104,methylation_gene__GENE_CTNS;SHPK,methylation_gene__GENE_TCFL5,methylation_gene__GENE_TYMP,methylation_gene__GENE_RNF7,methylation_gene__GENE_CTSC,methylation_gene__GENE_RCBTB2,methylation_gene__GENE_LRRC20,methylation_gene__GENE_TM7SF2,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_KIF14,rnaseq_gene__GENE_TCP10L2,methylation_gene__GENE_GMCL1,methylation_gene__GENE_FBXO38,methylation_gene__GENE_ERCC8;NDUFAF2,methylation_gene__GENE_SIN3A,methylation_gene__GENE_RGS2,methylation_gene__GENE_CNIH,methylation_gene__GENE_MCC,rnaseq_gene__GENE_FLJ43950,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_B3GNTL1,methylation_gene__GENE_SNORD84;BAT1,methylation_gene__GENE_SHFM1,methylation_gene__GENE_ZNF414,rnaseq_gene__GENE_CRYGD,methylation_gene__GENE_TRIO,methylation_gene__GENE_NGRN,methylation_gene__GENE_EFCAB5;SSH2,rnaseq_gene__GENE_AADACL3,methylation_gene__GENE_PGAP1,methylation_gene__GENE_SETD3;CCNK,methylation_gene__GENE_SLC22A17,methylation_gene__GENE_GCN1L1,methylation_gene__GENE_ZMYND19,methylation_gene__GENE_MRPS17,methylation_gene__GENE_LRP2BP,methylation_gene__GENE_GOPC,rnaseq_gene__GENE_TCP10,methylation_gene__GENE_TRIM8,methylation_gene__GENE_CCR4,methylation_gene__GENE_C19ORF22,methylation_gene__GENE_SHBG;SAT2,methylation_gene__GENE_ATP5J2,methylation_gene__GENE_SIKE1,methylation_gene__GENE_DCTN3,rnaseq_gene__GENE_PSG2,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_CENPM,methylation_gene__GENE_RPLP2,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.3227259,-0.08720162,-0.17873953,0.22169577,-0.1053454,-0.10974532,0.5264698,-0.13369994,0.17455123,1.0764732,-0.24767935,-0.13250025,-0.07234395,-0.09375395,0.729406,0.3193819,0.27702734,0.21305072,-0.26892838,-0.1489025,-0.08606776,0.2744608,0.44599015,0.109074764,0.55066955,-0.236979,-0.038811572,0.24243401,-0.06867951,0.72562426,0.78188914,0.52858096,-0.1317076,0.3186431,0.44579235,0.032848418,0.30809772,0.23741616,0.49103367,0.67490375,0.625792,-0.028464263,0.19181266,0.72762567,-0.2422855,-0.086300895,-0.023585662,-0.20972355,0.9433114,0.34695128,-0.56643015,0.6917525,-0.5818608,-0.06452352,0.6310443,0.12157604,-0.39690906,0.03049759,-0.20993385,1.9839693,0.24800636,-0.1564109,-0.03156322,0.5211694,-0.22329545,0.81025076,-0.4315203,0.051413078,0.7589504,-0.38464373,0.26087317,0.33161026,0.23768714,0.54497737,-0.02025118,-0.16099717,0.35078532,-0.002057725,1.5866028,2.2855139,-0.15467298,0.4240047,-0.15800764,-0.052476462,0.03389746,0.47140476,-0.4720075,-0.10758892,-0.14643842,-0.14757037,0.7390443,0.832758,-0.22674046,0.8874142,0.71380925,-0.1468789,-0.2157582,-0.21529208,0.4839567,0.12375652,0
0.028524911,-0.08720162,-0.1498576,0.1355378,-0.1053454,-0.10974532,-0.13317966,-0.13369994,0.57892925,1.1095629,0.1484289,-0.13250025,-0.07234395,-0.09375395,0.11228093,0.48866603,0.24059713,-0.3524336,-0.19697188,-0.1489025,-0.08606776,0.026817147,0.1465024,-0.086612485,0.57346845,-0.236979,0.033804655,0.26312187,-0.06867951,0.3006778,0.20012291,0.31872043,0.0073753837,0.06036818,0.34840214,0.20119487,0.2723116,0.23126501,-0.1768461,0.26322258,0.47430572,-0.31748182,0.42339393,1.3346683,-0.24040128,-0.035145044,0.06893354,-0.20972355,0.46809566,-0.37818277,0.0800096,-0.06716859,-0.0011133582,-0.12807165,0.3759214,-0.081336655,0.034167845,-0.064418115,-0.22836752,0.5766715,0.43139675,-0.1564109,0.36451972,0.31503648,0.5963305,0.27923492,0.312802,0.33833018,0.2133517,0.741643,0.5461737,1.367394,-0.007284099,0.8580279,0.046428025,-0.16099717,0.117987305,0.09399598,1.4636393,-0.31696543,-0.061139487,1.1246847,-0.26719058,0.54931474,-0.1812005,-0.10199778,0.05197497,0.22034541,-0.14643842,0.5660327,0.90569377,0.25261226,-0.10261472,-0.47100598,-0.017753692,-0.21620537,-0.2157582,-0.21529208,0.2531766,-0.118916266,0
0.14362983,-0.08720162,-0.4631829,0.95313257,-0.1053454,-0.10974532,-0.18258774,-0.13369994,-0.042074826,0.4075733,-9.282046e-05,-0.13250025,-0.07234395,-0.09375395,0.3160087,-0.07871805,0.2056722,-0.06689845,-0.053150695,-0.1489025,-0.08606776,-0.2270016,0.16161573,-0.11684609,0.22825429,-0.236979,-0.054271024,0.12941726,-0.06867951,0.0007416649,0.70774734,0.40342945,-0.29221502,0.052742016,-0.38090095,0.33203012,0.2907358,0.035866335,-0.07008312,0.0003516793,0.113852374,0.00917325,0.462337,0.5220409,-0.17149846,-0.06392146,0.34595323,-0.20972355,1.5997264,0.056712575,-0.40801048,1.7382524,0.108928435,-0.17751408,0.33657032,-0.08804783,0.33891016,-0.19694573,-0.229655,0.05691756,0.5617312,-0.1564109,0.32581726,-0.3202826,0.08621848,0.17828605,-0.4030198,-0.058497705,-0.09473037,-0.38464373,0.35930058,0.5239332,-0.11510358,-0.18174404,0.071943,-0.16099717,-0.09408414,-0.112955414,0.47438264,-0.31696543,-0.29344684,-0.3053665,0.11231116,0.13954741,0.71802074,-0.54064167,-0.105381854,-0.12847027,-0.14643842,0.09404301,0.33582145,-0.24902105,-0.36000943,-0.49444252,-0.21929671,-0.21624957,-0.2157582,-0.21529208,-0.06609476,0.039018583,0
-0.21235238,-0.08720162,-0.1769642,-0.49862137,-0.1053454,-0.10974532,-0.550192,-0.13369994,-0.17375389,-0.34600082,-0.4666912,-0.13250025,-0.07234395,-0.09375395,-0.3686539,-0.1748944,-0.3899457,-0.73540187,-0.2413536,-0.1489025,-0.08606776,-0.16429602,-0.3309933,-0.32766554,-0.4201937,-0.236979,-0.32915288,-0.32715115,-0.06867951,-0.507093,-0.206775,-0.6139798,-0.69214034,-0.2887193,-0.68834555,-0.32439083,-0.43030068,-0.75217575,-0.3185851,-0.7254762,-0.20406143,-0.27986175,-0.47549772,-0.33982432,-0.1823676,0.40566364,0.05478344,-0.20972355,-0.38462898,-0.8400326,-1.1091013,-0.66691834,-0.7787512,-0.2284836,-0.5349966,-0.3623099,-0.10326405,-0.8380861,-0.28128305,-0.26299343,-0.49018797,-0.1564109,-0.24999927,-0.4069186,-0.6893848,-0.43069887,-0.3604593,-0.4608108,-0.37888497,-0.38464373,-0.6314574,-0.8037325,-0.7709318,-0.44066566,-0.36689234,-0.16099717,-0.5900939,-0.607892,-0.33655864,-0.31696543,-0.22500001,-0.093494184,-0.4778296,-0.7920568,-0.33103484,-0.5389702,0.062803894,-0.3904527,-0.14643842,-0.19488487,-0.12088713,-0.186122,-0.4217988,0.42162472,-0.6764929,-0.38900572,1.766056,-0.21529208,-0.5359646,0.036769357,0
-0.112781644,-0.08720162,-0.6014492,-0.04141815,-0.1053454,-0.10974532,-0.22777955,-0.13369994,-0.14713787,0.28992623,-0.33724922,-0.13250025,-0.07234395,-0.09375395,-0.34003553,-0.34239316,0.33316392,-0.5158937,-0.055531196,-0.1489025,-0.08606776,-0.17300457,-0.30798945,-0.05450361,-0.057804774,-0.236979,-0.12273475,-0.34808388,-0.06867951,-0.5670587,-0.2746765,0.26173994,-0.33340913,-0.08801301,-0.3170092,-0.31691542,-0.34459332,-0.5697412,-0.2949834,-0.28729084,-0.3348988,-0.0075936196,-0.4134138,-0.032206632,-0.29100177,0.18612202,0.019823505,-0.20972355,-0.12508641,0.18173696,-0.93336284,-0.4317082,-0.39234617,-0.13415508,-0.29019144,-0.2226984,0.46075478,-0.39638203,-0.25763768,-0.970754,-0.47025388,2.3602428,-0.47632927,0.15224566,-0.51977205,-0.108143345,-0.55247605,-0.18355137,-0.09563378,0.5066927,-0.5374824,-1.0272527,-0.2819992,-0.22573256,-0.3427577,-0.16099717,-0.48395562,-0.29864442,-0.28449225,-0.31696543,-0.35928154,-1.0859889,-0.3441319,-0.2697288,-0.21688598,-0.73270726,-0.16473432,-0.30490544,9.544038,-0.8630651,0.62006927,-0.73003966,-0.7827393,-0.40426162,-0.26628277,19.838295,-0.2157582,-0.21529208,-0.1371974,-0.2305427,1
-0.17969838,-0.08720162,-0.45525414,-0.20128061,-0.1053454,-0.10974532,-0.42294428,-0.13369994,-0.27712643,0.31734,0.06308561,-0.13250025,-0.07234395,-0.09375395,-0.29308355,-0.3138599,-0.333519,-0.78484124,-0.21694036,-0.1489025,2.6635144,-0.09145954,-0.33156312,-0.3157222,-0.48128733,-0.236979,-0.28319538,-0.3404203,-0.06867951,-0.3396464,-0.20859727,-0.54905784,-0.16341889,-0.24351577,-0.43029752,-0.32771197,-0.20620267,-0.29191408,-0.58415437,-0.39766628,-0.078082785,-0.3588113,-0.3273616,-0.2028569,-0.3060584,0.37773946,-0.10919622,-0.20972355,-0.8880222,-0.11091096,-1.0092494,-0.9290122,-0.5669245,-0.20136273,0.09380079,-0.11044437,-0.62156886,-0.6198474,-0.25133625,-1.323104,-0.58358353,-0.1564109,-0.23952873,0.052191928,-0.03697734,0.039304398,-0.45245045,0.02718452,-0.27919388,-0.38464373,-0.36250314,-0.66664225,-0.39233685,-0.3221547,-0.09614992,-0.16099717,-0.21139573,-0.26606673,0.044430543,0.9298963,-0.23917393,-0.6236692,-0.23666526,-0.085578725,-0.62892807,-0.39064687,-0.09997062,-0.35851866,-0.14643842,-0.5896103,0.07638824,0.20921935,-0.46451625,0.2539414,-0.6263775,-0.26623067,-0.2157582,-0.21529208,-0.055339508,0.051551253,0
-0.29200658,-0.08720162,-0.02344199,-0.42164096,-0.1053454,-0.10974532,-0.28031236,-0.13369994,-0.3432501,-0.24320917,-0.075251706,-0.13250025,-0.07234395,-0.09375395,-0.20189038,0.095586665,-0.14230296,0.1185076,-0.08480112,-0.1489025,-0.08606776,-0.27039757,-0.3648553,-0.1585702,-0.5461516,-0.236979,-0.07879445,0.55497915,-0.06867951,-0.24844228,-0.4577368,-0.3953722,-0.3558964,-0.16349477,-0.4004957,-0.24829736,-0.33035803,-0.4579842,-0.09888837,-0.77329755,-0.43186328,-0.30582115,-0.48064336,-0.66036993,-0.20710513,-0.2294913,-0.23643543,-0.20972355,-0.028379072,-1.2285709,0.5937603,-0.6919197,-0.5390993,-0.2126008,-0.12155899,-0.12169902,-0.03581134,-0.008786143,-0.24507041,-0.38611126,-0.22436161,-0.1564109,-0.30556974,0.33976647,-0.24681959,-0.42536286,-0.38984963,0.071725115,-0.27517608,-0.38464373,-0.41058275,-0.75544685,-0.8894891,0.38448653,-0.09608039,-0.16099717,-0.4401235,-0.20706677,-0.64022046,-0.31696543,-0.35247433,-0.959446,-0.405372,-0.19461818,1.0597074,0.66444016,0.7121924,-0.23703855,-0.14643842,0.027712524,0.12624688,-0.16069865,-0.5905463,-1.2231578,-0.45205808,-0.0033715067,-0.2157582,-0.21529208,-0.49978247,0.042584747,0
-0.12508807,-0.08720162,-0.21392961,-0.12523481,-0.1053454,-0.10974532,-0.77106476,-0.13369994,-0.27437282,-0.39222795,-0.48682207,-0.13250025,-0.07234395,-0.09375395,-0.3150327,-0.1813049,-0.45584184,-0.4135475,-0.18793975,-0.1489025,-0.08606776,-0.10816834,-0.37810174,-0.24889456,0.46519563,-0.236979,-0.0068984423,-0.44886,-0.06867951,-0.61190957,-0.38270107,-0.65297306,-0.41031328,-0.476781,0.2725028,-0.17959459,-0.013435239,-0.3458404,-0.24191166,-0.6036509,5.650004,-0.1843051,10.054507,-0.114545524,-0.3148711,0.06559863,-0.10888363,-0.20972355,0.67831725,0.9119341,-0.4123148,0.48803866,2.2933555,-0.21443348,-0.48663443,6.5424514,-0.072894886,-0.17775714,-0.24181673,-0.0794803,-0.5759897,-0.1564109,-0.2841756,0.11249969,-0.41247788,-0.06396077,-0.33173263,-0.5922564,-0.2592857,-0.38464373,-0.5281125,-0.3346739,-0.046127107,0.6623878,-0.41535684,-0.16099717,-0.70115924,-0.12975459,-0.97606504,-0.31696543,-0.19420971,-1.2323399,-0.47221553,0.8416083,0.19865146,-1.0339996,-0.14146052,-0.4781232,-0.14643842,-0.542255,-0.29353178,0.71836984,-0.31104493,0.4962523,0.6439304,0.3760799,-0.2157582,-0.21529208,0.10327002,-0.058255248,0
-0.21174717,-0.08720162,-0.42612198,-0.16216893,-0.1053454,-0.10974532,0.098045334,-0.13369994,0.019193472,-0.6126069,-0.37276697,-0.13250025,-0.07234395,-0.09375395,-0.058388073,0.011654689,-0.74833053,-0.05542851,-0.056578893,-0.1489025,-0.08606776,-0.05757795,-0.2161776,-0.18137081,0.4394913,-0.236979,-0.21764384,0.042085912,-0.06867951,-0.6100765,-0.14644094,0.3949642,0.39996442,-0.41823152,1.532688,-0.3880481,-0.109269306,-0.07433188,0.039096016,0.85466564,-0.45918122,-0.26771,0.06226441,-0.72791964,-0.24999301,-0.07089673,-0.23378687,-0.20972355,0.07072115,-0.7617984,0.1948975,-0.19515951,0.6310119,-0.17150486,-0.56189233,-0.17607288,0.67983043,0.017150274,-0.25344294,0.12013544,-0.4270485,-0.1564109,-0.5615083,0.82446915,0.10680369,-0.63266313,-0.43925813,0.2896576,-0.11949414,-0.38464373,-0.6799201,-1.286217,0.1830235,0.5086469,-0.20745726,-0.16099717,1.2165501,0.18421063,-0.59260106,-0.31696543,-0.07129137,-0.1548609,-0.27398795,0.8652281,0.59054923,2.169309,0.4874728,-0.099551946,-0.14643842,0.4568226,0.1559285,-0.93068385,-0.21237452,-1.4024453,0.44927505,-0.021249246,-0.2157582,-0.21529208,-0.38731125,0.13305525,0
