rank,feature_id,modality
1,methylation_gene::GENE:ADAR,methylation_gene
2,rnaseq_gene::GENE:OR4K2,rnaseq_gene
3,rnaseq_gene::GENE:OR8B12,rnaseq_gene
4,rnaseq_gene::GENE:FLJ43859,rnaseq_gene
5,methylation_gene::GENE:SCRIB,methylation_gene
6,rnaseq_gene::GENE:PRAMEF16,rnaseq_gene
7,rnaseq_gene::GENE:KRTAP27-1,rnaseq_gene
8,methylation_gene::GENE:NDUFAF1,methylation_gene
9,methylation_gene::GENE:GABBR1,methylation_gene
10,rnaseq_gene::GENE:PRAMEF18,rnaseq_gene
11,methylation_gene::GENE:TYMP;ODF3B,methylation_gene
12,rnaseq_gene::GENE:OR5A1,rnaseq_gene
13,rnaseq_gene::GENE:OTUD6A,rnaseq_gene
14,methylation_gene::GENE:ENO2,methylation_gene
15,rnaseq_gene::GENE:PSG11,rnaseq_gene
16,methylation_gene::GENE:VEGFA,methylation_gene
17,methylation_gene::GENE:PIGC;C1ORF105,methylation_gene
18,methylation_gene::GENE:ZNF44,methylation_gene
19,methylation_gene::GENE:DDX11,methylation_gene
20,methylation_gene::GENE:NDUFB8,methylation_gene
21,rnaseq_gene::GENE:ONECUT3,rnaseq_gene
22,rnaseq_gene::GENE:OR4D9,rnaseq_gene
23,methylation_gene::GENE:CDK2AP2,methylation_gene
24,methylation_gene::GENE:AARS;EXOSC6,methylation_gene
25,methylation_gene::GENE:NACC1;TRMT1,methylation_gene
26,methylation_gene::GENE:PRDX6,methylation_gene
27,methylation_gene::GENE:NSMAF,methylation_gene
28,methylation_gene::GENE:C10ORF4,methylation_gene
29,methylation_gene::GENE:MEIS1,methylation_gene
30,methylation_gene::GENE:KTELC1,methylation_gene
31,methylation_gene::GENE:MCC,methylation_gene
32,methylation_gene::GENE:TM7SF2,methylation_gene
33,methylation_gene::GENE:GMFB,methylation_gene
34,methylation_gene::GENE:ZNF672,methylation_gene
35,rnaseq_gene::GENE:CSRP3,rnaseq_gene
36,methylation_gene::GENE:KIAA1328;C18ORF10,methylation_gene
37,methylation_gene::GENE:ASCC1;C10ORF104,methylation_gene
38,rnaseq_gene::GENE:OR10W1,rnaseq_gene
39,rnaseq_gene::GENE:PRAMEF22,rnaseq_gene
40,methylation_gene::GENE:FAM188A,methylation_gene
41,methylation_gene::GENE:RBP5;CLSTN3,methylation_gene
42,methylation_gene::GENE:GMCL1,methylation_gene
43,methylation_gene::GENE:CASKIN2;TSEN54,methylation_gene
44,cnv_log2::GENE:WDR44,cnv_log2
45,methylation_gene::GENE:UNC84B,methylation_gene
46,methylation_gene::GENE:SNX10,methylation_gene
47,methylation_gene::GENE:MSRB2,methylation_gene
48,methylation_gene::GENE:CEBPD,methylation_gene
49,rnaseq_gene::GENE:OR8D4,rnaseq_gene
50,methylation_gene::GENE:AMDHD2,methylation_gene
51,methylation_gene::GENE:KCNC1,methylation_gene
52,methylation_gene::GENE:C1ORF85,methylation_gene
53,rnaseq_gene::GENE:KBTBD5,rnaseq_gene
54,methylation_gene::GENE:ATP5S;L2HGDH,methylation_gene
55,methylation_gene::GENE:ERBB2;PGAP3,methylation_gene
56,methylation_gene::GENE:SLCO3A1,methylation_gene
57,rnaseq_gene::GENE:PRNT,rnaseq_gene
58,methylation_gene::GENE:PMS1;ORMDL1,methylation_gene
59,cnv_log2::GENE:PRKG1,cnv_log2
60,methylation_gene::GENE:ZNF747,methylation_gene
61,methylation_gene::GENE:BCAP29,methylation_gene
62,methylation_gene::GENE:CNOT10,methylation_gene
63,methylation_gene::GENE:LRRC20,methylation_gene
64,methylation_gene::GENE:LOC145783;TCF12,methylation_gene
65,rnaseq_gene::GENE:IFNK,rnaseq_gene
66,methylation_gene::GENE:ZNF414,methylation_gene
67,methylation_gene::GENE:FGF22,methylation_gene
68,methylation_gene::GENE:TRPS1,methylation_gene
69,methylation_gene::GENE:BTBD12,methylation_gene
70,rnaseq_gene::GENE:LYZL6,rnaseq_gene
71,methylation_gene::GENE:CTSC,methylation_gene
72,methylation_gene::GENE:NLK,methylation_gene
73,cnv_log2::GENE:MIR1277,cnv_log2
74,methylation_gene::GENE:MTFR1,methylation_gene
75,cnv_log2::GENE:GDPGP1,cnv_log2
76,cnv_log2::GENE:CIB1,cnv_log2
77,methylation_gene::GENE:PREB,methylation_gene
78,methylation_gene::GENE:BTG2,methylation_gene
79,methylation_gene::GENE:PRKG1;CSTF2T,methylation_gene
80,cnv_log2::GENE:SEMA4B,cnv_log2
81,methylation_gene::GENE:TMBIM6,methylation_gene
82,rnaseq_gene::GENE:LCE3D,rnaseq_gene
83,methylation_gene::GENE:C7ORF63,methylation_gene
84,cnv_log2::GENE:ZNF710,cnv_log2
85,methylation_gene::GENE:TUFT1,methylation_gene
86,methylation_gene::GENE:DDX21,methylation_gene
87,methylation_gene::GENE:ST3GAL1,methylation_gene
88,methylation_gene::GENE:ZER1,methylation_gene
89,methylation_gene::GENE:IPPK,methylation_gene
90,methylation_gene::GENE:LRRFIP1,methylation_gene
91,methylation_gene::GENE:ZNF596;RPL23AP53,methylation_gene
92,methylation_gene::GENE:ZBTB20,methylation_gene
93,methylation_gene::GENE:LIN7B,methylation_gene
94,cnv_log2::GENE:IDH2,cnv_log2
95,methylation_gene::GENE:ZNHIT2,methylation_gene
96,methylation_gene::GENE:CXXC1;MBD1,methylation_gene
97,rnaseq_gene::GENE:DKFZP434L192,rnaseq_gene
98,methylation_gene::GENE:CSTF2T;PRKG1,methylation_gene
99,cnv_log2::GENE:UNC13C,cnv_log2
100,methylation_gene::GENE:MERTK,methylation_gene
