rnaseq_gene__GENE_OR8H1,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_LOC646813,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_FGF6,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_TECRL,rnaseq_gene__GENE_DEFB136,methylation_gene__GENE_GPI,methylation_gene__GENE_LASS5,methylation_gene__GENE_PNN,methylation_gene__GENE_NT5C3L,rnaseq_gene__GENE_SCARNA23,methylation_gene__GENE_PIGP;TTC3,methylation_gene__GENE_C19ORF24,rnaseq_gene__GENE_C21ORF54,methylation_gene__GENE_VEGFA,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_CSPG4P2Y,methylation_gene__GENE_FRY,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_LRRC30,methylation_gene__GENE_EXT1,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_MYL1,methylation_gene__GENE_CASP6,methylation_gene__GENE_ZNF721;PIGG,rnaseq_gene__GENE_LCN9,methylation_gene__GENE_ZNF619,rnaseq_gene__GENE_OR4A15,methylation_gene__GENE_YJU2B,rnaseq_gene__GENE_C20ORF166,rnaseq_gene__GENE_VN1R4,methylation_gene__GENE_CNP,rnaseq_gene__GENE_C8ORF22,rnaseq_gene__GENE_AMBN,methylation_gene__GENE_NACC1;TRMT1,rnaseq_gene__GENE_OR51A7,methylation_gene__GENE_NDE1;KIAA0430,methylation_gene__GENE_RSPH3,rnaseq_gene__GENE_SPACA1,rnaseq_gene__GENE_OR2T27,methylation_gene__GENE_ADAR,rnaseq_gene__GENE_OR5AC2,methylation_gene__GENE_BID,methylation_gene__GENE_CDK5RAP1,methylation_gene__GENE_LRRC20,methylation_gene__GENE_PPP2R5D,rnaseq_gene__GENE_MLN,methylation_gene__GENE_CCNG1,methylation_gene__GENE_B2M,methylation_gene__GENE_KTELC1,rnaseq_gene__GENE_SSX3,rnaseq_gene__GENE_MS4A5,methylation_gene__GENE_SETD3;CCNK,methylation_gene__GENE_SLC22A17,rnaseq_gene__GENE_SPANXE,methylation_gene__GENE_PRELID1;RAB24,methylation_gene__GENE_H3F3B,methylation_gene__GENE_PLEKHB2,rnaseq_gene__GENE_SLC6A5,cnv_log2__GENE_RLIM,rnaseq_gene__GENE_CRYGA,rnaseq_gene__GENE_CST8,methylation_gene__GENE_PSMG1,rnaseq_gene__GENE_SNORA69,methylation_gene__GENE_PRCP,methylation_gene__GENE_MAP3K9,rnaseq_gene__GENE_OR2W5,rnaseq_gene__GENE_FSHB,methylation_gene__GENE_GMCL1,rnaseq_gene__GENE_AADACL3,rnaseq_gene__GENE_OR10AG1,methylation_gene__GENE_SYPL1,methylation_gene__GENE_COX6A1,rnaseq_gene__GENE_KRTAP19-3,rnaseq_gene__GENE_DAZ1,methylation_gene__GENE_NDUFB8,cnv_log2__GENE_SLC16A2,methylation_gene__GENE_GSR,methylation_gene__GENE_OSBPL6,rnaseq_gene__GENE_TMEM207,methylation_gene__GENE_ENTPD6,methylation_gene__GENE_ASAH1,methylation_gene__GENE_HIST1H1T,methylation_gene__GENE_CAMK2D,methylation_gene__GENE_NSUN5,methylation_gene__GENE_INPP5A,methylation_gene__GENE_ZMAT2,rnaseq_gene__GENE_FAM99A,methylation_gene__GENE_TOR1A,methylation_gene__GENE_SPPL3,methylation_gene__GENE_TMEM63A,methylation_gene__GENE_EXOSC6,methylation_gene__GENE_ATP5S;L2HGDH,methylation_gene__GENE_ABAT,rnaseq_gene__GENE_MAGEB3,methylation_gene__GENE_USP14,methylation_gene__GENE_ACTR1A;SUFU,methylation_gene__GENE_SPATA13,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.057666454,0.59649277,-0.07355285,-0.035875507,-0.08795058,0.49858165,-0.11196494,-0.051518552,0.20043744,0.93290526,0.92409426,-0.09491056,-0.078748696,0.043400798,-0.013400931,-0.0679732,-0.04435848,-0.41032338,-0.030400893,0.25627154,-0.04756436,-0.05803116,0.2724021,-0.13785753,-0.15378062,0.43147662,0.42173645,-0.059162382,-0.093438834,-0.042500064,0.42896795,-0.11526267,-0.054831173,0.8835326,-0.21443304,-0.21529208,1.1414319,-0.06867951,0.13529193,1.8004966,-0.10053951,-0.050521668,0.32660446,-0.08507758,0.27185285,0.22245051,0.4131752,0.72174776,-0.11664121,0.28553733,-0.019082772,0.63478726,-0.17225634,7.0507174,0.44645026,1.6284221,-0.17491919,-0.10503849,0.14863198,0.32340014,-0.067629814,-1.9697239,-0.07638114,-0.15146537,0.5826708,-0.08561648,1.9994855,0.57670254,2.0266945,-0.16675237,1.1340773,-0.31696543,-0.07527141,0.61588115,0.8926659,-0.124685876,-0.08408102,0.25923067,-1.9755679,1.2453247,0.024985047,-0.11980957,0.28123093,0.3274703,0.11865291,-0.119791076,0.35242248,0.49606085,0.1311717,-0.069542356,0.20680577,1.3128549,0.7897198,-0.5867459,0.9158221,-0.22823371,-0.19023986,1.3675417,0.87651545,0.19387342,0
-0.057666454,0.7476855,-0.07355285,-0.035875507,-0.08795058,0.54176915,-0.11196494,-0.051518552,0.18294889,0.07087298,0.36188236,-0.07991607,-0.078748696,0.49041125,0.18405713,-0.0679732,-0.05125228,0.15346035,-0.030400893,0.6557903,-0.04756436,-0.05803116,0.047453728,0.23064291,-0.15378062,0.37512636,0.30067533,-0.059162382,0.30465758,-0.042500064,0.4818272,-0.11526267,-0.054831173,0.29769805,-0.21443304,-0.21529208,0.19510004,-0.06867951,-0.059406396,0.28290993,5.9350004,-0.050521668,0.43491757,-0.08507758,0.77753603,0.7981819,-0.1851329,0.30446488,-0.11664121,0.055059817,0.17234565,-0.37059265,5.2497807,-0.069158584,0.5108831,-0.12951767,-0.17491919,-0.18580998,0.5484039,0.077585824,-0.067629814,-2.3537295,-0.07638114,-0.15146537,-0.023446083,-0.08561648,0.6001338,0.2569746,-0.14741206,-0.16675237,0.34237644,-0.31696543,-0.07527141,-0.07018332,0.0444566,-0.124685876,-0.08408102,-0.21409152,-2.3591254,0.022611057,0.29696387,-0.11980957,0.3547302,-0.029027075,-0.8040584,-0.21747942,0.66948795,0.11595906,0.14182746,-0.069542356,-0.4428512,0.8718918,0.36841294,-0.3940721,0.05212484,0.047139253,-0.19023986,1.3568002,0.19357608,0.36854723,0
-0.057666454,-0.032206632,-0.07355285,-0.035875507,-0.08795058,0.48221505,-0.11196494,-0.051518552,-0.16173632,-0.45911855,0.05508806,-0.22693717,-0.078748696,-0.5374824,0.07216099,29.66682,-0.0075936196,-0.6014492,-0.030400893,-0.41832557,-0.04756436,-0.05803116,-0.22995704,-0.5697412,-0.15378062,0.38779214,-0.30156872,-0.059162382,-0.055531196,-0.042500064,-0.36832228,-0.11526267,-0.054831173,-0.27653405,3.3899407,-0.21529208,-0.39243972,-0.06867951,0.24955367,0.363912,-0.10053951,-0.050521668,-0.14713787,-0.08507758,-0.80404365,-0.62134945,-0.39638203,-0.0068120486,-0.11664121,-0.018124282,-0.3136486,-0.18614367,-0.17225634,-0.069158584,-1.0859889,-0.3441319,-0.17491919,0.65924454,-0.001658821,-0.39523393,-0.067629814,-0.56862223,-0.07638114,-0.15146537,-0.2941289,-0.08561648,0.026278762,-0.30798945,-0.14741206,-0.16675237,-0.47632927,-0.31696543,7.955814,-0.4134138,-0.7486864,-0.124685876,-0.08408102,-0.9147745,-0.57610154,-0.31557566,-0.12225317,-0.11980957,-0.26187956,0.66419744,-0.6027191,-0.24007276,-0.30510747,0.067759275,1.0375481,-0.069542356,-0.27537215,-0.37579632,-0.20868698,-0.46703994,-0.970754,-0.48037246,-0.19023986,-1.1155547,-0.34465763,-0.7209185,1
-0.057666454,-0.66036993,-0.07355285,-0.035875507,11.442419,-0.0707264,-0.11196494,-0.051518552,-0.07527803,-0.23693548,-0.41923362,-0.2829578,-0.078748696,-0.41058275,-0.29268792,-0.0679732,-0.30582115,-0.02344199,-0.030400893,-0.31920248,-0.04756436,-0.05803116,-0.3300132,-0.4579842,-0.15378062,-0.3334045,-0.1900458,-0.059162382,-0.08480112,-0.042500064,-0.6229121,-0.11526267,-0.054831173,-0.6323357,-0.21443304,-0.21529208,-0.54242903,-0.06867951,-0.95206517,-0.27988753,-0.10053951,-0.050521668,-0.3432501,-0.08507758,-0.4669323,0.03172992,-0.008786143,-0.1448726,-0.11664121,-0.10858247,0.10679096,-0.2995729,-0.17225634,-0.069158584,-0.959446,-0.405372,-0.17491919,-0.51106477,-0.16216761,-0.10229225,-0.067629814,0.3135529,-0.07638114,-0.15146537,-0.28600797,-0.08561648,-0.295507,-0.3648553,-0.14741206,-0.16675237,-0.30556974,-0.31696543,-0.07527141,-0.48064336,0.26521647,-0.124685876,-0.08408102,-0.3877489,0.30504394,-0.18268798,-0.17863783,-0.11980957,-0.55395526,-0.059737857,0.083639614,-0.27908722,-0.3817342,-0.4123206,-0.23046127,-0.069542356,0.52635306,-0.20255733,-0.7227831,0.016083367,-0.38611126,-0.60718554,-0.19023986,-1.1597393,0.06372066,-0.07342295,0
-0.057666454,-0.26756728,-0.07355285,-0.035875507,-0.08795058,10.229894,-0.11196494,-0.051518552,0.1791918,-0.29469705,-0.15706192,6.2047453,-0.078748696,-0.011934135,0.16804264,-0.0679732,0.92865384,0.58261806,-0.030400893,16.977419,-0.04756436,-0.05803116,0.28250474,-0.022669125,-0.15378062,-0.11403511,0.0036797028,-0.059162382,-0.05531286,-0.042500064,-0.272925,-0.11526267,-0.054831173,0.21447335,-0.21443304,-0.21529208,-0.24454752,-0.06867951,-0.27538082,-0.3715321,-0.10053951,-0.050521668,0.30032864,-0.08507758,-0.20814203,0.1880384,0.035564743,0.37450778,-0.11664121,-0.2724393,-0.008716016,-0.15528233,-0.17225634,-0.069158584,1.0621966,0.038891412,-0.17491919,-0.2571436,-0.5285604,-0.0037010647,-0.067629814,0.25647095,-0.07638114,-0.15146537,-0.15903524,-0.08561648,-1.0373367,0.039493494,-0.14741206,-0.16675237,-0.003098298,-0.31696543,-0.07527141,-0.14935572,0.9643626,-0.124685876,-0.08408102,-0.19974081,0.24802865,0.19493385,0.2558799,-0.11980957,0.034216244,-0.4016427,-0.542916,-0.29058424,-0.119938105,-0.43368965,-0.5135014,-0.069542356,-0.60017574,-0.1976218,0.44364023,-0.21025464,4.849765e-05,6.6726837,-0.19023986,1.3398998,-0.036150683,0.49996182,0
-0.057666454,-0.24715324,2.4205613,-0.035875507,-0.08795058,-0.09964505,-0.11196494,-0.051518552,0.24034937,-0.23685376,-0.05979455,-0.15870336,-0.078748696,0.014584921,0.02432365,-0.0679732,-0.3656297,-0.0016824864,-0.030400893,-0.28886914,-0.04756436,-0.05803116,-0.15253839,0.052516337,-0.15378062,-0.4885019,-0.04696987,-0.059162382,-0.1536663,-0.042500064,0.09525665,-0.11526267,-0.054831173,0.34685025,7.6000004,0.96102065,-0.09760316,-0.06867951,-0.2126288,-0.39712322,-0.10053951,-0.050521668,-0.17345196,-0.08507758,-0.33822197,-0.26049864,-0.012360114,-0.42243168,-0.11664121,-0.18038625,-0.1965761,-0.18377839,-0.17225634,-0.069158584,0.34056538,0.2400079,-0.17491919,-0.05373481,-0.40311337,-0.24028945,-0.067629814,2.4930441,-0.07638114,-0.15146537,-0.0065154345,-0.08561648,-0.9243635,0.04559499,-0.14741206,-0.16675237,-0.10176468,-0.31696543,-0.07527141,-0.32727182,1.5777392,-0.124685876,-0.08408102,-0.38731402,2.4819915,-0.14922771,-0.048739262,-0.11980957,0.034229375,-0.25723177,0.34990153,-0.35470167,-0.07183568,-0.14021826,-0.47811195,-0.069542356,-0.60558116,-0.3456329,16.186491,-0.39142132,-0.019060967,0.22997905,-0.19023986,1.6713597,0.020650739,-0.37966824,0
-0.057666454,0.15347788,-0.07355285,-0.035875507,-0.08795058,0.4566232,-0.11196494,-0.051518552,0.06073366,-0.0912711,-0.14915372,-0.100502044,-0.078748696,0.37477794,0.47878084,-0.0679732,1.8418019,0.5055419,-0.030400893,-0.091064334,-0.04756436,-0.05803116,-0.093570836,0.03748442,-0.15378062,0.04140262,0.2391726,-0.059162382,0.09297218,-0.042500064,0.10437643,-0.11526267,-0.054831173,0.10937657,-0.21443304,2.6728935,-0.21437827,-0.06867951,-0.15298854,-0.06818555,-0.10053951,-0.050521668,-0.19554667,-0.08507758,-0.12849128,-0.04568205,0.12295465,1.1453167,-0.11664121,-0.0058720307,0.5825816,0.07971462,-0.17225634,-0.069158584,0.86425215,0.034532215,8.846061,3.8388696,0.73784614,0.5125053,-0.067629814,0.09560374,-0.07638114,-0.15146537,-0.20721896,-0.08561648,0.23651776,0.639818,-0.14741206,-0.16675237,0.29620782,-0.31696543,-0.07527141,0.12568556,0.93161917,-0.124685876,-0.08408102,1.616254,0.08734918,-0.016417982,0.2127286,-0.11980957,0.3172136,0.42293563,-0.9854959,0.16307996,-0.055667236,0.34949854,0.6661665,-0.069542356,2.3425019,-0.21832639,0.11852248,2.1126823,0.40849096,0.62985533,-0.19023986,0.23740217,0.9363885,0.5783755,0
-0.057666454,0.2807133,-0.07355285,-0.035875507,-0.08795058,-0.006336753,-0.11196494,-0.051518552,0.10668483,-0.005380332,0.09272659,-0.12731563,-0.078748696,-0.11547741,-0.011554832,-0.0679732,-0.17836002,-0.30329698,-0.030400893,-0.02198543,-0.04756436,-0.05803116,0.12289606,-0.23372367,-0.15378062,-0.3214761,-0.17115928,-0.059162382,-0.20231354,-0.042500064,-0.030735927,-0.11526267,-0.054831173,-0.2830614,-0.21443304,-0.21529208,0.36027178,-0.06867951,-0.23670651,-0.32062066,-0.10053951,-0.050521668,0.12381957,-0.08507758,-0.40225932,-0.4540141,-0.22907917,-0.3093328,-0.11664121,-0.17832027,-0.18169767,0.06421481,-0.17225634,-0.069158584,0.0078040515,-0.14241439,-0.17491919,-0.14327385,-0.5113096,-0.1458253,-0.067629814,-0.02374936,-0.07638114,-0.15146537,0.40960583,-0.08561648,0.14254545,-0.19231333,2.3434784,-0.16675237,-0.28660023,0.53681755,-0.07527141,-0.10067958,-0.10411849,-0.124685876,-0.08408102,-0.43192634,-0.03186462,0.25592124,-0.062082857,-0.11980957,-0.16906242,-0.21521895,0.46464315,-0.3275666,-0.025430227,-0.22595002,-0.35088596,-0.069542356,-0.61302066,-0.13415512,0.02000667,-0.18133037,-0.45004946,-0.3824056,1.1136487,0.6135162,-0.14683536,-0.2434841,0
-0.057666454,-0.8805329,-0.07355285,-0.035875507,-0.08795058,-0.23226331,-0.11196494,-0.051518552,-0.3852079,-0.5106273,-0.48219112,-0.25556234,-0.078748696,-0.50137776,-0.3350704,-0.0679732,-0.4224554,0.17565227,-0.030400893,-0.42714083,-0.04756436,-0.05803116,-0.3694716,0.12205048,-0.15378062,-0.45180196,-0.23807757,-0.059162382,-0.1663969,-0.042500064,-0.6309136,-0.11526267,-0.054831173,-0.4233401,-0.21443304,-0.21529208,4.415684,-0.06867951,-0.40845042,-0.3862068,-0.10053951,-0.050521668,-0.22805837,-0.08507758,-0.096975856,-0.9716124,-0.37438908,-0.89842886,-0.11664121,0.02635211,-0.48867714,-0.26223677,-0.17225634,-0.069158584,-1.1274964,2.0477738,-0.17491919,2.008046,-0.24403438,-0.32771432,-0.067629814,-0.2416985,-0.07638114,-0.15146537,-0.43103057,-0.08561648,-0.79701954,-0.21860923,-0.14741206,-0.16675237,-0.64196527,-0.31696543,-0.07527141,-0.52993363,-0.5483917,-0.124685876,-0.08408102,-0.21327667,-0.24955939,-0.96622086,-0.15361354,-0.11980957,-0.63385886,-0.4526571,0.16648285,2.1221137,-0.33091405,-0.5185433,-0.21101305,-0.069542356,1.0485597,-0.27727637,-0.44448194,0.3381033,0.2170256,4.2853746,-0.19023986,-1.919306,-0.13434416,-0.09447816,0
