rnaseq_gene__GENE_LOC646813,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_VN1R4,rnaseq_gene__GENE_OR10J1,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_TECRL,rnaseq_gene__GENE_RBMY3AP,rnaseq_gene__GENE_DEFB118,rnaseq_gene__GENE_RBMY1A1,rnaseq_gene__GENE_RBMY1J,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_LRRC30,rnaseq_gene__GENE_RBMY2FP,rnaseq_gene__GENE_FGF6,rnaseq_gene__GENE_CSPG4P2Y,rnaseq_gene__GENE_RBMY1A3P,rnaseq_gene__GENE_OR51A7,rnaseq_gene__GENE_RBMY1E,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_PSG11,rnaseq_gene__GENE_SCARNA23,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_MS4A5,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_OR8B12,methylation_gene__GENE_GPI,rnaseq_gene__GENE_ADAD1,rnaseq_gene__GENE_KRTAP10-9,rnaseq_gene__GENE_OR10AG1,methylation_gene__GENE_RPUSD2,rnaseq_gene__GENE_IFNA16,methylation_gene__GENE_ENO2,rnaseq_gene__GENE_SCARNA8,rnaseq_gene__GENE_GPHB5,methylation_gene__GENE_SKIL,rnaseq_gene__GENE_LINC01020,methylation_gene__GENE_VEGFA,methylation_gene__GENE_ZNF596;RPL23AP53,rnaseq_gene__GENE_KRTAP19-3,rnaseq_gene__GENE_TSPY2,rnaseq_gene__GENE_OR4K14,methylation_gene__GENE_C18ORF19;RNMT,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_OR51F1,rnaseq_gene__GENE_OR5A1,methylation_gene__GENE_SCRIB,methylation_gene__GENE_PRDX6,rnaseq_gene__GENE_OR5B3,rnaseq_gene__GENE_SCARNA11,methylation_gene__GENE_PRELID1;RAB24,rnaseq_gene__GENE_OR4C13,rnaseq_gene__GENE_GSC2,rnaseq_gene__GENE_DEFB107A,rnaseq_gene__GENE_OR5W2,methylation_gene__GENE_DCUN1D4,methylation_gene__GENE_CCR4,methylation_gene__GENE_SORBS1,rnaseq_gene__GENE_LCN9,methylation_gene__GENE_OBFC2B,rnaseq_gene__GENE_RBMY1F,rnaseq_gene__GENE_ONECUT3,rnaseq_gene__GENE_SNORA36A,rnaseq_gene__GENE_OR2W5,methylation_gene__GENE_ZNF33B,rnaseq_gene__GENE_TMEM174,rnaseq_gene__GENE_CYLC2,methylation_gene__GENE_CNOT10,rnaseq_gene__GENE_OR5A2,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_SNORA69,rnaseq_gene__GENE_SULT6B1,cnv_log2__GENE_RLIM,methylation_gene__GENE_DGUOK,rnaseq_gene__GENE_IFNA14,rnaseq_gene__GENE_REXO1L6P,rnaseq_gene__GENE_OR5H14,rnaseq_gene__GENE_RAG2,rnaseq_gene__GENE_KRTAP10-7,rnaseq_gene__GENE_FAM99B,rnaseq_gene__GENE_OR8I2,rnaseq_gene__GENE_GALNTL5,methylation_gene__GENE_LRP2BP,rnaseq_gene__GENE_OR9I1,cnv_log2__GENE_SLC16A2,methylation_gene__GENE_MERTK,rnaseq_gene__GENE_DEFB132,cnv_log2__GENE_MIR1296,methylation_gene__GENE_NACC1;TRMT1,rnaseq_gene__GENE_SSX3,rnaseq_gene__GENE_OR14A16,methylation_gene__GENE_UNC84B,rnaseq_gene__GENE_DAZ1,methylation_gene__GENE_TYMP;ODF3B,rnaseq_gene__GENE_HTR3B,cnv_log2__GENE_JMJD1C-AS1,rnaseq_gene__GENE_DEFB115,methylation_gene__GENE_ATP5E,methylation_gene__GENE_H3F3B,rnaseq_gene__GENE_POTEB,rnaseq_gene__GENE_GDEP,target
-0.07355285,0.7476855,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,0.18294889,-0.175216,-0.05562216,-0.07527141,0.54176915,-0.12434906,-0.32059684,-0.16951889,-0.06327252,0.4385283,-0.1724362,-0.05125228,-0.15192229,-0.124685876,-0.061702468,-0.082632184,-0.3995505,-0.04756436,-0.072152846,4.4264455,0.15346035,0.23064291,-0.06940588,-0.10826717,-0.18580998,-0.10578322,-0.05877857,-0.06594675,-0.042821996,0.63045555,0.33000132,-0.035036173,-0.059162382,0.47386664,-0.030400896,-0.071920976,-0.14079627,-0.14741206,0.14871067,19.207535,-0.09762449,0.5404921,-0.07316671,0.7617472,-0.08561648,-0.1383598,-2.3537295,-0.63236576,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,-0.24544275,-0.084201984,-2.3591254,-0.09209603,-1.2656302,-1.2860538,0.19510004,5.2497807,-0.21128248,-0.41376457,-0.08408102,-0.14113313,-0.20727761,-1.2358845,-0.08156231,0.83914995,0.5484039,6.496999,-0.21880457,0
-0.07355285,-0.032206632,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,29.66682,-0.13939492,-0.16173632,-0.175216,-0.05562216,7.955814,0.48221505,-0.12434906,-0.6882903,-0.16951889,-0.06327252,-0.28729084,-0.1724362,-0.0075936196,0.23902906,-0.124685876,-0.061702468,-0.082632184,0.5846303,-0.04756436,-0.072152846,-0.09926551,-0.6014492,-0.5697412,6.499733,-0.10826717,0.65924454,-0.10578322,19.78605,-0.06594675,-0.042821996,-0.22629943,0.62006927,-0.4062858,-0.059162382,0.26173994,-0.030400896,-0.071920976,-0.14079627,-0.14741206,-0.34003553,-0.16161753,-0.09762449,0.28992623,-0.07316671,-0.057804774,-0.08561648,-0.1383598,-0.56862223,-0.4006596,-0.18716085,-0.058409594,-0.04067079,-0.18899952,4.6327925,-0.042923182,-0.051938124,15.865079,-0.16473432,-0.084201984,-0.57610154,-0.1836177,-1.2656302,-1.3057536,-0.39243972,-0.17225634,10.270287,-0.8629122,-0.08408102,-0.04141815,-0.20727761,-1.2546988,-0.08156231,-0.9388874,-0.001658821,-0.37672034,-0.21880457,1
-0.07355285,-0.66036993,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,11.442419,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,-0.07527803,-0.175216,-0.05562216,-0.07527141,-0.0707264,-0.12434906,-0.28991085,-0.16951889,-0.06327252,-0.77329755,-0.1724362,-0.30582115,-0.0067735068,-0.124685876,-0.061702468,-0.082632184,-0.47360888,-0.04756436,-0.072152846,-0.09926551,-0.02344199,-0.4579842,-0.06940588,-0.10826717,-0.51106477,-0.10578322,-0.05877857,-0.06594675,-0.042821996,-0.2035684,0.12624688,-0.52044886,-0.059162382,-0.3953722,-0.030400896,-0.071920976,-0.14079627,-0.14741206,-0.20189038,-0.16161753,-0.09762449,-0.24320917,-0.07316671,-0.5461516,-0.08561648,-0.1383598,0.3135529,0.37705538,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,0.7121924,-0.084201984,0.30504394,-0.26941624,0.39582017,0.03946005,-0.54242903,-0.17225634,-0.21128248,-1.1152893,-0.08408102,-0.42164096,-0.20727761,0.030042432,-0.08156231,0.03550064,-0.16216761,-0.37672034,-0.21880457,0
-0.07355285,-0.114545524,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,-0.09081804,-0.175216,-0.05562216,-0.07527141,-0.029444681,-0.12434906,-0.41722843,-0.16951889,-0.06327252,-0.6036509,-0.1724362,-0.1843051,-0.3447013,-0.124685876,-0.061702468,-0.082632184,-1.6939074,-0.04756436,-0.072152846,-0.09926551,-0.21392961,-0.3458404,-0.06940588,-0.10826717,-0.24517123,-0.10578322,-0.05877857,-0.06594675,-0.042821996,-0.23640743,-0.29353178,-0.667513,-0.059162382,-0.65297306,-0.030400896,-0.071920976,-0.14079627,-0.14741206,-0.3150327,-0.16161753,-0.09762449,-0.39222795,-0.07316671,0.46519563,-0.08561648,-0.1383598,-0.5997578,0.35791117,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,-0.14146052,-0.084201984,-0.6072008,-0.17721425,0.5510001,0.07885961,-0.17031978,-0.17225634,-0.21128248,-0.1900007,-0.08408102,-0.12523481,-0.20727761,0.06767084,-0.08156231,-1.0186439,-0.12327371,-0.37672034,-0.21880457,0
2.4205613,-0.24715324,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,0.24034937,-0.175216,-0.05562216,-0.07527141,-0.09964505,-0.12434906,-0.0915964,-0.16951889,-0.06327252,-0.5455208,-0.1724362,-0.3656297,-0.10377448,-0.124685876,-0.061702468,-0.082632184,0.0033143,-0.04756436,-0.072152846,-0.09926551,-0.0016824864,0.052516337,-0.06940588,-0.10826717,-0.05373481,-0.10578322,-0.05877857,-0.06594675,-0.042821996,-0.23678796,-0.08890364,0.31953079,-0.059162382,0.24947543,-0.030400896,-0.071920976,-0.14079627,-0.14741206,-0.034732528,-0.16161753,-0.09762449,-0.5593076,-0.07316671,0.09360264,-0.08561648,5.512666,2.4930441,-1.193131,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,0.5760963,-0.084201984,2.4819915,-0.16977954,-1.2656302,-1.266354,-0.09760316,-0.17225634,-0.21128248,0.26779065,-0.08408102,-0.16323148,-0.20727761,-1.2170703,-0.08156231,0.20578021,-0.40311337,-0.37672034,-0.21880457,0
-0.07355285,-0.72791964,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,-0.39433774,-0.175216,-0.05562216,-0.07527141,0.02774375,-0.12434906,-0.7740745,-0.16951889,-0.06327252,0.85466564,4.248955,-0.26771,-0.00013214204,-0.124685876,-0.061702468,-0.082632184,0.188089,-0.04756436,-0.072152846,-0.09926551,-0.42612198,-0.07433188,-0.06940588,-0.10826717,0.62937516,-0.10578322,-0.05877857,-0.06594675,-0.042821996,0.041524988,0.1559285,-0.4240292,-0.059162382,0.3949642,-0.030400896,-0.071920976,-0.14079627,-0.14741206,-0.058388073,-0.16161753,-0.09762449,-0.6126069,-0.07316671,0.4394913,-0.08561648,-0.1383598,-1.3937155,-2.6807249,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,0.4874728,-0.084201984,-1.4002318,-0.270966,-1.2656302,4.204557,-0.45751405,-0.17225634,-0.21128248,0.56129915,-0.08408102,-0.16216893,-0.20727761,4.007902,-0.08156231,-0.3102957,-0.13661855,-0.37672034,-0.21880457,0
-0.07355285,0.2807133,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,0.10668483,-0.175216,-0.05562216,-0.07527141,-0.006336753,-0.12434906,-0.14172249,-0.16951889,-0.06327252,0.3873884,-0.1724362,-0.17836002,-0.26215294,-0.124685876,-0.061702468,-0.082632184,2.1313226,-0.04756436,-0.072152846,-0.09926551,-0.30329698,-0.23372367,-0.06940588,-0.10826717,-0.14327385,-0.10578322,-0.05877857,-0.06594675,-0.042821996,-0.15942761,-0.45947966,0.5869054,-0.059162382,-0.25047988,-0.030400896,-0.071920976,-0.14079627,2.3434784,-0.16840427,-0.16161753,-0.09762449,0.08591692,-0.07316671,0.1191499,-0.08561648,-0.1383598,-0.02374936,0.38272366,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,-0.07709879,-0.084201984,-0.03186462,-0.102784805,0.44453427,0.02538878,0.36027178,-0.17225634,-0.21128248,-0.37266234,-0.08408102,-0.33878514,-0.20727761,0.016603716,-0.08156231,-0.016476745,-0.5113096,-0.37672034,-0.21880457,0
-0.07355285,-0.8805329,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,-0.3852079,-0.175216,-0.05562216,-0.07527141,-0.23226331,-0.12434906,7.1797347,-0.16951889,-0.06327252,-1.0589294,-0.1724362,-0.4224554,0.16587727,-0.124685876,-0.061702468,-0.082632184,-1.3096874,-0.04756436,-0.072152846,-0.09926551,0.17565227,0.12205048,-0.06940588,-0.10826717,2.008046,-0.10578322,-0.05877857,-0.06594675,-0.042821996,-0.14184256,0.40870908,-0.44447336,-0.059162382,-0.5837791,-0.030400896,-0.071920976,4.0752845,-0.14741206,-0.22532411,-0.16161753,-0.09762449,-0.15237454,-0.07316671,-0.71577716,-0.08561648,-0.1383598,-0.2416985,-0.5271776,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,0.6907735,-0.084201984,-0.24955939,-0.25221545,1.1851985,9.326499,4.415684,-0.17225634,-0.21128248,1.5819958,-0.08408102,-0.6482932,-0.20727761,8.899594,-0.08156231,-0.9225697,-0.24403438,-0.37672034,3.6102552,0
-0.07355285,-0.2745591,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,4.4684606,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,0.19646877,-0.175216,-0.05562216,-0.07527141,0.020923164,-0.12434906,0.14294401,-0.16951889,-0.06327252,-0.359619,-0.1724362,0.07154202,19.522757,-0.124685876,-0.061702468,-0.082632184,0.19091703,-0.04756436,-0.072152846,-0.09926551,0.49732104,-0.04518739,-0.06940588,-0.10826717,0.84630877,-0.10578322,-0.05877857,-0.06594675,-0.042821996,0.024911541,0.050085153,0.37145784,-0.059162382,0.37442306,-0.030400896,-0.071920976,-0.14079627,-0.14741206,-0.062103976,-0.16161753,-0.09762449,-0.52218586,-0.07316671,0.036176722,-0.08561648,-0.1383598,1.5122731,0.8847392,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,0.55644506,-0.084201984,1.5023651,-0.16745444,-1.2656302,0.92595017,-0.5251848,-0.17225634,-0.21128248,0.09449424,-0.08408102,-0.15689152,-0.20727761,0.8766815,-0.08156231,0.4562749,-0.5436288,-0.37672034,-0.21880457,1
-0.07355285,-0.40429112,-0.054831173,-0.07421895,-0.057666454,-0.11196494,-0.030400895,-0.13369994,-0.044386145,-0.04061949,-0.14370757,-0.05803116,-0.039873518,-0.08795058,-0.030400893,-0.030400895,-0.06867951,-0.030400895,-0.09654722,-0.08720162,-0.078748696,-0.035875507,-0.069158584,-0.0679732,-0.13939492,0.11527684,-0.175216,-0.05562216,-0.07527141,-0.3220667,-0.12434906,-0.27726114,-0.16951889,-0.06327252,-0.107541315,-0.1724362,0.07120265,-0.16705619,-0.124685876,-0.061702468,-0.082632184,0.09875432,-0.04756436,-0.072152846,-0.09926551,0.52590865,0.23483099,-0.06940588,-0.10826717,-0.46195152,-0.10578322,-0.05877857,-0.06594675,-0.042821996,-0.03734598,0.2620425,0.12004117,-0.059162382,0.7480078,-0.030400896,-0.071920976,-0.14079627,-0.14741206,-0.07432212,-0.16161753,-0.09762449,-0.25149068,-0.07316671,-0.3320806,-0.08561648,-0.1383598,0.13711786,-0.018361848,-0.18716085,-0.058409594,-0.04067079,-0.18899952,-0.118806034,-0.042923182,-0.051938124,-0.11692425,0.6556731,-0.084201984,0.12881485,-0.16152656,-0.12577116,0.033831544,-0.44624782,-0.17225634,-0.21128248,0.59401083,-0.08408102,-0.15487866,-0.20727761,0.024666948,-0.08156231,0.639029,-0.52213466,-0.37672034,-0.21880457,0
