rnaseq_gene__GENE_OR10J1,methylation_gene__GENE_ACPL2,rnaseq_gene__GENE_CSPG4P2Y,methylation_gene__GENE_ZNF33B,rnaseq_gene__GENE_OR8H1,rnaseq_gene__GENE_PRAMEF17,methylation_gene__GENE_SCRIB,rnaseq_gene__GENE_C10ORF96,rnaseq_gene__GENE_OR2T27,rnaseq_gene__GENE_OR2T6,rnaseq_gene__GENE_CT47A6,rnaseq_gene__GENE_PRAMEF16,rnaseq_gene__GENE_CDY1B,methylation_gene__GENE_C19ORF24,rnaseq_gene__GENE_TSPY4,rnaseq_gene__GENE_C21ORF54,rnaseq_gene__GENE_OR4A15,rnaseq_gene__GENE_PRAMEF18,rnaseq_gene__GENE_OR4K2,methylation_gene__GENE_GPI,rnaseq_gene__GENE_DEFB136,rnaseq_gene__GENE_TAAR6,rnaseq_gene__GENE_SLC6A5,methylation_gene__GENE_SKIL,methylation_gene__GENE_PIGP;TTC3,rnaseq_gene__GENE_TSPY3,rnaseq_gene__GENE_OTUD6A,rnaseq_gene__GENE_OR10Z1,rnaseq_gene__GENE_OR4D10,rnaseq_gene__GENE_OR4L1,rnaseq_gene__GENE_OR4K15,rnaseq_gene__GENE_GPHB5,rnaseq_gene__GENE_OR2T1,rnaseq_gene__GENE_LINC01020,rnaseq_gene__GENE_OR1S2,rnaseq_gene__GENE_OR7G2,methylation_gene__GENE_PRDX6,methylation_gene__GENE_NDUFAF1,rnaseq_gene__GENE_OR2M1P,rnaseq_gene__GENE_OR5H14,rnaseq_gene__GENE_CDX4,methylation_gene__GENE_EXT1,methylation_gene__GENE_PNN,rnaseq_gene__GENE_IFNA14,rnaseq_gene__GENE_PRAMEF22,methylation_gene__GENE_ATP5E,methylation_gene__GENE_CASP6,rnaseq_gene__GENE_REXO1L6P,rnaseq_gene__GENE_DEFB107A,methylation_gene__GENE_OBFC2B,rnaseq_gene__GENE_IQCF5,methylation_gene__GENE_RGS2,rnaseq_gene__GENE_ACCSL,methylation_gene__GENE_TNKS2,rnaseq_gene__GENE_OR8B12,rnaseq_gene__GENE_CXORF66,methylation_gene__GENE_ZNF721;PIGG,methylation_gene__GENE_YJU2B,methylation_gene__GENE_CNP,methylation_gene__GENE_NDE1;KIAA0430,rnaseq_gene__GENE_OR14A16,rnaseq_gene__GENE_OR4K14,methylation_gene__GENE_RSPH3,methylation_gene__GENE_BID,rnaseq_gene__GENE_OR6C4,rnaseq_gene__GENE_POTEB,rnaseq_gene__GENE_GSC2,rnaseq_gene__GENE_IFNA16,methylation_gene__GENE_TCFL5,rnaseq_gene__GENE_OR5A1,methylation_gene__GENE_LASS5,rnaseq_gene__GENE_OR8B4,methylation_gene__GENE_PRCP,methylation_gene__GENE_CNOT10,rnaseq_gene__GENE_KRTAP10-1,methylation_gene__GENE_LRRC20,methylation_gene__GENE_TYMP;ODF3B,methylation_gene__GENE_CDK5RAP1,rnaseq_gene__GENE_PATE1,rnaseq_gene__GENE_PSG11,methylation_gene__GENE_SART3,methylation_gene__GENE_NACC1;TRMT1,methylation_gene__GENE_SLC25A38,rnaseq_gene__GENE_TEX13A,rnaseq_gene__GENE_OR52E2,rnaseq_gene__GENE_OR52K1,rnaseq_gene__GENE_KCNK18,rnaseq_gene__GENE_SPANXE,rnaseq_gene__GENE_OR51L1,rnaseq_gene__GENE_OR51F1,rnaseq_gene__GENE_OR6B1,rnaseq_gene__GENE_OR2W5,rnaseq_gene__GENE_KRTAP19-3,methylation_gene__GENE_KTELC1,methylation_gene__GENE_ENTPD6,rnaseq_gene__GENE_LOC284788,methylation_gene__GENE_PPP2R5D,rnaseq_gene__GENE_FGF6,methylation_gene__GENE_ERP29;TMEM116,methylation_gene__GENE_TRIB3,target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
-0.07421895,0.59649277,-0.030400893,0.4490543,-0.057666454,-0.040199555,-0.41032338,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,-0.013400931,-0.035875507,-0.0679732,-0.042500064,-0.08606776,-0.09375395,0.20043744,-0.051518552,-0.06925289,-0.067629814,0.7472554,0.043400798,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,-0.3309102,-0.06327252,-0.06331775,-0.1724362,-0.074266955,-0.06859739,-0.13785753,0.48104048,-0.10272443,-0.04067079,-0.110764034,0.2724021,0.92409426,-0.18716085,-0.11066106,0.85533094,0.43147662,-0.058409594,-0.06594675,0.8677229,-0.09630276,-0.4444473,3.6489415,0.24027158,-0.13939492,-0.05234718,0.42173645,0.42896795,0.8835326,0.13529193,-0.21128248,-0.082632184,1.8004966,0.27185285,-0.0583981,-0.37672034,-0.05877857,-0.12434906,0.41494763,-0.09926551,0.93290526,-0.078787245,1.9994855,1.5376943,8.4414625,0.4131752,0.7585861,0.22245051,-0.19044563,-0.08720162,0.4417737,1.1414319,0.15351161,-0.09973995,-0.09379102,-0.2232396,-0.12371241,-0.17491919,-0.0686956,-0.072152846,-0.12339336,2.0266945,-0.124685876,0.63478726,0.28123093,-0.09540028,0.72174776,-0.08795058,0.056605134,-0.03337716,0
-0.07421895,0.7476855,-0.030400893,0.14871067,-0.057666454,-0.040199555,0.15346035,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,0.18405713,-0.035875507,-0.0679732,-0.042500064,-0.08606776,-0.09375395,0.18294889,-0.051518552,-0.06925289,-0.067629814,0.4385283,0.49041125,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,-0.3309102,-0.06327252,-0.06331775,-0.1724362,-0.074266955,-0.06859739,0.23064291,0.7617472,-0.10272443,-0.04067079,-0.110764034,0.047453728,0.36188236,-0.18716085,-0.11066106,0.83914995,0.37512636,-0.058409594,-0.06594675,0.47386664,-0.09630276,-0.3316831,-0.25247434,0.8020264,-0.13939492,-0.05234718,0.30067533,0.4818272,0.29769805,-0.059406396,-0.21128248,-0.082632184,0.28290993,0.77753603,-0.0583981,6.496999,-0.05877857,-0.12434906,0.10791283,4.4264455,0.07087298,-0.078787245,0.6001338,0.5404921,-0.13944355,-0.1851329,-0.14113313,0.7981819,-0.19044563,-0.08720162,-0.38165906,0.19510004,-0.022540353,-0.09973995,-0.09379102,-0.2232396,-0.12371241,-0.17491919,-0.0686956,-0.072152846,-0.12339336,-0.14741206,-0.124685876,-0.37059265,0.3547302,-0.09540028,0.30446488,-0.08795058,0.2801992,0.1348818,0
-0.07421895,-0.032206632,-0.030400893,-0.34003553,-0.057666454,13.4373045,-0.6014492,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,0.07216099,-0.035875507,29.66682,-0.042500064,-0.08606776,-0.09375395,-0.16173632,-0.051518552,-0.06925289,-0.067629814,-0.28729084,-0.5374824,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,-0.3309102,-0.06327252,-0.06331775,-0.1724362,-0.074266955,-0.06859739,-0.5697412,-0.057804774,-0.10272443,-0.04067079,-0.110764034,-0.22995704,0.05508806,-0.18716085,-0.11066106,-0.9388874,0.38779214,-0.058409594,-0.06594675,0.26173994,-0.09630276,-0.55247605,-0.25247434,-0.2746765,-0.13939492,-0.05234718,-0.30156872,-0.36832228,-0.27653405,0.24955367,10.270287,-0.082632184,0.363912,-0.80404365,-0.0583981,-0.37672034,19.78605,-0.12434906,-0.39234617,-0.09926551,-0.45911855,-0.078787245,0.026278762,0.28992623,-0.13944355,-0.39638203,-0.04141815,-0.62134945,-0.19044563,-0.08720162,0.46088958,-0.39243972,0.17809758,-0.09973995,-0.09379102,-0.2232396,-0.12371241,-0.17491919,-0.0686956,-0.072152846,-0.12339336,-0.14741206,-0.124685876,-0.18614367,-0.26187956,-0.09540028,-0.0068120486,-0.08795058,-0.77379674,-0.17073378,1
-0.07421895,-0.114545524,-0.030400893,-0.3150327,-0.057666454,-0.040199555,-0.21392961,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,-0.24822688,-0.035875507,-0.0679732,-0.042500064,-0.08606776,-0.09375395,-0.09081804,-0.051518552,-0.06925289,-0.067629814,-0.6036509,-0.5281125,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,0.93404865,-0.06327252,-0.06331775,-0.1724362,-0.074266955,-0.06859739,-0.3458404,0.46519563,-0.10272443,-0.04067079,-0.110764034,-0.28989932,-0.33125073,-0.18716085,-0.11066106,-1.0186439,-0.12802352,-0.058409594,-0.06594675,-0.65297306,-0.09630276,-0.33173263,-0.25247434,-0.38270107,-0.13939492,-0.05234718,-0.1752615,-0.11712981,-0.22647238,0.04094773,-0.21128248,-0.082632184,0.7063027,0.43817562,-0.0583981,-0.37672034,-0.05877857,-0.12434906,2.2933555,-0.09926551,-0.11912536,-0.078787245,1.709032,-0.39222795,-0.13944355,-0.17775714,-0.12523481,-0.35040656,-0.19044563,-0.08720162,-0.63133156,-0.17031978,-0.18744747,-0.09973995,-0.09379102,-0.2232396,-0.12371241,-0.17491919,-0.0686956,-0.072152846,-0.12339336,-0.14741206,-0.124685876,-0.28397837,-0.50677174,-0.09540028,-0.49489924,-0.08795058,-0.49685115,-0.2783788,0
-0.07421895,-0.24715324,-0.030400893,-0.034732528,-0.057666454,-0.040199555,-0.0016824864,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,0.02432365,-0.035875507,-0.0679732,-0.042500064,-0.08606776,-0.09375395,0.24034937,-0.051518552,-0.06925289,-0.067629814,-0.5455208,0.014584921,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,-0.3309102,-0.06327252,-0.06331775,-0.1724362,-0.074266955,-0.06859739,0.052516337,0.09360264,6.020494,-0.04067079,16.322033,-0.15253839,-0.05979455,-0.18716085,-0.11066106,0.20578021,-0.4885019,-0.058409594,-0.06594675,0.24947543,-0.09630276,-0.40348002,-0.25247434,-0.09867363,-0.13939492,-0.05234718,-0.04696987,0.09525665,0.34685025,-0.2126288,-0.21128248,-0.082632184,-0.39712322,-0.33822197,-0.0583981,-0.37672034,-0.05877857,-0.12434906,0.2826542,-0.09926551,-0.23685376,-0.078787245,-0.9243635,-0.5593076,-0.13944355,-0.012360114,-0.16323148,-0.26049864,-0.19044563,-0.08720162,-0.054238815,-0.09760316,-0.17624028,-0.09973995,-0.09379102,-0.2232396,-0.12371241,-0.17491919,-0.0686956,-0.072152846,-0.12339336,-0.14741206,-0.124685876,-0.18377839,0.034229375,-0.09540028,-0.42243168,-0.08795058,-0.017841265,0.08121111,0
-0.07421895,-0.72791964,-0.030400893,-0.058388073,-0.057666454,-0.040199555,-0.42612198,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,-0.09193348,-0.035875507,-0.0679732,-0.042500064,-0.08606776,-0.09375395,-0.39433774,-0.051518552,-0.06925289,-0.067629814,0.85466564,-0.6799201,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,-0.3309102,-0.06327252,-0.06331775,4.248955,-0.074266955,1.8795662,-0.07433188,0.4394913,-0.10272443,-0.04067079,-0.110764034,0.11138058,0.15324245,-0.18716085,-0.11066106,-0.3102957,-0.8004506,-0.058409594,-0.06594675,0.3949642,-0.09630276,-0.43925813,-0.25247434,-0.14644094,-0.13939492,-0.05234718,0.26369026,-1.0026215,0.96450573,0.2516241,-0.21128248,-0.082632184,1.3794566,-0.15263277,-0.0583981,-0.37672034,-0.05877857,-0.12434906,0.6310119,-0.09926551,-0.061486535,-0.078787245,0.94685245,-0.6126069,-0.13944355,0.017150274,-0.16216893,0.5596398,-0.19044563,-0.08720162,0.17392717,-0.45751405,0.31965792,-0.09973995,-0.09379102,-0.2232396,-0.12371241,-0.17491919,-0.0686956,-0.072152846,-0.12339336,-0.14741206,-0.124685876,-0.28512245,-0.0127045745,-0.09540028,-0.08248456,-0.08795058,-0.029282013,-0.1217616,0
-0.07421895,0.15347788,-0.030400893,0.112116285,-0.057666454,-0.040199555,0.5055419,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,0.47878084,-0.035875507,-0.0679732,-0.042500064,-0.08606776,-0.09375395,0.06073366,-0.051518552,29.499832,-0.067629814,2.735388,0.37477794,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,-0.3309102,-0.06327252,-0.06331775,-0.1724362,-0.074266955,-0.06859739,0.03748442,0.46105212,-0.10272443,-0.04067079,-0.110764034,-0.093570836,-0.14915372,-0.18716085,-0.11066106,1.162091,0.04140262,-0.058409594,-0.06594675,-0.04919406,-0.09630276,-0.421701,-0.25247434,0.48425657,-0.13939492,-0.05234718,0.2391726,0.10437643,0.10937657,-0.15298854,-0.21128248,-0.082632184,-0.06818555,-0.12849128,-0.0583981,-0.37672034,-0.05877857,-0.12434906,0.09310768,-0.09926551,-0.0912711,-0.078787245,0.23651776,1.2005258,-0.13944355,0.12295465,-0.39314377,-0.04568205,-0.19044563,-0.08720162,0.4080284,-0.21437827,3.5423095,-0.09973995,-0.09379102,4.516581,-0.12371241,8.846061,-0.0686956,-0.072152846,-0.12339336,-0.14741206,-0.124685876,0.07971462,0.3172136,-0.09540028,1.1453167,-0.08795058,0.30491188,0.2388579,0
-0.07421895,0.2807133,-0.030400893,-0.16840427,-0.057666454,-0.040199555,-0.30329698,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,-0.011554832,-0.035875507,-0.0679732,-0.042500064,-0.08606776,-0.09375395,0.10668483,-0.051518552,-0.06925289,-0.067629814,0.3873884,-0.11547741,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,-0.3309102,-0.06327252,-0.06331775,-0.1724362,-0.074266955,-0.06859739,-0.23372367,0.1191499,-0.10272443,-0.04067079,-0.110764034,0.12289606,0.09272659,-0.18716085,-0.11066106,-0.016476745,-0.3214761,-0.058409594,-0.06594675,-0.25047988,-0.09630276,-0.44399878,-0.25247434,-0.089279756,-0.13939492,-0.05234718,-0.17115928,-0.030735927,-0.2830614,-0.23670651,-0.21128248,-0.082632184,-0.32062066,-0.40225932,-0.0583981,-0.37672034,-0.05877857,-0.12434906,-0.3997682,-0.09926551,-0.005380332,-0.078787245,0.14254545,0.08591692,-0.13944355,-0.22907917,-0.33878514,-0.4540141,-0.19044563,-0.08720162,-0.43027908,0.36027178,-0.18421952,-0.09973995,-0.09379102,-0.2232396,-0.12371241,-0.17491919,-0.0686956,-0.072152846,-0.12339336,2.3434784,-0.124685876,0.06421481,-0.16906242,-0.09540028,-0.3093328,-0.08795058,0.109825134,-0.08953954,0
-0.07421895,-0.8805329,-0.030400893,-0.22532411,-0.057666454,-0.040199555,0.17565227,-0.14370757,-0.050521668,-0.083192356,-0.030400895,-0.07234395,-0.030400895,-0.3350704,-0.035875507,-0.0679732,-0.042500064,-0.08606776,-0.09375395,-0.3852079,-0.051518552,-0.06925289,-0.067629814,-1.0589294,-0.50137776,-0.04756436,-0.1489025,-0.059134748,-0.09654722,-0.052030247,-0.3309102,-0.06327252,-0.06331775,-0.1724362,-0.074266955,-0.06859739,0.12205048,-0.71577716,-0.10272443,-0.04067079,-0.110764034,-0.3694716,-0.48219112,-0.18716085,-0.11066106,-0.9225697,-0.45180196,-0.058409594,-0.06594675,-0.5837791,-0.09630276,1.1609809,-0.25247434,-0.63090295,-0.13939492,-0.05234718,-0.23807757,-0.6309136,-0.4233401,-0.40845042,-0.21128248,-0.082632184,-0.3862068,-0.096975856,-0.0583981,-0.37672034,-0.05877857,-0.12434906,-0.4500465,-0.09926551,-0.5106273,-0.078787245,-0.79701954,-0.15237454,-0.13944355,-0.37438908,-0.6482932,-0.9716124,-0.19044563,-0.08720162,1.0704455,4.415684,-0.15769653,-0.09973995,-0.09379102,-0.2232396,-0.12371241,-0.17491919,-0.0686956,-0.072152846,-0.12339336,-0.14741206,-0.124685876,-0.26223677,-0.63385886,-0.09540028,-0.89842886,-0.08795058,-0.5926916,-0.4069389,0
