model_name,os_3yr,os_5yr,extreme_os
logistic_regression,0.5359160489113018,0.5418876330518702,0.5223343995245217
random_forest,0.7159593466887146,0.7471242337658225,0.7807536384474087
catboost,0.712939471382666,0.748541691990633,0.7818914053267046
xgboost,0.7007256972408206,0.7336567498641152,0.7679974430846654
lightgbm,0.6980637476418091,0.7191816715071734,0.7618629155058563
autogluon,0.7018101210127534,0.7438238415600951,0.7570003212577899
tabfm_default,0.7205063393466774,0.7528415853952757,0.7802843792370762
tabpfn_v2,NA,0.7505668762645772,0.7839217959717396
tabpfn_v2_5,NA,0.7530081418851347,0.784668256905292
tabpfn_v2_6,NA,0.7523603288318909,0.7780659155423885
tabpfn_v3,0.7140010647420999,0.7542922092489522,0.7861943445707738
