experiment,dataset,endpoint,permutation,iteration,n_train,n_test,roc_auc,pr_auc
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,0,1151,247,0.5817444219066936,0.4768553491895657
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,0,1151,247,0.6640973630831644,0.5270207262831119
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,1,1151,247,0.4993914807302231,0.4178678765565931
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,1,1151,247,0.6883029073698446,0.5690170540359503
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,2,1151,247,0.4835023664638269,0.4201721660733295
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,2,1151,247,0.6890466531440163,0.5491710246552269
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,3,1151,247,0.5344151453684922,0.4516642713607863
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,3,1151,247,0.6720757268424611,0.5538468224644952
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,4,1151,247,0.4728870858688302,0.4091012929158776
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,4,1151,247,0.6626098715348208,0.5083854833223411
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,5,1151,247,0.5275862068965518,0.444283982137437
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,5,1151,247,0.6534144692359702,0.5262733211616764
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,6,1151,247,0.5302231237322514,0.4511436429373336
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,within_cancer,6,1151,247,0.6530087897227858,0.5201876697355076
pooled_fixed,ALL_core_os_3yr_event_top94_no_cancer_feature,os_3yr,global,7,1151,247,0.4540906017579446,0.4073346642601483
