scope,endpoint,model_name,model,family,n_configurations,n_evaluated,accuracy_mean,balanced_accuracy_mean,f1_mean,sensitivity_mean,specificity_mean,roc_auc_mean,pr_auc_mean,log_loss_mean,brier_mean,accuracy_sd,balanced_accuracy_sd,f1_sd,sensitivity_sd,specificity_sd,roc_auc_sd,pr_auc_sd,log_loss_sd,brier_sd,fit_time_s_median,predict_time_s_median
pooled,extreme_os,autogluon,AutoGluon,AutoML,25,25,0.7451541699852088,0.7179293730864654,0.8026666164919064,0.8102448549124062,0.6256138912605249,0.7570003212577899,0.8186129577766897,0.642335775488126,0.18650700318564747,0.046994187779253745,0.038898874880287336,0.04906627913780187,0.08103150475689933,0.0678492234423575,0.035490340926986406,0.036208945743170726,0.2135174490872195,0.017757076158801344,5.662886958001764,0.0110432359979313
pooled,extreme_os,catboost,CatBoost,Boosted tree,25,25,0.7511434747980431,0.7305622293101227,0.8047263165792475,0.7999458270102189,0.6611786316100268,0.7818914053267046,0.8392068357033619,0.5238597234226133,0.16908102545342513,0.03362508770906557,0.023653190958183853,0.03685027583489644,0.07248566167030251,0.06310748563735168,0.02626935776349851,0.036594962878488214,0.03860081041513318,0.014500607387074897,2.010563627001829,0.0067562879994511
pooled,extreme_os,lightgbm,LightGBM,Boosted tree,25,25,0.7375014222323358,0.7095610775383396,0.7946981960075381,0.8016655805229882,0.6174565745536911,0.7618629155058563,0.819800346524522,0.8332793339313147,0.20185752575908444,0.046592601934431856,0.030132678436212767,0.05518487446739651,0.10254861728743916,0.0793273131106531,0.03392967113411203,0.03884616646621012,0.1058661887152642,0.018854152953063332,0.1709379220010305,0.0076366779976524
pooled,extreme_os,logistic_regression,Logistic regression,Linear,25,25,0.5201297075890318,0.5262971857672443,0.5580355018606645,0.515433733627791,0.5371606379066975,0.5223343995245217,0.6694064520005096,0.7929725363235935,0.26071801339649875,0.0644164010443224,0.03622003748304583,0.15246495683945283,0.19812422706551136,0.21493459780667498,0.0422379809027501,0.0461276233813478,0.06978792151698666,0.015065391306352831,0.0142068320019461,0.0042899539985228
pooled,extreme_os,random_forest,Random forest,Tree ensemble,25,25,0.7489520992149278,0.723437773625752,0.8043741503877816,0.8104753020957429,0.6364002451557611,0.7807536384474087,0.846769889490898,0.5440668841027937,0.17014944808468546,0.04533308527011552,0.030372319682279172,0.048637541477533595,0.09266566132396219,0.06805005309772322,0.028068235949699573,0.02918794665825477,0.05412380038314032,0.013800495491630989,0.3752202629984822,0.0743902009999146
pooled,extreme_os,tabfm_default,TabFM,Foundation model,25,25,0.7451052451928547,0.726071086560844,0.7965165288658368,0.7963069737613584,0.6558351993603295,0.7802843792370762,0.8450818556176798,0.5167920536339087,0.16745056545270617,0.052832220786381744,0.029750818877299558,0.06625020835259593,0.12881139989900875,0.10618275430310475,0.025764846172203128,0.03296340885036147,0.03374246822217555,0.013891173448584612,0.0152620459994068,9.53225336200194
pooled,extreme_os,tabpfn_v2,TabPFN v2,Foundation model,25,25,0.754547730117192,0.7327832192613631,0.8081465293552504,0.8071507742622728,0.6584156642604535,0.7839217959717396,0.8475871776509811,0.5160619276530131,0.16736131172033666,0.03556422542311843,0.024972812210883835,0.03839071691770303,0.07355436543129201,0.0663098267201764,0.028312883512663294,0.03397310106971927,0.03552203766004637,0.014722428538650934,1.0214993240006152,23.58302026000092
pooled,extreme_os,tabpfn_v2_5,TabPFN v2.5,Foundation model,25,25,0.759863465695756,0.7373826234850615,0.8143325747413638,0.8171405543568323,0.6576246926132905,0.784668256905292,0.8483784032004235,0.5138433753568972,0.16653172218169462,0.026453890103628606,0.02320920572919926,0.02659712554928656,0.05704304810334516,0.06595562010100432,0.02611722331221315,0.032524756285431555,0.033125910711453536,0.013781360875041636,0.2444463100000575,15.529936851002276
pooled,extreme_os,tabpfn_v2_6,TabPFN v2.6,Foundation model,25,25,0.7603037888269428,0.7326890804649441,0.8162183449816505,0.828493001058785,0.6368851598711032,0.7780659155423885,0.8426784821017013,0.5177210324043411,0.1671943182889213,0.03499730824036629,0.028361706200980632,0.03472405420724266,0.06910000737141629,0.06811673527603558,0.028613548142202447,0.032366083972745784,0.03392830474612273,0.013918698149371266,0.3352240719977999,17.303399119999085
pooled,extreme_os,tabpfn_v3,TabPFN v3,Foundation model,25,25,0.737239731482535,0.7219506289334403,0.7864198665922411,0.7742083112943584,0.6696929465725222,0.7861943445707738,0.8522489612530044,0.5141389354390501,0.16660507310032296,0.05812112895540368,0.03415895913686828,0.07646330877356537,0.12466373086330265,0.07844812825253226,0.0283649367264248,0.03465345786486616,0.033878948511229814,0.014028376228667344,0.493991723000363,13.626900920997286
