control,true_cancer,predicted_cancer,fraction
molecular_values,BRCA,BRCA,0.7984031936127745
molecular_values,BRCA,ESCA,0.00998003992015968
molecular_values,BRCA,HNSCC,0.09181636726546906
molecular_values,BRCA,LSCC,0.031936127744510975
molecular_values,BRCA,LUAD,0.06786427145708583
molecular_values,ESCA,BRCA,0.5232558139534884
molecular_values,ESCA,ESCA,0.12790697674418605
molecular_values,ESCA,HNSCC,0.023255813953488372
molecular_values,ESCA,LSCC,0.1511627906976744
molecular_values,ESCA,LUAD,0.1744186046511628
molecular_values,HNSCC,BRCA,0.33766233766233766
molecular_values,HNSCC,ESCA,0.01038961038961039
molecular_values,HNSCC,HNSCC,0.5454545454545454
molecular_values,HNSCC,LSCC,0.05194805194805195
molecular_values,HNSCC,LUAD,0.05454545454545454
molecular_values,LSCC,BRCA,0.22535211267605634
molecular_values,LSCC,ESCA,0.008450704225352112
molecular_values,LSCC,HNSCC,0.1323943661971831
molecular_values,LSCC,LSCC,0.5830985915492958
molecular_values,LSCC,LUAD,0.05070422535211268
molecular_values,LUAD,BRCA,0.21069182389937108
molecular_values,LUAD,ESCA,0.0031446540880503146
molecular_values,LUAD,HNSCC,0.08490566037735849
molecular_values,LUAD,LSCC,0.3553459119496855
molecular_values,LUAD,LUAD,0.34591194968553457
structural_zero_pattern,BRCA,BRCA,0.9960079840319361
structural_zero_pattern,BRCA,ESCA,0.0
structural_zero_pattern,BRCA,HNSCC,0.0
structural_zero_pattern,BRCA,LSCC,0.003992015968063872
structural_zero_pattern,BRCA,LUAD,0.0
structural_zero_pattern,ESCA,BRCA,0.0
structural_zero_pattern,ESCA,ESCA,0.9883720930232558
structural_zero_pattern,ESCA,HNSCC,0.011627906976744186
structural_zero_pattern,ESCA,LSCC,0.0
structural_zero_pattern,ESCA,LUAD,0.0
structural_zero_pattern,HNSCC,BRCA,0.0
structural_zero_pattern,HNSCC,ESCA,0.0
structural_zero_pattern,HNSCC,HNSCC,0.9948051948051948
structural_zero_pattern,HNSCC,LSCC,0.005194805194805195
structural_zero_pattern,HNSCC,LUAD,0.0
structural_zero_pattern,LSCC,BRCA,0.0
structural_zero_pattern,LSCC,ESCA,0.0
structural_zero_pattern,LSCC,HNSCC,0.030985915492957747
structural_zero_pattern,LSCC,LSCC,0.9690140845070423
structural_zero_pattern,LSCC,LUAD,0.0
structural_zero_pattern,LUAD,BRCA,0.0
structural_zero_pattern,LUAD,ESCA,0.0
structural_zero_pattern,LUAD,HNSCC,0.0220125786163522
structural_zero_pattern,LUAD,LSCC,0.0
structural_zero_pattern,LUAD,LUAD,0.9779874213836478
